10000e	10000:a
affaire	mål
affamé	jättehungrig
affectueux	hjärtlig
affectuosité	hjärtlighet
affermir	befästa
affermissement	befästande
affichage	affischering
affiche	affisch
affiler	skärpa
affilure	sömsvick
affirmer	bejaka
affliction	bedrövelse
afflouage	flottagande
afflouer	ta flott
affluence	tillströmning
affluer	strömma till
afflux	rusning
affolement	vansinne
affranchissement	porto
affreux	förskräcklig
affriolant	lockande
affront	förolämpning
afférent	tillkommande
affété	sökt
africain	afrikansk
afrikaans	afrikaans
afro	afro
afro-américain	afroamerikansk
afro-cubain	afrokubansk
afterparty	efterfest
agacement	anstöt
agacer	förarga
agate	agat
agence de voyages	resebyrå
agenouiller	knäböja
agent	agent
agent double	dubbelagent
agglomération	hopgyttring
agglomérer	hopgyttra
aggloméré	spånskiva
agglutinant	klibbig
aggraver	försämra
agir	handla
agissant	verksam
agissements	intriger
agitateur	orostifare
agiter	svinga
agneau	lamm
agnosticisme	agnosticism
agnostique	agnostisk
agogique	agogik
agonie	dödskamp
agonisant	döende
agoraphobie	agorafobi
agrafage	sammanhäktande
agrafe	häkta
agrafeuse	häftapparat
agraire	agrarisk
agrandir	förstora
agrandissement	förstoring
agresseur	angripare
agressif	aggressiv
agression	aggression
agressivité	aggressivitet
agreste	lantlig
agriculteur	jordbrukare
agriculture	jordbruk
agrile du chêne	tvåfläckig smalpraktbagge
agrobate roux	rödsångare
agroforesterie	skogsjordbruk
agrologie	lantbrukslära
agronome	agronom
agronomie	agronomi
agronomique	agronomisk
agréable	angenäm
agréer	anta
agrément	godkännande
aguerrir	härda
aguerrissement	härdning
aide	hjälp
aide médicale à mourir	dödshjälp
aider	hjälpa
aigle	örn
aigle	örn
aigle bicéphale	dubbelörn
aigle botté	dvärgörn
aigle criard	större skrikörn
aigle de Bonelli	hökörn
aigle des steppes	stäppörn
aigle impérial	kejsarörn
aigle pomarin	mindre skrikörn
aigle royal	kungsörn
aigre	skarp
aigu	skarp
aigue-marine	akvamarin
aiguillage	växel
aiguille	barr
aiguille des minutes	minutvisare
aiguille à tricoter	sticka
aiguisement	väsande
aiguiser	skärpa
ail	vitlök
ail des ours	ramslök
ailante glanduleux	Gudaträd
aile	flygel
ailier	ytter
ailleurs	annorstädes
ailurophobie	ailurofobi
aimable	vänlig
aimant	magnet
aimanter	magnetisera
aime	åm
aimer	uppskatta
aimer mieux	föredra
aine	ljumske
ainsi	sålunda
air	luft
air conditionné	luftkonditionering
airain	brons
aire	areal
aire de repos	rastplats
airelle	blåbär
airelle rouge	lingon
aise	glädje
aisselle	armhåla
aisément	ledigt
ajourner	stämma
ajouter	bifoga
ajouter foi	sätta tro
ajuster	anpassa
ajvar	ajvar
alarme	alarm
alarmer	alarmera
alaskain	alaskisk
albanais	albansk
albanais	albanska
albatros	albatross
albinisme	albinism
albinos	albino
albizia	albiziasläktet
album	album
albédo	albedo
alcane	alkan
alchimie	alkemi
alchimique	alkemisk
alchimiste	alkemist
alchémille commune	daggkåpa
alcool	alkohol
alcoolique	alkoholhaltig
alcoolique	alkoholist
alcoolisme	alkoholism
alcyne	alkyn
alcène	alken
alcôve	alkov
aldéhyde	aldehyd
aleph	aleftal
alerte	larm
alerter	varna
alexandrite	alexandrit
alezan	fux
algie vasculaire de la face	hortons huvudvärk
algophobie	algofobi
algorithme	algoritm
algorithmique	algoritmisk
algue	alg
algèbre	algebra
algèbre linéaire	linjär algebra
algébrique	algebraisk
algébriste	algebraiker
algérien	algerisk
alias	som
alibi	alibi
alios	ortsten
aliénation	galenskap
allaiter	amma
allemand	tysk
allemand	tyska
allemande	allemande
aller	åka
allergie	allergi
allergique	allergisk
allergiser	allergisera
alliage	legering
alliance	allians
alligator	alligator
allitération	allitteration
allitérer	allitterera
allié	allierad
allocataire	bidragstagare
allocation chômage	arbetslöshetsunderstöd
allocation familiale	barnbidrag
allonger	förlänga
allopollinisation	korspollinering
allumer	antända
allumette	tändsticka
allure	anblick
allusion	allusion
alléchant	lockande
allée	allé
allégorie	allegori
allégorique	allegorisk
allégresse	fröjd
alléluia	halleluja
allô	hallå
almanach	almanacka
almandin	almandin
alors	då
alors que	medan
alouette	lärka
alouette calandrelle	korttålärka
alouette des champs	sånglärka
alouette hausse-col	berglärka
alouette leucoptère	vitvingad lärka
alouette lulu	trädlärka
alouette nègre	svart lärka
alouette pispolette	dvärglärka
alpaga	alpacka
alpestre	alp-
alphabet	alfabet
alphabet cyrillique	kyrilliska alfabetet
alphabet latin	latinska alfabetet
alphabétique	alfabetisk
alphabétiquement	alfabetiskt
alphanumérique	alfanumerisk
alpin	alpin
alpinisme	alpinism
alpiniste	bergbestigare
alstrœmère	alströmeriasläktet
altaïte	altait
alter ego	alter ego
altercation	ordväxling
alternatif	alternativ
alternative	alternativ
altier	stolt
altimètre	höjdmätare
altitude	höjd
altruisme	altruism
altruiste	altruistisk
altruiste	altruist
altération	ändring
alule	alula
aluminium	aluminium
alun	alun
alunite	alunit
alvéole	alveol
alysson maritime	strandkrassing
aléa	risk
aléatoire	slumpmässig
alémanique	alemanniska
amabilité	vänlighet
amadou	fnöske
amadouer	lisma
amadouvier	fnöskticka
amalgame	amalgam
amalgame dentaire	amalgam
amande	mandel
amandier	mandelträd
amandin	mandelformad
amanite jonquille	gul flugsvamp
amanitine	amanitin
amant	älskare
amarante réfléchie	svinamarant
amarrer	förtöja
amasser	hopa
amateur	älskare
amatrice	amatris
amazone	amazonpapegoja
amazone aourou	Venezuelaamazon
amazone de Bouquet	rödhalsad amazon
amazone de Cuba	kubaamazon
amazone de Dufresne	blåkindad amazon
amazone de Kawall	kawallamazon
amazone de Porto Rico	puertoricoamazon
amazone de Prêtre	rödmaskad amazon
amazone de Saint-Vincent	saintvincentamazon
amazone de Sainte-Lucie	saintluciaamazon
amazone de Tucuman	tucumánamazon
amazone des Tres Marias	maríasamazon
amazone du Yucatan	yucatánamazon
amazone guatémaltèque	nordlig mjölamazon
amazone impériale	kejsaramazon
amazone mercenaire	soldatamazon
amazone poudrée	sydlig mjölamazon
amazone tavoua	rödryggig amazon
amazone verte	svartnäbbad amazon
amazone vineuse	lilabröstad amazon
amazone à bec jaune	gulnäbbad amazon
amazone à couronne lilas	violettkronad amazon
amazone à diadème	diademamazon
amazone à face jaune	gulmaskad papegoja
amazone à front blanc	vitpannad amazon
amazone à front bleu	blåpannad amazon
amazone à front jaune	gulkronad amazon
amazone à joues bleues	rödstjärtad amazon
amazone à joues vertes	rödkronad amazonpapegoja
amazone à lores rouges	gulkindad amazon
amazone à nuque d’or	gulnackad amazon
amazone à sourcils rouges	rödbrynad amazon
amazone à tête jaune	gulhuvad amazon
amazone à ventre pourpre	Hispaniolaamazon
amazone à épaulettes jaunes	gulskuldrad amazon
amazonite	amazonsten
ambassade	ambassad
ambassadeur	ambassadör
ambiance	omgivning
ambigu	tvetydig
ambigu	blandning
ambitieux	ambitiös
ambition	ambition
amble	passgång
ambleur	passgångare
amblygonite	amblygonit
amblyopie	amblyopi
ambon	ambo
ambre	bärnsten
ambulance	ambulans
amen	amen
amende	böter
amender	bättra
amer	besk
amer	galla
amertume	bitterhet
ameublement	inredning
amharique	amharisk
ami	vän
amiante	asbest
amiante-ciment	asbestcement
amibe	amöba
amical	vänskaplig
amide	amid
amidon	stärkelse
amidonnier	emmervete
amine	amin
amiral	amiral
amitié	vänskap
ammoniac	ammoniak
ammoniaque	ammoniumhydroxid
ammonium	ammonium
amnistie	amnesti
amnésie	amnesi
amoindrir	förminska
amorphe	amorf
amortissement	avskrivning
amortisseur	stötdämpare
amour	kärlek
amphibien	amfibie
amphibologique	tvetydig
amphigouri	nonsens
amphigourique	gåtfull
amphithéâtre	amfiteater
amphore	amfora
amphotère	amfotär
ample	vid
ampleur	storlek
amplificateur	förstärkare
amplitude	amplitud
ampoule	glödlampa
amputation	amputation
amputer	amputera
ampère	ampere
ampèremètre	amperemeter
amulette	amulett
amusant	rolig
amuse-gueule	aptitretare
amuser	roa
amygdale	halsmandel
amytis	grässmyg
amène	snäll
amélioration	förbättring
améliorer	förbättra
aménagement	anordnande
aménager	anordna
aménorrhée	amenorré
américain	amerikansk
américain	amerikanska
américanisation	amerikanisering
américaniser	amerikanisera
américium	americium
améthyste	ametist
amétrine	ametrin
an	år
anabaptiste	anabaptist
anabolisme	anabolism
anachronisme	anakronism
anacrouse	upptakt
anagramme	anagram
analcime	analcim
analgésique	analgetika
analphabète	illitterat
analphabétisme	analfabetism
analyser	analysera
analyste	analytiker
analytique	analytisk
ananas	ananas
anaphore	anafor
anarchie	anarki
anarchiste	anarkistisk
anarchiste	anarkist
anatase	anatas
anatomique	anatomisk
anchois	ansjovis
ancien	gammal
ancien élève	abiturient
anciennement	fordomdags
ancre	ankare
ancrer	förankra
ancêtre	förfader
andalousite	andalusit
andouille	korv
androcentrisme	androcentrism
andromède	rosling
andropause	andropausen
androphobie	androfobi
androïde	android
andryale à feuilles entières	solfibbla
andrène	grävbin
anecdote	anekdot
anecdotique	anekdotisk
anesthésie	anestesi
anesthésie générale	generell anestesi
anesthésie locale	lokalbedövning
anesthésier	bedöva
aneth	dill
aneuploïdie	aneuploidi
ange	ängel
ange gardien	skyddsängel
angine	halsfluss
angiosperme	blomväxt
anglais	engelsk
anglais	engelska
anglais américain	amerikansk engelska
anglais britannique	brittiska
angle	vinkel
angle complémentaire	komplementvinkel
angle d’or	Gyllene vinkeln
angle mort	död vinkel
angle solide	rymdvinkel
anglican	anglikansk
anglicanisme	anglikanism
angliciser	anglisera
anglicisme	anglicism
anglophile	anglofil
anglophone	engelskspråkig
anglésite	anglesit
angoisse	ångest
anguille	ål
anguille électrique	darrål
angélologie	angelologi
anhinga	ormhalsfågel
anhydrite	anhydrit
ani à bec cannelé	strimnäbbad ani
aniline	anilin
animal	djur
animal de boucherie	slaktdjur
animal domestique	husdjur
animation	animation
animosité	ovilja
animéité	animacitet
anis	anis
anisotropie	anisotropi
ankh	ankh
anneau	ring
anneau pénien	kukring
annexer	annektera
annihiler	annihilera
anniversaire	födelsedag
annoncer	annonsera
annonceur	annonsör
annuaire	adresskalender
annuel	årlig
annulation	abrogation
annuler	annullera
année	år
année bissextile	skottår
année fiscale	räkenskapsår
année scolaire	läsår
année-lumière	ljusår
anoblir	adla
anode	anod
anode sacrificielle	offeranod
anonymat	anonymitet
anonyme	anonym
anonymement	anonymt
anorexie	anorexi
anormal	abnorm
anormalement	abnormt
anormalité	abnormitet
anorthite	anortit
anse	öra
antagoniser	antagonisera
antagoniste	vedersakare
antan	i fjol
antarctique	antarktisk
antenne	antenn
antenne dipolaire	dipolantenn
antenne parabolique	parabolantenn
antependium	antependium
anthologie	urval
anthonome du framboisier	hallonvivel
anthonome du pommier	äppleblomvivel
anthophyllite	antofyllit
anthrax	brandböld
anthropique	antropisk
anthropocentrique	antropocentrisk
anthropocentrisme	antropocentrism
anthropocène	antropocen
anthropologie	antropologi
anthropologue	antropolog
anthropophage	människoätare
anthropophobie	antropofobi
anthrène des musées	museiänger
anthyllide vulnéraire	getväppling
anti-avortement	abortmotståndare
antiallergique	anti-allergisk
antiallergique	allergiläkemedel
antiaméricanisme	antiamerikanism
antibiotique	antibiotikum
anticafé	antikafé
antichrèse	antikres
anticlinal	antiform
anticlérical	antiklerikal
anticorps	antikropp
anticyclone	högtryck
antidate	förutdatering
antidote	motgift
antifasciste	antifascistisk
antifasciste	antifascist
antiféminisme	antifeminism
antigène	antigen
antijihadiste	antijihadist
antilope	antilop
antimatière	antimateria
antimigraineux	migränläkemedel
antimoine	antimon
antipape	motpåve
antipathie	antipati
antipsychotique atypique	atypiska antipsykotika
antiquark	antikvark
antiquité	antikvitet
antiracisme	antirasism
antiraciste	antirasistisk
antisymétrique	antisymmetrisk
antisèche	fusklapp
antisémite	antisemitisk
antisémite	antisemit
antithèse	motsats
antivax	antivaxare
antiépileptique	epilepsiläkemedel
antédiluvien	antediluviansk
antéfixe	antefix
anxiété	ångest
anéantir	förinta
anémie	anemi
anémique	anemisk
anémomètre	anemometer
anémone	sippa
anémone de mer	anemon
anémone sylvie	vitsippa
août	augusti
apadana	apadana
apathique	apatisk
apatite	apatit
apatride	statslös
aphasie	afasi
aphorisme	aforism
aphrodisiaque	afrodisiakum
apiculteur	biodlare
apitoiement	medlidande
apnée du sommeil	sömnapné
apocalypse	apokalyps
apocalyptique	apokalyptisk
apomixie	apomixis
apostat	apostat
apostolique	apostolisk
apostrophe	apostrof
apostropher	apostrofera
apothicaire	apotekare
apparaître	visa sig
appareil	murförband
appareil des moines	munkförband
appareil photo	kamera
apparence	utseende
appartement	lägenhet
appartenir	tillhöra
appauvrir	utarma
appel d’offres	anbudsinfordran
appeler	ropa
appendice	bihang
appendicectomie	appendektomi
applaudir	applådera
application	flit
applique	väggbelysning
appliquer	använda
appontement	brygga
apporter	komma med
apporter de l’eau au moulin de	få vatten på sin kvarn
apposer	anbringa
apprendre	lära sig
approchable	tillgänglig
approchant	liknande
approcher	komma närmare
approuver	godkänna
approximativement	ungefär
approximer	approximera
apprécier	uppskatta
apprêter	rusta sig
appui	stöd
appuyer	stödja
appât	agn
appétit	aptit
après Jésus-Christ	e.Kr.
après coup	efteråt
après la pluie, le beau temps	efter regn kommer solsken
après-demain	övermorgon
après-midi	eftermiddag
après-rasage	rakvatten
apsara	apsaras
aptitude	fallenhet
aptonyme	aptonym
apôtre	apostel
aquaculture	akvakultur
aquaplaning	vattenplaning
aquaponie	akvaponik
aquarelle	akvarell
aquarelliste	akvarellist
aquarium	akvarium
aquatique	vattenlevande
aqueduc	akvedukt
ara	ara
ara bleu	blågul ara
ara de Buffon	större soldatara
ara de Coulon	blåhuvad ara
ara de Lafresnaye	rödpannad ara
ara de Lear	indigoara
ara de Spix	Spixara
ara d’Illiger	blåvingad ara
ara hyacinthe	hyacintara
ara macavouanne	rödbukad ara
ara militaire	mindre soldatara
ara noble	rödskuldrad ara
ara rouge	röd ara
ara vert	dvärgara
ara à ailes vertes	grönvingad ara
ara à collier jaune	gulnackad ara
ara à gorge bleue	blåstrupig ara
arabe	arabisk
arabe	arabiska
arabesque	arabesk
arabique	arabisk
arabiser	arabisera
arachibutyrophobie	arachibutyrofobi
arachnophobie	araknofobi
araignée	spindel
araire	årder
araméen	arameiska
arbitraire	godtycklig
arbitraire	godtycke
arboriste	arborist
arbousier	smultronträd
arbre	träd
arbre binaire	binärträd
arbre de Noël	julgran
arbre fruitier	fruktträd
arbre à gentiane	himmelsöga
arbrisseau	buske
arbuste	buske
arc	pilbåge
arc de triomphe	triumfbåge
arc électrique	ljusbåge
arc-en-ciel	regnbåge
archange	ärkeängel
archaïque	arkaisk
arche	valv
archet	stråke
archevêché	ärkebiskopsdöme
archevêque	ärkebiskop
archidiocèse	ärkebiskopsdöme
archilexème	hyperonym
archipel	arkipelag
archiplein	knökfull
architecte	arkitekt
architectural	arkitektonisk
architecture	arkitektur
archivage	arkivering
archiver	arkivera
archiviste	arkivarie
archéologie	arkeologi
archéologique	arkeologisk
archéologiquement	arkeologiskt
archéologue	arkeolog
archéométrie	arkeometri
archétype	arketyp
archétypique	arketypisk
arctique	arktisk
ardeur	iver
ardoise	skiffer
are	ar
argent	silver
argent	pengar
argent sale	svarta pengar
argentin	argentinsk
arghel	ballongsidenört
argile	lera
argon	argon
argot	slang
argument	argument
aria	aria
arianisme	arianism
arionidé	skogssnigel
aristocrate	aristokrat
aristocratie	aristokrati
arithmétique	aritmetisk
arithmétique	aritmetik
arlequin plongeur	strömand
arme	vapen
arme chimique	kemiskt vapen
arme de destruction massive	massförstörelsevapen
arme de poing	handeldvapen
arme du crime	mordvapen
arme nucléaire	kärnvapen
arme à double tranchant	tveeggat svärd
arme à feu	eldvapen
armer	armera
armes parlantes	talande vapen
armillaire couleur de miel	honungsskivling
armistice	vapenvila
armoire	skåp
armoiries	vapen
armoise	malört
armoise champêtre	fältmalört
armoise commune	gråbo
armé jusqu’aux dents	beväpnad till tänderna
armée	armé
armée de l’air	flygvapen
arménien	armenisk
arménien	armeniska
arnica des montagnes	slåttergubbe
arobase	snabel-a
aromathérapie	aromaterapi
aronde	svala
aronie	aronia
arrachement	utryckande
arracher	upprycka
arranger	arrangera
arrestation	häkte
arrhes	handpenning
arrimer	surra
arrivage	ankomst
arriver	komma med båt
arrivée	ankomst
arrière-bras	överarm
arrière-petit-enfant	barnbarnsbarn
arrière-petit-fils	barnbarnsbarn
arrobe	snabel-a
arroche	målla
arrogant	arrogant
arrondir	runda
arrosoir	vattenkanna
arrêt de bus	busshållplats
arrêt de mort	dödsdom
arrêter	anhålla
arrêts de jeu	stopptid
arsenic	arsenik
arsénique	arsenik
arséniure de gallium	galliumarsenid
arsénopyrite	arsenikkis
art	konst
art académique	akademisk konst
art martial	kampsport
art pariétal	grottmålning
art préhistorique	förhistorisk konst
art roman	romansk stil
arte povera	arte povera
arthrite	gikt
arthropode	leddjur
artichaut	kronärtskocka
article	artikel
article indéfini	obestämd artikel
articulation	artikulation
articuler	artikulera
artificiel	artificiell
artificieux	slug
artisan	skapare
artisanat	konsthantverk
artiste	artist
artistique	artistisk
artère	artär
artérite	arterit
aryen	arisk
arène	sand
arête	fiskben
as	äss
asbeste	asbest
ascenseur	hiss
ascite	ascites
asclépiade	sidenört
ascète	asket
ascétique	asketisk
asexualité	asexualitet
asiatique	asiatisk
aspartame	aspartam
aspect	åsyn
asperge	sparris
asperger	bestänka
aspergillose	aspergillos
asphalte	jordbeck
asphalter	asfaltera
asphyxie	asfyxi
asphyxier	kväva
aspirateur	dammsugare
aspirer	längta efter
aspérule odorante	myskmadra
assaillant	anfallande
assaillant	angripare
assaillir	anfalla
assaisonnement	krydda
assassinat	attentat
assassiner	mörda
assaut	angrepp
asseoir	sätta
asservir	förslava
asservissement	slaveri
assez	ganska
assidu	flitig
assiette	tallrik
assignable	bestämbar
assignation	stämning
assigner	stämma
assimilable	assimilerbar
assistant numérique personnel	handdator
assiéger	belägra
associatif	associativ
association	association
associer	associera
assoiffé	törstig
assortir	passa ihop
assourdir	bedöva
assujettir	betvinga
assurance	försäkring
assurance auto	bilförsäkring
assurance-chômage	arbetslöshetsförsäkring
assurer	skydda
assyriologie	assyriologi
astate	astat
aster	aster
asthmatique	astmatisk
asthmatique	astmatiker
asthme	astma
asthénie	kraftlöshet
asthénique	kraftlös
asthénosphère	astenosfär
astigmatisme	astigmatism
astrance	stjärnflocka
astreindre	påtvinga
astrild	astrild
astrild abyssinien	ockrabröstad astrild
astrild barbe-rousse	jemenastrild
astrild de Kandt	Kandtastrild
astrild de Sao Tomé	mopaneastrild
astrild des fées	savannastrild
astrild du Niger	Nigerastrild
astrild nonnette	nunneastrild
astrild ondulé	helenaastrild
astrild queue-de-vinaigre	lavendelastrild
astrild à croupion rose	rödgumpad astrild
astrild à joues noires	svartkindad astrild
astrild à joues orange	orangekindad astrild
astrild à masque noir	svartmaskad astrild
astrild à moustaches	snårastrild
astrild à poitrine fauve	sumpastrild
astrild à queue noire	svartstjärtad astrild
astrild à tête noire	svarthätteastrild
astrild à ventre jaune	grönryggig astrild
astrobiologie	astrobiologi
astrocyte	astrocyt
astrolabe	astrolabium
astrologie	astrologi
astrologique	astrologisk
astrologue	stjärntydare
astronaute	rymdpilot
astronome	astronom
astronomie	astronomi
astronomique	astronomisk
astrophysicien	astrofysiker
astrophysique	astrofysikalisk
astrophysique	astrofysik
astucieux	slug
astérie	sjöstjärna
astérisque	asterisk
astéroïde	asteroid
asymptote	asymptot
asymptotique	asymptotisk
atavisme	atavism
atchoum	attjo
atelier	verkstad
athlétique	atletisk
athlétisme	friidrott
athée	ateistisk
athée	ateist
athéisme	ateism
athénien	atensk
athérine	prästfisk
athérure	kvastpiggsvin
atlantique	atlantisk
atlas	atlasspinnare
atmosphère	stämning
atmosphérique	atmosfärisk
atole	atolli
atoll	atoll
atome	atom
atopie	atopi
atout	trumf
atrichie	sågmossa
atroce	grym
atrophie	atrofi
atrophier	atrofiera
atropine	atropin
attachant	lockande
attacher	fästa
attaché	attaché
attagène des pelleteries	pälsänger
attaquable	angriplig
attaquant	angripande
attaquant	angripare
attaque	kritik
attaquer	anfalla
atteindre	ernå
attendre	förvänta
attendrir	beveka
attendrisseur	köttklubba
attentat	attentat
attentat-suicide	självmordsattentat
attente	förväntan
attenter	förgripa sig
attentif	uppmärksam
attention	väntan
attentionné	omtänksam
atterripage	landningssida
atterrir	landa
atterrissage	landning
atterrisseur	landställ
attester	attestera
attirant	lockande
attirer	locka
attitude	hållning
attractif	attraktiv
attrait	behag
attrayant	tilldragande
attribut	Attribut
attristant	bedrövlig
attrister	bedröva
attroupement	folkskockning
atypique	atypisk
au diable Vauvert	där pepparn växer
au fait	förresten
au fur et à mesure	efterhand
au fur et à mesure que	allt eftersom
au hasard	på måfå
au lieu de	i stället för
au moins	åtminstone
au moment où	i samma stund som
au nom du Père et du Fils et du Saint-Esprit	i Faderns och Sonens och Den Heliga Andens namn
au pis aller	i värsta fall
au premier abord	i förstone
au préalable	på förhand
au revoir	hej då
au secours	hjälp
au violon	bakom lås och bom
au-dehors	utanför
au-delà	bortom
au-devant	mot
aube	gryning
auberge	värdshus
auberge de jeunesse	vandrarhem
auberge espagnole	knytkalas
aubergine	äggplanta
aubergiste	värd
aubépine	hagtorn
aucun	ingen
aucunement	ingalunda
audace	djärvhet
audacieux	djärv
audibilité	hörbarhet
audience	auditorium
audiogramme	audiogram
auditeur	hörare
auditoire	auditorium
auditorium	auditorium
augmentatif	augmentativ
augmentation	förhöjning
augmenter	förstora
aujourd’hui	idag
aulne	al
aulos	aulos
aumône	allmosa
aumônier	kaplan, institutionspräst
aune	aln
auparavant	förut
aurichalcite	aurikalcit
auriculaire	öron-
auriculaire	lillfinger
auricule	ytteröra
aurore	aurorafjäril
aurore australe	sydsken
aurore boréale	norrsken
aurore polaire	polarsken
auréoline	aureolin
ausculter	auskultera
aussi	lika
aussitôt	genast
aussitôt dit, aussitôt fait	sagt och gjort
aussitôt que	så snart som
australien	australisk
austérité	stränghet
autel	altare
auteur	författare
authenticité	autenticitet
authentique	autentisk
autisme	autism
autiste	autistisk
autiste	autist
auto	bil
auto-mutilation	självskadebeteende
auto-stoppeur	liftare
auto-tamponneuse	radiobil
autobiographie	självbiografi
autobiographique	autobiografisk
autobus	buss
autochenille	halvbandvagn
autodidacte	autodidaktisk
autodidacte	autodidakt
autodéfense	självförsvar
autoentrepreneur	egenföretagare
autogestion	självförvaltning
autogire	autogiro
autologique	autologisk
automagique	automagisk
automate	automat
automatique	automatisk
automatisation	automatisering
automatiser	automatisera
automnal	höst-
automne	ålderdom
automobile	bil
automobilisme	automobilism
automobiliste	bilist
automutilation	självskadebeteende
autophagie	autofagi
autophobie	autofobi
autopollinisation	självpollinering
autoportrait	självporträtt
autopsie	obduktion
autorisation	tillåtelse
autoriser	auktorisera
autorité	myndighet
autoroute	motorväg
autoréparation	självreparation
autostoppeur	liftare
autour	hök
autour australien	brun duvhök
autour blanc	grå duvhök
autour bleu et gris	blågrå hök
autour chanteur	blek sånghök
autour de Bürgers	rostskuldrad hök
autour de Doria	Dorias hök
autour de Henst	madagaskarduvhök
autour de Mayr	prinshök
autour de Meyer	Meyers duvhök
autour de Toussenel	rödbröstad duvhök
autour des Célèbes	sulawesiduvhök
autour des Fidji	fijihök
autour des Moluques	moluckduvhök
autour des palombes	duvhök
autour gabar	gabarhök
autour huppé	tofsduvhök
autour imitateur	härmhök
autour noir	svart duvhök
autour pie	skathök
autour rouge	rödhök
autour sombre	mörk sånghök
autour tachiro	afrikansk duvhök
autour unibande	ödlehök
autour variable	variabel duvhök
autour à ailes grises	östlig sånghök
autour à flancs roux	rödsidig hök
autour à longue queue	långstjärtad hök
autour à manteau noir	svartmantlad hök
autour à tête grise	gråhuvad hök
autour à ventre blanc	nykaledonsk hök
autour à ventre gris	gråbukig hök
autre	annan
autrefois	fordom
autrement	annorlunda
autrement dit	med andra ord
autrice	författarinna
autrichien	österrikisk
autruche	struts
autunite	autunit
auxiliaire	hjälpverb
avachissement	slapphet
aval	nedströms
avalanche	skur
avaler	svälja
avance	försprång
avancer	avancera
avant	före
avant que	förrän
avant tout	framförallt
avant-bras	underarm
avant-dernier	näst sist
avant-garde	förtrupp
avant-gardisme	avantgardism
avant-gardiste	avantgardistisk
avant-gardiste	avantgardist
avant-hier	i förrgår
avant-midi	förmiddag
avant-plan	förgrund
avant-veille	förrgår
avantage	fördel
avantageux	förmånlig
avare	njugg
avarice	girighet
avaricieux	girig
avarie	haveri
avec	med
avec plaisir	med glädje
aventure	äventyr
aventurer	äventyra
avenue	aveny
averse	skur
avertir	varna
avertissement	varning
avertisseur	bilhorn
aveu	bekännelse
aveugle	blind
aveugler	förblinda
aveuglément	blindvis
aviation	luftfart
avide	lysten
avifaune	fågelbestånd
avion	flygplan
avion de chasse	jaktflygplan
avion de ligne	passagerarflygplan
aviron	åra
avis	mening
aviso	aviso
avisé	klok
avocat	advokat
avocette élégante	skärfläcka
avoine	havre
avoine élevée	Knylhavre
avoir	förmögenhet
avoir	ha
avoir besoin de	behöva
avoir du sens	gå ihop
avoir envie	ha lust
avoir hâte	se fram emot
avoir la gueule de bois	bakfylla
avoir le dernier mot	få sista ordet
avoir le verbe haut	tala i en hög ton
avoir lieu	äga rum
avoir maille à partir	ha en gås oplockad
avoir mal	ha ont
avoir toujours un pied en l’air	jämt vara i farten
avoir une brioche au four	ha en bulle i ugnen
avoir une dent contre	ha ett horn i sidan till någon
avoir une faim de loup	hungrig som en varg
avortement	abort
avorter	göra abort
avorteur	abortör
avouer	tillstås
avril	april
axinite	axinit
axiologie	axiologi
axiome	axiom
axion	axion
axis	tappkota
aye-aye	fingerdjur
aymara	aymara
ayran	ayran
azerbaïdjanais	azerbajdzjansk
azerbaïdjanais	azerbajdzjanska
azimut	asimut
azote	kväve
azote liquide	flytande kväve
azurite	azurit
azéri	azerisk
azéri	azeriska
aérien	luft-
aérobus	luftdroska
aérodrome	flygfält
aérogel	aerogel
aéroglisseur	svävare
aérographe	airbrush
aéronef	luftfarkost
aéronef ultraléger motorisé	ultralätt flyg
aérophobie	aerofobi
aéroport	flygplats
aérostat	luftballong
aïe	aj
aïeule	farmor
aïkido	aikido
aïoli	aioli
babillage	babbel
babiller	snacka
babiole	lappri
babiroussa	hjortsvin
babouin	babian
baby-foot	bordsfotboll
baby-sitter	barnvakt
babylonien	babylonisk
babyphone	babymonitor
bac	färja
bac à sable	sandlåda
bac à sel	vägsand
bachelier	abiturient
bachoter	plugga
bacille	bacill
bacon	bacon
bactérie	bakterie
bactériologie	bakteriologi
bactériologique	bakteriologisk
bactériologiquement	bakteriologiskt
bactériologiste	bakteriolog
bactériologue	bakteriolog
badauder	gapa
badinage	fars
badine	spö
badiner	skoja
badminton	badminton
bafouer	håna
bagage	bagage
bagarre	tumult
bagatelle	sex
bagnole	fordon
bague	ring
baguenaudier	blåsärt
baguer	ringmärka
baguette	baguette
baguette magique	trollstav
bahaméen	bahamansk
baht	baht
baie	bär
baie d’Hudson	Hudson Bay
baigner	bada
baignoire	badkar
baiji	asiatisk floddelfin
bail	arrende
bailler	ge
bain	bad
bain de sang	blodbad
bain de soleil	solbad
baise	knull
baiser	kyss
baiser	kyssa
baisser	avtaga
baklava	baklava
bakélite	bakelit
bal	bal
balafon	balafon
balafre	ärr
balai	kvast
balalaïka	balalajka
balance commerciale	handelsbalans
balancer	balansera
balançoire	gunga
balayer	sopa
balayeur	avsökare
balbutier	stamma
balbuzard d’Australie	australisk fiskgjuse
balbuzard pêcheur	fiskgjuse
balcon	balkong
baldaquin	baldakin
baleine	val
baleine bleue	blåval
baleine boréale	grönlandsval
baleine franche de l’Atlantique Nord	nordkapare
baleine grise	gråval
baleine pygmée	dvärgrätval
baleine à bec commune	dögling
