Afrika	Africa
gyttja	mud
gädda	pike
gäl	gill
gälla	be worth
gärd	proof
gärna	voluntary
gärning	achievement
gäspa	gape
gäst	guest
gästfri	hospitable
gästgivargård	hostel
gästvänlig	hospitable
gästvänskap	hospitality
gök	cuckoo
gömma	conceal
göra	achieve
göra bekantskap med	make ... acquaintance
göra besviken	disappoint
göra konkurs	be bankrupt
gördel	belt
görlig	achievable
gå	go
gång	occasion
gångbana	pavement
gångbar	passable
gångjärn	hinge
gård	estate
gårdstomt	court
gås	goose
gåta	enigma
gåva	gift
ha	have
hackspett	woodpecker
hagel	hail
haj	shark
haka	chin
hake	hook
hal	slippery
hala	fetch
halkig	slippery
hall	hall
hallon	raspberry
halm	straw
hals	neck
halsband	necklace
halstra	roast
halta	limp
halv	half
halvdager	dusk
halvklot	hemisphere
halvö	peninsula
hammare	hammer
hamn	harbor
hampa	hemp
hamra	hammer
han	he
hand	hand
handel	business
handelsbod	boutique
handelsman	merchant
handla	do business
handled	wrist
handling	achievement
handlov	wrist
handlove	wrist
handske	glove
handväska	hand‐bag
hans	his
hare	hare
harem	harem
harm	offence
harmas	be indignant
harmlig	indignant
harmoni	harmony
harmoniera	accord
harmonika	harmonica
harpa	harp
hart	quite
harva	harrow
hassel	hazel
hasselnöt	hazelnut
hast	haste
hastig	hurried
hastighet	speed
hastighetsgräns	speed‐limit
hat	hate
hata	hate
hatt	hat
hav	sea
hava	have
havande	pregnant
haveri	damage
havre	oats
ha ett förhållande med	associate with
ha fest	celebrate
ha födelsedag	celebrating one's birthday
ha förtroende för	have faith
ha medlidande	have compassion on
ha medlidande med	have compassion on
ha otur	have bad luck
ha respekt för	respect
ha tur	be lucky
hed	heath
heder	honor
hederlig	honorary
hedning	pagan
hednisk	pagan
hedra	honor
hej	hello
hejdlös	absolute
hejsan	hello
hej då	adieu
hej så länge	bye
hektoliter	hectolitre
hel	entire
hela	cure
helgedom	sanctuary
helgon	saint
helig	holy
hellre	preferably
helvete	hell
hem	home
hemgift	dowry
hemland	fatherland
hemlig	secret
hemma	at home
hemsk	alarmed
hemtrevlig	homy
hemåt	home
hennes	her
herr	Mister
herre	gentleman
herrskap	ladies and gentlemen
hertig	duke
hertigdöme	duchy
hertiginna	duchess
hes	hoarse
het	hot
heta	call
hetta	heat
hicka	hiccup
himlakropp	heavenly body
himmel	heaven
himmelsk	celestial
hind	doe
hinder	obstacle
hindra	bar
hingst	stallion
hink	bucket
hisklig	agonizing
hiss	elevator
hissa	lever
historia	story
historiett	anecdote
hit	here
hitta	find
hjort	deer
hjul	wheel
hjulaxel	axis
hjälm	helmet
hjälp	aid
hjälpa	accomodate
hjälpare	aid
hjälplös	helpless
hjälte	hero
hjältemodig	heroic
hjältinna	heroine
hjärna	brain
hjärta	heart
hjärtlig	hearty
hjässa	skull
hojta	cry out
holländare	Dutchman
holländsk	Dutch
hon	her
honnör	honor
honorar	fee
honung	honey
hop	accumulation
hopp	hope
hoppa	jump
hoppas	hope
hopplös	abysmal
hora	hooker
horisont	horizon
horisontal	horizontal
horn	horn
hos	at
hospital	insane asylum
hosta	cough
hot	menace
hota	menace
hotell	hotel
hotelse	menace
hov	hoof
hovjärn	horseshoe
hud	skin
hugg	blow
hugga	chop
huggorm	adder
hugskott	caprice
humla	bumblebee
hummer	lobster
humor	humor
humoristisk	humourous
humör	humour
hund	dog
hundra	hundred
hunger	hunger
hungersnöd	famine
hungra	be hungry
hungrig	hungry
hurra	hurray
hus	house
husdjur	domestic animal
husnummer	number
husockupant	squatter
hustru	wife
husägare	house‐owner
huv	cap
huvud	head
huvudgärd	pillow
huvudled	major road
huvudskål	skull
huvudstad	capital
huvudvärk	headache
hvit	white
hydda	cabin
hyena	hyaena
hyende	cushion
hygien	hygiene
hygienisk	hygienic
hymn	anthem
hypnos	hypnosis
hypnotisera	hypnotize
hypnotisör	hypnotist
hypotek	mortgage
hypotes	hypothesis
hypotetisk	hypothetical
hyra	hire
hyra ett rum	live in lodgings
hyrbil	taxi
hyresgäst	renter
hyreskontrakt	lease
hysa	conceal
hysteri	hysteria
hysterisk	hysterical
hytt	cabin
hyvel	plane
hyvla	abrade
häck	hedge
häcka	incubate
häda	slander
hädare	blasphemer
hädelse	blasphemy
häger	heron
hägna	fence off
häkta	clasp
häkte	apprehension
häl	heel
hälft	half
häll	tile
hälla	pour
hälsa	greet
hälsning	greeting
hämna	avenge
hämnd	revenge
hända	come about
händelse	chance
händelsevis	by accident
hänförelse	alacrity
hänga	droop
hänga upp	hang
hängsle	hinge
hänsyftning	allusion
häntydning	allusion
här	army
härska	control
härskare	ruler
härstamma	accrue
häst	horse
hästkraft	horsepower
hästsko	horseshoe
hävda	assert
hävdvunnen	traditional
häxa	witch
häxeri	sorcery
hö	hay
höft	thigh
höghus	apartment building
högvatten	high tide
höjd	height
hök	hawk
hölja	cover
höna	chicken
höns	chicken
höra	hear
hörare	listener
hörsam	obedient
hörsamma	obey
höst	autumn
hösta	harvest
hövlig	courteous
håg	tendency
hågkomst	recollection
hål	hole
hålla	hang onto
hållning	attitude
hån	mockery
håna	jeer at
hår	hair
hård	hard
hårfrisör	barber
hårfrisörska	hairdresser
i	a
ibland	among
icke	not
ideal	ideal
idel	pure
identisk	identical
idiot	idiot
idissla	chew the cud
idol	idol
idrott	sport
idé	idea
ifrån	from
ifylla	fill
igenom	through
igår	yesterday
ihop	together
ihågkomma	recall
illa	bad
illasinnad	adverse
illgärning	crime
illmarig	clever
illusion	illusion
illustrera	illustrate
ilsken	angry
imitera	imitate
imma	steam
in	inwards
inbjuda	invite
inbjudan	invitation
inbjudning	invitation
inbrottstjuv	burglar
inbyggare	inhabitant
indian	Indian
indisk	Indian
individ	individual
individuell	individual
industri	industry
industriell	industrial
inemot	across from
infall	on the occasion of
infanteri	infantry
infektion	infection
infödd	aboriginal
ingalunda	by no means
ingefära	ginger
ingen	neither
ingenjör	engineer
ingenstans	nowhere
ingenstädes	nowhere
ingenting	nothing
inhemsk	aboriginal
initialbokstav	initial
inne	at home
innehava	own
innehåll	contents
inpå	until
inreda	arrange
inredning	accommodation
inregistrera	record
insekt	bug
insjukna	be taken ill
insjö	lake
inspektera	inspect
inspektion	inspection
inspektor	inspector
instifta	erect
instinkt	instinct
instruktion	directions
instrument	agent
inställa	install
inteckning	mortgage
internationell	international
intervall	interval
intervjua	interview
intet	nothing
inte alls	not at all
intill	until
intim	close
intolerant	intolerant
intressant	interesting
intresse	interest
intrig	plot
inträde	entrance
inträdesbiljett	admission ticket
inträffa	come about
invalid	disabled
invandra	immigrate
invit	invitation
invitera	invite
invånare	inhabitant
inälvor	intestines
inöva	exercise
inåt	inwards
irländare	Irishman
irländsk	Irish
irra	roam
is	ice
isberg	iceberg
isländsk	Icelandic
islänning	Icelander
italienare	Italian
italiensk	Italian
i afse	last night
i afton	this evening
i allmänhet	generally
i går	last night
i sänder	at the same time
ja	yes
jacka	jacket
jaga	chase
jaka	affirm
jakt	yacht
jalu	envious
jalusi	envy
januari	January
japanes	Japanese
japanesisk	Japanese
japansk	Japanese
jarl	nobleman
javan	Javanese
javanes	Javanese
javanesisk	Javan
javansk	Javan
jord	ground
jordbeck	asphalt
jordbruk	agriculture
jordbrukare	agrarian
jordbävning	earthquake
jordfästa	bury
jordglob	globe
jordgubbe	strawberry
jordklot	globe
journal	daily paper
journalist	journalist
ju	certainly
jude	Hebrew
judisk	Hebrew
jul	Christmas
juli	July
jungfru	virgin
jungfrulig	virgin
juni	June
just	just
juvel	gem
juvelerare	jeweller
juver	udder
jägare	hunter
jämföra	compare
jämförelse	comparison
jämlik	equal
jämlikt	according as
jämn	even
jämna	even
jämvikt	equilibrium
jänta	girl
järn‐	iron
järn	iron
järnväg	railroad
järnvägståg	train
järv	wolverine
jäst	yeast
jätte	giant
jättelik	gigantic
kabel	cable
kabeljo	cod
kabinett	cabinet
kadaver	cadaver
kaffe	coffee
kafé	café
kaj	platform
kajuta	cabin
kaka	cake
kakao	cocoa
kakel	tile
kaktus	cactus
kalas	celebration
kalasa	celebrate
kalender	calendar
kalk	lime
kalkon	turkey
kall	bleak
kalla	call
kallas	be called
kalv	calf
kamel	camel
kamfer	camphor
kamin	furnace
kamma	comb
kammare	chamber
kamp	action
kampingplats	camping ground
kamrat	buddy
kanadensare	Canadian
kanal	canal
kanapé	couch
kanariefågel	canary
kanhände	maybe
kanin	rabbit
kanna	jug
kannibal	cannibal
kanon	cannon
kanot	canoe
kanske	maybe
kant	side
kaos	chaos
kap	cape
kapital	capital
kapitel	chapter
kappa	cloak
kapprum	cloakroom
kappsäck	trunk
kapris	caprice
kapsyl	capsule
kapten	captain
kaputt	broken
kar	tub
karaff	carafe
karaffin	carafe
karakterisera	characterize
karakterisk	characteristic
karaktär	character
karavan	caravan
karburator	carburettor
karl	fellow
karneval	carnival
karp	carp
karriär	career
kart	unripe fruit
karta	card
kartong	cardboard
kasematt	bunker
kasern	barracks
kasino	casino
kaskad	waterfall
kasko	hull
kassa	cashier's stand
kassör	cashier
kasta	throw
kastanje	chestnut
katalog	catalogue
katarr	catarrh
katastrof	catastrophe
kateder	pulpit
katedral	cathedral
kategori	category
katolik	Catholic
katolsk präst	pastor
katt	cat
kautschuk	rubber
kavalleri	cavalry
kaviar	caviar
kedja	chain
kejsardöme	empire
kejsare	emperor
kejsarinna	empress
kela	coddle
kemi	chemistry
kila	run
kilogram	kilo
kilometer	kilometre
kina	cinema
kind	cheek
kines	Chinaman
kinesisk	Chinese
kirurg	surgeon
kirurgisk	surgical
kisel	flint
kista	box
kitt	cement
kiv	quarrel
kjol	skirt
kjortel	skirt
klaga	complain
klagande	accuser
klagomål	accusal
klar	clear
klass	class
klassisk	classic
klav	clef
klen	faint
klentrogen	skeptical
klia	itch
klibba	stick
klicka	abort
klientel	clientèle
klimat	climate
klinga	blade
klinik	clinic
klint	cornflower
klippa	rock
klipsk	clever
kliva	climb
klo	claw
kloak	sewer
klocka	watch
klockarmband	watch
klok	sagacious
klokhet	wisdom
klor	chlorine
klosett	toilet
kloster	monastery
klot	ball
klubb	club
klyftig	clever
klyva	split
klädedräkt	costume
kläder	clothes
klädsel	clothes
klädskåp	clothes‐press
klänning	dress
klättra	climb
klösa	scratch
klöv	hoof
klöver	clover
klå	scratch
klåda	itch
knacka	hit
knaka	crack
knapp	button
knappast	barely
knappnål	pin
knappt	barely
knekt	pawn
knep	subterfuge
knepig	clever
knip	stomach ache
knippa	bunch
knipslug	clever
kniv	knife
knopp	bud
knusslare	miser
knut	knot
knyte	bunch
knä	knee
knäbyxor	short pants
knäck	push
knäcka	break
knåda	knead
ko	cow
kock	cook
kod	code
koffert	trunk
koja	cabin
koka	boil
kokare	kettle
kokerska	cook
kokosnöt	coconut
kol	coal
kollega	colleague
kollegium	college
koloni	colony
kolossal	colossal
koltrast	blackbird
komedi	comedy
komet	comet
komisk	comic
komma	comma
kommande	next
kommando	command
kommendant	commander
kommendera	command
kommissarie	chief of police
kommission	commission
kommitté	committee
kommun	community
kommunikationstabell	schedule
kommunism	communism
kompass	compass
kompetent	able
kompis	friend
komplett	absolute
komplimang	compliment
komplott	conspiracy
komponera	compose
kompositör	composer
koncept	concept
kondition	condition
konditor	confectioner
konditori	confectionery
kondom	condom
konduktör	guard
konfession	acknowledgement
konfiskera	confiscate
konflikt	conflict
konfys	jumbled up
kongress	congress
konjak	brandy
konklusion	conclusion
konkret	concrete
konkurrens	competition
konkurs	bankruptcy
konsert	concert
konservativ	conservative
konservera	conserve
konsonant	consonant
konst	art
konstalster	work of art
konstant	constant
konstapel	policeman
konstföremål	work of art
konstgjord	artificial
konstgrepp	subterfuge
konstnär	artist
konsul	consul
konsulat	consulate
konsultera	consult
kontakt	contact
konto	account
kontor	office
kontrakt	contract
kontramärke	acknowledgement
kontrast	contrast
kontrollant	checker
kontrollera	audit
kontrollör	checker
konung	king
konungarike	kingdom
konungslig	regal
konvalje	lily‐of‐the‐valley
konversation	conversation
kopia	copy
kopiera	copy
kopp	cup
koppar	copper
koppor	smallpox
kor	chorus
kora	choose
korespondera	correspond
korg	basket
kork	cork
korkskruv	corkscrew
korn	grain
korrekt	correct
korrigera	correct
kors	cross
korsord	crossword puzzle
korstfästa	crucify
kort	card
kortsynt	near‐sighted
korv	sausage
kosa	direction
kosta	cost
kostbar	dear
kostnadsfri	free
kostym	costume
kotlett	cutlet
krabba	crab
krafsa	scratch
kraft	force
kraftfull	strong
kraftig	strong
krage	collar
kram	barn
krama	embrace
krambod	bazaar
kran	crane
krasch	ado
krasse	nasturtium
kratta	rake
kredit	credit
krets	district
krig	war
kriga	make war
krigare	warrior
krigisk	martial
kriminal	criminal
kring	about
kringgå	avoid
kris	crisis
kristall	crystal
kristen	Christian
kristendom	Christianity
kristlig	Christian
kristna	baptize
kristning	baptism
krita	chalk
kritik	criticism
krok	bend
krokig	bent
krokodil	crocodile
krom	chromium
kronärtskocka'ärtskocka	artichoke
kropp	body
kroppslig	bodily
krossa	crush
kruka	jug
krumbukt	bend
krusbär	gooseberry
krut	gunpowder
kry	cheerful
kryp	bug
krypa	crawl
kräfta	cancer
kräkas	throw up
kräla	crawl
kräldjur	reptile
kräm	cream
krönika	chronicle
kröning	coronation
kråka	crow
kub	cube
kudde	cushion
kula	bullet
kulle	hill
kultur	culture
kund	client
kung	king
kungarike	kingdom
kunskap	acquaintance
kunskapare	spy
kupong	coupon
kupé	compartment
kurry	curry
kurs	class
kurva	bend
kusin	cousin
kust	coast
kvadrat	square
kvadratmeter	square metre
kvalitet	property
kvart	quarter of an hour
kvarter	district
kvast	broom
kvicksilver	mercury
kvinna	woman
kvinnlig	female
kvist	bough
kvitto	acknowledgement
kväll	evening
kväve	nitrogen
kyckling	chick
kyffe	den
kypare	waiter
kyrka	church
kyrkogård	cemetery
kyrkoherde	pastor
kysk	chaste
kyss	kiss
kyssa	kiss
käft	jaws
källare	basement
kämpa	fight
känd	well‐known
känguru	kangaroo
känna	be acquainted with
kännedom	acquaintance
känsla	emotion
kär	dear
kärlek	affection
kärna	core
kärr	marsh
kärv	acerbic
kättare	heretic
kätteri	heresy
kö	file
kök	kitchen
köksa	cook
köl	keel
köld	cold
kön	sex
köpare	buyer
köpesumma	purchase money
köping	town
körkort	driving‐licence
körsbär	cherry
kött	flesh
kål	cabbage
laboratorium	laboratory
lada	depository
ladda	burden
lag	law
lam	lame
lamm	lamb
lampa	lamp
land	country
landkarta	map
landsbo	countryman
landsbygd	country
landskap	landscape
landsmål	dialect
landsort	country
lans	lance
lantbruk	agriculture
lantbrukare	agrarian
lapp	Laplander
lappländsk	Lapp
lapsk	Lapp
larm	alarm
larma	make a noise
larv	grub
lasta	burden
lastbil	lorry
lat	lazy
latinläroverk	high school
lav	moss
lava	lava
lavin	avalanche
lax	salmon
laxativ	laxative
le	smile
ledsen	dismal
leende	smile
lega	hire
legation	legation
legend	legend
legering	alloy
legitimera	legitimize
leja	hire
lejon	lion
lek	game
leka	play
lekamen	body
lekamlig	bodily
lekman	layman
leksak	toy
lekskola	nursery school
lektion	lesson
lektor	instructor
lektyr	reading matter
lem	limb
len	soft
lena	soften up
ler	clay
lera	clay
leta	look for
leva	be alive
levande	alive
lever	liver
leverans	delivery
leverera	deliver
leverkorv	liver sausage
levnad	life
liberal	liberal
lida	abide
lie	scythe
ligga	lie
lik	equal
likafullt	but
lika ... som	as ... as
likfärd	mourning
likgiltig	immaterial
likhet	resemblance
likkista	coffin
likna	compare
liknande	like
liknelse	comparison
liknöjd	immaterial
liktorn	corn
likvid	payment
likör	liqueur
lilja	lily
liljekonvalje	lily‐of‐the‐valley
lim	glue
limma	glue
limonad	lemonade
lin	flax
lina	cord
lind	lime‐tree
linjal	ruler
linje	line
lins	lens
lisma	flatter
lita på	rely on
lite	a little
liten	tiny
liter	liter
litet	a little
litteratur	literature
liv	life
livaktig	adroit
livbåt	life‐boat
livlig	adroit
livmoder	uterus
livräddningsbåt	life‐boat
ljud	sound
ljuda	sound
ljudelig	loud
ljudlig	loud
ljuga	lie
ljum	lukewarm
ljus	blond
lo	lynx
lockande	attractive
lodjur	lynx
loft	attic
logik	logic
lojal	faithful
lok	engine
lokal	local
lokomotiv	engine
longitud	longitude
loppa	flea
lotsa	pilot
lotteri	lottery
lova	commend
lovsång	anthem
luft	air
luftkrets	atmosphere
lunga	lung
lupin	lupine
lura	cheat
lus	louse
lutter	clean
luttra	clean
lyceum	lyceum
lycka	happiness
lycklig	fortunate
lyda	obey
lydig	obedient
lyssna	listen
lyte	absence
lyx	luxury
läcker	nice
läder	leather
läderlapp	bat
lägenhet	apartment
läger	camping ground
lägga	lay
läkare	doctor
läkemedel	drug
lämna	abandon
län	fief
längd	length
länge	a long time
längtan	desire
längta efter	ache
läpp	lip
lära	learn
lärare	instructor
lärarinna	teacher
lärka	lark
lärkträd	larch
läsa	read
läskpapper	blotter
läslig	legible
lätt	easy
lätta	facilitate
lättad	relieved
lättnad	relief
läxa	lesson
lödder	foam
löfte	affirmation
lögn	lie
löjlig	ridiculous
löjtnant	lieutenant
lök	onion
lön	salary
löngivare	employer
lönn	maple
lönnlig	secret
löntagare	employee
löpa	march
lördag	Saturday
löv	foliage
låda	drawer
låg	low
låga	flame
låna	borrow
låna av	lend
lång	long
långfredag	Good Friday
långsam	slow
lår	box
lås	lock
låsa	lock
låt	melody
låta	sound
låtsas som om	feign
madrass	mattress
magasin	warehouse
mage	stomach
magisk	magical
magknip	stomach ache
magnet	magnet
magnetisk	magnetic
maj	May
majbagge	june bug
major	major
majs	corn
maka	wife
make	husband
makrill	mackerel
makt	ability
malajisk	Malay
malm	ore
malt	malt
mamma	mam
man	husband
mandarin	tangerine
mandel	almond
mandom	courage
mandråp	murder
maner	manner
manet	jelly‐fish
mangrant	all
maning	admonition
manlig	male
manöver	maneuver
mara	nightmare
margarin	margarine
marin	navy
mark	territory
marknad	market
marmelad	jam
marmor	marble
mars	March
marschall	torch
marter	torture
martera	agonize
martyr	martyr
mask	mask
maskin	engine
massiv	massive
mast	mast
mat	food
matematik	mathematics
materia	matter
material	data
materiell	material
matlust	appetite
maträtt	food
matsedel	menu
maxiumum	maximum
med	with
medalj	medal
medborgare	citizen
medbringa	bring along
meddela	advertise
meddelande	ad
medeltal	average
medeltida	Middle Ages
medge	admit
medicin	drug
medlidande	compassion
medljud	consonant
medverka	cooperate
medvetande	awareness
medvetslös	unconscious
meja	cut
mejsel	chisel
mellan	among
melodi	melody
melon	melon
men	but
mena	mean
mening	sentence
menlig	adverse
mer	more
mera	more
merendels	ordinarily
mes	titmouse
mest	most
metall	metal
meter	metre
metkrok	hook
metod	method
metspö	fishing rod
mexikan	Mexican
mickel	fox
mikroskop	microscope
mil	mile
mild	gentle
militär	warrior
miljon	million
million	million
min	my
mina	mine
minderårig	under age
mindretal	minority
mineral	mineral
minesslö	forgetful
minister	minister
ministär	ministry
minnas	recall
minne	memory
minnesmärke	monument
minnesvård	monument
minut	minute
missa	miss
missakta	despise
missbelåten	discontented
missbilliga	condemn
missbruk	abuse
missdåd	crime
missförhållande	abuse
missförstånd	misunderstanding
misskund	compassion
missnöjd	discontented
missräkning	disappointment
misstag	aberration
misstanke	suspicion
misstro	distrust
misstroende	suspicion
misstrogen	suspicious
misströsta	despair
misströstan	despair
mist	fog
mista	lose
mistaga sig	err
mista sig	err
mitt	my
mjuk	soft
mjäll	dandruff
mjöl	flour
mjölk	milk
mjölka	milk
mjölnare	miller
mod	mood
modell	model
moder	mother
modern	modern
mogen	mature
mogna	ripen
mohammedan	Mohammedan
molekyl	molecule
moln	cloud
momang	instant
moment	instant
monopol	monopoly
monster	monster
montera	assemble
monument	monument
moped	moped
mor	mother
moras	marsh
morbroder	uncle
morbror	uncle
mord	murder
morfar	maternal grandfather
morfin	morphia
morföräldrar	grandparents
morgift	antidote
morgon	morning
mormoder	grandfather
mormon	Mormon
mormor	grandmother
morot	carrot
moské	mosque
mossa	moss
moster	aunt
mot	across from
motgift	antidote
motiv	account
motor	engine
motorcykel	motorcycle
motsats	antithesis
motsatt	adverse
mudder	mud
mula	mule
mullvad	mole
multiplicera	multiply
mulåsna	hinny
mumie	mummy
mun	mouth
munk	monk
mur	wall
mura	build
murare	mason
murgröna	ivy
mus	mouse
musa	muse
museum	museum
musik	music
musikalisk	musical
musikant	musician
musiker	musician
muskel	muscle
mussla	mussel
mustasch	moustache
mycket	quite
mygga	gnat
myndig	adult
mynt	coin
mynta	mint
myra	ant
mysa	smile
mysterium	mystery
mysteriös	abstruse
mystisk	mystic
myt	myth
mäklare	broker
mäkta	be able to
mäktig	powerful
mängd	accumulation
människa	man
mänsklig	human
mänsklighet	human race
märka	notice
märklig	noteworthy
märkvärdig	noteworthy
mässing	brass
mässling	measles
mästare	boss
mästarinna	mistress
mästerman	hangman
mätt	full
mätta	be full
mö	girl
möbel	piece of furniture
möblemang	furniture
möblera	furnish
möblerad	furnished
möda	effort
mödosam	difficult
mögel	mold
mögla	get mouldy
möjlig	possible
mönster	sample
mör	soft
mörda	murder
mördare	murderer
mörker	darkness
mössa	cap
möta	come across
mötas	meet
möte	meeting
må	have to
måg	son‐in‐law
måhände	maybe
måla	paint
målare	painter
målning	painting
måltid	meal
månad	month
måndag	Monday
måne	moon
många	many
mård	marten
mås	seagull
måse	seagull
måste	have to
nackdel	disadvantage
nacke	back of the neck
nafta	crude oil
nagel	nail
nagelborste	nail‐brush
naiv	naïf
naken	bare
nalkas	advance
namn	appellation
namnteckning	signature
nappa	bite
nappflaska	baby's bottle
narciss	daffodil
narr	fool
narra	cheat
narri	gag
nation	nation
nationalitet	nationality
nationell	national
natt	night
nattfjäril	moth
natur	nature
naturgas	natural gas
naturlig	natural
nazist	Nazi
ned	down
nedan	below
nederlag	defeat
nederländare	Dutchman
nederländsk	Dutch
nedrig	abject
nedsmutsa	soil
nedstämd	depressed
nedsvärta	slander
nedvänd	down
negativ	negative
neger	Negro
nej	no
nejlika	carnation
neka	deny
ner	down
nere	below
nerv	nerve
nervös	agitated
nesa	shame
neutral	impartial
nickel	nickel
niding	cheat
nie	nine
nio	nine
nionde	ninth
nisch	niche
nitti	ninety
nittio	ninety
nitton	nineteen
nittonde	nineteenth
nivå	level
njugg	avaricious
njure	kidney
njuta	be glad
noga	accurate
noll	nought
nolla	naught
nord	north
nordisk	Scandinavian
nordlig	northern
normal	normal
norr	northern
norra	northern
norra om	above
norrman	Norwegian
norrut	north
norr om	above
norsk	Norwegian
noshörning	rhino
nota	account
notera	note
notisbok	notebook
novell	short story
november	November
nu	at present
nummer	number
nummerplåt	numberplate
nunna	nun
nutida	currently
nuvarande	currently
ny	new
nybörjare	beginner
nyck	caprice
nyckel	key
nyfiken	agog
nymf	nymph
nysa	sneeze
nyss	just
nyttig	advantageous
nyttja	make use of
nyår	New Year
näbb	beak
näckros	waterlily
näktergal	nightingale
nämligen	namely
näppeligen	barely
näpsa	punish
när	when
närhet	nearness
närmaste	next of kin
närsynt	near‐sighted
närvarande	present
närvaro	presence
näsa	nose
näsborr	nostril
nässla	nettle
nästan	almost
näste	den
nät	net
näve	fist
nöjd	contented
nöt	bovine
nötkött	beef
nå	now
nåd	favor
någon	a
någonsin	at some time
någonstans	anywhere
någonstädes	anywhere
någonting	anything
någorlunda	a little
något	anything
nål	needle
nåväl	now
o‐	dis‐
oaktat	but
oaktsam	careless
oangenäm	bleak
oartig	rude
oas	oasis
oavhängig	independant
oavlåtlig	all the time
oavsiktlig	unintentional
obegriplig	inconceivable
obegränsad	absolute
obehaglig	bleak
obekant	unknown
oberoende	independant
objekt	article
oblandad	pure
oblyg	rude
observera	keep
obskur	obscure
ocean	ocean
och	and
också	also
ockupera	overpower
odjur	monster
odräglig	unbearable
oenig	at variance
oenighet	disagreement
oense	at variance
ofall	accident
ofattlig	inconceivable
offensiv	aggressive
offentlig	public
offentliggöra	publish
offert	offer
officer	officer
officiell	official
ofruktbar	barren
ofta	frequently
ofördelaktig	adverse
ofördragsam	intolerant
oförhoppandes	abrupt
oförklarlig	inexplicable
oförmedlad	abrupt
oförmodad	abrupt
oförsynt	rude
ogift	single
ogärning	crime
ogärningsman	criminal
ohederlig	nasty
ohyra	vermin
ohövlig	rude
oklar	indistinct
okokt	raw
oktober	October
oktroj	patent
okysk	lewd
okänd	unknown
olik	different
olika	different
olikhet	difference
oliv	olive
olja	oil
oljud	ado
ollon	acorn
olycklig	unhappy
olycksfall	accident
olydig	disobedient
olåt	ado
om	about
omak	effort
omdöme	judgment
omelett	omelette
omfamna	embrace
omfång	bulk
omfångsrik	ample
omgiva	surround
omnibus	omnibus
omogen	unripe
område	region
omtanke	care
omyndig	under age
omättlig	insatiable
omöjlig	impossible
om aftarna	in the evening
om morgonen	in the morning
om natten	at night
om än	though
onaturlig	artificial
ond	bad
onsdag	Wednesday
oordning	chaos
opal	opal
opartisk	impartial
opera	opera
operation	operation
operera	operate
optiker	optician
optimism	optimism
opålitlig	unreliable
orakel	oracle
orange	orange
ord	word
orda om	discuss
ordbok	dictionary
orden	order
order	command
ordinär	accustomed
ordspråk	adage
oredig	dazed
oregelbunden	abnormal
orena	soil
organ	organ
organisation	organization
orgel	organ
orient	east
orientalisk	eastern
original	aboriginal
oriktig	incorrect
ork	energy
orka	be able to
orkan	hurricane
orkester	orchestra
orm	serpent
orsak	cause
orsaka	activate
ort	place
ortlig	local
orätt	incorrect
osa	reek
osann	false
osedlig	lewd
oskuld	innocence
oskyldig	guiltless
oss	us
ost	cheese
ostlig	eastern
ostron	Austrian
ostyrig	savage
osympatisk	nasty
otacksam	thankless
otalig	countless
otrevlig	bleak
otro	suspicion
otrogen	suspicious
otrolig	incredible
otur	bad luck
otålig	impatient
oupphörlig	constant
ouppmärksam	careless
oval	oval
ovan	unusual
ovass	blunt
oviktig	unimportant
oviss	uncertain
oväder	foul weather
oväldig	impartial
ovän	adversary
ovänlig	brutal
oväntad	abrupt
oväsen	ado
oxe	ox
oändlig	absolute
oärlig	nasty
oövervinnelig	invincible
packa	pack
packe	bunch
padda	toad
paket	packet
palats	palace
paletå	coat
palm	palm
pamflett	pamphlet
panik	panic
panna	forehead
pantomim	pantomime
papegoja	parrot
par	pair
para	associate
parad	display
paradis	paradise
paraffin	paraffin
paragraf	paragraph
parallel	parallel
paraply	umbrella
parasit	parasite
parfym	perfume
parisare	Parisian
park	park
parlament	parliament
part	faction
parti	faction
partigängare	member
partisk	biased
partvalv	porch
pass	passport
passagerare	passenger
passera	come about
passion	lust
passionerad	passionate
pastor	pastor
patent	patent
pater	monk
patient	patient
patriark	patriarch
patrull	patrol
paus	break
paviljong	pavilion
pedal	pedal
pelare	column
pelikan	pelican
pengar	money
penna	feather
pension	pension
peppar	pepper
pepparrot	horse‐radish
per	by
periferi	outskirts
period	period
perrong	platform
perser	Persian
persika	peach
persilja	parsley
person	person
personlig	personal
personnummer	personal number
peruk	hairpiece
pessimistisk	pessimistic
pest	pestilence
petroleum	paraffin‐oil
piano	piano
piggsvin	porcupine
pil	arrow
pilgrim	pilgrimage
piller	pill
pilt	boy
pina	ache
pingst	Pentecost
pinie	pine
pinje	pine
pinsam	painful
pion	pawn
pionjär	pioneer
pionär	pioneer
pipa	pipe
pirat	pirate
pistol	pistol
planet	planet
plank	board
plant	plant
plantera	plant
platan	plane
platina	platinum
platta	dial
plikt	fine
plocka	pick
plog	plough
plommen	plum
plym	plume
plöja	plough
plötslig	abrupt
plåga	agonize
poesi	poetry
pojke	boy
pokal	goblet
pol	pole
polack	Pole
polera	polish
polis	police
poliskommissarie	chief of police
poliskonstapel	policeman
polisstation	police‐station
politik	policy
politiker	politician
politisk	political
polsk	Polish
polyp	polyp
poppel	poplar
populär	popular
port	gate
portativ	portable
portfölj	brief case
portion	share
portmonnä	purse
porto	postage
portofri	post‐paid
