-aktig	-âtre
fotboll	ballon de foot
fotbollsklubb	club de football
fotbollslag	équipe
fotbollsmatch	rencontre de football
fotbollsmål	but de football
fotbollsplan	terrain de football
fotbollssko	chaussure de football
fotbollsspelare	footballeur
fotbollströja	tenue de foot
fotfäste	point d'appui
fotgängare	piéton
fotoautotrof	photoautotrophe
fotofon	photophone
fotogen	kérosène
fotogenisk	photogénique
fotograf	photographe
fotografera	photographier
fotografi	photographie
fotografisk	photographique
fotokemi	photochimie
fotomontage	photomontage
foton	photon
fotosfär	photosphère
fotosyntes	photosynthèse
fotosyntetisera	photosynthétiser
foxterrier	fox-terrier
fradga	écume
fradga	écumer
fragilitet	fragilité
fragment	fragment
fragmentarisk	fragmentaire
fragmentera	fragmenter
fragmentering	fragmentation
frakt	cargaison
frakta	transporter, emmener
fraktion	fraction
frambringa	produire
framför	par rapport à
framför allt	avant tout
framföra	exposer
framgång	succès
framgångsrik	couronné de succès
framgångsrikt	avec succès
framhjulsdrift	traction
framhärda	persister
framkomlig	praticable
framliden	décédé
framsida	recto
framskrida	avancer
framsteg	progrès
framställa	produire
framtand	incisive
framtid	futur
framtida	futur
framtidsforskning	futurologie
framtill	devant
framåtvolt	salto avant
franc	franc
francium	francium
frankisk	franconien
frankism	franquisme
frankoprovensalska	arpitan
frans	frange
fransk	français
franska	français
fransklärare	professeur de français
franskspråkig	francophone
fransman	Français
fransyska	Française
frappera	frapper
fras	phrase
frasig	croustillant
fraternisera	fraterniser
fred	paix
fredag	vendredi
fredagsbön	prière du vendredi
fredsduva	colombe de la paix
fredsfördrag	traité de paix
fredsgudinna	déesse de la paix
fredsstiftare	pacificateur
fredstid	temps de paix
fredsvän	pacifiste
freestyle	baladeur
fregatt	frégate
frekvens	fréquence
frekvent	fréquent
frekventera	fréquenter
fresk	fresque
fresta	tenter
frestelse	tentation
frett	furet
fri	libre
fria	demander en mariage
friare	prétendant
frieri	proposition de mariage
frigolit	polystyrène
frigöra	émanciper
frigörelse	émancipation
friherre	baron
frihet	liberté
friidrott	athlétisme
frikallelse	dispense
frikassé	fricassée
frikativa	fricative
frikostighet	largesse
friktion	friction
friktionskoefficient	coefficient de frottement
frikänna	acquitter
frilansare	travailleur indépendant
friluftsdag	journée de plein air
friluftsmuseum	musée en plein air
frimurare	franc-maçon
frimärke	timbre
fris	frise
frisera	coiffer
frisersalong	salon de coiffure
frisim	nage libre
frisiska	Frisonne
frisk	frais
frisk som en nötkärna	frais comme un gardon
friskola	école indépendante
frispark	coup franc
frisyr	coiffure
frisör	coiffeur
frisörska	coiffeuse
fritera	frire
fritid	loisirs
fritidsbåt	bateau de plaisance
fritt fall	chute libre
fritös	friteuse
friuliska	frioulan
frivillig	volontaire
frivilligt	volontairement
frodig	exubérant
fromhet	piété
frondör	frondeur
front	front
frontalkrock	choc frontal
frontlinje	front
frossare	glouton
frost	givre
frostfri	hors gel
frostmängd	quantité de froid
frottera	frotter
frotté	tissu-éponge
fru	femme
frukost	petit déjeuner
frukostera	petit-déjeuner
frukt	fruit
frukta	craindre
fruktan	peur
fruktansvärd	épouvantable
fruktbar	fertile
fruktkropp	sporocarpe
fruktos	fructose
fruktsaft	jus de fruit
fruktsallad	salade de fruits
fruktsam	fécond
fruktsamhet	fécondité
fruktträd	arbre fruitier
fruktträdgård	verger
frusen	congelé
frustrera	frustrer
frygiska	phrygien
fryntlig	jovial
frysa	congeler
fryspunkt	point de congélation
fräkne	tache de rousseur
frälsa	sauver
främja	encourager
främling	étranger
främlingsfientlighet	xénophobie
främlingslegion	Légion étrangère
främmande	étranger
främmande språk	langue étrangère
främst	en premier lieu
frän	âcre
fräsa	fraiser
fräsmaskin	fraiseuse
frätande	corrosif
frätning	corrosion
fråga	question
fråga	demander
fråga ut	interroger
frågeformulär	questionnaire
frågekomplex	ensemble de questions
frågespråk	langage de requête
frågetecken	point d'interrogation
från	de
från och med	à partir du
från och med nu	dorénavant
frånfälle	décès
frånskild	divorcé
frånstötande	dégoûtant
frånta	déposséder
frånvarande	absent
frånvaro	absence
frö	graine
fröken	jeune fille
frömjöl	pollen
fuchsia	fuchsia
fuga	fugue
fukologi	phycologie
fukt	humidité
fukta	humecter
fuktig	humide
fuktighet	humidité
ful	laid
ful som stryk	laid comme un pou
fulhet	laideur
full	ivre
fullborda	terminer
fullmåne	pleine lune
fullständig	complet
fullständigt	complètement
fullända	parfaire
fulländad	parfait
fumarol	fumerolle
fumla	tâtonner
fundamental	fondamental
fundamentalism	fondamentalisme
fundamentalist	fondamentaliste
fundera	réfléchir
fungera	fonctionner
funk	funk
funka	marcher
funkofobi	capacitisme
funktion	fonction
funktionell	fonctionnel
fur	pin
furste	souverain
furstendöme	principauté
fusion	fusion
fuska	tricher
fuskare	tricheur
fusklapp	antisèche
fustanella	fustanelle
futtig	futile
futuniska	futunien
futurism	futurisme
futurist	futuriste
fykologi	phycologie
fylla	ébriété
fylla	remplir
fylla i	remplir
fylld	rempli
fyllecell	cellule de dégrisement
fyllning	remplissage
fyndighet	gisement
fyr	gaillard
fyraårig	de quatre ans
fyrdubbla	quadrupler
fyrfaldiga	quadrupler
fyrhörning	quadrilatère
fyrkant	dièse
fyrklöver	trèfle à quatre feuilles
fyrsprång	galop
fyrtiotal	années quarante
fyrvaktare	gardien de phare
fysik	physique
fysikalisk	physique
fysiker	physicien
fysiklärare	professeur de physique
fysiljera	fusiller
fysiokrat	physiocrate
fysiologi	physiologie
fysiologisk	physiologique
fysionomi	physiognomonie
fysionomisk	physionomique
fysioterapi	physiothérapie
fysisk	physique
fysiskt	physiquement
fäbless	faible
fägring	beauté
fäkta	faire de l'escrime
fäktare	escrimeur
fäktmästare	maître d'armes
fäktning	escrime
fäll	peau
fälla	piège
fälla	abattre
fällstol	chaise pliante
fält	champ
fältsippa	pulsatille des prés
fältspat	feldspath
fälttåg	campagne
fängelse	prison
fängelsestraff	peine de prison
fängelseväsen	système carcéral
fängsla	emprisonner
fängslad	emprisonné
fängslande	captivant
fänkål	fenouil
färdas	voyager
färdighet	compétence
färdmedel	moyen de locomotion
färg	couleur
färga	colorer
färgad	coloré
färgare	teinturier
färgdiagram	heatmap
färglägga	broder
färglös	incolore
färgskala	échelle de couleurs
färist	barrière canadienne
färja	bac
färsk	frais
färskost	fromage frais
färöisk	féroïen
färöiska	féroïen
fästa	fixer
fäste	forteresse
fästing	tique
fästman	fiancé
fästmö	fiancée
få	peu de
få	peu
få	recevoir
få tag på	obtenir
få vatten på sin kvarn	apporter de l'eau à son moulin
få ändan ur vagnen	se sortir les doigts du cul
fåfänga	vanité
fåfänglighet	vanité
fågel	oiseau
fågelbo	nid
fågelholk	nichoir
fågelskrämma	épouvantail
fågelspindel	mygale
fågelsträck	migration des oiseaux
fågelunge	oisillon
fåne	crétin
fånga	attraper
fånge	prisonnier
fångenskap	captivité
fångvaktare	geôlier
fåordig	taciturne
fåordighet	taciturnité
får	mouton
fårhund	chien de berger
fårost	fromage de brebis
fåt	faute
fåtölj	fauteuil
föda	nourriture
föda	donner naissance à
född	né
född i farstun	tombé de la dernière pluie
födelse	naissance
födelsedag	anniversaire
födelsedagsfest	fête d'anniversaire
födelsedagskalas	fête d'anniversaire
födelsedagstårta	gâteau d'anniversaire
födelsedatum	date de naissance
födelsekontroll	contrôle des naissances
födelseår	année de naissance
födsel	accouchement
föga	peu
föl	poulain
följa	suivre
följande	suivant
följare	suiveur
följd	accompagné
följdriktig	conséquent
följdriktighet	conséquence
följe	cortège
följetong	feuilleton
följsam	adaptable
fönster	fenêtre
fönsterlucka	contrevent
för	trop
för	car
för	proue
för	pour
för att	pour
för sent	trop tard
för tillfället	en ce moment
föra	amener
förakt	mépris
förakta	mépriser
förare	conducteur
förarga	irriter
förarglig	contrariant
förbannad	furieux
förbannelse	malédiction
förbehåll	réserve
förbena	ossifier
förbereda	préparer
förberedande	préparatoire
förberedelse	préparation
förbestämma	prédéterminer
förbi	fini
förbinda	relier
förbise	négliger
förbjuda	interdire
förbjuden	interdit
förbruka	consumer
förbränna	brûler
förbränning	combustion
förbud	interdiction
förbundskansler	Chancelier fédéral
förbundsrepublik	république fédérale
förbättra	améliorer
förbättring	amélioration
fördel	avantage
fördelaktig	avantageux
fördjupa	approfondir
fördjupad	approfondi
fördom	préjugé
fördrivning	expulsion
fördröja	retarder
fördubbla	doubler
fördärva	ruiner
fördöma	condamner
före	avant
förebrå	reprocher
förebråelse	reproche
förebåda	annoncer
föredra	préférer
föredrag	exposé
föredöme	exemple
förefalla	arriver
föregående	précédent
föregångare	prédécesseur
förekomma	exister
föreläsning	conférence
föreläsningssal	salle de conférence
föremål	objet
förena	unir
förenad	uni
förening	association
förenkla	simplifier
föreslå	proposer
förespegla	faire miroiter
förespråka	préconiser
föreställa	représenter
föreställning	représentation
föreståndare	directeur
företag	entreprise
företagare	entrepreneur
företeelse	phénomène
företräda	représenter, parler au nom de
företrädare	prédécesseur
företräde	priorité
föreviga	immortaliser
förevisa	exhiber
förfader	ancêtre
förfalskare	faussaire
förfalskning	falsification
förfara	agir
författa	rédiger
författare	auteur
författarinna	autrice
författning	constitution
förfina	affiner
förflytta	déplacer
förflyttning	transport
förfoga	disposer
förfogande	disposition
förfranska	franciser
förfula	enlaidir
förfära	épouvanter
förfärlig	affreux
förfölja	poursuivre
förföljare	persécuteur
förföljelse	persécution
förföra	séduire
förförare	séducteur
förförelse	séduction
förgasa	gazéifier
förgasare	carburateur
förgifta	empoisonner
förgiftning	empoisonnement
förgrena	bifurquer
förgrening	ramification
förgripa	anticiper
förgrund	premier plan
förgätmigej	myosotis
förgäves	en vain
förgöra	détruire
förhandla	négocier
förhandling	négociation
förhinder	empêchement
förhindra	empêcher
förhistoria	préhistoire
förhistorisk	préhistorique
förhud	prépuce
förhyda	doubler
förhänge	rideau
förhärda	endurcir
förhärliga	magnifier
förhäxa	ensorceler
förhållande	ratio
förhöra	interroger
förhörsrum	salle d'interrogatoire
förinta	anéantir
förintelse	anéantissement
förkastande	rejet
förklara	expliquer
förklaring	explication
förkläde	tablier
förknippa	associer
förkorta	annuler
förkortning	abréviation
förkroppsligande	incarnation
förkyld	enrhumé
förkylning	rhume
förkärlek	prédilection
förlag	maison d'édition
förlama	paralyser
förlamning	paralysie
förleda	tenter
förlika	réconcilier
förlikning	arrangement
förlisa	sombrer
förlopp	cours
förlora	perdre
förlova	fiancer
förlovning	fiançailles
förlovningsring	bague de fiançailles
förlust	défaite
förlägen	embarrassé
förlägga	cantonner
förläggare	éditrice
förlänga	allonger
förlåt	désolé
förlåta	pardonner
förlåtelse	pardon
förlöjliga	tourner en ridicule
förmedling	entremise
förmera	multiplier
förmiddag	matinée
förminska	diminuer
förmoda	supposer
förmodligen	probablement
förmäten	présomptueux
förmå	pouvoir
förmåga	capacité
förmögen	riche
förmögenhet	fortune
förmörka	assombrir
förmörkelse	éclipse
förnamn	prénom
förnedra	humilier
förnedring	humiliation
förneka	nier
förnimbar	perceptible
förnimbarhet	perceptibilite
förnimma	apprendre
förnimmelse	perception
förnuftig	raisonnable
förnya	renouveler
förnybar energi	énergie renouvelable
förnyelse	renouvellement
förnäm	noble
förolämpa	insulter
förolämpande	insultant
förolämpning	insulte
förord	préface
förorda	recommander
förordning	décret
förorenad	sali
förorening	impureté
förorsaka	causer
förort	banlieue
förpacka	empaqueter
förpackning	emballage
förpliktelse	obligation
förr	avant
förr eller senare	tôt ou tard
förra	précédent
förresten	de plus
förrevolutionär	prérévolutionnaire
förrförra	avant-dernier
förrgår	avant-veille
förromersk	préromain
förruttnelse	putréfaction
förryska	russifier
förrädare	traître
förräderi	trahison
förräderska	traîtresse
förrädiskt	traîtreusement
förrätt	entrée
förrätta	exécuter
förråd	entrepôt
församling	assemblée
förseelse	peccadille
försegla	sceller
försena	retarder
försening	retard
försiggå	se passer
försiktig	prudent
försiktighet	prudence
försiktigt	prudemment
förskola	école maternelle
förskollärare	instituteur
förskräcka	effrayer
förskräcklig	terrible
förskräckt	terrifié
försköna	embellir
förslag	proposition
förslagen	cauteleux
förslava	esclavager
förslitning	usure
förslå	suffire
försokratiker	présocratique
försoning	réconciliation
förspanska	hispaniser
förspel	prélude
försprång	avance
först	d'abord
första person	première personne
första världskriget	Première Guerre mondiale
förstaderivata	dérivée première
förstatlig	pré-étatique
förstatliga	nationaliser
förstatligande	nationalisation
förstoppning	constipation
förstora	agrandir
förstulen	furtif
förstärka	renforcer
förstärkare	amplificateur
förstå	comprendre
förståelig	compréhensible
förståelse	compréhension
förstånd	raison
förstås	bien sûr
förstöra	détruire
förstörelse	destruction
försumbar	négligeable
försumlig	négligent
försumlighet	négligence
försumma	négliger
försupen	ivrogne
försvaga	affaiblir
försvar	défense
försvara	défendre
försvarare	défenseur
försvarsmakt	forces armées
försvarsminister	ministre de la Défense
försvenska	suédiser
försvinna	disparaître
försvinnande	disparition
försvunnen	disparu
försvåra	text=rendre plus difficile
försäkra	assurer (qu'un)
försäkring	assurance
försämra	détériorer
försämring	détérioration
försök	expérience
försöka	essayer
förtala	calomnier
förtjusa	enchanter
förtjäna	mériter
förtreta	dépiter
förtroende	confiance
förtroendevotum	question de confiance
förtrolla	enchanter
förtryck	oppression
förtrycka	opprimer
förtryckande	répression
förtrytsam	renfrogné
förträfflig	excellent
förtränga	refouler
förtvivlan	désespoir
förtäcka	cacher
förtära	consommer
förtäta	condenser
förtöja	amarrer
förundra	surprendre
förundran	surprise
förutbestämma	prédestiner
förutse	prévoir
förutsebar	prévisible
förutspå	prédire
förutsäga	prédire
förutsägbar	prédictible
förutsättning	condition
förvaltning	administration
förvandling	transformation
förvanska	adultérer
förvara	conserver
förvarna	prévenir
förverkliga	réaliser
förvilla	dérouter
förvirrad	confus
förvirring	confusion
förvrida	déformer
förvränga	fausser
förvägen	téméraire
förvänta	etwarten
förväntning	attente
förvärva	acquérir
förväxla	confondre
förväxling	confusion
förvåna	étonner
förvånad	étonné
förvånan	surprise
förvånande	surprenant
förvåning	étonnement
förzinka	zinguer
förädling	ennoblissement
förälder	parent
föräldralös	orphelin
föräldraskap	parentalité
förälska	tomber amoureux
förälskad	amoureux
föränderlig	changeant
föränderlighet	variabilité
förändra	modifier
förändring	modification
föråldrad	obsolète
förånga	évaporer
föröda	dévaster
förödmjuka	humilier
förödmjukelse	humiliation
föröka	accroître
föröva	commettre
förövare	auteur
fösa	conduire
gabbaj	gabbaï
gabbro	gabbro
gabones	Gabonais
gabonesiska	Gabonaise
gadd	croc
gadolinium	gadolinium
gaffel	fourche
gaffelpärm	classeur
gagauziska	gagaouze
gage	cachet
gagna	gagner à
gala	gala
gala	coucouer
galaktisk	galactique
galanga	galangue
galanteri	galanterie
galax	galaxie
galen	fou
galenskap	folie
galge	gibet
galicier	Galicien
galicisk	galicien
galiciska	galicien
galla	bile
gallblåsa	vésicule biliaire
galler	grille
galleri	galerie
galleria	galerie commerciale
gallicism	gallicisme
galliska	gaulois
gallium	gallium
galliumnitrid	nitrure de gallium
gallo	gallo
gallra	trier
gallring	éclaircissement
galning	aliéné
galopp	galop
galoppera	galoper
galosch	galoche
galt	cochon
galvanisera	galvaniser
galär	galère
galärslav	galérien
gam	vautour
gambier	Gambien
gambisk	gambien
gamma	gamma
gammal	ancien
gammal som gatan	vieux comme le monde
gammaltestamentlig	vétérotestamentaire
gammelstad	centre historique
ganglion	ganglion
gangsterrapp	gangsta rap
ganska	assez
gap	gueule
gapskratta	esclaffer
garage	garage
garantera	garantir
garanti	garantie
garderob	garde-robe
gardin	rideau
gardist	garde
garnera	garnir
garnison	garnison
garrottera	garrotter
garva	tanner
garvare	tanneur
gas	gaz
gasformig	gazeux
gasjätte	géante gazeuse
gaskammare	chambre à gaz
gasledning	gazoduc
gasmask	masque à gaz
gasning	gazage
gaspedal	pédale d'accélérateur
gasspis	gazinière
gasta	beugler
gastrisk	gastrique
gastroenterit	gastro-entérite
gastrointestinal	gastrointestinal
gastronomi	gastronomie
gata	rue
gathörn	coin de rue
gatlopp	baguettes
gatlykta	réverbère
gatubelysning	lampadaire extérieur
gatubeläggning	pavé
gatukonst	art urbain
gatukorsning	carrefour
gatumat	bouffe de rue
gatumusikant	musicien de rue
gatunamn	nom de rue
gatuplan	rez-de-chaussée
gaullism	gaullisme
gavial	gavial du Gange
gaybar	bar gay
gaydar	gaydar
gayklubb	club gay
gayvänlig	gay-friendly
gazpacho	gaspacho
ge	distribuer
ge eld	faire feu
ge igen för gammal ost	rendre la monnaie de sa pièce
gedigen	solide
gehenna	Géhenne
gejser	geyser
gel	gel
gelatin	gélatine
gelé	gelée
gemen	méchant
gemen	minuscule
gemensam	commun
gemenskap	communauté
gems	chamois
gemyt	bonne humeur
gemytlig	agréable
gen	court
gen	gène
genant	gênant
genast	immédiatement
gendarm	gendarme
genealogi	généalogie
genera	embarrasser
generad	gêné
general	général
generaldirektör	directeur général
generalisera	généraliser
generalisering	généralisation
generalrepetition	répétition générale
generalsekreterare	secrétaire général
generation	génération
generator	générateur
generell	général
generositet	générosité
genetik	génétique
genetisk	génétique
gengälda	compenser
geni	génie
genial	génial
genitiv	génitif
genom	génome
genom	par
genomföra	réaliser
genomskinlighet	transparence
genomskåda	découvrir
genomsnitt	moyenne
genomsyra	imprégner
genomtränga	percer
genotyp	génotype
genre	genre
gentrifiering	gentrification
genuin	authentique
genus	genre
genusvetenskap	études de genre
genväg	raccourci
geocentrisk	géocentrique
geodesi	géodésie
geofyt	géophyte
geograf	géographe
geografi	géographie
geografilärare	professeur de géographie
geografisk	géographique
geokemi	géochimie
geolog	géologue
geologi	géologie
geologisk	géologique
geometri	géométrie
geometrisk	géométrique
geometriskt	géométriquement
geopolitik	géopolitique
geopolitisk	géopolitique
georgier	Géorgien
georgisk	géorgien
georgiska	Géorgienne
geoteknik	géotechnique
gepard	guépard
geriatri	gériatrie
gerilla	guérilla
germanistik	germanistique
germanium	germanium
germanofil	germanophile
germanofil	germanophile
germansk	germanique
germinera	germer
gerundium	gérondif
gerundivum	adjectif verbal
gesims	moulure
gest	geste
gestalta	façonner
gestaltning	conception
gestik	gestuelle
gestikulera	gesticuler
get	chèvre
getabock	bouc
getapel	nerprun purgatif
getherde	chevrier
geting	guêpe
getingbo	guêpier
getingmidja	taille de guêpe
getmjölk	lait de chèvre
getost	fromage de chèvre
getto	ghetto
gevär	fusil
ghanan	Ghanéen
gibibyte	gibibyte
gibraltisk	gibraltarien
giffel	croissant
gift	marié
gift	poison
gifta	se marier
giftig	vénéneux
giftighet	toxicité
gigabyte	gigabyte
gigahertz	gigahertz
gigantisk	gigantesque
gigolo	gigolo
gikt	goutte
giljotin	guillotine
giljotinera	guillotiner
gilla	aimer
giltig	valide
giltighet	validité
gin	gin
ginkgo	ginkgo
ginst	genêt
gips	gypse
gipsa	plâtrer
gipsskiva	plaque de plâtre
giraff	girafe
girig	avare
girighet	avarice
girland	guirlande
gissa	deviner
gisslan	otage
gissning	supposition
gitarr	guitare
gitarrist	guitariste
gitarrlärare	professeur de guitare
gitarrspelare	guitariste
gitta	calter
giv	donne
giva	donner
givetvis	naturellement
givmild	généreux
gjord	fait
gjutform	moule
glaciologisk	glaciologique
glaciär	glacier
glad	heureux
glad påsk	joyeuses Pâques
gladlynt	joyeux
glamour	glamour
glansig	brillant
glappkontakt	faux contact
glas	verre
glasbruk	verrerie
glasmästare	vitrier
glass	glace
glasvar	cardine franche
glasögon	lunettes
glasögonorm	cobra
glatt	lisse
glatt	joyeusement
gles	clairsemé
glesbygd	campagne
glida	glisser
glidmedel	lubrifiant
glidtackling	tacle glissé
glimma	luire
glimmer	mica
glimra	chatoyer
glo	briller
glob	globe
global	global
global uppvärmning	réchauffement climatique
globalisera	globaliser
globalisering	mondialisation
globalism	globalisme
glokalisering	glocalisation
gloria	auréole
glorifiera	glorifier
glottal	glottique
glukos	glucose
gluon	gluon
glupsk	gourmand
glutamat	glutamate
glutamin	glutamine
gluten	gluten
glutenintolerans	maladie cœliaque
glyceraldehyd	glycéraldéhyde
glycerin	glycérine
glyf	glyphe
glykogen	glycogène
glykogenes	glycogenèse
glädja	réjouir
glädje	joie
glädjedödare	rabat-joie
glädjehus	bordel
glänsa	briller
glänta	clairière
glänta	entrouvrir
glöd	braise
glöda	briller
glödga	recuire
glödgning	recuit
glödlampa	ampoule
glögg	vin chaud
glömma	oublier
gnagare	rongeur
gnet	lente
gnida	frotter
gnissla	grincer
gnistra	étinceler
gnola	fredonner, chantonner
gnosticism	gnosticisme
gnu	gnou
gnugga	frotter
gnutta	pincée
gnägg	hennissement
gnälla	râler contre
go	go
gobeläng	gobelin
god	bon
god dag	bonjour
god jul	joyeux Noël
god kväll	bonsoir
god morgon	bonjour
god natt	bonne nuit
godhjärtad	débonnaire
godis	friandises
godkänna	approuver
gods	bien
godståg	train de marchandise
godtagbar	acceptable
godtrogenhet	crédulité
godtycke	arbitraire
godtycklig	arbitraire
goj	goy
goja	balivernes
gola	balancer
golf	golf
golfbana	terrain de golf
golfspelare	golfeur
goliathäger	héron goliath
golv	plancher
gom	palais
gomsegel	voile du palais
gondol	gondole
gondoljär	gondolier
gonggong	gong
gonorré	blennorragie
googla	googler
googlebar	googlable
gordisk knut	nœud gordien
gorilla	gorille
gorma	tempêter
gosedjur	peluche
gotik	gothique
gotisk	gothique
gotiska	gothique
gott nytt år	bonne année
gottegris	gourmand
gottskriva	créditer
gourmet	gourmet
graal	Graal
grabb	gars
grad	mesure
gradera	graduer
gradskiva	rapporteur
graduell	graduel
grafen	graphène
graffiti	graffiti
grafikkort	carte graphique
grafikprocessor	processeur graphique
grafit	graphite
grafologi	graphologie
grafologisk	graphologique
gram	gramme
grammatik	grammaire
grammatisk	grammatical
gramse	furax
gran	épicéa
granat	grenade
granatäppelträd	grenadier
granatäpple	grenade
grand danois	dogue allemand
granit	granite
grann	charmant
granne	voisin
grannsamverkan	surveillance de voisinage
grannskap	voisinage
granska	scruter
grapefrukt	pamplemousse
gratinera	gratiner
gratis	gratuit
gratis	gratuitement
gratisprogram	gratuiciel
grattis på födelsedagen	bon anniversaire
gratulera	féliciter
gratäng	gratin
grav	grave
grav	tombe
grav accent	accent grave
gravand	tadorne de Belon
gravera	graver
gravid	enceinte
graviditet	grossesse
gravitation	gravitation
gravitationsvåg	onde gravitationnelle
gravlax	gravlax
gravsten	pierre tombale
gravyr	gravure
gravör	graveur
gray	gray
grecism	hellénisme
grej	truc
grek	Grec
grekinna	Grecque
grekisk	grec
grekiska	Grecque
gren	branche
grenadjär	grenadier
greve	comte
grevinna	comtesse
grevskap	comté
grill	calandre
grilla	griller
grimas	grimace
grind	portail
grinig	grincheux
grip	griffon
gripa	arrêter
gris	cochon
griskött	porc
grisunge	porcelet
grizzlybjörn	grizzli
gro	germer
groda	grenouille
grodman	homme-grenouille
grodyngel	têtard
groll	rancune
grop	trou
grossess	grossesse
grotesk	grotesque
grotta	grotte
grottbjörn	ours des cavernes
grottlejon	lion des cavernes eurasiatique
grottmålning	art pariétal
grubbla	ruminer
grund	fond
grundare	fondateur
grundareffekt	effet fondateur
grundlag	constitution
grundläggande	fondamental
grundsats	précepte
grundskola	école primaire
grundskollärare	instituteur
grundsmak	goût primaire
grundton	note fondamentale
grundämne	élément
grupp	section
gruppbild	photo de groupe
gruppera	grouper
gruppering	groupement
gruppfoto	photo de groupe
gruppsex	partouze
gruppvåldtäkt	viol en réunion
grus	gravier
grusig	graveleux
gruva	mine
gruvarbetare	mineur
grym	cruel
grymhet	atrocité
grymt	cruellement
grymta	grogner
grynig	granuleux
gryning	aube
gryt	terrier
gryta	marmite
grädda	crème de la crème
grädde	crème
grädde på moset	la cerise sur le gâteau
gräddvit	crème
gräl	dispute
gräla	disputer
grälsjuk	querelleur
gräma	vexer
gränd	ruelle
gräns	frontière
gränsdragning	démarcation
gränsgångare	frontalier
gränsle	à califourchon
gränslös	immense
gränslöshet	immensité
gränspendlare	frontalier
gränspolis	douane
gränsvärde	valeur limite
gräs	herbe
gräsand	colvert
gräshoppa	sauterelle
gräshoppsångare	locustelle tachetée
gräsklippare	tondeuse à gazon
gräslig	horrible
gräslök	ciboulette
gräsmatta	pelouse
gräsrotsfinansiering	financement participatif
gräva	creuser
grävande journalistik	journalisme d'enquête
grävling	blaireau
grävmaskin	pelleteuse
grå	gris
grå flugsnappare	gobemouche gris
grå starr	cataracte
gråaktig	grisâtre
gråhakedopping	grèbe jougris
gråhäger	héron cendré
grålira	puffin fuligineux
gråna	grisonner
gråsparv	moineau domestique
gråta	pleurer
gråtrut	goéland argenté
gråzon	zone grise
grön	vert
grön av avund	vert de jalousie
grön ängsgräshoppa	criquet verdelet
grönaktig	verdâtre
grönlandshund	chien du Groenland
grönlandsval	baleine boréale
grönländare	Groenlandais
grönländsk	groenlandais
grönländska	Groenlandaise
grönlänning	Groenlandais
grönmögelost	bleu
grönsak	légume
grönsakssoppa	soupe de légumes
grönsiska	tarin des aulnes
grönt ljus	feu vert
gröt	gruau
grötomslag	cataplasme
guadeloupier	Guadeloupéen
guadeloupisk	guadeloupéen
guamesisk	guamien
guanin	guanine
guatemalan	Guatémaltèque
gud	dieu
gudalik	divin
gudinna	déesse
gudomlig	divin
gudskelov	Dieu soit loué
gudstjänst	office religieux
guinean	Guinéen
gujarati	gujarati
gul	jaune
gul lök	oignon
gulaktig	jaunâtre
gulasch	goulache
gulaschsoppa	goulasch
guld	or
guldbröllop	noces d'or
guldfisk	poisson rouge
guldgruva	mine d'or
guldhamster	hamster doré
guldklocka	montre en or
guldmakrill	coryphène
guldmedalj	médaille d'or
guldmynt	pièce d'or
guldpeng	pièce en or
guldplätera	dorer
guldsmed	orfèvre
guldtacka	lingot d'or
guldålder	âge d'or
gulhämpling	serin cini
guling	niakoué
gullig	mignon
gullris	verge-d'or
gulmes	mésange de Taïwan
gulna	jaunir
gulnäbb	malcoha
gulnäbbad lira	puffin cendré
gulnäckros	nénufar jaune
gulsporre	linaire commune
gult kort	carton jaune
gulärla	bergeronnette printanière
gummi	capote
gummibröllop	noces de coquelicot
gummisnodd	élastique
gummistövel	botte de caoutchouc
gunga	balançoire
gungbräde	tape-cul
gunghäst	cheval à bascule
gunst	faveur
gunstling	chouchou
gurgla	gargouiller
gurka	concombre
gurkmeja	curcuma
gurkört	bourrache
guru	gourou
gutniska	gotlandais
guyanan	Guyanais
guyanansk	guyanais
guyananska	Guyanaise
gyckel	plaisanterie
gycklarörn	bateleur des savanes
gylf	braguette
gyllene	en or
gyllene snittet	nombre d’or
gymnasieskola	lycée
gymnasium	lycée
gymnast	gymnaste
gynefil	gynophile
gynekolog	gynécologue
gynekologi	gynécologie
gynekomasti	gynécomastie
gynna	favoriser
gynnsam	avantageux
gynofobi	gynophobie
gyttja	boue
gyttjebrottning	lutte dans la boue
gäcka	déconcerter
gädda	brochet
gäl	branchie
gäldenär	débiteur
gäliska	gaélique écossais
gälla	concerner
gällande	valable
gäng	gang
gänga	filet
gänga	fileter
gärdsmyg	Troglodyte mignon
gärna	volontiers
gärningsman	malfaiteur
gärs	grémille
gäspa	bâiller
gäspning	bâillement
gässling	oison
gäst	invité
gästabud	banquet
gästfrihet	hospitalité
gästvänlig	hospitalier
gå	aller
gå av	tirer, faire feu
gå bort	décéder
gå i konkurs	faire faillite
gå i kras	voler en éclats
gå i pension	partir à la retraite
gå med på	accepter
gå på bio	aller
gå på toaletten	aller aux toilettes
gå sönder	tomber en panne
gå till	se passer
gå upp i rök	partir en fumée
gå åt	nécessiter
gå åt skogen	partir en sucette
gående	marchant
gåfotboll	football en marchant
gågata	rue piétonne
gång	fois
gångare	marcheur
gångart	allure
gångbana	trottoir
gångbar	habituel
gångjärn	charnière
går	hier
gård	cour
gårdag	veille
gås	oie
gåsfjäder	plume d'oie
gåsgam	vautour fauve
gåshud	chair de poule
gåskarl	jars
