ABC	alfabet
different	olik
differently	annorlunda
difficult	mödosam
difficulty	svårighet
dig	gräva
dike	damm
diligent	arbetsam
dimension	omfång
diminutive	liten
din	bråk
diploma	aktstycke
direct	rak
direction	direktion
directions	instruktion
director	direktör
directory	katalog
dirty	smutsig
dis	o‐
disabled	invalid
disadvantage	nackdel
disagreeing	oenig
disagreement	oenighet
disappear	försvinna
disappoint	görabesviken
disappointment	besvikelse
disapprove	missbilliga
disapprove	missbilliga
disc	platta
disciples	anhang
discipline	disciplin
discontent	agg
discontented	missbelåten
discontentedness	agg
discord	oenighet
discount	diskont
discover	upptäcka
discovery	upptäckt
discrete	diskret
discuss	diskutera
disease	sjuka
disgust	vämjelse
dish	fat
disinfect	desinficera
dislike	tyckaillaom
dismal	banal
dismayed	förfärlig
dismiss	avskicka
disobedient	olydig
dispatch	adresskort
display	parad
displeased	missbelåten
displeasure	agg
dispose	avyttra
disposition	begåvning
dissatisfaction	agg
dissatisfied	missbelåten
dissemble	skrymta
dissension	oenighet
dissolve	lösa
distance	avstånd
distil	destillera
distinct	klar
distress	bedröva
distribute	utdela
distribution	utdelning
district	amt
distrust	misstro
dive	dyka
divide	dela
divine	gudomlig
divorce	skilsmässa
divorced	skild
do	göra
dock	syra
doctor	doktor
document	aktstycke
doe	hind
dog	hund
dogma	dogm
doll	docka
domestic	inhemsk
domestic	husdjur
donate	skänka
donkey	åsna
don	detgöringenting
door	dörr
double	dubbel
doubt	tvivla
doubtful	tvivelaktig
dough	deg
dove	duva
down	ned
downstairs	nedan
dowry	hemgift
dozen	dussin
do	handla
drag	dra
dragon	drake
drama	dram
draw	rita
drawer	låda
drawers	underbyxor
drawing	ritning
dreadful	förfärlig
dream	drömma
dreary	förtretlig
dress	klänning
drill	borra
drink	rumla
drink	rumla
drip	droppa
drive	driva
driver	chaufför
drive	förjaga
drive	driva
driving	körkort
dromedary	dromedar
droop	hänga
drop	falla
drown	drukna
drug	läkemedel
drugstore	apotek
drunk	berudsad
drunkenness	dryckenskap
dry	torr
dryness	torka
dual	dubbel
duchess	hertiginna
duchy	hertigdöme
duck	and
duke	hertig
dumb	stum
dumbfounded	förfärlig
duplicate	multiplicera
during	omnatten
dusk	halvdager
dust	damm
dwarf	dvärg
dwell	bo
dwelling	boning
dye	färg
dynamite	dynamit
each	all
each	varandra
eager	begärlig
eagerness	begär
eagle	örn
eagle	uv
ear	öra
earl	greve
early	bittida
earn	förtjäna
earnest	allvarlig
earth	jord
earthquake	jordbävning
east	orient
eastern	orientalisk
easy	lätt
echo	genljuda
economy	ekonomi
ecstasy	extas
edge	brädd
edging	brädd
edible	ätbar
edition	utgift
editor	redaktör
educate	uppfostra
education	uppfostran
eel	ål
effect	effekt
effort	bemödande
egg	ägg
egg	äggtoddy
eight	åtta
eighteen	aderton
eighteenth	adertonde
eighth	åttonde
eighty	åtti
elastic	elastisk
elbow	armbåge
elder	fläder
elect	kora
election	val
electric	elektrisk
electricity	elektricitet
element	element
elemental	elementär
elementary	elementär
elements	alfabet
elephant	elefant
elevator	hiss
eleven	elva
eleventh	elfte
elf	älva
elk	älg
elm	alm
else	annan
elsewhere	annanstans
embankment	damm
emblem	emblem
embrace	famna
emerald	smaragd
emergency	kris
emigrate	utvandra
emissary	sändebud
emmet	myra
emotion	känsla
emperor	kejsare
empire	kejsardöme
employ	engagera
employee	arbetstagare
employer	arbetsgivare
empress	kejsarinna
emptiness	tomhet
empty	tom
enchantment	trolleri
encounter	möta
encyclopaedia	encyklopedi
end	fullborda
ending	slut
endure	lida
end	ankomma
enemy	fiende
energy	energi
engagement	förlovning
engine	lok
engineer	ingenjör
enigma	gåta
enjoy	fröjda
enjoyable	angenäm
enlarge	förstora
enmity	fiendskap
enthusiasm	entusiasm
entice	förföra
entire	hel
entirely	alldeles
entomb	begrava
entrance	inträde
entrust	haförtroendeför
envious	avundsam
envoy	sändebud
envy	avundas
episode	episod
epoch	epok
equal	lik
equally	desslikes
equator	ekvator
equilibrium	balans
era	epok
erect	grunda
err	fela
error	fel
escape	rymma
escort	eskort
establish	grunda
estate	bondgård
esteem	betrakta
estimate	beräkna
ethical	etisk
eunuch	eunuck
evade	kringgå
even	flack
evening	afton
evening	aftonmåltid
event	händelse
ever	någonsin
everlasting	ändlös
every	all
everybody	all
everything	allting
everywhere	allestädes
every	allehanda
every	all
evident	synbarligen
exaggerate	förstora
examination	examen
examine	bepröva
example	exempel
exceed	överstiga
except	utom
except	utöver
excise	accis
excise	accis
exclusively	bara
excuse	urskulda
excuse	förlåt
excuse	beomursäkt
executioner	bödel
exercise	skrivbok
exercise	inöva
exhausted	genomtrött
exhibit	exponera
exhibition	exposition
exhortation	maning
existence	existens
exit	utgång
expect	forvänta
expectation	förväntan
expel	förjaga
expensive	dyr
experiment	försök
expire	sluta
explain	förklara
explanation	explikation
explode	explodera
exposition	exposition
express	uttrycka
expression	uttryck
extend	omfång
extensive	omfångsrik
exterminate	utplåna
extra	extra
extraordinary	synnerlig
eye	öga
eyebrow	ögonbryn
eyelid	ögonlock
fabric	väv
face	anlete
facile	lätt
facilitate	lätta
fact	faktum
faction	part
factory	fabrik
factual	faktisk
faculty	fakultet
fail	klicka
failure	bankrutt
faint	klen
fair	krambod
fairy	saga
faith	förtroende
faithful	lojal
falcon	falk
fall	falla
fall	insjukna
fall	blikäri
false	dolsk
family	familj
famine	hungersnöd
famous	beryktad
fanatical	fanatisk
fancier	amatör
fantasy	fantasi
farewell	adjö
farm	bondgård
farmer	arrendator
farming	jordbruk
farm	förpakta
fashion	mod
fasten	befästa
fast	blixttåg
fat	diger
father	svärfader
father	fader
fatherland	fädernesland
fatherless	faderlös
fault	skuld
favor	befrämja
favour	befrämja
favourable	blid
fa	fasad
fear	fruktan
feather	fjäder
fee	honorar
feeding	nappflaska
feign	låtsassomom
fellow	karl
felt	filt
female	kvinnlig
female	kokerska
female	hårfrisörska
female	arbeterska
female	sångerska
female	lärarinna
femal	arbeterska
femal	arbeterska
feminine	kvinnlig
fence	bom
fence	hägna
ferry	färja
fertile	fruktbar
fertilizer	dynga
festival	fest
fetch	avhämta
fever	feber
fianc	fästman
fianc	fästmö
fiber	fiber
fibre	fiber
fief	län
field	åker
field	ambulansbil
fifteen	femton
fifteenth	femtonde
fifth	femte
fifty	femti
fig	fikon
fight	kämpa
figure	figur
file	fila
files	arkiv
fill	fylla
filling	bensinstation
fill	fylla
fill	fylla
filter	filtrera
filthy	smutsig
fin	fena
final	ändlig
financial	finansiell
find	finna
find	befinnasig
fine	skön
finger	finger
finish	fullborda
finished	färdig
fir	gran
fire	eld
firewood	ved
firing	kapsyl
firm	affärshus
first	första
first	förnamn
fish	fiska
fisherman	fiskare
fishing	metspö
fist	näve
fit	harmoniera
five	fem
fix	befästa
fixed	stadig
fix	arrangera
fjord	fjord
flag	flagg
flame	flamma
flannel	flanell
flat	strykjärn
flat	lägenhet
flatter	lisma
flattery	smicker
flax	lin
flea	loppa
flee	rymma
fleet	flotta
flesh	kött
flexible	smidig
flight	flykt
fling	svinga
flint	kisel
float	flyta
flood	flod
floor	våning
flour	mjöl
flow	rinna
flower	blomma
fluent	flytande
flute	flöjt
fly	flyga
foam	fradga
fog	dimma
fold	vecka
folder	skrivbok
foliage	löv
folk	folk
follow	följa
following	anhang
fondle	smeka
food	mat
fool	narr
foolish	befängd
foot	fot
for	för
force	förplikta
forecast	varsla
forehead	panna
foreign	främmande
foreigner	främmande
foreign	utland
forest	skog
foretell	varsla
forge	smida
forget	förgätmigej
forget	glömma
forgetful	glömsk
forgive	benåda
fork	gaffel
form	bilda
formal	ceremoniell
formidable	synnerlig
formula	formel
forsake	lämna
fortunate	lycklig
forty	fyrti
for	länge
for	tillexempel
for	tillexempel
for	tilluthyrning
for	på
for	tillsalu
foul	oväder
found	grunda
foundation	botten
fountain	fontän
four	fyra
fourteen	fjorton
fourteenth	fjortonde
fourth	fjärde
fowl	höna
fox	mickel
fragile	brytbar
free	fristående
free	avgiftsfri
freedom	frihet
freemason	frimurare
freeze	frysa
freezing	frost
frequently	ofta
fresh	sötvatten
friend	väninna
friendly	snäll
friendship	vänskap
frieze	fris
fright	fruktan
frindge	frans
fringe	brädd
frog	groda
from	av
from	varifrån
frontier	gräns
frost	frost
froth	fradga
fruit	fruktträd
fruit	frukt
fuel	brännmaterial
full	myndig
full	full
full	avbetalning
fun	fröjd
function	ämbete
fund	fond
funeral	begravning
fungus	svamp
funnel	tratt
funny	komisk
fur	päls
furious	rasande
furnace	kamin
furnish	avleverera
furnished	möblerad
furniture	bohag
furniture	flyttbil
future	tillkommande
fuzzy	dimmig
gadfly	broms
gag	fars
gain	förvärv
gall	galla
gallery	galleri
gallop	fyrsprång
galosh	galosch
game	lek
gang	band
gaol	fängelse
gape	gapa
garden	trädgård
gardener	trädgårdsmästare
garland	girland
garlic	vitlök
garrison	garnison
gas	gas
gasolene	bensin
gasoline	bensin
gate	port
gateway	port
gather	församla
gathering	församling
gaunt	smal
gawk	gapa
gay	glad
gaze	stirra
gazelle	gasell
gem	juvel
general	general
generality	allmänhet
generally	iallmänhet
generative	sexuell
generous	givmild
gentle	söt
gentleman	herre
genuinly	sannerligen
geography	geografi
geological	geologisk
geometry	geometri
gesture	gest
get	förvärva
get	skiljas
get	skiljas
get	giftasig
get	mögla
get	tröttna
ghastly	förtretlig
gherkin	gurka
ghost	gast
giant	jätte
gift	gåva
gigantic	jättelik
gill	gäl
gin	genever
ginger	ingefära
giraffe	giraff
girder	balk
girdle	bälte
girl	flicka
give	skänka
give	rapportera
give	cedere
give	anmäla
give	dofta
give	bedröva
give	föranleda
give	cedere
give	cedere
glad	glad
gladness	fröjd
glass	glas
glasses	glasögon
glaze	glasyr
glide	glida
globe	glob
glove	handske
glow	glöda
glow	glöda
glue	lim
gnat	mygga
gnaw	gnaga
go	gå
goat	get
goblet	bägare
god	gud
gold	guldgruva
gold	guld
goldfish	guldfisk
goldsmith	guldsmed
good	avsked
good	godhjärtad
good	snäll
good	bra
goodbye	adjö
goodness	godhet
good	goddag
good	goddag
good	godafton
good	gutår
good	godmorgon
goose	gås
gooseberry	krusbär
gossip	prata
gout	gikt
govern	härska
government	regering
gown	klänning
go	gesigiväg
go	görakonkurs
go	promenera
go	uppleva
go	dala
grade	grad
grain	korn
gram	gram
grammar	grammatik
gramme	gram
grandchild	barnbarn
granddaughter	dotterdotter
grandfather	farfar
grandmother	farmor
grandparents	farföräldrar
grandson	dotterson
granite	granit
grant	medge
granule	korn
grape	druva
grapevine	vinstock
grapple	fånga
grass	gräs
grasshopper	gräshoppa
gratitude	tack
grave	graf
gravel	kisel
graveyard	kyrkogård
gravy	spad
grease	fett
great	stor
greediness	begär
greedy	begärlig
green	grön
greenweed	ginst
greet	hälsa
greeting	hälsning
grenade	granat
grey	grå
grief	bedrövelse
grisly	förtretlig
groan	ajasig
grocer	specerihandlare
grotto	grotta
ground	bottenvåning
ground	botten
grounds	terräng
group	flock
grow	bli
grown	myndig
grow	surna
grub	gräva
grudge	agg
gruesome	förfärlig
gruff	ovänlig
guarantee	garantera
guard	vakta
guess	gissa
guest	gäst
guide	vägledare
guidebook	gid
guilt	skuld
guiltless	oskyldig
guilty	skyldig
guitar	gitarr
gulf	avgrund
gum	tandkött
gun	gevär
gunpowder	krut
gymnastics	gymnastik
gypsy	tattare
habit	vana
hack	hugga
hail	hagel
hair	hår
hairdresser	hårfrisörska
hairpiece	peruk
half	halv
hall	hall
ham	skinka
hammer	hamra
hand	handväska
hand	arbetare
handbook	gid
handle	behandla
handlebars	styre
handsome	skön
hang	hänga
hangman	bödel
hang	behålla
happen	bli
happiness	lycka
happy	lycklig
harbor	hamn
harbour	hamn
hard	hård
hardly	knappast
hardworking	arbetsam
hare	hare
harem	harem
harmful	menlig
harmonica	harmonika
harmonize	harmoniera
harmony	harmoni
harp	harpa
harrier	kyrka
harrow	harva
harsh	ovänlig
harvest	hösta
haste	hast
hat	hatt
hate	hata
haul	dra
have	ha
have	haotur
have	hamedlidande
have	haförtroendeför
have	mätta
have	haförtroendeför
have	haförtroendeför
have	hatur
have	ha
have	böra
hawk	hök
hay	hö
hazard	slump
hazel	hassel
hazel	hassel
hazelnut	hasselnöt
he	bock
he	han
head	huvud
headache	huvudvärk
header	rubrik
heading	titel
heal	hela
health	hälsa
healthy	sund
heap	hop
hear	höra
heart	hjärtlig
heart	hjärta
hearty	hjärtlig
heat	glöd
heath	hed
heaven	himmel
heavenly	himmelsk
heavenly	himlakropp
heavy	tung
hectolitre	hektoliter
hedge	häck
heel	häl
height	höjd
heighten	försämra
heir	arvinge
hell	helvete
hello	hej
helm	styre
helmet	hjälm
help	biträda
helper	hjälpare
helpful	behjälplig
helpless	hjälplös
hemisphere	halvklot
hemp	hampa
her	sin
herb	gräs
herd	flock
here	hit
hereditary	ärftlig
heresy	kätteri
heretic	kättare
hero	hjälte
heroic	hjältemodig
heroin	hjältinna
heroine	hjältinna
heron	häger
herring	sill
herself	själv
hesitate	tveka
hesitation	tvekan
hiccup	hicka
hidden	dold
hide	päls
hideous	gruvlig
high	gymnasium
high	flod
hill	backe
him	han
himself	själv
hind	hind
hinge	gångjärn
hinny	mulåsna
hint	alludera
hip	höft
hippo	flodhäst
hippopotamus	flodhäst
hire	engagera
his	hans
history	historia
hit	banka
hither	hit
hoarse	hes
hock	rensktvin
hoe	skyffel
hog	gris
hold	behålla
hole	glugg
holy	helig
home	hem
homy	hemtrevlig
honest	redlig
honey	honung
honor	hedra
honorary	hederlig
honour	hedra
hoof	hov
hook	häkta
hooker	hora
hooter	horn
hope	hoppas
horizon	horisont
horizontal	horisontal
horn	horn
horrible	förtretlig
horse	kastanje
horse	broms
horse	pepparrot
horse	häst
horsepower	hästkraft
horseradish	pepparrot
horseshoe	hovjärn
hospitable	gästfri
hospital	sjukhem
hospitality	gästvänskap
host	värd
hostage	gisslan
hostel	gästgivargård
hostess	värdinna
hostile	fientlig
hot	het
hotel	hotell
hour	timme
house	husägare
house	hus
housefly	fluga
house	kyrka
hovel	kyffe
hover	sväva
how	hur
however	likafullt
howl	råma
how	hurmycket
how	hurmycket
hug	krama
huge	jättelik
hull	kasko
hum	surra
human	mänsklig
human	människa
human	mänsklighet
humor	humor
humour	humör
humourous	humoristisk
hump	puckel
hundred	hundra
hunger	hunger
hungry	hungrig
hunt	jaga
hunter	jägare
hurray	hurra
hurricane	orkan
hurried	hastig
hurt	smärta
husband	make
husk	bark
hut	hydda
hyaena	hyena
hydrogen	vätebomb
hygiene	hygien
hygienic	hygienisk
hymn	hymn
hypnosis	hypnos
hypnotic	hypnos
hypnotist	hypnotisör
hypnotize	hypnotisera
hypothesis	hypotes
hypothetical	hypotetisk
hysteria	hysteri
hysterical	hysterisk
ice	glass
iceberg	isberg
icecream	glass
idea	idé
ideal	ideal
identical	identisk
idiot	fåne
idol	avgud
if	om
il	o‐
ill	dålig
illness	sjuka
illuminate	belysa
illusion	illusion
illustrate	illustrera
im	o‐
image	bild
imitate	efterbilda
immaterial	likgiltig
immensely	stenrik
immigrate	invandra
impartial	neutral
impatient	otålig
impel	driva
impertinent	fräck
imply	beteckna
important	viktig
impossible	omöjlig
imposter	bedragare
improve	bättra
in	o‐
in	i
incense	rökelse
inch	tum
inconceivable	obegriplig
inconvenient	mödosam
incorrect	oriktig
increase	förstora
incredible	otrolig
incubate	häcka
indeed	ju
independant	oberoende
index	tabell
indicate	utpeka
indication	varsel
indifferent	likgiltig
indignant	harmlig
indistinct	oklar
individual	individuell
industrial	industriell
industrious	arbetsam
industry	industri
inebriety	dryckenskap
inexpensive	billig
inexplicable	oförklarlig
infant	barn
infantry	fotfolk
infection	infektion
inference	konklusion
infertile	ofruktbar
influence	påverka
inform	tillkännagiva
inhabitant	inbyggare
inherit	ärva
inheritance	arv
inhibit	förhindra
initial	initialbokstav
injury	sår
ink	bläckhorn
ink	bläck
inkpot	bläckhorn
inlet	fjord
inn	gästgivargård
innkeeper	värd
innocence	oskuld
innocent	oskyldig
inquiry	rundfråga
inquisitive	frågvis
insane	dåraktig
insane	hospital
insanity	galenskap
insatiable	omättlig
insect	insekt
inside	i
inspect	besiktiga
inspection	inspektion
inspector	besiktningsman
install	inreda
instant	momang
instinct	instinkt
instruction	instruktion
instructor	lektor
instrument	instrument
insubordinate	olydig
insult	skällaut
insurance	assurans
insure	försäkra
inter	begrava
intercessor	advokat
interest	intresse
interesting	intressant
interment	begravning
intermission	paus
international	internationell
interpret	tolka
interpreter	tolk
interrupt	avbryta
interval	intervall
interview	intervjua
intestine	tarm
intestines	inälvor
intimate	intim
into	i
intolerant	intolerant
intoxicated	berudsad
introduce	presentera
invective	skällsord
invention	uppfinning
inverted	anföringstecken
investigation	examen
invincible	oövervinnelig
invitation	bjudning
invite	bjuda
invoice	faktura
invoke	anropa
inwards	in
in	aktiv
in	emot
in	förrän
in	ingalunda
in	för
in	trots
in	omaftarna
in	ommorgonen
in	förgäves
in	hur
iron	järn‐
island	ö
itch	klia
its	sin
itself	själv
it	detgöringenting
ivory	elfenben
ivy	murgröna
jack	billyftare
jackal	schakal
jacket	jacka
jail	fängelse
jam	marmelad
jaw	käft
jawbone	käft
jaws	gap
jay	skrika
jealous	jalu
jealousy	jalusi
jeer	håna
jelly	manet
jenny	åsninna
jerk	rycka
jest	skoja
jewel	juvel
jeweller	juvelerare
job	arbete
join	ansluta
joint	gemensam
joke	skoja
journal	dagblad
journalist	journalist
journey	färd
joy	fröjd
judge	döma
judgment	dom
jug	kruka
juice	saft
jumbled	konfys
jump	hoppa
june	majbagge
just	riktig
justice	rätt
just	just
kangaroo	känguru
keel	köl
keen	livaktig
keep	vakta
keeper	arkivarie
kernel	kärna
kettle	kokare
key	nyckel
kick	sparka
kidney	njure
kill	avliva
kiln	kamin
kilo	kilogram
kilometre	kilometer
kind	snäll
kindle	antända
king	dam
kingdom	konungarike
kirk	kyrka
kiss	kyssa
kitchen	kök
kite	kyrka
klaxon	horn
knapsack	ryggsäck
knead	knåda
knee	knä
knife	kniv
knight	riddare
knock	knacka
knot	knut
know	känna
knowledge	kunskap
know	veta
laboratory	laboratorium
laborer	arbetare
labourer	arbetare
lace	pund
lack	brist
lad	gosse
ladder	stege
laddie	gosse
ladies	herrskap
lady	dam
lake	insjö
lamb	lamm
lame	lam
lamp	lampa
lance	lans
land	land
landlady	värdinna
landlord	värd
landscape	landskap
landslide	skred
lane	gränd
language	språk
larch	lärkträd
large	stor
lark	lärka
larva	larv
lass	flicka
last	siska
lasting	oupphörlig
last	iafse
laud	berömma
laugh	skratta
laughter	skratt
laundress	tvätterska
lava	lava
law	lag
lawn	gräsmatta
lawsuit	rättegång
lawyer	advokat
laxative	laxativ
lay	lägga
layman	lekman
lay	lägga
lay	fatta
lazy	lat
lead	föra
leader	anförare
leaf	blad
leaflet	broschyr
lean	stödja
leap	skottår
leap	hoppa
learn	lära
lease	hyreskontrakt
leather	läder
leave	gesigiväg
lector	lektor
lecturer	lektor
leech	blodigel
leek	vitlök
left	vänster
leg	ben
legal	rättslig
legation	legation
legend	legend
legible	läslig
legitimize	legitimera
lemon	citron
lemonade	limonad
lend	låna
length	längd
lengthen	förlänga
lens	lins
lentil	lins
lesson	lektion
let	uthyra
letter	brev
letterbox	brevlåda
lettuce	salad
let	tillkännagiva
level	flack
lever	hissa
lewd	okysk
liberal	liberal
librarian	bibliotekarie
library	bibliotek
lie	ligga
lieutenant	löjtnant
life	livbåt
life	levnad
lift	hissa
light	antända
lighthouse	fyr
lighting	belysning
lightning	blixt
like	hur
likely	antaglig
likewise	också
like	sålunda
lilac	syren
lily	konvalje
lily	lilja
limb	lem
lime	lind
lime	kalk
limit	avgränsa
limp	halta
linden	lind
line	linje
lineage	tillkomst
link	montera
lion	lejon
lip	läpp
liqueur	likör
liquid	vätska
liquidate	avliva
lira	lyra
listen	höra
listener	hörare
liter	liter
literature	litteratur
litre	liter
little	liten
live	bo
lively	spirituell
liver	lever
liver	leverkorv
live	hyraettrum
live	boihop
live	uppleva
living	ensamstående
lizard	ödla
load	ladda
loaf	bröd
loan	låna
loathe	avsky
lobster	hummer
local	lokal
location	ort
loch	fjord
lock	lås
locust	gräshoppa
logic	logik
long	lång
longing	begär
longitude	longitud
long	längtaefter
look	anblick
looking	spegel
look	vakta
look	beskåda
look	leta
lord	herre
lorry	lastbil
lose	förlora
loss	förlust
lottery	lotteri
loud	ljudelig
lounge	salong
louse	lus
love	älska
lovely	angenäm
lover	älskarinna
low	låg
low	ebb
loyal	lojal
luck	tur
luggage	bagagevagn
luggage	bagage
lukewarm	ljum
lump	bit
lunacy	galenskap
lunatic	dåre
lung	lunga
lupine	lupin
lust	passion
luxury	lyx
lyceum	lyceum
lying	barnsängskvinna
lynx	lo
lyre	lyra
lyric	text
machine	maskin
mackerel	makrill
mad	dåraktig
madam	fru
madness	galenskap
magazine	magasin
magic	trolleri
magical	magisk
magnet	magnet
magnetic	magnetisk
magpie	skata
maid	städerska
mail	post
mailbox	brevlåda
mailman	posttjänsteman
mainland	fastland
maintain	behålla
maize	majs
major	major
major	huvudled
make	smink
make	göra
make	görabekantskapmed
make	fela
make	bullra
make	annotera
make	luttra
make	befästa
make	håna
make	smink
make	nyttja
make	kriga
male	manlig
male	kock
malt	malt
mam	mamma
mammy	mamma
man	människa
manage	förvalta
manager	administratör
maneuver	manöver
mankind	mänsklighet
manner	maner
manoeuvre	manöver
mantle	kappa
manure	dynga
many	många
man	manöver
map	karta
maple	lönn
marble	marmor
march	gå
margarine	margarin
mark	märke
market	krambod
marketplace	marknad
marmelade	marmelad
marriage	äktenskap
married	gift
married	äktapar
marry	giftasig
marsh	kärr
marten	mård
martial	krigisk
martyr	martyr
marvel	förvånasig
marvel	förvånasig
masculine	manlig
mask	mask
mason	murare
mass	hop
massive	massiv
mast	mast
master	mästare
master	byggmästare
match	sticka
material	materiell
maternal	moster
maternal	morfar
maternal	mormor
maternal	morföräldrar
maternal	morbroder
mathematics	matematik
matter	affär
mattress	madrass
mature	mogen
maximum	maxiumum
maybe	kanhände
mayhap	kanhände
mayor	borgmästare
meadow	äng
meal	mjöl
mealies	majs
mean	beteckna
meaning	bemärkelsedag
means	instrument
measles	mässling
measured	ceremoniell
medal	medalj
medicine	läkemedel
meet	mötas
meeting	möte
mellowness	vekhet
melody	låt
melon	melon
melt	smälta
melting	töväder
member	lem
memory	minne
menace	hota
mend	flicka
mental	andlig
menu	karta
merchandise	vara
merchant	affärsman
mercury	kvicksilver
merry	glad
message	bekantgörande
messenger	sändebud
metal	metall
metalled	sten‐
method	metod
metre	meter
metropolis	världsstad
microscope	mikroskop
midget	dvärg
midwife	ackuschörska
mild	blid
mile	mil
milk	mjölk
miller	mjölnare
million	miljon
mind	ande
mine	gruva
miner	gruvarbetare
mineral	mineral
mingle	blanda
minister	departementschef
ministry	ministär
minority	mindretal
mint	mynta
minute	minut
miracle	under
miraculous	underbar
mirror	spegel
miscarriage	abort
miscarry	klicka
miscellaneous	varjehanda
miser	gnidare
miserable	arg
miserly	girig
miss	missa
mist	dimma
mistake	fel
mistress	mästarinna
misty	dimmig
misunderstanding	missförstånd
mitten	handske
mix	blanda
mixture	röra
moan	stöna
mock	håna
mockery	hån
mode	maner
model	modell
modern	modern
modest	blygsam
moist	fuktig
mold	mögel
mole	mullvad
molecule	molekyl
mom	mamma
moment	momang
mommy	mamma
monastery	kloster
money	kassa
money	mynt
money	kassa
monk	munk
monkey	apa
monopoly	monopol
monotonous	entonig
monster	monster
month	månad
monument	minnesmärke
mood	mod
moon	måne
moor	stepp
moorage	redd
mooring	redd
moose	älg
moped	moped
more	mer
morning	morgon
morphia	morfin
morphine	morfin
mortgage	gravitation
mosque	moské
moss	lav
most	mest
moth	nattfjäril
mother	svärmor
mother	moder
motive	motiv
motor	motor
motorcycle	motorcykel
motorist	bilist
motto	devis
mould	mögel
mount	montera
mountain	rönnbär
mountain	berg
mountain	berg
mourning	likfärd
mouse	mus
mousetrap	råttfälla
moustache	mustasch
mouth	gap
move	flytta
movie	biograf
mow	meja
mucus	slem
mud	dy
mule	mula
multiply	multiplicera
multitude	hop
mummy	mumie
munition	ammunition
murder	mörda
murderer	dråpare
murk	dunkelhet
muscle	muskel
muse	musa
museum	museum
mushroom	svamp
music	musik
musical	musikalisk
musician	musikant
mussel	mussla
must	böra
mustard	senap
mute	stum
mutton	fårkött
muzzle	gap
my	min
mysterious	mysteriös
mystery	mysterium
mystic	mystisk
mystical	mystisk
myth	myt
nail	nagelborste
nail	spika
naked	bar
name	namn
nameless	anonym
namely	nämligen
nape	nacke
napkin	servett
narcissus	narciss
narrate	berätta
narrative	berättelse
narrow	smal
nasturtium	krasse
nasty	förtretlig
nation	nation
national	nationell
nationality	nationalitet
native	infödd
natural	naturlig
natural	naturgas
nature	art
naught	nolla
nausea	vämjelse
navy	marin
na	naiv
na	naiv
near	kortsynt
near	bi
nearby	bi
nearly	nästan
nearness	närhet
near	bi
necessary	behövlig
neck	hals
necklace	halsband
need	behöva
needle	nål
negative	negativ
negligent	oaktsam
negotiate	handla
neigh	gnägga
neighbour	granne
neighbourhood	kvarter
neither	ingen
neither	varken...eller
nephew	brorson
nerve	nerv
nervous	nervös
nest	kyffe
net	nät
nettle	brännässla
network	nät
neutral	neutral
never	aldrig
nevertheless	likafullt
never	detgöringenting
new	ny
newspaper	dagblad
next	kommande
next	närmaste
next	bi
nice	angenäm
niche	nisch
nickel	nickel
nickname	binamn
niece	brorsdotter
niggard	gnidare
night	natt
nightingale	näktergal
nightmare	mara
night	aftonbön
nine	nie
nineteen	nitton
nineteenth	nittonde
ninety	nitti
ninth	nionde
nipple	spene
nitrogen	kväve
no	ingen
no	nej
nobility	adel
noble	ädel
nobleman	jarl
nobody	ingen
node	knut
noise	bråk
non	frånvaro
non	underofficer
noncom	underofficer
none	ingen
normal	normal
north	norrut
northern	nordlig
northward	norrut
northwards	norrut
nose	näsa
nostril	näsborr
not	ej
note	biljett
notebook	skrivbok
noteworthy	anmärkningsvärd
nothing	ingenting
notice	anslagstavia
notice	affisch
notion	begrepp
notwithstanding	trots
not	ingalunda
not	ingalunda
nought	noll
noun	substantiv
novel	ny
now	nå
nowadays	nutida
nowhere	ingenstans
nucleus	kärna
nude	bar
null	nolla
number	husnummer
numberplate	nummerplåt
number	husnummer
numeral	nummer
nun	nunna
nurse	ansa
nursery	lekskola
nut	nöt
nuts	dåraktig
nymph	nymf
oak	ek
oar	åra
oasis	oas
oath	ed
oats	havre
obedient	hörsam
obey	hörsamma
object	objekt
obscure	obskur
observe	observera
obstacle	hinder
obstetrician	ackuschörska
obtain	förvärva
obvious	synbarligen
occasion	gång
occur	hända
occurence	händelse
ocean	ocean
oculist	ögonläkare
odd	egendomlig
odor	doft
odour	doft
of	av
offence	anstöt
offend	skällaut
offensive	offensiv
offer	offert
office	byrå
officer	officer
official	officiell
offset	avstånd
offspring	telning
often	ofta
of	varjehanda
of	ökländ
of	adlig
of	sandig
of	avsiden
of	kroppslig
of	solig
of	vinterlig
of	vars
oh	ack
oil	olja
okay	bra
old	gammaldags
old	gammal
olive	oliv
omelette	omelett
omen	varsel
omnibus	omnibus
omnipotence	allmakt
omnipotent	allrådande
omniscient	allvetande
on	i
once	åter
one	någon
onerous	tung
one	varandra
one	hundra
one	tusen
onion	lök
only	bara
only	knappast
on	på
on	infall
on	ackurat
on	uppe
opal	opal
open	stänga
open	stänga
opera	opera
operate	operera
operation	operation
operative	arbetare
ophtalmologist	ögonläkare
opine	anse
opinion	mening
opponent	vedersakare
opportunity	händelse
opposed	emot
opposite	emot
opposition	motsats
oppress	trycka
optician	optiker
optimism	optimism
option	alternativ
oracle	orakel
orange	apelsin
orchestra	orkester
order	befalla
ordinarily	gemenligen
ore	malm
organ	organ
