άρχης	arca
βιοσπηλαιολογία	biospeleologia
βιοτεχνία	artigianato
βιοτεχνολογία	biotecnologia
βιοτεχνολόγος	biotecnologa
βιοτυπολογία	biotipologia
βιοχημεία	biochimica
βιοψία	biopsia
βιοϊατρική	biomedicina
βιοϊατρικός	biomedico
βιοϋλικό	biomateriale
βιρτουόζος	virtuoso
βισμούθιο	bismuto
βιταλισμός	vitalismo
βιταμίνη	vitamina
βιτρίνα	vetrina
βιτριόλι	vetriolo
βιόλα	viola
βιόσφαιρα	biosfera
βιώσιμος	vivibile
βλάκας	stupido
βλάπτω	danneggiare
βλέμμα	sguardo
βλέννα	muco
βλέπω	vedere
βλέφαρο	palpebra
βλήμα	proiettile
βλαβερός	dannoso
βλαστοκύτταρο	cellula staminale
βλασφημία	bestemmia
βλασφημώ	bestemmiare
βλεννόρροια	gonorrea
βλεφαρίδα	ciglia
βοήθεια	aiuto
βοήθεια	aiuto
βοεβοδάτο	voivodato
βοηθάω	aiutare
βοηθός	aiutante
βοιωτικός	aonio
βολέ	volée
βολή	tiro
βολβός	bulbo
βολικός	comodo
βολτ	volt
βολταϊκός	voltaico
βολτόμετρο	voltmetro
βολφράμιο	tungsteno
βομβαρδίζω	bombardare
βομβαρδισμός	bombardamento
βομβιστής	attentatore
βορά	preda
βορράς	nord
βοσκός	pastore
βοσνιακός	bosniaco
βοτανικός	botanico
βοτανολόγος	botanico
βοτανομαντεία	botanomanzia
βοτουλινικός	botulinico
βουβάλι	bufalo
βουβουζέλα	vuvuzela
βουβωνικός	inguinale
βουβός	muto
βουβώνας	inguine
βουδισμός	buddismo
βουλγαρικά	bulgaro
βουλγαρικός	bulgaro
βουλεβάρτο	viale
βουλευτής	deputato
βουλιμία	voracità
βουλκανισμός	vulcanizzazione
βουλοκέρι	ceralacca
βουλώνω	tappare
βουνό	montagna
βουργράβος	burgravio
βουρτσίζω	spazzolare
βουτάνιο	butano
βουτηχτάρα	svasso
βουτιά	tuffo
βουτυρόγαλα	latticello
βούρκος	fango
βούρλο	giunco
βούρτσα	spazzola
βούτυρο	burro
βράγχιο	branchia
βράδυ	sera
βράζω	bollire
βράκτιο	brattea
βράχος	masso
βρέχει	piovere
βρέχει καρεκλοπόδαρα	piove a dirotto
βρέχω	piovere
βρίζω	insultare
βρίσκομαι	trovarsi
βρίσκω	trovare
βραβείο	premio
βραβείο Νόμπελ	premio Nobel
βραβευμένος	premiato
βραδινός	serale
βραδυκαρδία	bradicardia
βραδύτητα	lentezza
βραζιλιάνικος	brasiliano
βραστήρας	bollitore
βραχιόλι	braccialetto
βραχνός	rauco
βραχυπρόθεσμος	a breve termine
βρετανικός	britannico
βρετονικά	bretone
βρικόλακας	vampiro
βρισιά	bestemmia
βρογχεκτασία	bronchiectasia
βρογχικός	bronchiale
βρογχιολίτιδα	bronchiolite
βρογχοκήλη	gozzo
βρογχοκηλικός	gozzuto
βρογχοσκόπηση	broncoscopia
βρογχοτομία	broncotomia
βρομάω	puzzare
βρομιά	porcheria
βροντή	tuono
βροχή	pioggia
βροχερός	piovoso
βροχόμετρο	pluviometro
βρυχηθμός	ruggito
βρόγχος	bronco
βρόμη	avena
βρόμικος	sporco
βρόμιο	bromo
βρόχινος	pluviale
βρόχος	blocco iterativo
βρύση	rubinetto
βυζί	mammella
βυζαντινός	bizantino
βυζαρού	popputa
βυθίζω	immergere
βυθοκόρος	cavafango
βυθός	fondo
βυρσοδέψης	conciatore
βυρωνισμός	byronismo
βυσσινής	cremisi
βωμολόχος	boccaccia
βωμός	altare
βωξίτης	bauxite
βόας	boa
βόδι	bove
βόλι	palla
βόμβα	bomba‎
βόμβος	ronzio
βόρεια σότο	sotho del nord
βόρειο ημισφαίριο	emisfero boreale
βόρειο σέλας	aurora boreale
βόρειος	nordico
βόριο	boro
βόστρυχος	riccio
βότανο	erba
βότκα	vodka
βύνη	malto
βύσσινο	amarena
γάββρος	gabbro
γάβγισμα	latrato
γάβρος	carpino
γάγγραινα	cancrena
γάζα	garza
γάιδαρος	asino
γάλα	latte
γάλλιο	gallio
γάμος	matrimonio
γάμπα	gamba
γάντι	guanto
γάτα	gatto
γάτος	gatto
γέεννα	Geenna
γέλιο	riso
γέμιση	impasto
γένι	barba
γέννα	parto
γέννηση	nascita
γένος	genere
γέροντας	vecchio
γέφυρα	ponte
γήπεδο	campo
γίγαντας	colosso
γίνομαι	diventare
γίντις	yiddish
γαβ	bau
γαβγίζω	abbaiare
γαδολίνιο	gadolinio
γαζέλα	gazzella
γαλάζιος	azzurro
γαλάκτωμα	emulsione
γαλέρα	galera
γαλήνη	serenità
γαλαζοαίματος	sangue blu
γαλακτοκομείο	caseificio
γαλακτοκομικά	latticini
γαλακτοκομικός	caseario
γαλακτοπωλείο	latteria
γαλαντόμος	generoso
γαλαξίας	galassia
γαλαξιακός	galattico
γαλατάς	lattaio
γαλατικός	gallico
γαλβανισμός	galvanizzazione
γαλλικά	francese
γαλλικό κλειδί	chiave a rullino
γαλλικό κόρνο	corno
γαλλικό φιλί	bacio alla francese
γαλλικός	francese
γαλλοφιλία	francofilia
γαλλοφωνία	francofonia
γαλλόφιλος	francofilo
γαλοπούλα	tacchino
γαλόνι	gallone
γαλότσα	caloscia
γαμάω	scopare
γαμέτης	gamete
γαμήσι	scopata
γαμπρός	sposo
γαρίδα	gamberetto
γαργαλώ	solleticare
γαρδένια	gardenia
γαστρίτιδα	gastrite
γαστρεντερίτιδα	gastroenterite
γαστρικός	gastrico
γαστρονομία	gastronomia
γαστρονομικός	gastronomico
γαστροσκόπηση	gastroscopia
γαστροστομία	gastrostomia
γατάκι	gattino
γατόπαρδος	ghepardo
γατόπορτα	gattaiòla
γαϊδουράγκαθο	cardo
γαϊδουράκι	asinello
γαϊδούρα	asina
γαύρος	acciuga
γδέρνω	spellare
γείτονας	vicino
γείτσες	salute
γείωση	terra
γεγονός	avvenimento
γεια	ciao
γειτνίαση	vicinanza
γελάω	ridere
γελοία	ridicolmente
γελοίος	ridicolo
γελοιοποιώ	ridicolizzare
γεμίζω	riempire
γεμιστήρας	caricatore
γενέθλια	compleanno
γενέτειρα	luogo di nascita
γενίκευση	generalizzazione
γενίτσαρος	giannizzero
γενεαλογία	genealogia
γενετική	genetica
γενετιστής	genetista
γενιά	generazione
γενικά	a grandi linee
γενική	genitivo
γενικεύσιμος	generalizzabile
γενικός	generale
γεννήτρια	generatore
γενναιοδωρία	generositá
γενναιόδωρος	generoso
γεννητικά όργανα	genitali
γεννητικός	genitale
γεννιέμαι	nascere
γεννώ	partorire
γενοκτονία	genocidio
γενοκτόνος	genocidiale
γεράκι	astore
γερακάρης	falconiere
γερακίνα	poiana
γερανός	gru
γερμάνιο	germanio
γερμανικά	tedesco
γερμανικός	tedesco
γεροντοκρατία	gerontocrazia
γεροντοκόρη	zitella
γεροντολογία	gerontologia
γεροντοπαλίκαρο	scapolo
γερουσία	senato
γερουσιαστής	senatore
γερούνδιο	gerundio
γευματίζω	pranzare
γεφυροπλάστιγγα	bascula
γεφυροποιία	construzione di ponti
γεωβιολογία	geobiologia
γεωγράφος	geografa
γεωγραφία	geografia
γεωγραφικό πλάτος	latitudine
γεωδαισία	geodesia
γεωεντοπισμός	geolocalizzazione
γεωκεντρικός	geocentrico
γεωλογία	geologia
γεωλογικός	geologico
γεωλόγος	geologo
γεωμαγνητικός	geomagnetico
γεωμετρία	geometria
γεωμορφολογία	geomorfologia
γεωπολιτική	geopolitica
γεωργία	agricoltura
γεωργιανά	georgiano
γεωργικός	agricolo
γεωτεχνικός	geotecnica
γεωτροπισμός	geotropismo
γεύμα	pasto
γεύση	gusto
γεώσφαιρα	geosfera
γη	Terra
γηρατειά	età
γιάντες	forcella
γιάπης	yuppie
γιάρδα	iarda
γιάφκα	covo
για	per
για να	affinché
γιαίνω	guarire
γιαγιά	nonna
γιακάς	bavero
γιακουτικά	iacuto
γιαούρτι	yogurt
γιασεμί	gelsomino
γιατί	perché
γιατρικό	medicamento
γιατρός	medico
γιατρόφιδο	colubro di esculapio
γιγαντιαίος	colosso
γιγαντισμός	gigantismo
γιεν	yen
γιλέκο	corpetto
γινόμενο	prodotto
γιορτάζω	celebrare
γιορτή	festa
γιος	figlio
γιρλάντα	festone
γιόγκα	yoga
γιώτα	iota
γκάζι	acceleratore
γκάιντα	zampogna
γκάφα	gaffe
γκέισα	geisha
γκέτα	ghette
γκέτο	ghetto
γκίμπαλ	sospensione cardanica
γκαζόν	prato
γκαλερί	galleria
γκαλερίστας	gallerista
γκαμπί	gambetto
γκαράζ	garage
γκαρίζω	ragliare
γκασπάτσο	gazpacho
γκιλοτίνα	ghigliottina
γκιόνης	assiolo
γκλάσνοστ	glasnost
γκλίτσα	pastorale
γκλομπ	manganello
γκλουβάιν	vin brulé
γκνου	gnu
γκολφ	golf
γκοργκοντζόλα	gorgonzola
γκουανό	guano
γκουρού	santone
γκοφρέτα	wafer
γκούντα	gouda
γκράπα	grappa
γκράφιτι	graffitismo
γκρέιπφρουτ	pompelmo
γκρίζος	grigio
γκρανκάσα	grancassa
γκρεμός	precipizio
γκριζάρω	ingrigire
γκρο πλαν	primo piano
γκρουμ	boy
γκρουπούσκουλο	gruppuscolo
γκρόσσα	grossa
γκόμενα	gnocca
γλάρος	gabbiano
γλάσο	brillantatura
γλάστρα	vaso da fiori
γλαγολιτικός	glagolitico
γλαδιόλα	gladiolo
γλαρώνω	essere assonnato
γλαφυρός	vivace
γλείφω	leccare
γλειφιτζούρι	lecca-lecca
γλεντοκόπι	baldoria
γλιστρώ	scivolare
γλοιοβλάστωμα	glioblastoma
γλουτένη	glutine
γλουταμίνη	glutammina
γλουτός	natica
γλυκάδι	animelle
γλυκάνισο	anice
γλυκαίνω	ammorbidire
γλυκαιμικός	glicemico
γλυκανάλατος	mieloso
γλυκερίνη	glicerina
γλυκογόνο	glicogeno
γλυκοπατάτα	patata dolce
γλυκοπρωτεΐνη	glicoproteina
γλυκόζη	glucosio
γλυκόξινος	agrodolce
γλυκόπικρος	dolceamaro
γλυκόριζα	liquirìzia
γλυκός	dolce
γλυπτική	scultura
γλυπτοθήκη	gliptoteca
γλυπτό	scultura
γλυφοσάτη	glifosato
γλωσσάριο	glossario
γλωσσικός	linguale
γλωσσοδέτης	scioglilingua
γλωσσολογία	linguistica
γλωσσολογικός	linguistico
γλωσσολόγος	linguista
γλωσσοπίεστρο	abbassalingua
γλόμπος	lampadina
γλύκισμα	dolce
γλύπτης	scultore
γλώσσα	lingua
γλώσσα προγραμματισμού	linguaggio di programmazione
γλώσσα σήμανσης	linguaggio di markup
γνέφω	accennare
γνήσιος	genuino
γνεύσιος	gneiss
γνωρίζω	conoscere
γνωριμία	conoscenza
γνωστικισμός	gnosticismo
γνωστικός	gnostico
γνωστός	conosciuto
γνώθι σαυτόν	conosci te stesso
γνώμη	opinione
γνώμονας	squadra
γνώρισμα	caratteristica
γνώση	conoscenza
γοητεία	seduzione
γομαλάκα	gommalacca
γομολάστιχα	gomma
γονίδιο	gene
γονατίζω	inginocchiarsi
γονατιά	ginocchiata
γονδολιέρης	gondoliera
γονείς	genitori
γονιδίωμα	genoma
γονικός	parentale
γονιμότητα	fertilità
γονυκλισία	genuflessione
γονότυπος	genotipo
γορίλλας	gorilla
γουέστερν	western
γουδί	mortaio
γουδοχέρι	pestello
γουλί	rapa
γουλιά	sorso
γουργουρίζω	far le fusa
γουρλώνω	strabuzzare
γουρουνόπουλο	maialino
γουρούνα	quad
γουρούνι	porco
γοφός	anca
γούνα	pelliccia
γούρι	portafortuna
γούστο	gusto
γούφερ	woofer
γράμμα	lettera
γράσο	grasso
γράφημα	grafema
γράφω	scrivere
γράψιμο	scrittura
γρήγορα	velocemente
γρήγορος	svelto
γρίπη	influenza
γρίπη των πτηνών	influenza aviaria
γρίφος	indovinello
γραβάτα	cravatta
γραβιέρα	groviera
γραμμάριο	grammo
γραμμή	linea
γραμμή εργαλείων	barra degli strumenti
γραμματέας	segretario
γραμματική	grammatica
γραμματικός	grammatico
γραμματοκιβώτιο	buca delle lettere
γραμματοσειρά	font
γραμματόσημο	francobollo
γραμμικός	lineare
γραμμόφωνο	giradischi
γρανίτα	granita
γρανίτης	granito
γραπτός	scritto
γραπώνω	grappare
γρασίδι	erba
γραφέας	amanuense
γραφένιο	grafene
γραφή	scrittura
γραφίτης	grafite
γραφείο	ufficio
γραφειοκράτης	burocrate
γραφειοκρατία	burocrazia
γραφικά	grafica
γραφική διεπαφή χρήστη	interfaccia grafica
γραφικός	pittoresco
γραφολογία	grafologia
γραφομηχανή	macchina da scrivere
γραφόμετρο	grafometro
γριά	vecchia
γριμόριο	grimorio
γροθιά	pugno
γρουσουζιά	iella
γρουσούζης	iettatore
γρύλος	cric
γρύπας	grifone
γυαλί	vetro
γυαλιά	occhiali
γυαλιστερός	lucido
γυαλόχαρτο	carta vetrata
γυμνάσιο	college
γυμνίστρια	nudista
γυμναστήριο	palestra
γυμναστής	allenatore
γυμναστική	ginnastica
γυμνισμός	naturismo
γυμνός	nudo
γυμνότητα	nudità
γυναίκα	donna
γυναικάς	donnaiolo
γυναικείος	donnesco
γυναικοκτονία	femminicidio
γυναικολογία	ginecologia
γυναικολόγος	ginecologo
γυναικομαστία	ginecomastia
γυπαετός	gipeto
γυρίζω	tornare
γυρίνος	girino
γυρολόγος	padellaio
γυροσκόπιο	giroscopio
γυψοσανίδα	cartongesso
γωνία	angolo
γωνιώδης αγκύλη	parentesi angolare
γόνατο	ginocchio
γόνδολα	gondola
γόνιμος	fecondo
γόπα	cicca
γόρδιος δεσμός	nodo gordiano
γύμνια	nudezza
γύπας	avvoltoio
γύρη	polline
γύρω γύρω όλοι	giro giro tondo
γύφτος	zingaro
γύψος	gesso
δάγκωμα	morso
δάδα	fiaccola
δάκρυ	lacrima
δάνειο	prestito
δάπεδο	pavimento
δάσκαλος	maestro
δάσος	foresta
δάφνη	alloro
δάχτυλο	dito
δέκα	dieci
δέκατο	decima
δέκατος	decimo
δέκατος τρίτος	tredicesimo
δέκατος όγδοος	diciottesima
δέκτης	cornetta
δέμα	pacchetto
δέντρο	albero
δένω	legare
δέος	timore
δέρμα	pelle
δέσμη	fascio
δέστρα	bitta
δέχομαι	accettare
δήλωση	dichiarazione
δήμαρχος	sindaco
δήμιος	boia
δήμος	municipalità
δίαιτα	dieta
δίαυλος	bus
δίγαμος	bigamo
δίγλωσσος	bilingue
δίδυμος	gemello
δίεση	diesis
δίκαιος	giusto
δίκαννο	doppietta
δίκη	causa
δίκτυο	rete
δίλημμα	dilemma
δίμηνο	bimestre
δίνη	vortice
δίνω	dare
δίνω γη και ύδωρ	dare terra e acqua
δίοδος	diodo
δίπλα	vicino a
δίπλωμα	diploma
δίποδος	bipede
δίπτερος	dittero
δίσκος	disco
δίστιχο	distico
δίφθογγος	dittongo
δίχτυ	rete
δίψα	sete
δαίμονας	demone
δαγκώνω	mordere
δαδί	esca
δαιμονικός	demoniaco
δαιμονιοπληξία	possessione
δαιμονολογία	demonologia
δακρυϊκός	lacrimale
δακτυλογραφία	dattilografia
δακτυλογραφώ	dattilografare
δακτύλιος	anello
δαμάλα	giovenca
δαμάσκηνο	susina
δανδής	bellimbusto
δανείζω	prestare
δανειστής	creditore
δανικά	danese
δανικός	danese
δαντέλα	merletto
δαπάνη	spesa
δαπανηρός	costoso
δασεία	spirito aspro
δασκάλα	insegnante
δασμός	dazio
δασομυωξός	ghiro
δασότοπος	bosco
δασώδης	boscato
δαχτυλίδι	anello
δείγμα	campione
δείκτης	indice
δείκτης νοημοσύνης	quoziente d'intelligenza
δείπνο	cena
δείχνω	mostrare
δεδικασμένο	pregiudiziale
δεδομένα	dato
δεδομένο	dato
δειγματοληψία	campionamento
δειλία	viltà
δειλός	codardo
δεινόσαυρος	dinosauro
δειπνώ	cenare
δεισιδαιμονία	superstizione
δεκάγωνο	decagono
δεκάλογος	decalogo
δεκάρα	decino
δεκάτη	decima
δεκαέξι	sedici
δεκαδικός	decimale
δεκαεννιά	diciannove
δεκαετία	decade
δεκαεφτά	diciassette
δεκαμηνιαίος	decamestrale
δεκανέας	caporale
δεκαοχτούρα	tortora dal collare orientale
δεκαοχτώ	diciotto
δεκαπέντε	quindici
δεκαπενθήμερο	quindicina
δεκατέσσερα	quattordici
δεκατρία	tredici
δεκατριάγωνο	tridecagono
δεκατόμετρο	decimetro
δελεαστικός	tentatore
δελτίο	certificato
δελταπτέρυγο	ala a delta
δελφίνι	delfino
δελφινάριο	delfinario
δεμάτι	balla
δεν	non
δενδρίτης	dendrite
δενδρογαλιά	couleuvre
δενδροκαλλιέργεια	arboricoltura
δενδρολογία	dendrologia
δενδροχρονολόγηση	dendrocronologia
δεντρολίβανο	rosmarino
δεξίωση	ricevimento
δεξαμενή	serbatoio
δεξαμενή σκέψης	centro di ricerca
δεξαμενόπλοιο	nave cisterna
δεξιά	a destra
δεξιά	destra
δεξιοτεχνία	abilità
δεξιός	destro
δεοντοκρατία	deontocrazia
δεοντολογία	etica
δερματίνη	dermoide
δερματίτιδα	dermatite
δερματικός	cutaneo
δερματολογία	dermatologia
δερματολόγος	dermatologa
δερμογραφία	dermografia
δεσποινίς	signorina
δεσποτισμός	dispotismo
δεσπόζουσα	dominante
δεσπόζω	dominare
δεσπότης	despota
δευτερεύων	secondario
δευτερόλεπτο	secondo
δεόντως	propriamente
δεύτερος	secondo
δηλαδή	cioè
δηλητήριο	veleno
δηλητηριάζω	avvelenare
δηλητηριάστρια	avvelenatrice
δηλητηριασμένος	avvelenato
δηλητηριαστής	avvelenatore
δηλητηριώδης	velenoso
δηλώνω	dichiarare
δημήτριο	cerio
δημαγωγός	demagogo
δημαρχείο	comune
δημεύω	confiscare
δημιουργία	creazione
δημιουργικός	creativo
δημιουργικότητα	creatività
δημιουργισμός	creazionismo
δημιουργιστής	creazionista
δημιουργός	creatore
δημιουργώ	creare
δημογράφος	demografa
δημογραφία	demografia
δημογραφικός	demografico
δημοκράτης	democratico
δημοκρατία	repubblica
δημοκρατικός	democratico
δημοπρασία	asta
δημοσίευμα	pubblicazione
δημοσιογράφος	giornalista
δημοσιογραφία	giornalismo
δημοσιογραφικός	giornalistico
δημοσιονομικός	fiscale
δημοσιότητα	pubblico
δημοσκόπηση	sondaggio
δημοτικό	scuola
δημοτικός	civico
δημοτικότητα	popolarità
δημοφιλής	popolare
δημοψήφισμα	referendum
δημόσια υγεία	sanità pubblica
δημόσιος	pubblico
δημόσιος υπάλληλος	funzionario
δημώδης	linguaggio
δηνάριο	dinaro
διάβαση πεζών	attraversamento pedonale
διάβολος	diavolo
διάγνωση	diagnosi
διάγραμμα	diagramma
διάδημα	diadema
διάδοση	divulgazione
διάδοχος	erede
διάδρομος	corridoio
διάθεση	disposizione
διάθλαση	rifrazione
διάκονος	diacono
διάκριση	distinzione
διάλειμμα	ricreazione
διάλεκτος	dialetto
διάλεξη	lezione
διάλυμα	soluzione
διάμεσος	mediano
διάμετρος	diametro
διάνυσμα	vettore
διάπραξη	commissione
διάρκεια	durata
διάρρηξη	effrazione
διάρροια	diarrea
διάσειση	commozione cerebrale
διάσκεψη	conferenza
διάσταση	dimensione
διάστημα	spazio
διάστρεμμα	slogatura
διάσωση	salvataggio
διάφορος	vario
διάφραγμα	diaframma
διήγημα	favola
διήθηση	filtraggio
διαίρει και βασίλευε	dividi e domina
διαίρεση	divisione
διαίσθηση	intuizione
διαβάζω	leggere
διαβάτης	passante
διαβήτης	compasso
διαβατήριο	passaporto
διαβολάκος	diavoletto
διαβούλευση	consultazione
διαβρωμένος	corroso
διαβρώνω	corrodere
διαβόητος	famigerato
διαγαλαξιακός	intergalattico
διαγνωσιολόγος	diagnosta
διαγνωστικός	diagnòstico
διαγράφω	cancellare
διαγωνίζομαι	concorrere
διαγωνισμός	competizione
διαγώνισμα	esame
διαδήλωση	dimostrazione
διαδίκτυο	internet
διαδίκτυο των πραγμάτων	Internet delle cose
διαδηλωτής	manifestante
διαδηλώνω	manifestare
διαδικασία	procedimento
διαδοχή	successione
διαδοχικός	successivo
διαδραστικός	interattivo
διαδρομή	itinerario
διαζύγιο	divorzio
διαθέσιμος	disponibile
διαθήκη	testamento
διαθεματικός	intersoggettivo
διαθεσιμότητα	disponibilità
διαιρέτης	divisore
διαιρετέος	dividendo
διαιρετότητα	divisibilità
διαιρώ	dividere
διαισθάνομαι	intuire
διαιτητής	arbitro
διαιτολόγος	dietista
διαιωνίζω	perpetuare
διαιώνιση	perpetuazione
διακοίνωση	dichiarazione
διακοπές	vacanze
διακοπτόμενη συνουσία	coito interrotto
διακορεύω	deflorare
διακοσιοστός	duecentesimo
διακοσμητικός	decorativo
διακοσμώ	adornare
διακρίβωση	accertamento
διακρίνουσα	discriminante
διακρίνω	discernere
διακριτικός	discreto
διακριτικότητα	discrezione
διακυβερνητικός	intergovernamentale
διακόπτης	interruttore
διακόπτω	interrompere
διακόσια	duecento
διακόσμηση	decorazione
διακύμανση	oscillazione
διαλέγω	scegliere
διαλειτουργικότητα	interoperabilità
διαλεκτολογία	dialettologia
διαλογίζομαι	meditare
διαλογισμός	meditazione
διαλυμένος	dissolta
διαλυτικά	dieresi
διαλυτός	solubile
διαλυτότητα	solubilità
διαλύτης	solvente
διαμάντι	diamante
διαμάχη	conflitto
διαμέρισμα	appartamento
διαμαρτυρία	protesta
διαμαρτύρομαι	protestare
διαμονή	luogo di residenza
διανεμητής	distributore
διανομή	distribuzione
διαπίστωση	constatazione
διαπασών	diapason
διαπληκτισμός	alterco
διαπραγματεύομαι	negoziare
διαπραγματεύσιμος	negoziabile
διαρκώ	durare
διαρρέω	far trapelare
διαρρήκτης	scassinatore
διαρρηγνύω	rapinare
διαρροή	falla
διασκέδαση	divertimento
διαστημικός	spaziale
διαστημόπλοιο	nave spaziale
διαστολή	dilatazione
διαστρεβλώνω	distorcere
διασυνδετισμός	connessionismo
διασχίζω	attraversare
διαταγή	ordine
διατηρώ	conservare
διατλαντικός	transatlantico
διατονικός	diatonico
διατροπικός	intermodale
διατροφή	alimentazione
διαυγής	chiaro
διαφάνεια	trasparenza
διαφέρω	differire
διαφήμιση	pubblicità
διαφανής	trasparente
διαφημίζω	pubblicizzare
διαφθείρω	corrompere
διαφθορά	corruzione
διαφορά	differenza
διαφορετικά	differentemente
διαφορετικός	differente
διαφοροποίηση	differenziazione
διαφραγματικός	diaframmatico
διαφραγματοκήλη	ernia iatale
διαφωνία	discussione
διαφωνώ	disconvenire
διαχείριση	amministrazione
διαχειρίζομαι	dirigere
διαχειρίστρια	amministratrice
διαχρονικός	diacronico
διαχυτικότητα	espansività
διαχωρίζω την ήρα από το στάρι	separare il buono dal cattivo
διαψεύδω	smentire
διγλωσσία	diglossia
διδάκτορας	dottore
διδάσκω	insegnare
διείσδυση	infiltrazione
διεθνής	internazionale
διεθνής κοινή ονομασία	denominazione comune internazionale
διεθνοποίηση	internazionalizzazione
διεθνοποιώ	internazionalizzare
διεθνώς	internazionalmente
διεισδύω	penetrare
διεμφυλικός	transgender
διεπαφή χρήστη	interfaccia utente
διεπιφάνεια	interfaccia
διεργασία	processo
διερμηνέας	interprete
διερμηνεύω	interpretare
διευθυντής	direttore
διευθύντρια	direttrice
διευκρίνιση	chiarificazione
διευρύνω	allargare
διεφθαρμένος	corrotto
διεύθυνση	indirizzo
διηγούμαι	raccontare
διηνεκής	continuo
διηπειρωτικός	intercontinentale
διθυραμβικός	elogiativo
δικάζω	giudicare
δικαίωμα	diritto
δικαιοδοσία	giurisdizione
δικαιολογία	scusa
δικαιολογημένα	legittimamente
δικαιολογώ	giustificare
δικαιοπραξία	negozio giuridico
δικαιοσύνη	giustizia
δικαστήριο	tribunale
δικαστής	giudice
δικαστικός	giudiziario
δικηγορία	avvocatura
δικηγόρος	avvocato
δικομματισμός	bipartismo
δικράνι	forcone
δικτάτορας	dittatore
δικτατορία	dittatura
διοίκηση	amministrazione
διοικητής	amministratore
διοικητικό συμβούλιο	consiglio d'amministrazione
διοικητικός	amministrativo
διοικώ	amministrare
διοξείδιο	biossido
διοξείδιο του άνθρακα	anidride carbonica
διορατικότητα	perspicacia
διορθώνω	correggere
διοχετεύω	convogliare
διπλά	doppiamente
διπλάσιος	doppio
διπλανός	prossimo
διπλασιάζω	doppiare
διπλοσάγονο	doppio mento
διπλωμάτης	diplomatico
διπλωματία	diplomazia
διπλωματικός	diplomatico
διπλωπία	diplopia
διπλός	doppia
διπλώνω	piegare
διπολικός	bipolare
διπροσωπία	doppiezza
δις	due volte
δισεκατομμυριοστός	miliardesimo
δισεκατομμυριούχος	miliardaria
δισεκατομμύριο	miliardo
δισκέτα	dischetto
δισκοβολία	lancio del disco
δισκοβόλος	discobolo
δισκογραφία	discografia
δισκοθήκη	discoteca
δισκοπρίονο	sega circolare
διστάζω	esitare
δισταγμός	esitazione
διστακτικός	esitante
δισύλλαβος	bisillabo
διττανθρακικό νάτριο	bicarbonato di sodio
διυλιστήριο	raffineria
διφθερίτιδα	difterite
διφορούμενος	ambiguo
διχειλικός	bilabiale
διχοτόμηση	dicotomia
διχοτόμος	bisettrice
διχρωμία	bicromia
διχρωμικός	dicromico
διχόνοια	discordia
διψασμένος	assetato
διωγμός	persecuzione
διόδιο	pedaggio
διόρθωση	correzione
διότι	perché
διώνυμο	binomio
δογματικός	dogmatico
δοθιήνας	foruncolo
δοκάρι	trave
δοκίμιο	saggio
δοκησισοφία	pedanteria
δοκιμάζω	provare
δοκιμή	assagio
δοκιμαστικός σωλήνας	provetta
δοκιμιογράφος	saggista
δολιοφθορά	sabotaggio
δολομίτης	dolomite
δολοφονία	assassinio
δολοφονώ	uccidere
δολοφόνος	assassino
δομή	struttura
δομικός	strutturale
δον	don
δοξάρι	archetto
δοξολογία	dossologia
δορυφόρος	satellite
δοσολογία	dosaggio
δοτική	dativo
δουβλόνι	doblone
δουκάτο	ducato
δουλεία	schiavitù
δουλεύω	lavorare
δουλικός	adulatore
δουλοπάροικος	servo
δουλοπρέπεια	ossequiosità
δουλοπρεπής	ossequioso
δοχείο	recipiente
δούκας	duca
δούκισσα	duchessa
δούλος	schiavo
δούρειος ίππος	cavallo di Troia
δράκος	drago
δράμα	dramma
δράπανο	trapano
δράση	azione
δραγουμάνος	dragomanno
δραγόνος	dragone
δρακόντειος	draconiano
δραματοποιώ	drammatizzare
δραματουργία	drammaturgia
δραματουργός	drammaturga
δραπετεύω	darsela a gambe
δραπετομανία	drapetomania
δραστηριότητα	operositá
δραχμή	dracma
δρεπάνι	falcetto
δρομάδα	dromedario
δρομέας	rotore
δρομολογητής	router
δρομόμετρο	solcometro
δροσερός	fresco
δρυΐδης	druido
δρυοκολάπτης	picchio
δρόμος	via
δυαδικό δέντρο	albero binario
δυαδικός	binario
δυναμίτης	dinamite
δυναμική	dinamica
δυναμικό	potenziale
δυναμό	dinamo
δυναμόμετρο	dinamometro
δυναστεία	dinastia
δυνατός	possible
δυνατότητα	possibilità
δυσάρεστος	sgradevole
δυσαρέσκεια	scontentezza
δυσαρεστημένος	insoddisfatto
δυσαρθρία	disartria
δυσεντερία	dissenteria
δυσκοιλιότητα	stipsi
δυσκολία	difficoltà
δυσλειτουργία	disfunzione
δυσλειτουργικός	disfunzionale
δυσλεξία	dislessia
δυσπαρευνία	dispareunia
δυσπιστία	diffidenza
δυσπρόσιο	disprosio
δυστοκία	irresoluzione
δυστοπία	distopia
δυστοπικός	distopico
δυστυχία	disastro
δυστυχισμένος	infelice
δυστυχώς	purtroppo
δυσφορία	disforia
δυσφωνία	disfonia
δυσφωτικός	disfotico
δυτικοποίηση	occidentalizzazione
δυτικός	occidentale
δυόσμος	menta crispa
δωδέκατος	dodicesimo
δωδεκάγωνο	dodecagono
δωδεκάδα	dozzina
δωδεκάεδρο	dodecaedro
