Aachen	Aquisgrana
Krieg	guerra
Krise	crisi
Krisis	crisi
Kroatien	Croazia
Krokodil	coccodrillo
Krug	brocca
Kröte	rospo
Kuchen	torta
Kugel	globo
Kugelmaschine	pallottoliere
Kuh	vacca
Kulm	punta
Kunde	cliente
Kupfer	rame
Kupplung	frizione
Kurve	curva
Kusine	cugina
Kuvert	busta
Kuss	bacio
Käse	formaggio
Köchin	cuoca
Köder	esca
Königreich	regno
Körper	corpo
Küche	cucina
Kürbis	zucca
Küste	costa
LKW	autocarro
Labyrinth	labirinto
Lache	risa
Lachen	riso
Lachs	salmone
Lade	cassetto
Laden	negozio
Ladung	carico
Lagerhütte	baracca
Laken	lenzuolo
Lamm	agnello
Land	campagna
Landgut	fattoria
Lappland	Lapponia
Last	carico
Lastauto	autocarro
Lastkraftwagen	autocarro
Lasur	azzurro
Lattich	lattuga
Latun	ottone
Laus	pidocchio
Laut	suono
Leben	vita
Leber	fegato
Leder	cuoio
Lehm	argilla
Lehnstuhl	poltrona
Lehraufgabe	lezione
Lehrer	maestro
Lehrerin	maestra
Leib	corpo
Leichdorn	callo
Leiter	amministratoredelegato
Lektion	lezione
Lenkrad	remo
Lenz	primavera
Lerche	allodola
Leuchtturm	faro
Leute	gente
Licht	candela
Liebhaber	dilettante
Lied	canzone
Lift	ascensore
Liga	banda
Linde	tiglio
Lindenbaum	tiglio
Linie	linea
Linse	lenticchia
Lippe	labbro
Liste	lista
Litauen	Lituania
Loch	buco
Lohn	ricompensa
Lokomotive	locomotiva
London	Londra
Lorbeer	alloro
Lorbeerbaum	alloro
Luft	aria
Lunge	polmone
Lunte	coda
Lust	desiderio
Lustspiel	commedia
Luxus	lusso
Löffel	cucchiaio
Löschpapier	cartaasciugante
Löwe	leone
Macht	potere
Magen	stomaco
Mai	maggio
Mailand	Milano
Mais	granturco
Makrele	sgombro
Maler	pittore
Mandel	mandorla
Mangold	barbabietola
Manier	maniera
Manko	mancanza
Mann	uomo
Mannschaft	equipaggio
Marille	albicocca
Mariä Verkündigung	Annunciazone
Markise	tettoia
Markt	bazar
Marktplatz	mercato
Marmelade	marmelata
Marmor	marmo
Maschine	macchina
Masse	massa
Mast	albero
Material	materiale
Materie	materia
Matratze	materasso
Mauer	muro
Maul	bocca
Maulbeerbaum	gelso
Maulesel	mulo
Maultier	mulo
Maus	sorcio
Maß	misura
Mechaniker	meccanico
Meer	mare
Meerrettich	barbaforte
Megäre	megera
Mehl	fioredellafarina
Mehrwehrtsteuer	IVA
Meinung	significato
Meißel	scalpello
Melone	melone
Menge	folla
Menü	lista
Merkzeichen	segno
Messer	coltello
Messias	Messia
Messing	ottone
Metall	metallo
Methode	metodo
Miene	aria
Miesmuschel	vongola
Milch	latte
Million	milione
Mineral	minerale
Ministerium	ministero
Minze	menta
Mischling	bastardo
Mitgift	dote
Mitglied	membro
Mittagessen	colazione
Mitte	mezzo
Mittel‐	medio
Mittel	arnese
Mittelpunkt	centro
Mittelwort	participio
Mittwoch	mercoledì
Mobilär	mobili
Modistin	modista
Mohrrübe	carota
Monat	mese
Mond	luna
Monolog	monologo
Monstrum	mostro
Montag	lunedì
Monument	monumento
Moped	ciclomotore
Morgen	mattina
Moskito	zanzara
Mostrich	mostarda
Motor	motore
Motorrad	motocicletto
Mund	bocca
Mundart	dialetto
Muschel	conchiglia
Museum	museo
Musikaufführung	concerto
Musiker	musicista
Muskel	muscolo
Muster	campione
Mut	coraggio
Mutter	madrevite
Mädchen	piccola
Märchen	favola
März	marzo
Möhre	carota
Möwe	gabbiano
Mündung	bocca
Münster	catedrale
Münze	moneta
Nachbar	vicino
Nachhut	retroguardia
Nachkommenschaft	generazione
Nachmittag	pomeriggio
Nacht	notte
Nachtigall	usignolo
Nachtisch	dessert
Nachwuchs	generazione
Nadel	ago
Nagel	chiodo
Nahrung	alimento
Nahrungsmittel	alimento
Name	nome
Nase	naso
Nashorn	rinoceronte
Natter	vipera
Natur	natura
Nebel	nebbia
Neffe	nipote
Nelke	garofano
Nerv	nervo
Netz	rete
Neujahr	capod'anno
Nichte	nipote
Niederlage	disfatta
Niederlande	Olanda
Niederländer	Olandese
Niere	rene
Niveau	livello
Norden	nord
Norwegen	Norvegia
Norweger	norvegese
Not	miseria
Notar	notaio
November	novembre
Nummer	numero
Nutzen	beneficio
Nuss	noce
Nussbaum	noce
Oberarm	omero
Oberhaupt	capo
Oberschenkel	coscia
Objekt	cosa
Obstwein	sidro
Ochs	bue
Offerte	offerta
Ohr	orecchio
Oktober	ottobre
Okzident	ovest
Olive	oliva
Olivenbaum	olivo
Onkel	zio
Optiker	ottico
Orange	arancia
Orangenbaum	arancio
Orient	est
Ort	luogo
Osten	est
Ostern	Pasqua
Ostsee	Baltico
Paket	pacco
Palast	palazzo
Panorama	vista
Papagei	pappagallo
Papier	carta
Papierkorb	cestinoperlacarta
Pappel	albero
Paris	Parigi
Partei	partito
Partie	parte
Partizip	participio
Partizipium	participio
Passagier	passagiere
Pasta	pasta
Paste	pasta
Pastor	curato
Pate	compare
Pater	padre
Pass	passaporto
Pelz	pelle
Pension	pensione
Pensum	compito
Person	persona
Petersilie	prezzemolo
Petroleum	petrolio
Pfad	sentiero
Pfanne	casseruola
Pfarrer	curato
Pfeffer	pepe
Pferd	cavallo
Pflanzen	pianta
Pflanzung	pianta
Pflug	aratro
Pfote	gamba
Pfrieme	punteruolo
Pfropfen	sughero
Phantasie	fantasia
Philosoph	filosofo
Phrase	frase
Pilz	fungo
Pionier	iniziatore
Plan	intenzione
Platz	luogo
Pneumatik	gomma
Poem	poema
Poesie	poesia
Poet	poeta
Pokal	calice
Pole	polacco
Polen	Polonia
Politik	politica
Polizei	polizia
Polizeiamt	questura
Polizeiwache	questura
Polizist	guardia
Pomeranze	arancia
Portion	porzione
Porto	affrancatura
Portugal	Portogallo
Portugiese	portoghese
Post	posta
Postamt	ufficiopostale
Postfach	casellapostale
Postkarte	cartolinapostale
Potenz	potere
Preis	premio
Preisausschreiben	concorso
Pressen	pressione
Priester	curato
Prinzip	principio
Probe	campione
Probestück	campione
Problem	problema
Produktion	prodotto
Profession	professione
Projekt	progetto
Proklamation	pubblicazione
Promotion	promozione
Proselyt	convertito
Protektion	protezione
Protokoll	contravvenzione
Prozess	processo
Prämie	premio
Prüfungszeugnis	diploma
Puls	polso
Pulsader	arteria
Pumpe	pompa
Punkt	punto
Puppe	bambola
Päckchen	pacco
Quartier	circondario
Quelle	fonte
Quittung	ricevuta
Rabe	corvo
Rache	vendetta
Rad	bicicletta
Radiergummi	gomma
Radieschen	ravanello
Radio	radio
Rahm	crema
Rand	orlo
Rasse	razza
Rat	avviso
Rathaus	municipio
Ration	porzione
Rationalität	ragione
Ratschlag	avviso
Ratte	topo
Rauch	fumo
Raucherabteil	fumatori
Raum	spazio
Raupe	bruco
Rebe	vite
Rebhuhn	pernice
Rechenbrett	abaco
Rechenmaschine	pallottoliere
Rechnung	fattura
Recht	diritto
Redensart	frase
Regal	asse
Regel	regola
Regen	pioggia
Regenbogen	arcobaleno
Reichtum	ricchezza
Reifen	gomma
Reihenfolge	ordine
Reinheit	pulizia
Reinlichkeit	pulizia
Reis	riso
Reise	viaggio
Reisepass	passaporto
Rendezvous	appuntamento
Republik	repubblica
Respekt	rispetto
Restaurant	ristorante
Restauration	ristorante
Resultat	risultato
Revue	rivista
Rhein	Reno
Richter	giudice
Rinde	corteccia
Rindfleisch	manzo
Ring	anello
Risiko	rischio
Riss	progetto
Robe	abito
Roggen	segale
Rohr	condotto
Rollladen	persiana
Rom	Roma
Roman	romanzo
Rot	rosso
Rotte	compagnia
Rover	bicicletta
Ruder	remo
Ruf	appello
Ruhe	riposo
Runkelrübe	barbabietola
Russe	russo
Rute	coda
Russland	Russia
Räuber	bandito
Röhre	condotto
Rübe	rapa
Rücken	dorso
Rückgrat	spinadorsale
Rüster	olmo
Sabbat	sabato
Sache	affare
Sahne	crema
Saison	stagione
Salat	lattuga
Salbei	salvia
Salm	salmone
Salon	salotto
Salz	sale
Salär	paga
Samstag	sabato
Sand	sabbia
Sarg	cassasamorto
Satanas	Satana
Satz	frase
Sauberkeit	pulizia
Sauce	salsa
Saum	orlo
Schachtel	scatola
Schaden zufügen	danneggiare
Schaf	pecora
Schaffner	capotreno
Schale	bacino
Schall	suono
Schalter	sportello
Schalterfenster	sportello
Schaltjahr	annobisestile
Schankraum	bar
Schatten	ombra
Schaum	schiuma
Schauspieler	attore
Scheck	assegno
Scheidewasser	acquaforte
Scheidung	divorzio
Schein	banconota
Schenkel	coscia
Schere	forbici
Scherz	scherzo
Scheune	granaio
Schiebefenster	sportello
Schiefer	ardesia
Schiefergestein	ardesia
Schiff	navata
Schiffsdeck	coperta
Schinken	prosciutto
Schirm	protezione
Schlacht	battaglia
Schlaf	sonno
Schlafwagen	vetturaletti
Schlafzimmer	cameradaletto
Schlag	apoplessia
Schlagader	arteria
Schlagfluss	apoplessia
Schlamm	fango
Schlange	serpente
Schlauch	condotto
Schleppe	coda
Schlepper	rimorchiatore
Schlips	cravatta
Schloss	castello
Schlussrechnung	bilancio
Schläfe	tempia
Schlüssel	chiave
Schmerz	dolore
Schmerz verursachen	farmale
Schmetterling	farfalla
Schmutz	fango
Schnabel	becco
Schnecke	chiocciola
Schneckenlinie	elica
Schnee	neve
Schneider	sarto
Schnittlauch	cipollina
Schnurrbart	baffi
Schokolade	cioccolata
Schornstein	fumaiuolo
Schotte	scozzese
Schottland	Scozia
Schrank	armadio
Schranke	parapetto
Schraube	elica
Schraubenschlüssel	chiave
Schreibmaschine	macchinadascrivere
Schriftsteller	autore
Schritt	passo
Schublade	cassetto
Schuh	scarpa
Schuhmacher	calzolaio
Schuld	debito
Schule	scuola
Schulter	spalla
Schuppe	squama
Schuster	calzolaio
Schutz	protezione
Schutzmann	guardia
Schwager	cognato
Schwalbe	rondine
Schwanz	coda
Schwarz	nero
Schwede	svedese
Schweden	Svezia
Schweif	coda
Schwein	porco
Schweinefleisch	maiale
Schweiz	Svizzera
Schweizer	svizzero
Schwelle	soglia
Schwester	sorella
Schwieger‐	perviadimatrimonio
Schwiegersohn	genero
Schwiegervater	suocero
Schwiele	callo
Schädel	cranio
Schüler	allievo
See	lago
Seehund	foca
Seekrankheit	maldimare
Seemann	marinaio
Seezunge	sogliola
Segel	vela
Sehen	vista
Seite	fianco
Sektion	divisione
Sekunde	secondo
Selbstherrscher	autocrate
Sellerie	sedano
Semmel	panino
Senf	mostarda
Senkel	filo
Sense	falce
September	settembre
Serviette	tovagliolo
Sex	sesso
Sicherheit	sicurezza
Sicht	vista
Sie	tu
Sieg	vittoria
Silber	argento
Sizilien	Sicilia
Skandal	scandalo
Skelett	scheletro
Skizze	progetto
Slang	gergo
Sohle	pianta
Sohn	figlio
Sommer	estate
Sonnabend	sabato
Sonne	sole
Sophisma	sofisma
Sorge	cura
Sorte	genere
Souper	cena
Sozietät	compagnia
Soße	salsa
Spalte	crepa
Spanien	Spagna
Spanier	spagnolo
Spargel	asparago
Spatz	passero
Spaß	scherzo
Speck	lardo
Speisekarte	lista
Speisesaal	saladapranzo
Speisezimmer	saladapranzo
Spende	dono
Sperling	passero
Spezimen	campione
Sphäre	sfera
Spiegel	specchio
Spiel	giuoco
Spielzeug	giuocattolo
Spinat	spinaci
Spinne	ragno
Spitze	punta
Sport	sport
Sprache	lingua
Springbrunnen	fontana
Spiritus	alcool
Spruch	giudizio
Sprung	salto
Staat	stato
Staatsangehörigkeit	cittadinanza
Stachel	spina
Stachelbeere	ribes
Stadt	città
Stadtviertel	circondario
Staffel	grado
Stahl	acciaio
Stall	stalla
Stamm	tronco
Standarte	stendardo
Standbild	statua
Stange	barra
Stapel	folla
Statue	statua
Staub	polvere
Staude	arbusto
Stechmücke	zanzara
Steg	sentiero
Steig	sentiero
Stein	pierra
Steinbock	Capricorno
Steinmasse	roccia
Stelle	luogo
Stemmeisen	scalpello
Stern	stella
Sterz	coda
Steuer	remo
Steuerabgabe	contribuzione
Steuerbord	destra
Stiege	scala
Stiel	tenaglie
Stier	toro
Stift	chiodo
Stillstand	fermata
Stimme	voce
Stirn	fronte
Stock	piano
Stockholm	Stoccolma
Stockwerk	piano
Stollen	galleria
Stoß	spinta
Strafe	punizione
Straferlass	amnistia
Strahl	sciopero
Strand	spiaggia
Strauch	arbusto
Straße	via
Straßenbahn	tram
Strecke	cammino
Streich	colpo
Streichholz	fiammifero
Streit	conflitto
Strich	linea
Strunk	tronco
Strömung	corrente
Stube	camera
Student	studente
Stufe	grado
Stuhl	sedia
Sturm	tempesta
Sturzbad	doccia
Stätte	luogo
Stöpsel	sughero
Stück	parte
Stütze	sostegno
Suffix	suffisso
Summe	importo
Suppe	minestra
System	sistema
Säge	sega
Sänger	cantante
Südamerika	AmericadelSud
Süden	sud
Tag	giorno
Tagebuch	diario
Tagesanbruch	alba
Tal	valle
Tanne	abete
Tanz	ballo
Tasse	tazza
Tastatur	pianola
Tat	azione
Tatsache	fatto
Tau	rugiada
Taube	piccione
Taufe	battesimo
Tausch	cambiamento
Tausend	migliaio
Tee	tè
Teebüchse	teiera
Teer	catrame
Teich	stagno
Teig	pasta
Teil	parte
Teilnahmslosigkeit	apatia
Teint	carnagione
Teller	piatto
Tempo	velocità
Tenne	aia
Teppich	tappeto
Terrain	luogo
Territorium	teritorio
Tessin	Ticino
Testimonium	certificatoattestato
Teufel	Satana
Theater	teatro
Thunfisch	tonno
Tiefe	abisso
Tier	animale
Tierhaut	pelle
Tierkreis	zodiaco
Tiger	tigre
Tinte	inchiostro
Tisch	tavolo
Tischlade	cassetto
Tischtuch	toviglia
Tochter	figlia
Tod	morte
Todeskampf	agonia
Toilettenpapier	cartaigienica
Tomate	pomodoro
Ton	accento
Tonerde	argilla
Tonne	barile
Torheit	follia
Tour	viaggio
Tracht	abito
Tragweite	importanza
Traktat	contratto
Trank	bevanda
Transport	trasporto
Traube	acino
Traum	sogno
Treppe	scala
Trieb	spinta
Triebfeder	molla
Trinkgeld	mancia
Tritt	passo
Triumph	vittoria
Trompete	tromba
Tropfen	goccia
Trost spenden	consolare
Trug	truffa
Träger	facchino
Träne	lagrima
Tugend	virtú
Tunke	salsa
Turm	torre
Tyrann	tiranno
Tätigkeit	funzione
Täuschung	truffa
Tümmler	delfino
Tümpel	stagno
Tür	porta
Türke	turco
Türkei	Turchia
Uhr	orologio
Uhrmacher	orlogiaio
Ulme	olmo
Umgebung	ambiente
Umschag	coperta
Umschlag	busta
Umstandswort	avverbio
Unfall	accidente
Ungar	ungherese
Ungarn	Ungheria
Ungeheuer	mostro
Ungemach	disastro
Ungetüm	mostro
Unglück	disastro
Unhold	mostro
Universität	università
Unterarm	avambraccio
Unterhaltung	conversazione
Unterhandlung	trattamento
Unterhose	mutande
Unterleib	ventre
Unternehmung	impresa
Unterrichtsstunde	lezione
Unterschenkel	gamba
Unterschleif	truffa
Unterschrift	firma
Untertasse	piattino
Urahn	bisnonno
Urenkel	pronipote
Urgroßvater	bisnonno
Urheber	autore
Urkunde	diploma
Ursache	causa
Ursprung	discendenza
Urteil	giudizio
Usus	costume
Valet	addio
Variation	variazone
Vater	padre
Vaterland	patria
Vene	vena
Venedig	Venecia
Ventil	valvola
Verachtung	sprezzo
Veranlassung	causa
Verband	banda
Verbannung	esilio
Verbindung	banda
Verbrauchssteuer	dazioconsumo
Verbrechen	delitto
Verdacht	sospetto
Verdeck	coperta
Verderbnis	difetto
Verdienst	beneficio
Verehrung	considerazione
Vereinigte Staaten	America
Verfasser	autore
Verfolgung	inseguimento
Vergangenheit	passato
Vergehen	delitto
Vergnügen	piacere
Verhalten	condotta
Verhandlung	trattamento
Verhältnis	relazione
Verkauf	vendita
Verkettung	ordine
Verletzung	ferita
Verlies	prigione
Verlust	perdita
Vermehrung	crescimento
Vermerk	osservazione
Vermächtnis	dono
Vernunftforscher	filosofo
Vernunftgemäßheit	ragione
Verpackung	bagaglio
Versammlung	convegno
Verschluss	serratura
Versehen	errore
Versicherung	assicurazione
Versprechen	promessa
Vertrag	contratto
Vertrauen	fiducia
Vertrieb	smercio
Verwaltung	amministrazione
Verwandter	parente
Verwandtschaft	parentado
Verweigerung	rifiuto
Verwundung	ferita
Verzeichnis	catalogo
Veränderung	cambiamento
Vetter	cugino
Viertel	quartod'ora
Viertelstunde	quartod'ora
Violoncello	violoncello
Visite	visita
Vogel	uccello
Vokabel	parola
Volk	popolo
Vollmond	plenilunio
Volumen	tomo
Vorbedeutung	augurio
Vorfahr	antenato
Vorhang	cortina
Vorname	prenome
Vorrichtung	apparecchio
Vorsteher	amministratoredelegato
Vorstellung	idea
Vorteil	beneficio
Vorurteil	pregiudizio
Vorwürfe machen	riprendere
Vorzeichen	augurio
Waage	bilancia
Wade	polpaccio
Wagen	vagone
Wagentür	portiera
Waggon	vagone
Wagnis	rischio
Wagon	vagone
Wahl	scelta
Wahrheit	verità
Wahrsagung	augurio
Wald	bosco
Wales	Galles
Walfisch	balena
Wallfahrt	pelegrinaggio
Walze	cilindro
Wand	muro
Wandbrett	asse
Wandelgang	galleria
Wange	guancia
Warenhaus	bazar
Warenrechnung	fattura
Warnung	avviso
Warteraum	salad'aspetto
Wartesaal	salad'aspetto
Waschanstalt	lavanderia
Wasser	acqua
Wasserfall	cascata
Wechsel	cambiale
Wecker	sveglia
Wedel	coda
Weg	cammino
Weh	dolore
Wehr	difesa
Weib	megera
Weide	salcio
Weigerung	rifiuto
Weiher	stagno
Weihnachten	Natale
Weile	durata
Wein	vino
Weinberg	vigna
Weinstock	vite
Weintraube	acino
Weise	maniera
Weisheit	freccia
Weisung	ordine
Weite	distanza
Weizen	frumento
Welle	onda
Welt	mondo
Werk	affare
Werkzeug	arnese
Wert	valore
Wespe	vespa
Westen	ovest
Wettbewerb	concorso
Wetter	tempo
Widerstreit	conflitto
Widerwillen	avversione
Wien	Vienna
Wildnis	deserto
Wildschwein	cinghiale
Wille	volontà
Wind	vento
Wink	segno
Wipfel	cima
Wirksamkeit	funzione
Wirt	maestro
Wissen	conoscenza
Wissenschaft	scienza
Witterung	tempo
Woche	settimana
Woge	onda
Wohlgefallen	piacere
Wohlklang	accordo
Wohnhaus	alloggio
Wohnort	residenza
Wohnsitz	residenza
Wohnung	alloggio
Wohnzimmer	stanza
Wolf	lupo
Wolke	nube
Wonne	allegria
Wort	parola
Wuchs	crescimento
Wucht	peso
Wundarzt	chirurgo
Wunde	ferita
Wunsch	desiderio
Wurm	verme
Wurst	salsiccia
Wörterbuch	dizionario
Würfel	cubo
Wüste	deserto
Wüterich	tiranno
Zacke	punta
Zahl	numero
Zahlmeister	commissario
Zahlung	pagamento
Zahnarzt	dentista
Zahnfleisch	gengiva
Zehe	ditodelpiede
Zeichen	segno
Zeichnung	disegno
Zeile	linea
Zeit	tempo
Zeitschrift	rivista
Zeitung	giornale
Zensor	censore
Zensur	censura
Zentimeter	centimetro
Zentrum	centro
Zerberus	Cerbero
Zertifikat	certificatoattestato
Zession	cessione
Zettel	carta
Zeug	guardaroba
Zeughaus	arsenale
Zeugnis	certificatoattestato
Zicke	capra
Zider	sidro
Ziege	capra
Ziegel	mattone
Ziegelstein	mattone
Ziegenbock	caprobecco
Ziehharmonika	fisarmonica
Ziel	proposito
Zimmer	camera
Zimmerdecke	soffitto
Zimmermädchen	cameriera
Zinke	punta
Zinn	stagno
Zins	interesse
Zinsabschnitt	cedola
Zipfel	punta
Zirkel	cerchio
Zirkus	circo
Zitadelle	cittadella
Zitat	citazione
Zitrone	limone
Zodiakus	zodiaco
Zofe	cameriera
Zollamt	dogana
Zone	cintura
Zucker	zucchero
Zufall	caso
Zufluchtsstätte	asilo
Zufluss	altamarea
Zug	treno
Zukunft	avvenire
Zunahme	crescimento
Zunge	lingua
Zuruf	chiamata
Zusage	accoglienza
Zusammenkunft	convegno
Zusammenstellung	accomodamento
Zuspruch	ammonimento
Zutat	materiale
Zuversicht	fiducia
Zweck	proposito
Zweig	ramo
Zwerg	nano
Zwieback	biscotto
Zwiebel	cipolla
Zwielicht	crepuscolo
Zwinger	torre
Zwirn	filo
Zylinder	cilindro
Zypern	Cipro
Zypresse	cipresso
Zündholz	fiammifero
Zürich	Zurigo
ab	di
abbetteln	implorare
abbeuchen	lavare
abbrechen	rompere
abdecken	scoprire
abends	disera
abergläubisch	superstizioso
abermalig	ancora
abermals	ancora
abessinisch	abissino
abgedroschen	banale
abgelebt	decrepito
abgeschmackt	assurdo
abgesondert	separato
abgewöhnen	perderel'abitunidedi
abhanden	perduto
abhängen	dipendere
abhängig	dipendente
ablehnen	rifiutarsi
ableiten	concludere
ablösen	rilevare
abmessen	misurare
abnehmen	amputare
abpflügen	rompere
abreisen	andarsene
abreißen	rompere
abräumen	ritirare
abschlagen	rifiutarsi
abschneiden	amputare
abschweifen	svoltare
abschätzen	apprezzare
abschüssig	ripido
absichtlich	apposta
absondern	separare
abstammen	discendere
abstrakt	astratto
abstumpfen	irritare
absurd	assurdo
abteilen	separare
abtrennen	separare
abtreten	cedere
abweichen	svoltare
abwesend	assente
abwägen	pesare
abzahlen	pagare
abzeichnen	disegnare
acht	otto
achtbar	onorevole
achten	rispettare
achtgeben	aspettare
achtlos	negligente
achtzehn	diciotto
achtzig	ottanta
addieren	aggiungere
adieu	addio
adjektivisch	aggettivo
administrieren	amministrare
adressieren	indirizzare
affektieren	posare
afghanisch	afgano
afrikanisch	africano
afterreden	calunniare
agieren	agire
ahnden	castigare
akklamieren	acclamare
akkurat	esatto
aktiv	attivo
aktuell	attuale
akut	acuto
albanesisch	albanese
albanisch	albanese
albern	ignorante
algerisch	algerino
allein	non...che
alleinig	solo
allemal	sempre
allenthalben	dappertutto
allerdings	certamente
allerlei	diognigenere
allerliebst	affascinante
allerorten	dappertutto
alles	tutto
allgemein	comune
alljährlich	annualmente
allmählich	pocoapoco
alltäglich	ognigiorno
allwissend	onnisciente
allzeit	sempre
als	che
alsbald	frapoco
alsdann	allora
also	perciò
als Tatsache feststellen	constatare
als ob	comese
alt	vecchio
altertümlich	antico
amerikanisch	americano
amortisieren	ammortizzare
amputieren	amputare
amtlich	ufficiale
amüsieren	divertire
am liebsten	piuttosto
am meisten	estremamente
an	a
analysieren	analizzare
anbeten	adorare
anbrechen	cominciare
anbringen	portare
anderer	altro
andernfalls	diversamente
andernteils	d'altronde
anders	altro
anderswo	altrove
andeuten	indicare
andringen	insistere
aneinander	insieme
anerkennen	confessare
anfallen	attaccare
anfangen	cominciare
anfechten	protestare
anfertigen	fabbricare
anfragen	domandare
anfänglich	all'inizio
anführen	citare
angeben	denunciare
angehen	concernere
angehören	appartenere
angemessen	conveniente
angenehm	gradevole
angreifen	irritare
angrenzend	vicino
angängig	possibile
anhalten	fermarsi
anhängen	sospendere
anhören	ascoltare
anklagen	accusare
ankleiden	vestire
ankündigen	annunciare
anlangen	concernere
anlegen	affigere
anlehnen	sostenere
anmelden	annunciare
anmutig	affascinante
annehmen	accettare
annullieren	annullare
annähernd	circa
anorden	predisporre
anpflanzen	piantare
anpreisen	lodare
anregen	stimolare
anreizen	incitare
anrufen	chiamare
anrühren	toccare
anschaulich	distinto
anschaulich	chiaro
anschließen	annunciare
anschwärzen	calunniare
ansehen	vedere
anspannen	caricare
anspielen	alludere
anspielen auf	alludere
anspruchslos	modesto
anstarren	fissare
anstecken	infettare
anstellig	abile
anstoßend	vicino
anständig	onesto
antarktisch	antartico
antik	antico
antiseptisch	antisettico
antizipieren	anticipare
antreffen	incontrare
antun	causare
antworten	replicare
anverwandt	congiunto
anwachsen	crescere
anweisen	indicare
anwenden	applicare
anwerben	arruolare
anwesend	presente
anzeigen	annunciare
anziehen	attirare
applaudieren	applaudire
approbieren	approvare
arabisch	arabo
arbeiten	lavorare
arbeitsam	attivo
arg	grave
argwöhnen	sospettare
arm	povero
armenisch	armeno
arrangieren	predisporre
arretieren	arrestare
artig	cortese
asiatisch	asiatico
assistieren	aiutare
assyrisch	assiro
athenisch	ateniese
atmen	respirare
auch	anche
aufbauen	costruire
aufbewahren	conservare
aufbieten	pubblicare
aufbrechen	rompere
aufgehen	salire
aufhalten	tenere
aufheben	alzare
aufhetzen	incitare
aufhängen	sospendere
aufhören	cessare
aufladen	caricare
auflösen	analizzare
aufmachen	aprire
aufmerksam	attento
aufmessen	misurare
aufpassen	aspettare
aufputzen	decorare
aufrecht	destro
aufreizen	incitare
aufrichtig	sincero
aufstehen	alzarsi
aufsuchen	cercare
auftauen	sgelare
aufwiegen	valere
aufziehen	caricare
aufzählen	contare
auf Wiedersehen	addio
auf die Weise	così
auf keiner Weise	innessunmodo
augenscheinlich	chiaro
ausbessern	migliorare
ausbeuten	sfruttare
ausersehen	destinare
ausfallen	attaccare
ausführen	compiere
ausgehen	uscire
ausgelassen	cattivo
ausgenommen	eccetto
ausgiebig	ricco
aushorchen	ascoltare
auskömmlich	sufficiente
ausleeren	vuotare
auslegen	spendere
auslesen	eleggere
auslöschen	spegnere
ausmerzen	rifiutare
ausnutzen	sfruttare
ausputzen	decorare
ausreichen	bastare
ausreißen	fuggire
ausrufen	proclamare
ausrücken	uscire
ausschauen nach	cercare
ausschlagen	rifiutarsi
ausspannen	caricare
aussprechen	pronunciare
austeilen	distribuire
australisch	australiano
austrocknen	seccare
ausweichen	evitare
auswendig	amemoria
auswählen	eleggere
auswärtig	all'estero
auszahlen	pagare
auszeichnen	distinguere
aus dem Kopfe	amemoria
authentisch	vero
außerdem	d'altronde
außerordentlich	straordinario
avisieren	annunciare
backen	cuocere
baden	bagnare
bald	frapoco
baldig	frapoco
banal	banale
bang	angoscioso
bannen	bandire
bar	contante
barbieren	farlabarba
barsch	rozzo
bauen	costruire
baufällig	decrepito
beabsichtigen	intendere
beachten	aspettare
beanstanden	protestare
beantworten	replicare
beaufsichtigen	osservare
beauftragen	caricare
beben	tremare
bedauern	rincrescere
bedecken	coprire
bedeuten	significare
bedeutend	grave
bedeutsam	grave
bedienen	servire
bedrohen	minacciare
bedrücken	premere
beeidigen	giurare
beeilen	accelerare
beeinträchtigen	nuocere
beenden	finire
beendigen	finire
beengen	disturbare
beerben	ereditare
beerdigen	seppellire
befallen	attaccare
befestigen	fissare
befinden	trovare
befolgen	ubbidire
befreien	liberare
befremden	sorprendere
befremdend	strano
befördern	accelerare
befürchten	avertimore
begabt	abile
begegnen	incontrare
begierig	avido
beginnen	cominciare
begleiten	accompagnare
beglückwünschen	felicitare
begreifen	capire
begreiflich	comprensibile
begrenzen	limitare
begrifflich	astratto
begründen	fondere
begrüßen	salutare
begutachten	criticare
begünstigen	favorire
behagen	piacere
behaglich	gradevole
behalten	conservare
behandeln	guarire
beharren auf	insistere
behaupten	asserire
behelligen	impedire
behände	agile
beherrschen	dominare
behindern	impedire
bei	a
beichten	confessare
beifügen	aggiungere
beinahe	quasi
beipflichten	concordare
beisammen	insieme
beispringen	aiutare
beistehen	aiutare
beistimmen	concordare
beizeiten	intempo
beißen	mordere
bejahen	affermare
bejahrt	vecchio
bekannt	conosciuto
bekehren	convertire
bekleiden	occupare
beklemmen	premere
bekommen	ricevere
bekräftigen	confermare
beköstigen	alimentare
beladen	caricare
belagern	assediare
belasten	caricare
belauschen	spiare
belegen	coprire
belehren	insegnare
beleidigen	insultare
belieben	piacere
beliebig	arbitrario
belohnen	ricompensare
belustigen	divertire
belästigen	disturbare
belügen	mentire
bemerken	osservare
benachbart	vicino
benachrichten	informare
beneiden	invidiare
benennen	chiamare
benutzen	impiegare
benötigen	averbisognodi
beobachten	osservare
bequem	comodo
beraten	consigliare
berauben	derubare
berauscht	brillo
berechnen	calcolare
bereden	discutere
bereit	pronto
bereiten	allestire
bereits	già
bereitwillig	volentieri
bergen	nascondere
berichtigen	correggere
beruhigen	calmare
berücksichtigen	considerare
berühmt	celebre
