Abissinia	Abessinien
giovane	jung
giovare	dienen
gioved	Donnerstag
giraffa	Giraffe
giudice	Richter
giudizio	Gericht
giugno	Juni
giuocattolo	Spielzeug
giuoco	Aufführung
giuramento	Eid
giurare	beeidigen
giustamente	bündig
giusto	bündig
gi	unten
gi	bereits
gli	das
globo	Globus
goccia	Tropfen
gola	Gurgel
gomito	Ellbogen
gomma	Gummi
gorga	Gurgel
governare	herrschen
gradevole	freundlich
grado	Grad
granaio	Baracke
granata	Besen
grande	groß
grandezza	Größe
grandine	Hagel
granturco	Mais
grasso	feist
grato	dankbar
grave	arg
grazie	Dank
grazioso	freundlich
greco	griechisch
gridare	schreien
grigio	grau
grosso	dick
gruppo	Ar
guadagnare	erringen
guadagno	Errungenschaft
guancia	Backe
guanciale	Kissen
guardaroba	Garderobe
guardia	Polizist
guarire	behandeln
guarnigione	Besatzung
guerra	Krieg
gufo	Eule
guidare	führen
gustare	schmecken
gusto	Geschmack
i	das
idea	Gedanke
idolo	Abgott
idoneo	begabt
ieri	gestern
ignorante	albern
il	das
illuminare	illuminieren
illustrazione	Ansicht
il	Allerseelen
imboccatura	Mündung
imitare	imitieren
immagine	Ansicht
immediatamente	alsbald
imparare	lernen
impaurire	zurückschrecken
impedire	behelligen
impiego	Beschäftigung
impero	Kaiserreich
impertinente	frecht
impiegare	anwenden
impiegato	Beamter
impiego	Amt
implorare	abbetteln
importante	arg
importanza	Tragweite
importo	Betrag
imposta	Abgabe
impresa	Unternehmung
improvvisamente	jäh
incanto	Anmut
inchiostro	Tinte
incidente	Unfall
incitare	anreizen
incontrare	antreffen
incontro	Begegnung
indiano	Indianer
indiano	Indianer
indicare	andeuten
indietro	zurück
indirizzare	adressieren
indirizzo	Adresse
indivia	Endivie
indole	Natur
indulgenza	Ablass
inezia	Bagatelle
infame	ehrlos
infatti	fürwahr
infedele	treulos
infelice	unglücklich
infermiera	Krankenschwester
infettare	anstecken
infezione	Ansteckung
informare	Auskunft geben
informarsi	sich erkundigen
ingaggiare	werben
ingannare	äffen
ingegnere	Ingenieur
ingegno	Talent
inglese	englisch
ingrato	undankbar
iniziatore	Bahnbrecher
inizio	Anfang
innamorarsi	sich verlieben
inoltre	andernteils
inquieto	bang
insalata	Salat
insegnare	Auskunft geben
inseguimento	Verfolgung
inserzione	Annonce
insetto	Insekt
insieme	aneinander
insistere	andringen
insolente	frech
instruire	lehren
insudiciare	beschmutzen
insultare	beleidigen
intendere	beabsichtigen
intenzione	Absicht
interessare	interessieren
interesse	Interesse
interno	innerlich
intero	ganz
intestino	Darm
intorno	um
intravedere	erblicken
invano	umsonst
inventare	entdecken
invernale	Winter-
inverno	Winter
investire	einkleiden
invidiare	beneiden
invitare	einladen
in	heim
in	hinten
in	andernfalls
in	nirgends
in	auf keiner Weise
in	teils
in	erst
in	irgendwo
in	danach
in	beizeiten
ippopotamo	Flusspferd
irato	arg
irlandese	Ire
irritare	abstumpfen
isola	Eiland
isolato	vereinsamt
italiano	Italiener
la	das
labbro	Lippe
labirinto	Labyrinth
laborioso	arbeitsam
ladro	Dieb
laggi	da
lagnarsi	klagen
lago	See
lagrima	Träne
lampadina	Birne
lampone	Himbeere
lapis	Bleistift
lardo	Speck
larghezza	Breite
largo	breit
lasciare	hinterlassen
lato	Flanke
latta	Blech
latte	Milch
lattuga	Kopfsalat
lavanderia	Beuchhaus
lavare	spülen
lavorare	arbeiten
lavoro	Arbeit
le	das
legame	Band
legare	binden
leggere	lesen
legno	Holz
legume	Gemüse
lei	die
lenticchia	Linse
lenza	Angelleine
lenzuolo	Bettuch
leone	Löwe
lepre	Hase
lesto	anstellig
lettera	Brief
letto	Bett
lezione	Lehraufgabe
li	da
liberare	befreien
libert	Freiheit
librario	Buchhändler
libreria	Buchhandlung
libro	Buch
licenzioso	unbändig
lima	Feile
limitare	begrenzen
limone	Zitrone
linea	Linie
lingua	Zunge
lisca	Gräte
liscio	geläufig
lista	Liste
livello	Niveau
lo	das
locomotiva	Lokomotive
lodare	loben
lontano	ab
luccio	Hecht
luce	Licht
luglio	Juli
lui	er
lumaca	Schnecke
luna	Mond
luned	Montag
lungo	lang
luogo	Anstalt
lupo	Wolf
lusingare	schmeicheln
lusso	Aufwand
l	dahin
l	dahin
macchina	Maschine
macchina	Schreibmaschine
macellaio	Fleischer
macinare	mahlen
madre	Mutter
madrevite	Mutter
maestra	Lehrerin
maestro	Lehrer
maggio	Mai
magro	mager
mai	nie
maiale	Schweinefleisch
malato	krank
mal	Seekrankheit
mal	Bauchweh
mammifero	Säugetier
mancanza	Fehlen
mancia	Trinkgeld
mandare	schicken
mandorla	Mandel
mangiabile	essbar
maniera	Art
mano	Hand
manzo	Rindfleisch
marcia	Gang
mare	Meer
marinaio	Seemann
maritarsi	sich verehelichen
marito	Ehemann
marmelata	Konfitüre
marmo	Marmor
marrone	braun
marted	Dienstag
martello	Hammer
marzo	März
mascella	Kiefer
massa	Masse
masticare	kauen
matematica	Mathematik
materasso	Matratze
materia	Materie
materiale	Material
matita	Stift
matrimonio	Ehe
mattina	Frühe
matto	irre
mattone	Backstein
maturo	reif
meccanico	Mechaniker
mediante	durch
medico	Arzt
medio	mittlere
megera	Megäre
mela	Apfel
melo	Apfelbaum
melone	Melone
membro	Anhänger
memoria	Andenken
mendicante	Bettler
mensile	monatlich
menta	Minze
mentire	flunkern
mento	Kinn
menzionare	nennen
mercanteggiare	dingen
mercato	Marktplatz
merce	Artikel
mercoled	Mittwoch
meritare	verdienen
merlo	Amsel
merluzzo	Dorsch
mese	Monat
mestiere	Beruf
metallo	Metall
metodo	Methode
mettere	legen
met	Hälfte
mezzo	halb
miele	Honig
migliaio	Tausend
migliorare	bessern
migliore	best
milione	Million
mille	tausend
minaccia	Bedrohung
minacciare	bevorstehen
minerale	Mineral
minestra	Suppe
ministero	Ministerium
mio	mein
miope	kurzsichtig
miserabile	elend
miseria	Elend
misero	elend
misterioso	geheimnisvoll
mistura	Gemisch
misura	Maß
misurare	messen
misurato	gemessen
mite	mild
mobile	beweglich
mobili	Hausgerät
modesto	anspruchslos
modista	Modistin
modo	Art
moglie	Frau
molla	Feder
molle	weich
moltiplicare	multiplizieren
molto	viel
mondano	weltlich
mondo	Welt
moneta	Geldstück
monologo	Monolog
monotono	eintönig
montagna	Berg
montagne	Gebirge
monte	Berg
monumento	Denkmal
mordere	beißen
morire	sterben
mortale	tödlich
morte	Tod
morto	gestorben
mosca	Fliege
mostarda	Mostrich
mostrare	andeuten
mostro	Monstrum
motocicletto	Kraftfahrrad
motore	Motor
movimento	Bewegung
muggire	brausen
mulo	Maulesel
multa	Geldstrafe
municipio	Rathaus
muovere	bewegen
muoversi	sich bewegen
muro	Mauer
muscolo	Muskel
museo	Museum
musicista	Musiker
mutande	Unterhose
muto	sprachlos
nano	Zwerg
nascere	entstehen
nascita	Abkunft
nascondere	bergen
naso	Nase
nastro	Band
natura	Natur
naturalmente	natürlich
navata	Schiff
nazionale	national
nebbia	Nebel
necessario	erforderlich
negare	leugnen
negligente	achtlos
negozio	Butique
nero	schwarz
nervo	Nerv
neutrale	neutral
neutro	neutral
neve	Schnee
nevicare	schneien
niente	durchaus nicht
nipote	Enkelin
no	nein
nobilt	Adel
nocciola	Haselnuss
nocciuola	Haselnuss
noce	Nussbaum
nocivo	schädlich
nodo	Knoten
noi	uns
nome	Name
non	kein
noncurante	achtlos
nonna	Großmutter
nonni	Großeltern
nonno	Großvater
non	allein
non	nie
non	nicht mehr
nord	Norden
norvegese	Norweger
notaio	Notar
noto	bekannt
notte	Nacht
novanta	neunzig
nove	neun
novella	Braut
novembre	November
nozione	Gedanke
nube	Wolke
nudo	bloß
numero	Anzahl
nuocere	beeinträchtigen
nuotare	schwimmen
nuovo	neu
nuvola	Wolke
nuvolo	Wolke
oca	Gans
occhiali	Augengläser
occorrente	erforderlich
occupare	bekleiden
occupato	besetzt
occupazione	Beschäftigung
odiare	hassen
odio	Hass
offendere	beleidigen
offerta	Anerbieten
ogetto	Ding
oggi	heute
ogni	täglich
ogni	allerlei
ogni	dann und wann
olandese	Holländer
olio	Öl
oliva	Olive
olivo	Olivenbaum
olmo	Rüster
ombra	Schatten
omero	Oberarm
onda	Welle
onesto	anständig
onnisciente	allwissend
onore	Ehre
onorevole	achtbar
ontano	Erle
opera	Werk
operaio	Arbeiter
opprimere	erpressen
ordinare	bestellen
ordine	Auftrag
orecchio	Ohr
orgoglioso	hochfahrend
origine	Abkunft
origliare	belauschen
orinare	harnen
orizzonte	Gesichtskreis
orlo	Grat
orlogiaio	Uhrmacher
oro	Gold
orologio	Uhr
orrore	Abscheu
orso	Bär
orso	Eisbär
ortica	Brennnessel
orzo	Gerste
oscurit	Dunkelheit
oscuro	dunkel
ospedale	Hospital
ospitale	gastlich
ospite	Gast
osservare	beaufsichtigen
osservazione	Bemerkung
osso	Gebein
ostinato	eigensinnig
ostrica	Auster
ottanta	achtzig
ottenere	holen
ottico	Optiker
otto	acht
ottobre	Oktober
ottone	Messing
ovest	Abendland
pacco	Bündel
pace	Friede
pacificare	besänftigen
padre	Vater
padre	Eltern
padrone	Wirt
paese	Land
paga	Gage
pagamento	Bezahlung
pagare	zahlen
pagina	Folio
palato	Gaumen
palazzo	Palast
palese	anschaulich
palla	Kugel
pallido	blass
pallone	Ballon
pallottoliere	Abakus
palma	Handfläche
palpebra	Augenlid
pane	Brot
panetteria	Bäckerei
panino	Brötchen
panka	Bank
pantaloni	Beinkleid
pappagallo	Papagei
parafango	Kotflügel
parallelo	gleichlaufend
parapetto	Balustrade
parentado	Verwandtschaft
parente	Verwandter
parentela	Verwandtschaft
parento	verwandt
parere	scheinen
parete	Wand
parlare	reden
parola	Vokabel
parrucchiere	Friseur
parte	Anteil
partenza	Abgang
participio	Mittelwort
particulare	privat
partire	abreisen
partito	Anhang
parzialmente	teils
passaggio	Bahnübergang
passagiere	Fahrgast
passaporto	Pass
passare	angeben
passato	Vergangenheit
passeggiata	Foyer
passero	Sperling
passo	Schritt
pasta	Pasta
patata	Erdapfel
patria	Heimat
patto	Einverständnis
pattuire	sich verständigen
paura	Angst
pauroso	bang
pavimento	Boden
pazienza	Geduld
pazzo	Irre
pecora	Hammel
pelegrinaggio	Wallfahrt
pelle	Fell
pellicola	Film
penna	Feder
pendere	hängen
penetrare	durchdringen
penisola	Halbinsel
penna	Feder
penna	Füller
pensare	denken
pensiero	Gedanke
pensione	Fremdenheim
pentimento	Buße
pepe	Pfeffer
pera	Birne
perci	also
percorrere	durchgehen
perdere	verlieren
perdere	abgewöhnen
perdersi	sich verirren
perdita	Verlust
perduto	abhanden
perfetto	perfekt
perfino	gar
pericolo	Gefahr
pericoloso	besorglich
perito	Buchrevisor
permanente	fest
permettere	erlauben
pernice	Rebhuhn
perno	Achse
pero	Birnbaum
perseguire	fahnden
perseguitare	fahnden
persiana	Jalousie
persona	Person
personale	persönlich
per	gewissermaßen
per	zum Beispiel
per	wenigstens
per	durch
per	lange
per	also
per	Schwieger‐
pesante	schwer
pesare	wägen
pesce	Fisch
pescecane	Hai
pesce	Barsch
peso	Gewicht
pestare	frankieren
petizione	Bittschrift
petrolio	Petroleum
pettegolezzo	Geplauder
pettinare	kämmen
petto	Brust
pezzo	Fleck
piacere	behagen
piacevole	behaglich
pialla	Hobel
piangere	weinen
piano	eben
pianola	Klaviatur
pianta	Fußsohle
piantare	legen
pianterreno	Erdgeschoss
piattaforma	Bahnsteig
piattino	Untertasse
piatto	Teller
piazza	Platz
picchiare	klopfen
piccione	Taube
piccola	Dirne
piccolo	gering
pidocchio	Laus
piegare	falten
pieno	voll
pierra	Stein
pigro	faul
pinna	Flosse
pino	Föhre
pioggia	Regen
piombo	Blei
pioniere	Bahnbrecher
pioppo	Pappel
piovere	regnen
pisciare	harnen
pisello	Erbse
pista	Bahn
pittore	Maler
pittura	Ansicht
piuttosto	lieber
placare	besänftigen
plenilunio	Vollmond
poco	allmählich
poema	Gedicht
poema	Epik
poesia	Dichtkunst
poeta	Dichter
poggiare	stemmen
poi	danach
polacco	Pole
politica	Politik
politico	politisch
polizia	Polizei
poliziotto	Polizist
pollice	Daumen
pollo	Huhn
polmone	Lunge
polpaccio	Wade
polso	Handgelenk
poltrona	Fauteuil
polvere	Staub
pomeriggio	Nachmittag
pomodoro	Tomate
pompa	Pumpe
pompare	pumpen
ponere	legen
ponte	Deck
popolo	Volk
poppa	Heck
populazione	Bevölkerung
porcellino	Meerschweinchen
porco	Schwein
porta	Tür
portacenere	Aschenbecher
portalettere	Briefträger
portare	bringen
portiera	Wagentür
porto	Hafen
portoghese	Portugiese
porzione	Anteil
posa	Gezier
posare	affektieren
posdomani	übermorgen
possedere	besitzen
possesso	Besitz
possibile	angängig
posta	Post
postino	Briefträger
potabile	genießbar
potere	Gewalt
povero	elend
povert	Armut
praticare	praktizieren
preciso	akkurat
predisporre	arrangieren
pregare	beten
preghiera	Gebet
pregiudizio	Vorurteil
premere	beklemmen
premio	Prämie
prendere	erbeuten
prendere	versorgen
prendere	mieten
prenome	Vorname
preparare	bereiten
presente	Angebinde
pressione	Drang
presto	flugs
prete	Geistlicher
prezzemolo	Petersilie
prezzo	Preis
primavera	Frühling
primaverile	Frühlings-
prigione	Gefängnis
prigioniero	Arrestant
prima	erst
primavera	Frühjahr
prima	Frühstück
primo	erste
principale	Wirt
principalmente	besonders
principio	Anfang
privado	privat
probabile	wahrscheinlich
probabilmente	wahrscheinlich
problema	Problem
processo	Prozess
proclamare	ausrufen
prodotto	Artikel
produrre	erzeugen
professione	Beruf
profitto	Ertrag
profondit	Tiefe
profondo	tief
progettare	entwerfen
progetto	Abriss
progresso	Fortschritt
promessa	Gelöbnis
promettere	geloben
promozione	Promotion
promuovere	promovieren
pronipote	Großenkel
pronto	bereit
pronunciare	aussprechen
proporzionale	proportional
proposito	Ziel
proprietario	Eigentümer
proprio	eigen
prosciutto	Schinken
prosperare	gedeihen
prossimo	bevorstehend
proteggere	begünstigen
protesta	Einspruch
protestare	anfechten
protezione	Begünstigung
prova	Ausweis
provare	erproben
prua	Bug
pubblicare	ankündigen
pubblicazione	Proklamation
pubblico	öffentlich
pugnale	Dolch
pugno	Faust
pulce	Floh
pulizia	Sauberkeit
pulire	reinigen
pulsante	Knopf
pungere	stacheln
pungiglione	Stachel
punire	ahnden
punizione	Bestrafung
punta	Kulm
punteruolo	Ahle
punto	Punkt
puro	rein
qualche	manchmal
quaranta	vierzig
quarto	Viertel
quasi	beinahe
quattordici	vierzehn
quattro	vier
quercia	Eiche
questura	Polizeiamt
qui	hierher
quindici	fünfzehn
quotidianamente	täglich
quotidiano	täglich
qu	hierher
raccogliere	sammeln
raccomandabile	empfehlungswert
raccomandare	raten
raccomandazione	Empfehlung
raccontare	erzählen
radio	Radio
raffredarsi	sich erkälten
raffreddore	Erkältung
ragazza	Dirne
ragazzo	Junge
ragione	Rationalität
ragnatela	Spinnennetz
ragno	Spinne
rame	Kupfer
ramo	Ast
rana	Frosch
ranocchio	Frosch
rapa	Rübe
rappresentare	repräsentieren
raramente	selten
raschiare	kratzen
rassomiglare	ähneln
ratto	Ratte
ravanello	Radieschen
razza	Rasse
reale	real
recitare	rezitieren
regalo	Angebinde
regime	Diät
regno	Königreich
regola	Regel
relazione	Beziehung
remo	Lenkrad
rendere	erschweren
rene	Niere
replicare	antworten
repubblica	Freistaat
residenza	Wohnort
respirare	atmen
respirazione	Atmen
responsabile	verantwortlich
restare	bleiben
restituire	vergelten
resti	zurückbleiben
restringere	begrenzen
rete	Garn
retroguardia	Nachhut
ribes	Stachelbeere
ribes	Aalbeere
ribrezzo	Abscheu
ricchezza	Reichtum
riccio	Igel
ricco	ausgiebig
ricevere	bekommen
ricevuta	Quittung
ricompensa	Belohnung
ricompensare	lohnen
riconoscente	dankbar
ricovero	Asyl
ridere	lachen
ridicolo	lächerlich
rifiutare	ausmerzen
rifiutarsi	ablehnen
rifiuto	Verweigerung
rigido	starr
riguardare	angehen
riguardo	Achtung
rilegare	binden
rilevare	ablösen
rimanere	bleiben
rimorchiatore	Schlepper
rimpianto	Buße
rincrescere	bedauern
ringraziare	danken
rinoceronte	Nashorn
rinomato	berühmt
rinviare	zurücksenden
riparare	reparieren
ripetere	wiederholen
ripido	abschüssig
riposarsi	ruhen
riposo	Ruhe
riprendere	schelten
ripugnanza	Abneigung
risa	Gelächter
riscaldamento	Heizung
riscaldare	heizen
rischio	Risiko
riservare	reservieren
riso	Lachen
rispettabile	achtbar
rispettare	achten
rispetto	Achtung
risplendere	blinken
rispondere	antworten
risposta	Antwort
ristorante	Restaurant
risultato	Erfolg
ritenere	zurückhalten
ritirare	abräumen
ritirata	Abort
ritornare	zurückkehren
riuscire	Erfolg haben
rivista	Zeitschrift
roccia	Fels
romanzo	Roman
rompere	abreißen
rompersi	brechen
rondine	Schwalbe
rospo	Kröte
rosso	rot
rotondo	rund
rovesciare	kappen
rovinare	verheeren
rozzo	barsch
rubare	entwenden
rude	brummig
rugiada	Tau
rumore	Aufsehen
ruota	Rad
ruscello	Bach
russare	schnarchen
russo	Russe
sabato	Samstag
sabbia	Sand
sacerdate	Geistlicher
saggio	gescheit
salario	Gage
sala	Badestube
sala	Speisesaal
sala	Warteraum
salcio	Weide
saldare	saldieren
sale	Salz
salice	Weide
salire	aufgehen
salmone	Lachs
salotto	Aula
salsa	Brühe
salsiccia	Wurst
saltare	springen
salto	Sprung
salutare	grüßen
salute	Gesundheit
saluto	Gruß
salvare	retten
salvia	Salbei
salvo	ausgenommen
sangue	Blut
sanguinare	bluten
sapere	wissen
sarto	Schneider
sbadato	achtlos
sbadigliare	gähnen
sbadiglio	Gähnen
sbagliarsi	sich irren
sbaglio	Fehler
sbalordire	in Verwunderung setzen
sbarrare	hindern
sbocco	Markt
scala	Stiege
scalpello	Meißel
scandalo	Ärgernis
scarpa	Schuh
scatola	Büchse
scegliere	auslesen
scelta	Auslese
scheletro	Gebein
scherzare	scherzen
scherzo	Jux
schiuma	Gischt
scienza	Wissenschaft
scimmia	Affe
scimpanz	Schimpanse
scintilla	Funke
sciocchezza	Torheit
sciocco	albern
sciopero	Strahl
scoiattolo	Eichhorn
scolaro	Schüler
scommettere	wetten
scompartimento	Abteil
sconsigliare	entraten
scopa	Besen
scopo	Ziel
scoprire	abdecken
scorgere	erblicken
scorrere	fließen
scorso	letzte
scortese	barsch
scorza	Bast
scozzese	Schotte
screpolatura	Spalte
scrivere	schreiben
scrivere	tippen
scultura	Bildhauerwerk
scuola	Schule
scure	Axt
scuro	dunkel
se	falls
sebbene	obgleich
seccare	dörren
secchia	Eimer
secchio	Eimer
secco	trocken
secondo	Sekunde
sedano	Sellerie
sedere	Hintern
sedersi	sich setzen
sedia	Stuhl
sedici	sechzehn
sega	Säge
segale	Roggen
segno	Abzeichen
segreto	geheim
seguente	folgend
seguire	folgen
seguito	Anhang
sei	sechs
selvaggina	Wild
selvaggio	wild
seminare	säen
semplice	einfach
sempre	allemal
sensato	gescheit
sentiero	Fußweg
sentire	duften
senza	grundlos
separare	absondern
separato	abgesondert
seppellire	beerdigen
sera	Abend
serio	ernst
serpente	Schlange
serrare	beklemmen
serrare	schließen
serratura	Schloss
servire	dienen
servizio	Bedienung
sessanta	sechzig
sesso	Geschlecht
sete	Durst
settanta	siebzig
sette	sieben
settembre	September
settimana	Woche
severo	streng
sfera	Sphäre
sferico	sphärisch
sfruttare	ausbeuten
sgelare	tauen
sgombro	Makrele
sgradevole	widerwärtig
sgretolarsi	bröckeln
sguardo	Überblick
sicurezza	Sicherheit
sidro	Apfelwein
significare	bedeuten
significato	Bedeutung
silenzioso	schweigend
simile	ähnlich
sincero	aufrichtig
sindaco	Bürgermeister
sistema	System
sistemare	arrangieren
si	zweifelsohne
smarrirsi	sich verirren
smercio	Absatz
smussato	stumpf
snello	behände
sociale	sozial
soffiare	blasen
soffitto	Decke
soffocare	erdrosseln
sofisma	Sophisma
soglia	Schwelle
sogliola	Seezunge
sognare	träumen
sogno	Traum
soldi	Geld
sole	Sonne
solere	sich gewöhnen
solo	allein
soltanto	allein
somaro	Esel
somma	Betrag
sommario	Übersicht
sonare	gellen
sonno	Schlaf
sopportare	dulden
sopra	oberhalb
sopracciglio	Augenbraue
soprattutto	besonders
sorcio	Maus
sordo	taub
sordomuto	taubstumm
sorella	Schwester
sorgente	Born
sorprendere	befremden
sorpresa	Überraschung
sorpreso	verwundert
sorridere	lächeln
sospendere	anhängen
sospettare	argwöhnen
sospetto	Argwohn
sostegno	Stütze
sostenere	anlegen
sotto	unter
sovente	häufig
spada	Degen
spagnolo	Spanier
spagnuolo	Spanier
spalla	Schulter
spartire	mitmachen
spaventare	zurückschrecken
spazio	Gelass
spazzola	Bürste
specchio	Spiegel
speciale	spezial
specie	Abart
spegnere	auslöschen
spendere	auslegen
spengere	auslöschen
speranza	Hoffnung
sperare	hoffen
spesso	dick
spezzare	brechen
spiacevole	widerwärtig
spiaggia	Strand
spiare	belauschen
spicciole	Kleingeld
spiegare	darlegen
spiegazione	Aufklärung
spiga	Ähre
spina	Dorn
spinaci	Spinat
spina	Rückgrat
spingere	dringen
spinta	Stoß
spirito	Geist
spiritoso	geistreich
spirituale	Geistes‐
sporcare	beschmutzen
sport	Sport
sportello	Schalter
sposa	Braut
sposato	verheiratet
sposo	Ehemann
spossare	strapazieren
sprezzo	Verachtung
spronare	anreizen
spuntato	stumpf
sputare	speien
squama	Schuppe
staccare	abreißen
stagione	Jahreszeit
stagno	Teich
stalla	Stall
stampare	drucken
stancare	strapazieren
stanco	matt
stanza	Wohnzimmer
stanza	Badestube
stare	hausen
stare	stehen
stasera	heute Abend
stato	Staat
statua	Bildsäule
stazione	Bahnhof
stazione	Badeort
stella	Stern
stendardo	Banner
sterile	fruchtlos
stesso	selber
stima	Achtung
stimare	achten
stimolare	anregen
stomaco	Magen
storia	Geschichte
strada	Bahn
strano	befremdend
straordinario	außerordentlich
strappare	entreißen
stretto	schmal
stringere	beklemmen
strumento	Mittel
studente	Student
studiare	studieren
stupido	albern
stupirsi	sich wundern
su	an
subaffitto	Untermiete
subitaneo	plötzlich
subito	alsbald
succedere	geschehen
successivamente	hintereinander
successo	Erfolg
succhiare	lutschen
succiello	Bohrer
succinto	bündig
sud	Süden
sudare	schwitzen
sufficiente	auskömmlich
suffisso	Suffix
sughero	Kork
suo	sein
suocero	Schwiegervater
suonare	spielen
suono	Hall
superiore	höher
superstizione	Aberglaube
superstizioso	abergläubisch
supplicare	abbetteln
supporre	vermuten
sussurrare	flüstern
svedese	Schwede
sveglia	Wecker
sveglio	anstellig
svenirsi	in Ohnmacht fallen
svizzero	Schweizer
svoltare	abschweifen
s	ja
tacere	schweigen
tagliare	schneiden
tagliente	scharf
talento	Talent
tallone	Ferse
talvolta	manchmal
tanto	sofern
tappeto	Teppich
tappezzare	tapezieren
tardo	spät
tassa	Abgabe
tasso	Dachs
tastiera	Klaviatur
tavolo	Tisch
tazza	Tasse
teatro	Theater
tedesco	deutsch
tegola	Dachziegel
teiera	Teebüchse
temere	fürchten
tempesta	Sturm
tempia	Schläfe
tempo	Zeit
tenaglie	Gefäß
tenebre	Dunkelheit
tenebroso	dunkel
tenere	halten
teritorio	Gebiet
terminare	beschließen
terminato	fertig
terra	Boden
terrazzo	Altan
terremoto	Erdbeben
terrestre	irdisch
terribile	entsetzlich
testa	Kopf
tetto	Dach
tettoia	Markise
tiglio	Linde
tigre	Tiger
timone	Lenkrad
timore	Angst
tinozza	Behälter
tiranno	Tyrann
tirare	ziehen
titubare	schwanken
toccare	rühren
togliere	zurücklegen
tollerare	dulden
tomo	Band
tonno	Thunfisch
topo	Maus
torcia	Fackel
toro	Stier
torre	Turm
torta	Kuchen
tossire	husten
totale	ganz
tovagliolo	Serviette
toviglia	Tischtuch
tradurre	übersetzen
traduzione	Übersetzung
tram	Straßenbahn
tranquillo	gelassen
traspirare	schwitzen
trasportare	befördern
trasporto	Transport
trattamento	Behandlung
trattare	behandeln
trattato	Abhandlung
trave	Balken
tre	drei
trebbiare	dreschen
tredici	dreizehn
tremare	beben
treno	Zug
treno	Eilzug
trenta	dreißig
triangolo	Dreieck
triciclo	Dreirad
tris
