ABC	alfabeto
dependent	dipendente
depend	dipendere da
deportment	condotta
depression	crisi
depth	profondità
deputy	delegato
derive	derivare
descend	scendere
describe	descrivere
descry	accorgersi
desert	deserto
deserve	meritare
design	disegnare
desirable	desiderabile
desire	desiderare
desk	banco
despise	disprezzare
despot	despota
dessert	dessert
destine	destinare
destroy	distruggere
detachment	brigata
detail	dettaglio
detain	ritenere
detention	arresto
deter	impaurire
determine	definire
determining	definito
deterrent	spaventevole
develop	svilupparsi
device	apparecchio
devil	demonio
devilish	diabolico
dew	rugiada
dexterous	abile
diabolical	diabolico
diagram	figura
dialect	dialetto
diamond	diamante
diarrhoea	diarrea
diary	diario
dictionary	dizionario
die	morire
diet	dieta
die	morire
different	differente
differently	diversamente
difficult	difficile
dilapidated	decrepito
dim	oscuro
dimension	dimensione
diminish	diminuire
diminutive	piccolo
din	rumore
dining‐room	sala da pranzo
dinner	colazione
diploma	atto
diplomat	diplomatico
direct	condurre
director	amministratore delegato
directory	catalogo
disapprobation	disapprovazione
disapproval	disapprovazione
disapprove	biasimare
disapprove	biasimare
disciples	partito
discourage	impaurire
discover	scoprire
discovery	scoperta
discrete	discreto
discuss	discutere
disease	malattia
disgust	avversione
dish	piatto
dislike	avversione
dismal	banale
dismount	scendere
dispose	vendere
disposition	disposizione
dissolve	risolvere
dissuade	sconsigliare
distance	distanza
distant	distante
distil	distillare
distinct	distinto
distinguish	distinguere
distribute	distribuire
district	circondario
disturb	disturbare
dive	tuffarsi
divide	separare
divorce	divorzio
do	commettere
doctor	dottore
document	atto
dog	cane
doll	bambola
dolphin	delfino
done	finito
donkey	asino
door	porta
dose	dose
dot	punto
double	doppio
doubt	dubitare
doubtful	dubbioso
dough	pasta
dove	piccione
dowry	dote
dozen	dozzina
draft	cambiale
drag	tirare
dragon	drago
draw	attrarre
drawer	cassetto
drawers	mutande
drawing	disegno
dreadful	terribile
dream	sognare
dreary	sgradevole
dress	abito
drink	bevanda
drinkable	potabile
drip	goccia
driver	autista
droop	pendere
drop	goccia
drown	annegarsi
drugstore	farmacia
drunk	brillo
dry‐nurse	asciutta
dry	secco
dual	doppio
duck	anitra
dull	smussato
dumb	muto
duplicate	moltiplicare
during	durante
dusk	crepuscolo
dust	polvere
duty	dovere
dwarf	nano
dwell	abitare
dwelling‐place‐residence	residenza
dwelling‐place	residenza
dwelling	alloggio
dye	colore
dynamite	dinamite
each	ogni
eager	avido
eagle	aquila
ear	orecchio
early	di buon'ora
earmark	destinare
earn	guadagnare
earnest	serio
earth	terra
earthen	terrestre
earthenware	stoviglie
earthly	terrestre
earthquake	terremoto
east	est
easy	facile
eavesdrop	origliare
edge	orlo
edging	orlo
edible	commestibile
eel	anguilla
effect	risultato
effective	efficace
effectual	efficace
efficacious	efficace
egg	uovo
eggfruit	melanzana
eggplant	melanzana
eight	otto
eighteen	diciotto
eighth	ottavo
eighty	ottanta
elbow	gomito
elect	eleggere
election	scelta
electricity	elettricità
electronic	elettronico
elegant	elegante
element	elemento
elements	alfabeto
elephant	elefante
elevator	ascensore
eleven	undici
elm	olmo
else	altro
elsewhere	altrove
embassy	ambasciata
embrace	abbracciare
emerge	apparire
emergency	crisi
emmet	formica
empire	impero
employ	impiegare
employee	impiegato
employment	ufficio di collocamento
empty	vuoto
encounter	incontrare
encouragement	incoraggiamento
end	finire
ending	fine
endive	indivia
endure	durare
end	arrivare
enemy	nemico
energetic	energico
engine	locomotiva
engineer	ingegnere
enjoyable	gradevole
enlarge	ingrandire
enlighten	illuminare
enormous	enorme
enough	sufficiente
enter	entrare
enterprise	impresa
entertaining	divertente
entertainment	divertimento
enthusiasm	entusiasmo
entire	completo
entirely	completamente
entomb	seppellire
entrance	entrata
entreaty	domanda
envelope	busta
environment	ambiente
environs	ambiente
envy	invidiare
epic	epopea
equal	eguale
equality	eguaglianza
equator	equatore
equilibrium	equilibrio
erect	fondere
err	errare
errand	messaggio
error	errore
especially	soprattutto
establish	fondere
estate	fattoria
esteem	rispettare
estimate	apprezzare
etc.	ecc.
etching	acquaforte
eternal	eterno
ethos	atmosfera
etiquette	etichetta
et	eccetera
evade	evitare
even	piano
evening	sera
evening	cena
evening	edizione della sera
even	anche se
ever	sempre
every	ogni
everybody	ogni
everyday	volgare
everything	tutto
everywhere	dappertutto
every	ogni
evident	chiaro
evolve	svilupparsi
exact	esatto
exactly	giustamente
exaggerate	esagerare
examination	esame
examine	esaminare
example	esempio
except	eccetto
except	eccetto
excise‐duty	dazio consumo
excise	dazio consumo
excite	incitare
exclude	escludere
exclusively	non ... che
excommunication	anatema
excuse	le domando scusa
executioner	boia
exercise‐book	fascicolo
exercise	esercizio
exert	praticare
exhausted	esausto
exhibition	esposizione
exhortation	ammonimento
exile	bandire
exist	esistere
existence	esistenza
exit	uscita
expect	aspettare
expense	spese
expensive	caro
expertness	abilità
expire	morire
explain	spiegare
explanation	spiegazione
exploit	sfruttare
exposition	esposizione
expression	aria
extension	suffisso
exterior	esteriore
external	esterne
extinguish	spegnere
extort	estorcere
extraordinary	straordinario
extreme	estremo
extremely	assai
eyebrow	sopracciglio
eyelid	palpebra
fabricate	fabbricare
face	far fronte a
facile	facile
fact	fatto
faction	partito
factory	fabbrica
fag	affaticare
fail	morire
failure	fallimento
faint	debole
fair	bazar
fairy	fata
fairy	favola
faith	fiducia
faithful	fedele
fall	diminuire
fall	ammalarsi
fall	declinare
false	falso
family	famiglia
famous	celebre
fanatical	fanatico
fancier	dilettante
fancy	figurarsi
fantasy	fantasia
far	distante
farewell	addio
farm	fattoria
farmer	mezzadro
fast	presto
fasten	fissare
fast	treno rapido
fat	grosso
father‐in‐law	suocero
father	padre
fatherland	patria
fatigue	affaticare
fatty	grasso
favor	favorire
favour	favorire
fear	angoscia
feather	penna
feed	alimentare
feel	sentirsi
fellow	uomo
female	femminile
female	cuoca
female	parrucchiera
female	giornalista
female	parente
female	cantante
female	dattilografa
female	sasta
female	maestra
female	ladra
feminine	femminile
fertile	fecondo
fertilize	concimare
fervor	ardore
fervour	ardore
festival	festa
fetch	portare
fever	febbre
fiancée	fidanzata
field	campo
field	ambulanza
fifteen	quindici
fifth	quinto
fifty	cinquanta
fig‐tree	fico
fig	fico
fight	combattere
figure	figura
file	lima
film	film
filter	filtro
fin	pinna
finally	alla fine
financial	finanziario
find	trovare
find	trovarsi
fine	bello
finger	dito
finish	finire
finished	finito
fir	abete
fire	fuoco
firebrand	attizzatore
first	primo
firstly	dapprima
first	prenome
first	dapprima
fish	pescare
fisherman	pescatore
fishing	canna
fission	disintegrazione nukleare
fist	pugno
fit	adattare
fitting	decente
five	cinque
fix	adattare
fixed	fermo
fix	predisporre
flag	bandiera
flame	fiamma
flannel	flanella
flat‐iron	ferro da stiro
flat	appartamento
flatter	lusingare
flavour	aroma
flaw	crepa
flea	pulce
flee	fuggire
flesh	carne
flight	fuga
float	nuotare
flood	alta marea
floor	piano
flour	fiore della farina
flow	fluire
flower	fiore
flowerpot	vaso da fiori
flute	flauto
fly	volare
foam	schiuma
focus	foco
fog	nebbia
fold	piegare
folder	fascicolo
folk	popolo
follow	seguire
following	partito
fondle	accarezzare
font	fonte battesimale
food	alimento
foolish	ignorante
foot	piede
for	durante
forbid	vietare
forbidding	spaventevole
force	costringere
forecast	predire
forefather	antenato
forehead	fronte
foreign	straniera
foreigner	forestiere
foreign	estero
forest	bosco
foretell	predire
foreward	avanti
forget	dimenticare
fork	forchetta
formal	formale
former	passato
formerly	davanti
formidable	straordinario
formula	formula
formulate	formulare
forsake	abbandonare
fortunate	felice
fortunately	per fortuna
fortune	fortuna
forty	quaranta
for	a lungo
for	per esempio
for	per esempio
for	per lo più
for	per lo più
for	d'altronde
foster‐parents	genitori adottivi
foster‐son	figlio adottivo
found	fondere
foundation	fondamento
fountain‐pen	penna stilografica
fountain	fontana
fountain	penna stilografica
four	quattro
fourteen	quattordici
fourth	quarto
fowl	gallina
fox	volpe
freeze	congelare
freezing	gelo
frequently	frequentemente
fresh	fresco
friend	amica
friendly	amichevole
friendship	amicizia
fright	angoscia
frindge	frangia
fringe	orlo
frivolous	vanitoso
frog	rana
frolic	cattivo
frolicsome	cattivo
from	di
from	da qui
from	di là
frontier	confine
frost	gelo
froth	schiuma
fruit	frutta
fruitful	fecondo
fry	friggere
full	pieno
fully	completamente
full	pagamento
fun	divertimento
function	funzione
fund	capitale
fungus	fungo
funny	divertente
fur	pelle
furious	furibondo
furniture	mobili
furthermore	inoltre
future	avvenire
gag	scherzo
gain	guadagno
gall	bile
gallery	galleria
gallop	galoppare
game	giuoco
gang	compagnia
gaol	prigione
garage	autorimessa
garbage	cestino dei rifiuti
garden	giardino
gardener	giardiniere
garlic	aglio
garment	abito
garrison	guarnigione
gas	gas
gasolene	benzina
gasoline	benzina
gather	concludere
gathering	convegno
gaunt	magro
gay	allegro
gaze	fissare
general	universale
generally	generalmente
generation	generazione
gentle	dolce
gentleman	signore
genuinly	davvero
geography	geografia
gesture	gesto
get	arrivare
get	raffreddarsi
get	maritarsi
get	scendere
get	perdere l'abitunide di
get	salire
get	abituarsi
ghastly	sgradevole
gherkin	cetriolino
gift	dono
gifted	dotato
gill	branchia
giraffe	giraffa
girder	trave
girdle	cintura
girl	piccola
give	dare
give	aerare
give	restituire
give	cedere
give	annunciare
give	sentire
give	causare
give	cedere
give	cedere
gladness	gioia
glass	bicchiere
glasses	occhiali
globe	globo
glow	ardore
glue	appiccicare
go	andare
goal	proposito
goat	capra
goblet	calice
god	dio
godfather	compare
going	regressione
gold	oro
good‐bye	addio
good‐natured	amichevole
good	buono
goodbye	addio
good	buongiorno
good	buonasera
good	salute
good	buongiorno
good	buona notte
goose	oca
gooseberry	ribes
gospel	vangelo
gourd	zucca
govern	dominare
government	governo
gown	abito
go	perdersi
go	andarsene
go	declinare
go	indietreggiare
go	attraversare
go	diminuire
go	affrettarsi
go	entrare
go	sparare
go	continuare
go	uscire
go	percorrere
go	coricarsi
go	salire
grab	afferrare
grade	grado
gradually	poco a poco
grammophone	disco
grand‐nephew	pronipote
grandchild	nipote
granddaughter	nipote
grandfather	nonno
grandmother	nonna
grandparents	nonni
grandson	nipote
grape	acino
grapevine	vite
grapple	prendere
grasp	afferrare
grass	erba
grasshopper	cavalletta
gratitude	gratitudine
graveyard	camposanto
gravy	salsa
grease	grasso
greasy	grasso
great‐grandfather	bisnonno
great‐grandmother	bisnonna
great	grande
greatgrandson	pronipote
greedy	avido
green	verde
greet	salutare
greeting	accoglienza
grey	bigio
grind	macinare
grip	afferrare
grisly	sgradevole
groan	gemere
ground‐floor	pianterreno
ground	fondo
group	gruppo
grow	crescere
growth	crescimento
gruesome	orrendo
gruff	brusco
guarantee	garanzia
guard	capotreno
guess	supporre
guest	ospite
guide	condurre
guilty	colpevole
guitar	chitarra
gulf	abisso
gum	gengiva
gun	fucile
habit	abitudine
hackneyed	trito e ritrito
haggle	mercanteggiare
hail	grandine
hair	capelli
hairdresser	parrucchiera
hairs	capelli
half‐brother	fratellastro
half‐sister	sorellastra
half	mezzo
halt	fermarsi
ham	prosciutto
hamlet	paesello
hammer	martello
hamper	rendere difficile
hand	operaio
handicraft	mestiere
handle	tenaglie
handlebars	remo
handsome	bello
hang	pendere
hangman	boia
hang	tenere
happen	accadere
happy	felice
harbor	porto
harbour	porto
hard‐worked	trito e ritrito
hard	duro
hardly	appena
hardworking	attivo
hare	lepre
haricot	fagiolo
harm	nuocere
harmful	nocivo
harmony	accordo
harsh	brusco
haste	fretta
hate	odiare
haul	tirare
have	avere
have	disporre
have	bagnarsi
have	avere
hay	fieno
hazard	caso
hazelnut	nocciola
he‐goat	capro becco
he	lui
head	condurre
health	salute
heap	folla
hear	udire
heart	cuore
heat	ardore
heaven	cielo
heel	tallone
height	altitudine
helix	elica
hello	ciao
helm	remo
help	aiutare
helper	assistente
helpful	servizievole
hence	da qui
her	lei
herb	erba
herd	gruppo
here	quà
hereditary	ereditario
herring	aringa
herself	stesso
hesitate	esitare
hide	pelle
hideous	orrendo
hide	nascondersi
high	alto
high	alta marea
hill	collina
him	lui
himself	stesso
hind	ultimo
hinder	rendere difficile
hindmost	ultimo
hint	alludere
hinterland	retroterra
hip	anca
hippo	ippopotamo
hippopotamus	ippopotamo
hire	prendere in affitto
his	suo
history	storia
hit	battere
hither	quà
hog	porco
hold	tenere
hold	ritenere
hole	buco
hollow	cavo
home	casa
honest	onesto
honey	miele
honor	onore
honour	onore
hood	cappotta
hoof	zoccolo
hook	amo
hooter	tromba
hope	sperare
horizon	orizzonte
horn	corno
horrible	orrendo
horror	orrore
horse‐chestnut	castagna
horse‐radish	barbaforte
horse	cavallo
horsepower	cavallo vapore
horseradish	barbaforte
hospitable	ospitale
hospital	ospedale
host	ospite
hotel	albergo
house	casa
housefly	mosca
house	chiesa
how	come
howl	muggire
how	come sta?
how	come sta?
hug	abbracciare
huge	enorme
human	umano
humble	umile
humid	umido
humour	umore
hundred	cento
hunger	fame
hunt	cacciare
hurry	affrettarsi
hurt	far male
husband	marito
hut	capanna
ice	ghiaccio
idea	idea
idol	idolo
if	se
ill	malato
illness	malattia
illuminate	illuminare
image	illustrazione
imagination	immagine
imagine	figurarsi
imitate	imitare
immediately	direttamente
immense	enorme
impertinent	impertinente
imply	significare
important	grave
impossible	impossibile
imposter	imbroglione
improve	migliorare
in	a
incendiary	bomba incendaria
incite	incitare
inclined	disposto
include	contenere
inconvenient	difficile
increase	ingrandire
increasingly	di più in più
incredible	incredibile
incubate	covare
indeed	di fatto
indicate	indicare
indication	augurio
induce	concludere
indulgence	indulgenza
industry	applicazione
inexpensive	a buon mercato
infant	bambino
infect	infettare
infection	infezione
infectious	infettivo
infer	concludere
inference	conclusione
inform	informare
ingredient	ingrediente
inhabitant	abitante
inherit	ereditare
inhibit	impedire
injure	danneggiare
injury	ferita
ink	inchiostro
inner	interno
inquiry‐office	ufficio d'informazioni
inquisitive	curioso
insane	matto
insect	insetto
inside	a
insist	insistere
installment	pagamento a rate
instantly	direttamente
instigator	attizzatore
instructor	maestro
instrument	strumento
insult	insultare
insurance	assicurazione
intend	intendere
intention	intenzione
inter	seppellire
intercessor	avvocato
interest	interessare
interesting	interessante
internal	interno
interrupt	interrompere
intestine	intestino
into	a
intoxicated	brillo
introduce	presentare
invent	inventare
invest	investire
investigation	esame
invite	invitare
invoice	fattura
in	attivo
in	inoltre
in	come se
in	contante
in	contro
in	di fatto
in	in nessun modo
in	all'inizio
in	di sera
in	di mattina
in	in tempo
in	invano
in	come
iron	ferro
irrigate	annaffiare
island	isola
issue	proclamare
itself	stesso
jack	cricco
jade	affaticare
jail	prigione
jam	marmelata
jaw	mascella
jawbone	mascella
jealousy	gelosia
jest	scherzare
jeweller	gioielliere
job	lavoro
join	congiungere
joint	comune
joke	scherzare
journal	giornale
journalist	giornalista
journey	viaggio
joy	gioia
judge	giudice
judgement	decreto
judgment	giudizio
jug	brocca
jump	saltare
just	non ... che
keel	chiglia
keep	conservare
keeper	archivista
keepsake	memoria
keep	durare
keep	non toccare
kettle	calderotto
key	chiave
keyboard	pianola
kidney	rene
kill	ammazzare
kind	amichevole
kindle	accendere
kingdom	regno
kiss	baciare
kitchen	cucina
klaxon	tromba
knee	ginocchio
kneel	inginocchiarsi
knife	coltello
knob	tenaglie
knock	colpire
knot	nodo
know	conoscere
knowledge	conoscenza
know	sapere
laborer	operaio
labor	ufficio di collocamento
labourer	operaio
labour	ufficio di collocamento
lack	mancanza
lad	ragazzo
ladder	scala
laddie	ragazzo
lady	signora
lady	assistente
laggard	ritardatario
laid	costretto a letto
lake	lago
lamb	agnello
land	paese
lane	vicolo
language	lingua
lapsed	decrepito
large	grande
lark	allodola
lass	piccola
last	durare
lasting	continuo
last	ieri sera
late	tardo
laud	lodare
laugh	ridere
laughter	risa
laundry	lavanderia
laurel	alloro
lawless	dissoluto
lawn	tappeto erboso
lawsuit	processo
lawyer	avvocato
lay	mettere
lay	prendere
lazy	pigro
lead	condurre
leader	capo
leaf	foglia
league	banda
lean	sostenere
leap‐year	anno bisestile
leap	saltare
learn	imparare
leather	cuoio
leave	andarsene
leave	abbandonare
leek	aglio
left	sinistro
left	sinistra
leg	gamba
lemon	limone
lentil	lenticchia
lesson	lezione
less	di meno in meno
let	affittare
letter	lettera
letterbox	buca delle lettere
lettuce	lattuga
let	insegnare
level‐crossing	passaggio a livello
level	piano
lever	alzare
librarian	bibliotecario
library	biblioteca
licentious	dissoluto
lid	coperta
lie	mentire
life	vita
lift	alzare
light	accendere
lighter	accendino
lighthouse	faro
lightning	baleno
like	come
likely	probabile
likewise	anche
like	così
limb	membro
lime‐tree	tiglio
lime	calce
limit	limitare
limp	zoppicare
linden‐tree	tiglio
line	lenza
lineage	discendenza
lion	leone
lip	labbro
liquid	liquido
liquidate	ammazzare
list	lista
listen	ascoltare
listen	origliare
little	piccolo
little	poco a poco
live	abitare
lively	spiritoso
liver	fegato
living‐room	stanza
load	caricare
loaf	pane
loathe	detestare
lobster	aragosta
location	luogo
loch	lago
lock	serratura
locust	cavalletta
lofty	alto
logical	ragione
long	lungo
look	parere
looking‐glass	specchio
look	prendere a cuore
look	guardare
look	cercare
lord	signore
lorry	autocarro
lose	perdere
loss	perdita
lost	perduto
loudly	ad alta voce
lounge	salotto
louse	pidocchio
lovable	amabile
love	amare
lovely	gradevole
low	basso
lower‐arm	avambraccio
low	bassa marea
loyal	fedele
luggage‐van	bagagliaio
luggage	bagaglio
lukewarm	tiepido
lump	massa
lunatic	pazzo
lung	polmone
luxury	lusso
machine	macchina
mackerel	sgombro
mad	matto
madam	signora
magazine	rivista
magpie	gazza
maid	cameriera
mail	posta
mailbox	buca delle lettere
mainly	principalmente
maintain	conservare
maintenance	conservazione
maize	granturco
majority	maggioranza
make	commettere
make	offrire
make	concludere
make	errare
make	progettare
make	pulire
make	fissare
make	impiegare
male	maschio
man	uomo
manage	amministrare
management	amministrazione
manager	amministratore
manner	maniera
manufacture	fabbricare
map	carta
marble	marmo
march	camminare
mark	segno
market	bazar
marketplace	mercato
mark	delimitare
marmelade	marmelata
marriage	matrimonio
married	sposato
married	coniugi
marry	maritarsi
marvel	stupirsi
marvel	stupirsi
masculine	maschio
mass	folla
mast	albero
master	maestro
match	fiammifero
material	materiale
matter	affare
mattress	materasso
mature	maturo
maximum	massimo
maybe	forse
mayhap	forse
mayor	sindaco
meager	magro
meal	fiore della farina
mealies	granturco
mean	intendere
meaning	intenzione
means	arnese
measure	misurare
measured	misurato
measurement	dimensione
meat	carne
mechanic	meccanico
meet	incontrare
meeting	convegno
melon	melone
melt	sgelare
member	membro
memento	memoria
memorable	memorabile
memorize	imparare a memoria
memory	memoria
menace	minacciare
mentally	deficiente
mention	menzionare
menu	carta
merchant	commerciante
merciful	misericordioso
merit	meritare
merry	allegro
message	messaggio
metal	metallo
method	metodo
methylated	alcool denaturato
midday	mezzodì
midday	colazione
middle	medio
midget	nano
midnight	mezzanotte
mild	mite
milk	latte
milliner	modista
million	milione
mind	osservare
mineral	minerale
ministry	ministero
minority	minorità
mint	menta
minutes	contravvenzione
mirror	specchio
miscarriage	aborto
miscarry	abortire
miscellaneous	di ogni genere
miserable	cattivo
miserly	avaro
misery	miseria
mist	nebbia
mistake	errore
mixture	mistura
moan	gemere
mobile	mobile
mode	maniera
modest	modesto
moist	umido
money	denaro
monitor	origliare
monkey	scimmia
monologue	monologo
monotonous	monotono
monster	mostro
month	mese
monthly	al mese
monthly	asciutta
monument	monumento
mood	atmosfera
moon	luna
moped	ciclomotore
morality	virtú
moreover	d'altronde
more	di più in più
morning	mattina
mosquito	zanzara
most	estremamente
mother‐in‐law	suocera
mother	madre
motion	film
motor	motore
motorcycle	motocicletto
mouldy	ammuffito
mount	adattare
mountain	montagna
mountain	montagne
mountain	spigolo
mouse	sorcio
moustache	baffi
mouth	bocca
move	muovere
movement	movimento
movie	film
movie	cinema
much	molto
mud	fango
mudguard	parafango
mulberry‐tree	gelso
mule	mulo
multiply	moltiplicare
multitude	folla
murk	oscurità
muscle	muscolo
museum	museo
mushroom	fungo
musician	musicista
mussel	vongola
mustard	mostarda
mute	muto
mutton	carne di montone
my	mio
mysterious	misterioso
nail	chiodo
naked	nudo
name	nome
napkin	tovagliolo
narrate	raccontare
narrow	stretto
nasty	sgradevole
nation	popolo
national	nazionale
nationality	cittadinanza
naturally	naturalmente
nature	natura
nausea	avversione
navy	marina
near‐sighted	miope
near	prossimo
nearby	prossimo
nearly	quasi
necessary	necessario
neck	collo
necktie	cravatta
need	aver bisogno di
needle	ago
neglect	trascurare
negligent	negligente
neighbour	vicino
neighbourhood	circondario
neighbouring	vicino
nephew	nipote
nerve	nervo
net	rete
nettle	ortica
network	rete
never	mai
new	nuovo
newspaper	giornale
next	dietro
next	accanto
nice	gradevole
nickname	soprannome
niece	nipote
night	notte
nightingale	usignolo
nine	nove
nineteen	diciannove
ninety	novanta
no	non
nobility	nobiltà
node	nodo
noise	rumore
non‐military	civile
noon	mezzodì
north	nord
nose	naso
not	no
notary	notaio
note	biglietto
notebook	fascicolo
notice	affisso
notification	avviso
notion	idea
not	in nessun modo
not	in nessun modo
nourish	alimentare
nourishment	alimento
novel	nuovo
nowadays	oggigiorno
nowhere	in nessun luogo
now	di quando in quando
no	si capisce
no	non ... più
nude	nudo
number	numero
numeral	numero
nurse	curare
nut	noce
nuts	matto
oak	quercia
oath	giuramento
oats	avena
obedient	ubbidiente
obey	ubbidire
object	cosa
objectionable	biasimevole
obligation	dovere
observation	osservazione
observe	osservare
obstinate	ostinato
obstruct	sbarrare
obtuse	smussato
obvious	chiaro
obviously	evidentemente
occupation	mestiere
occupy	occupare
occur	accadere
odd	strano
of	di
offence	scandalo
offend	insultare
offer	offrire
office	ufficio
officer	funzionario
official	ufficiale
offset	distanza
offspring	generazione
often	frequentemente
of	di ogni genere
of	famigerato
of	aristocratico
of	adatto
oil	olio
okay	buono
old	vecchio
old	macerie
olive‐tree	olivo
olive	oliva
omen	augurio
omnibus	autobus
omnipotent	onnipotente
omniscient	onnisciente
on	avanti
once	una volta
once	ancora
one	un
one	cento
one	mille
one	una volta
onion	cipolla
only	non ... che
only	appena
on	a rovescio
on	apposta
on	perciò
on	a sinistra
on	attraverso
on	a destra
on	esatto
on	di sopra
open	aprire
open	aprire
operative	operaio
opposed	contro
opposite	dirimpetto
oppress	premere
optician	ottico
option	alternativa
orange‐tree	arancio
orange	arancia
orchard	frutteto
ordain	destinare
order	ordinare
origin	nascita
originate	discendere
ornament	decorare
other	altro
other	eccetto
out	fuori
outer	esterne
outfit	abito
outline	progetto
outside	esterne
over	finito
overall	completo
overdrive	affaticare
overhead	di sopra
override	affaticare
overthrow	rovesciare
over	laggiú
owe	dovere
owl	gufo
own	possedere
ox	bue
oyster	ostrica
pace	passo
pack	avvolgere
package	avvolgere
packet	pacco
pad	blocco
padre	cappellano militare
page	pagina
pail	secchia
pain	dolore
painful	doloroso
paint	tingere
painter	pittore
painting	pittura
palace	palazzo
pale	pallido
palm	palma
panties	mutande
pants	calzoni
paper‐basket	cestino per la carta
paper	documento
parade	chiamata
paraffin‐oil	petrolio
paragraph	capoverso
parallel	parallelo
parapet	parapetto
parcel	pacco
parents‐in‐law	suoceri
parents	genitori
parlour	salotto
parrot	pappagallo
parsley	prezzemolo
part	ingrediente
partial	parziale
partially	in parte
participate	spartire
participle	participio
particular	separato
partly	in parte
partridge	pernice
party	partito
pass	passare
passable	praticabile
passage	corridoio
passenger	passagiere
passenger	treno omnibus
passion	ardore
passport	passaporto
pass	morire
pass	percorrere
past	passato
paste	pasta
pastor	curato
pate	testa
path	sentiero
patience	pazienza
paw	gamba
pay	pagare
payment	pagamento
pay	aspettare
pay	aspettare
pay	spendere
pea	pisello
peace	pace
peak	punta
peanut	arachide
pear‐tree	pero
pear	pera
peculiar	strano
peer	fissare
pelvis	bacino
pencil	lapis
penetrate	penetrare
peninsula	penisola
penitent	pentito
penthouse	tettoia
people	gente
pepper	pepe
per	a
perceive	accorgersi
perchance	forse
perfect	perfetto
perform	apparire
perhaps	forse
peril	pericolo
period	punto
periodical	rivista
permanent	costante
permission	accordo
permit	permettere
perplexed	confuso
persecute	perseguire
persecution	inseguimento
person	persona
personal	personale
persuade	convincere
petition	petizione
petitioner	petente
petrol	benzina
petroleum	petrolio
petulant	cattivo
pheasant	fagiano
philosopher	filosofo
photograph	fotografo
photography	fotografia
physical	fisico
physician	dottore
pick	rompere
pick	eleggere
pick	ottenere
picture	illustrazione
picture	cartolina illustrata
piece	parte
pig	porco
pigeon	piccione
pike	luccio
pile	folla
pilgrimage	pelegrinaggio
pillow	guanciale
pincers	pinzette
pine‐tree	pino
pine	pino
pineapple	ananas
pink	garofano
pioneer	iniziatore
pipe	condotto
pitcher	brocca
placard	affisso
place	adattare
place	culla
place	chiesa
plain	piano
plan	intenzione
plane	aereo
plant	piantare
plate	piatto
platform	piattaforma
platter	piatto
play	giocare
plaza	piazza
plea	argomento
pleasant	gradevole
pleasantly	piacevolmente
please	piacere
pleased	contento
pleasure	piacere
plenty	abbondanza
plough	aratro
pluck	rompere
plug	candela
plume	penna
plunge	tuffarsi
poem	poema
poet	poeta
poetry	poesia
point	punta
pointed	appuntato
point	mostrare
poison	avvelenare
poisonous	velenoso
pole	barra
police‐station	questura
police	polizia
policeman	guardia
policy	politica
polite	cortese
politeness	cortesia
political	politico
politics	politica
pond	stagno
pool	unirsi
poop	poppa
poopdeck	poppa
poor	cattivo
poplar	albero
population	populazione
pork	maiale
port	porto
portable	portabile
portal	entrata
portent	augurio
porter	facchino
port	babordo
pose	posare
possess	possedere
possession	possesso
possible	possibile
possibly	forse
post	funzione
postage	affrancatura
postage	bollo
postal	CAP
postcard	cartolina postale
poster	affisso
postman	portalettere
post	ufficio postale
potato	patata
pottery	stoviglie
pour	versare
poverty	povertà
power	potere
practicable	praticabile
practical	reale
practice	applicare
praise	lodare
prawn	granchiolino
pray	pregare
prayer	preghiera
precipice	abisso
precursor	augurio
preferably	piuttosto
pregnant	incinta
prejudice	pregiudizio
premium	premio
prepare	allestire
prepay	affrancare
presage	augurio
presence	presenza
present‐day	attuale
present	attuale
present	presentare
preservation	conservazione
preserve	conservare
press	premere
pressure	pressione
presume	supporre
pretty	bellino
prevent	impedire
previously	davanti
price	prezzo
pricey	caro
prick	cazzo
priest	curato
principally	principalmente
principle	principio
print	stampare
printer	tipografo
prison	prigione
prisoner	arrestato
private	particulare
prize	premio
probable	probabile
probably	probabilmente
problem	problema
proceed	continuare
process	azione
proclaim	proclamare
proclamation	dichiarazione
produce	produrre
product	prodotto
profess	confessare
profession	professione
profit	approfittare
profound	fondo
progress	miglioramento
prohibit	vietare
project	progetto
promenade	passeggiata
promise	promettere
promote	promuovere
promotion	promozione
prompt	esatto
pronounce	pronunciare
proof	prova
propeller	elica
proper	decente
property	fattoria
prophesy	predire
proportional	proporzionale
prosecute	perseguire
proselyte	convertito
prosper	prosperare
protect	proteggere
protection	protezione
protest	protestare
protocol	contravvenzione
protégé	protetto
protégée	protetta
proud	fiero
prove	provare
provided	se
provoke	incitare
prow	prua
prudent	sensato
pub	bar
public	pubblico
publication	pubblicazione
public	piazza
publish	pubblicare
pull	tirare
pull	demolire
pulse	polso
pulverize	macinare
pump	pompare
punctual	esatto
punish	castigare
punishment	punizione
pupil	allievo
puppet	bambola
purchase	comperare
purchaser	cliente
pure	puro
purge	pulire
purity	pulizia
purpose	proposito
purser	commissario
pursue	perseguire
pursuit	inseguimento
push	spingere
put	mettere
put	mettere
put	togliere
put	affigere
put	posare
put	affrancare
put	presentare
put	spegnere
put	adattare
put	sopportare
quarter	circondario
quarter	quarto d'ora
quash	distruggere
quay	piattaforma
quell	soffocare
question	domanda
quickly	presto
quiet	calmare
quit	abbandonare
