α	t
αριθμητική	aritmetik
αριθμητικό	räkneord
αριθμομηχανή	kalkylator
αριθμός	tal
αριθμώ	numrera
αριστερά	vänster
αριστεροχειρία	vänsterhänthet
αριστερός	vänster
αριστερόχειρας	vänsterhänt
αριστοκράτης	aristokrat
αριστοκρατία	aristokrati
αριστούργημα	mästerverk
αρκετά	nog
αρκετός	nog
αρκουδάκι	björnunge
αρκούδα	björn
αρκτικός	arktisk
αρκώ	räcka
αρλεκίνος	harlekin
αρμέγω	mjölka
αρμένικος	armenisk
αρματώνω	utrusta
αρμενίζω	segla
αρμενικά	armeniska
αρμονία	harmoni
αρμόδιος	kompetent
αρνί	lamm
αρνησικυρία	veto
αρνητικό	negativ
αρνητικός	negativ
αρνούμαι	förneka
αρουραίος	råtta
αρπακτικό	predator
αρπαχτή	förvärv
αρραβωνιαστικιά	fästmö
αρραβώνας	trolovning
αρρώστια	sjukdom
αρσενικό	arsenik
αρσενικός	maskulin
αρτηρία	artär
αρτοποιείο	bageri
αρτοπωλείο	bageri
αρτοσκεύασμα	bakelse
αρχάγγελος	ärkeängel
αρχάριος	nybörjare
αρχέγονος	urtids-
αρχέτυπο	inkunabel
αρχή	princip
αρχίζω	börja
αρχαία ελληνικά	klassisk grekiska
αρχαίος	antik
αρχαιολογία	arkeologi
αρχαιολόγος	arkeolog
αρχαιότητα	anciennitet
αρχαϊκός	arkaiserande
αρχείο	arkiv
αρχείο δέσμης εντολών	batchfil
αρχειοθήκη	arkivskåp
αρχειοθετώ	arkivera
αρχειοφύλακας	arkivarie
αρχηγείο	högkvarter
αρχηγός	chef
αρχιδούκας	ärkehertig
αρχιεπίσκοπος	ärkebiskop
αρχιμανδρίτης	arkimandrit
αρχιπέλαγος	arkipelag
αρχιστράτηγος	överbefälhavare
αρχιτέκτονας	arkitekt
αρχιτεκτονική	arkitektur
αρχιτεκτονικός	arkitektonisk
αρωματοπωλείο	parfymeri
ασήμαντος	obetydlig
ασήμι	silver
ασανσέρ	hiss
ασαφής	oklar
ασβέστης	kalk
ασβέστιο	kalcium
ασβεστόλιθος	kalksten
ασβεστώνω	vitmena
ασβός	grävling
ασεβής	respektlös
ασεβώ	förolämpa
ασελγής	liderlig
ασελγώ	missbruka
ασεξουαλικότητα	asexualitet
ασθένεια	sjukdom
ασθενής	patient
ασθενικός	kraftlös
ασθενοφόρο	ambulans
ασθματικός	astmatiker
ασιατικός	asiatisk
ασκαλώνιο	schalottenlök
ασκός	lägel
ασπάζομαι	krama
ασπάλακας	mullvad
ασπίδα	sköld
ασπαρτάμη	aspartam
ασπράδι	äggvita
ασπόνδυλος	ryggradslös
ασσυριακός	assyrisk
αστέρας	stjärna
αστέρας νετρονίων	neutronstjärna
αστέρι	stjärna
αστή	stadsbo
αστακός	hummer
αστείο	skämt
αστείος	lustig
αστεγία	hemlöshet
αστερίας	sjöstjärna
αστερίσκος	asterisk
αστερισμός	stjärnbild
αστεροειδής	asteroid
αστεροσκοπείο	observatorium
αστιγματισμός	astigmatism
αστική τάξη	medelklass
αστικοποίηση	urbanisering
αστικός	urban
αστουριανά	asturiska
αστουριανός	asturisk
αστοχία	bom
αστράγαλος	ankel
αστρίτης	huggorm
αστραπή	blixt
αστραπιαία	blixtsnabbt
αστραχάν	astrakan
αστρικός	stellär
αστροβιολογία	astrobiologi
αστροβιολόγος	astrobiolog
αστρολάβος	astrolabium
αστρολογία	astrologi
αστρολογικός	astrologisk
αστρολόγος	astrolog
αστροναύτης	astronaut
αστρονομία	astronomi
αστρονομικός	astronomisk
αστρονόμος	astronom
αστροφυσική	astrofysik
αστυνομία	polis
αστυνομικό τμήμα	polisstation
αστυνομικός	polis
αστυφύλακας	konstapel
αστός	stadbo
ασυγχώρητος	oförlåtlig
ασυλία	immunitet
ασυμβίβαστος	oförenlig
ασυμβατότητα	oförenlighet
ασυμφωνία	diskrepans
ασυνάρτητος	osammanhängande
ασυνέχεια	diskontinuitet
ασυνήθιστος	ovanlig
ασυνείδητα	omedvetet
ασυνειδησία	omedvetenhet
ασυνεχής	diskontinuerlig
ασφάλεια	säkring
ασφάλιση	försäkring
ασφαλής	i säkerhet
ασφαλίζω	försäkra
ασφυξία	asfyxi
ασχημόπαπο	ful ankunge
ασχολούμαι	sysselsätta
ασύλληπτος	gäckande
ασύμπτωτος	asymptotisk
ασύρματος	trådlös
αταβιστικός	atavistisk
αταξία	oreda
ατελέσφορος	verkningslös
ατελείωτος	ändlös
ατζέντης	agent
ατιμωρησία	straffrihet
ατμίζω	vejpa
ατμιστής	vajpare
ατμομηχανή	ångmaskin
ατμοσφαιρική πίεση	lufttryck
ατμοσφαιρικός	atmosfärisk
ατμόπλοιο	ångbåt
ατμός	dimma
ατμόσφαιρα	atmosfär
ατομικά	individuellt
ατομική βόμβα	atombomb
ατομικό βάρος	atommassa
ατομικός	enstaka
ατομικός αριθμός	atomnummer
ατού	trumf
ατράνταχτος	omutlig
ατραπός	stig
ατροφία	atrofi
ατρόμητος	modig
ατσάλι	stål
αττικός	atensk
ατυχία	otur
ατύχημα	olycka
αυγή	gryning
αυθαίρετος	godtycklig
αυθεντικός	autentisk
αυθεντικότητα	autenticitet
αυθόρμητος	spontan
αυλάκι	fåra
αυλή	gård
αυλαία	ridå
αυλικός	hovman
αυλός	flöjt
αυνανίζομαι	masturbera
αυνανισμός	onani
αυξάνω	växa
αυριανός	morgondagens
αυστηρός	sträng
αυστηρότητα	stränghet
αυστραλιανός	australiensisk
αυστριακός	österrikisk
αυτάρεσκος	egenkär
αυτάρκεια	självförsörjning
αυτή	hon
αυτανάφλεξη	självantändning
αυταπόδεικτος	självklar
αυταρχία	autokrati
αυταρχικός	auktoritär
αυτισμός	autism
αυτιστικός	autistisk
αυτοάμυνα	nödvärn
αυτοέλεγχος	självbehärskning
αυτοαναφορικός	självrefererande
αυτοαπομόνωση	självisolering
αυτοβιογραφία	självbiografi
αυτοβιογραφικός	autobiografisk
αυτοδιάθεση	självbestämmande
αυτοδυναμία	självförtroende
αυτοεκτίμηση	självkänsla
αυτοεξυπηρέτηση	självständighet
αυτοκέφαλος	autokefal
αυτοκίνητο	bil
αυτοκινητιστής	bilist
αυτοκινητόδρομος	motorväg
αυτοκράτειρα	kejsarinna
αυτοκράτορας	kejsare
αυτοκρατορία	riket
αυτοκρατορικός	kejserlig
αυτοκριτική	självkritik
αυτοκτονία	självmord
αυτοκτονώ	begå självmord
αυτοκυβέρνηση	autonomi
αυτοκόλλητο	dekal
αυτολεξεί	ord för ord
αυτονομία	autonomi
αυτονόητος	självklar
αυτοοικολογία	autoekologi
αυτοπαθής	reflexiv
αυτοπειθαρχία	självdisciplin
αυτοπεποίθηση	självförtroende
αυτοπροσωπογραφία	självporträtt
αυτοπυρπόληση	självförbränning
αυτοσεβασμός	självaktning
αυτοσκοπός	självändamål
αυτοσχεδιάζω	improvisera
αυτοσχεδιασμός	improvisation
αυτοφαγία	autofagi
αυτοφυλόφιλος	autosexuell
αυτοψία	obduktion
αυτόγραφο	autograf
αυτόκαυστο	autoklav
αυτόματος	automatisk
αυτόμολος	avhoppare
αυτόνομος	autonom
αυτόπτης μάρτυρας	ögonvittne
αυτός	denna
αυτόχειρας	självmördare
αυχένας	nacke
αφέψηση	avkok
αφή	kontakt
αφήγηση	berättelse
αφήλιο	aphelium
αφήνω	kvar
αφίδα	bladlus
αφίσα	affisch
αφαίμαξη	åderlåtning
αφαίρεση	subtraktion
αφαιρετική	ablativ
αφαιρώ	subtrahera
αφαλάτωση	avsaltning
αφανισμός	utrotning
αφασία	afasi
αφγανικός	afghansk
αφελής	naiv
αφεντικό	chef
αφετέρου	å andra sidan
αφηγητής	berättare
αφηγούμαι	berätta
αφηρημένη τέχνη	abstrakt konst
αφηρημένος	abstrakt
αφθονία	överflöd
αφθώδης πυρετός	galla
αφιέρωση	hälsning
αφιερώνω	ägna
αφοδεύω	bajsa
αφοπλίζω	avväpna
αφοπλισμός	nedrustning
αφορισμός	bannlysning
αφορώ	angå
αφοσίωση	hängivenhet
αφού	då
αφρικάανς	afrikaans
αφρικανικός	afrikansk
αφροδίσιος	venerisk
αφροδισιακό	afrodisiakum
αφρόκρεμα	grädda
αφρός	lödder
αφτί	öra
αφυδάτωση	dehydrering
αφυπνίζω	väcka
αφωνία	afoni
αφύσικος	onaturlig
αχ	ack
αχάτης	agat
αχίλλειος πτέρνα	akilleshäl
αχίλλειος τένοντας	akillessena
αχαμνά	ljumske
αχαριστία	otacksamhet
αχθοφόρος	bärare
αχινός	sjöborre
αχλάδι	päron
αχλαδιά	päronträd
αχυρώνας	lada
αχόρταγος	glupsk
αψέντι	absint
αψίδα	båge
αψύς	skarp
αϊ-Βασίλης	Jultomten
αϊμάρα	aymara
αϊνσταΐνιο	einsteinium
αϋπνία	sömnlöshet
αόρατος	osynlig
αόριστος	oklar
αύξηση	ökning
αύρα	fläkt
αύριο	i morgon
βάζο	skål
βάζω	lägga
βάθος	bakgrund
βάλανος	ollon
βάλσαμο	balsam
βάλτος	kärr
βάμμα	tinktur
βάνδαλος	vandal
βάπτισμα	dop
βάρβαρος	barbar
βάρδια	arbetspass
βάρδος	bard
βάριο	barium
βάρκα	båt
βάρος	tyngd
βάσανο	kval
βάση	bas
βάση δεδομένων	databas
βάτραχος	groda
βάφλα	våffla
βάφτιση	dop
βάφω	måla
βέβαια	förstås
βέβαιος	säker
βέλασμα	bräkande
βέλος	pil
βέλτιστος	optimal
βέρα	vigselring
βέτο	veto
βήμα	steg
βήρυλλος	beryll
βήτα	beta
βήχας	hosta
βήχιο	hästhov
βήχω	hosta
βία	våld
βίαια	häftigt
βίαιος	våldsam
βίδα	skruv
βίζα	visum
βίκι	wiki
βίλα	villa
βίντεο	video
βίσονας	bisonoxe
βαβυλωνιακός	babylonisk
βαγόνι	vagn
βαδίζω	avancera
βαθιά	djupt
βαθιά μάθηση	djupinlärning
βαθμιαία	gradvis
βαθμιαίος	gradvis
βαθμονομώ	kalibrera
βαθμός	grad
βαθούλωμα	buckla
βαθυκόκκινος	karmosinröd
βαθυμετρία	batymetri
βαθυσκάφος	batyskaf
βακελίτης	bakelit
βακτήριο	bakterie
βακτηριολογία	bakteriologi
βακτηριολογικός	bakteriologisk
βαλές	knekt
βαλίνη	valin
βαλίτσα	resväska
βαλβίδα	ventil
βαλκανοποίηση	balkanisering
βαλκανοποιώ	balkanisera
βαλλίστρα	armborst
βαλλιστικός	ballistisk
βαλπούργεια νύχτα	valborgsmässoafton
βαλς	vals
βαλτικός	baltisk
βαλτοποταμίδα	kärrsångare
βαμβάκι	bomull
βανάδιο	vanadin
βανίλια	vanilj
βανδαλισμός	vandalism
βαρέλι	tunna
βαρήκοος	lomhörd
βαραίνω	belasta
βαρβαρικός	barbar
βαριά	slägga
βαριεστημένος	uttråkad
βαρκαρόλα	barcaroll
βαρομετρικός	barometrisk
βαρονία	baroni
βαρυστομαχιά	indigestion
βαρυόνιο	baryon
βαρόμετρο	barometer
βαρόνη	baronessa
βαρόνος	baron
βαρύς	tung
βαρύτητα	gravitation
βαρύτονος	baryton
βασίζω	grunda
βασίλειο	kungarike
βασίλισσα	drottning
βασανίζω	pina
βασανιστής	torterare
βασιλίσκος	basilisk
βασιλεία	konungadöme
βασιλεύω	härska
βασιλιάς	kung
βασιλιάς των ζώων	djurens konung
βασιλιάς των πουλιών	fåglarnas konung
βασιλική	basilika
βασιλικός	kunglig
βασιλικός	basilika
βασιλοκτονία	kungamord
βασιλομήτωρ	drottningmoder
βασιλοπούλα	prinsessa
βασιλόπουλο	prins
βασιλόφρων	rojalist
βασκανία	onda ögat
βασκικά	baskiska
βασκικός	baskisk
βασοπρεσίνη	antidiuretiskt hormon
βατ	watt
βατραχάνθρωπος	grodman
βατόμουρο	björnbär
βαυαρικός	bajersk
βαφή	lackering
βαφτίζω	döpa
βγάζω	ta av
βγαίνω	gå ut
βδέλλα	blodigel
βδέλυγμα	styggelse
βδομάδα	vecka
βεβαιότητα	visshet
βεβηλώνω	missbruka
βεγγαλέζικος	bengalisk
βεζίρης	visir
βελάζω	bräka
βελανίδι	ekollon
βελανιδιά	ek
βελγικός	belgisk
βελονιά	stygn
βελονισμός	akupunktur
βελούδο	sammet
βελτίωση	förbättring
βελτιστοποίηση	optimering
βελτιώνομαι	bli bättre
βελτιώνω	förbättra
βελόνα	nål
βενετικά	venetianska
βενζίνη	bensin
βενζαλδεΰδη	bensaldehyd
βενζινάδικο	bensinstation
βενζόλιο	bensen
βεντάλια	solfjäder
βεντέτα	blodshämnd
βεντούζα	sugkopp
βεράντα	veranda
βερίκοκο	aprikos
βερικοκιά	aprikosträd
βερμούτ	vermouth
βερνίκι	fernissa
βερνισάζ	vernissage
βετεράνος	veteran
βηρύλλιο	beryllium
βιάζω	våldta
βιασμός	våldtäkt
βιαστής	våldtäktsman
βιασύνη	brådska
βιβλίο	bok
βιβλιοδέτης	bokbindare
βιβλιοδεσία	bokbinderi
βιβλιοδετείο	bokbindarverkstad
βιβλιοδετική	bokbinderi
βιβλιοθήκη	bokhylla
βιβλιοθηκάριος	bibliotekarie
βιβλιοκρισία	recension
βιβλιοπωλείο	bokhandel
βιβλιοπώλης	bokhandlare
βιβλιοφάγος	bokmal
βιδώνω	skruva
βιεννέζικος	wiensk
βιζόν	mink
βιμπράφωνο	vibrafon
βινεγκρέτ	vinägrett
βινιέτα	vinjett
βιντεοκασέτα	videokassett
βιντεοπαιχνίδι	TV-spel
βιντεοπροβολέας	filmprojektor
βινύλιο	vinyl
βιο-	bio-
βιογένεση	biogenes
βιογεωγραφία	biogeografi
βιογραφία	biografi
βιογραφικός	biografisk
βιοκαύσιμο	biobränsle
βιολί	fiol
βιολετής	violett
βιολογία	biologi
βιολοντσέλο	cello
βιολόγος	biolog
βιομηχανία	industri
βιομηχανικός	industriell
βιοποικιλότητα	biologisk mångfald
βιοπορισμός	levebröd
βιοφυσική	biofysik
βιοχημεία	biokemi
βιοϊατρική	biomedicin
βιοϊατρικός	biomedicinsk
βιρμανικά	burmesiska
βισμούθιο	vismut
βιταλισμός	vitalism
βιταμίνη	vitamin
βιτρίνα	skyltfönster
βιτριόλι	vitriol
βιόλα	altfiol
βιόσφαιρα	biosfär
βιότοπος	biotop
βλάκας	dum
βλάπτω	skada
βλέμμα	blick
βλέννα	slem
βλέπω	se
βλέφαρο	ögonlock
βλήμα	projektil
βλαβερός	skadlig
βλακεία	dumhet
βλαστοκύτταρο	stamcell
βλασφημία	blasfemi
βλασφημώ	häda
βλεννόρροια	gonorré
βλεφαρίδα	ögonfrans
βοήθεια	hjälp
βοήθεια	hjälp
βογιάρος	bojar
βοεβοδάτο	vojvodskap
βοεβόδας	vojvod
βοηθάω	hjälpa
βοηθός	assistent
βολή	skott
βολβός	blomlök
βολικός	praktisk
βολτ	volt
βολτόμετρο	voltmeter
βολφράμιο	volfram
βομβαρδίζω	bomba
βομβαρδισμός	bombardemang
βομβιστής	bombare
βοντβίλ	vaudeville
βορά	byte
βορειοαμερικανικός	nordamerikansk
βορράς	norr
βοσκή	bete
βοσκός	herde
βοσκότοπος	bete
βοσνιακός	bosniska
βοτανικός	botanisk
βοτανολόγος	botaniker
βουβάλι	vattenbuffeln
βουβουζέλα	vuvuzela
βουβωνικός	ljumsk-
βουβώνας	ljumske
βουδισμός	buddhism
βουλή	parlament
βουλγαρικά	bulgariska
βουλγαρικός	bulgarisk
βουλεβάρτο	bulevard
βουλευτής	delegat
βουλιάζω	sjunka
βουλιμία	bulimi
βουλκανισμός	vulkanisering
βουλώνω	igenmura
βουνίσιος	bergig
βουνοκορφή	bergstopp
βουνό	berg
βουργράβος	borggreve
βουρτσίζω	borsta
βουτάνιο	butan
βουτάω	doppa
βουτηχτάρα	dopping
βουτιά	dyk
βουτυρόγαλα	kärnmjölk
βουτυρώνω	bre
βούληση	önskan
βούρκος	dy
βούρτσα	borste
βούτυρο	smör
βράγχιο	gäl
βράδυ	kväll
βράζω	koka
βράχος	klippa
βρέφος	spädbarn
βρέχει	regna
βρέχω	regna
βρίσκομαι	befinna sig
βρίσκω	hitta
βραβείο	pris
βραβείο Νόμπελ	Nobelpris
βραβευμένος	prisbelönt
βραδυκαρδία	bradykardi
βραδύποδας	sengångare
βραδύτητα	långsamhet
βραζιλιάνικος	brasiliansk
βραχιόλι	armband
βραχνός	hes
βραχονησίδα	skär
βραχυκυκλώνω	kortsluta
βραχυκύκλωμα	kortslutning
βραχυπρόθεσμος	kortsiktig
βραχύβιος	kortvarig
βρετανικός	brittisk
βρετονικά	bretonska
βρετονικός	bretonsk
βρεφοκτονία	barnamord
βρικόλακας	vampyr
βρογχίτιδα	bronkit
βρογχιολίτιδα	bronkiolit
βρογχοκήλη	struma
βρογχοσκόπηση	bronkoskopi
βρομάω	stinka
βροντή	åska
βροχή	regn
βροχερός	regnig
βρυχώμαι	ryta
βρόγχος	bronk
βρόμη	havre
βρόμικος	smutsig
βρόμιο	brom
βρόχος	ögla
βρύο	bladmossor
βρύση	kran
βρώσιμος	ätbar
βυζί	tutte
βυζαντινός	bysantinsk
βυθίζω	sänka
βυθοκόρος	dragg
βυθός	havsbotten
βυσσινής	karmosinröd
βωβός κινηματογράφος	stumfilm
βωμός	altare
βωξίτης	bauxit
βόδι	oxe
βόθρος	avloppsbrunn
βόλι	kula
βόμβα	bomb
βόρειο ημισφαίριο	norra halvklotet
βόρειο σέλας	norrsken
βόρειος	nordlig
βόριο	bor
βόσκω	valla
βότανο	kryddväxt
βότκα	vodka
βύνη	malt
βύσσινο	morell
γάβγισμα	skall
γάβρος	avenbok
γάγγραινα	gangrän
γάζα	flor
γάιδαρος	åsna
γάλα	mjölk
γάλλιο	gallium
γάμα	gamma
γάμος	äktenskap
γάμπα	vad
γάντζος	krok
γάντι	handske
γάτα	katt
γάτος	katt
γέεννα	Gehenna
γέλιο	skratt
γέμιση	fyllning
γένι	skägg
γέννα	nedkomst
γέννηση	födelse
γένος	genus
γέροντας	gubbe
γέρος	gubbe
γέφυρα	bro
γήπεδο	bana
γίγαντας	jätte
γίνομαι	bli
γίντις	jiddisch
γαβ	voff
γαβγίζω	skälla
γαγάτης	beckkol
γαδολίνιο	gadolinium
γαζέλα	gasell
γαλάζιος	blå
γαλάκτωμα	crème
γαλέρα	galär
γαλήνη	stillhet
γαλήνιος	lugn
γαλαζοαίματος	blått blod
γαλακτοκομείο	mejeri
γαλακτοκομικά	mejeriprodukter
γαλακτοπωλείο	mjölkbutik
γαλανομάτης	blåögd
γαλαντόμος	givmild
γαλανός	himmelsblå
γαλαξίας	galax
γαλαξιακός	galaktisk
γαλατάς	mjölkbud
γαλατικός	gallisk
γαλβανισμένος	förzinkad
γαλικιανά	galicisk
γαλλικά	franska
γαλλικό κλειδί	skiftnyckel
γαλλικό κόρνο	horn
γαλλικό φιλί	tungkyss
γαλλικός	fransk
γαλοπούλα	kalkon
γαλότσα	gummistövel
γαμάω	knulla
γαμέτης	könscell
γαμήσι	knull
γαμπρός	svåger
γαμψός	krokig
γαρίδα	räkna
γαρίφαλο	kryddnejlika
γαργαλώ	kittla
γαστρίτιδα	gastrit
γαστρεντερίτιδα	gastroenterit
γαστρεντερολογία	gastroenterologi
γαστρικός	gastrisk
γαστρονομία	gastronomi
γαστροοισοφαγικός	gastroesofageal
γατάκι	kattunge
γατόπαρδος	gepard
γατόπορτα	kattlucka
γαϊδουράγκαθο	tistel
γαϊδούρα	åsninna
γαύρος	ansjovis
γδέρνω	skava
γείσο	hofs
γείτονας	granne
γείτσες	prosit
γείωση	jord
γεγονός	händelse
γεια	hej
γειτνίαση	närhet
γειτονεύω	vara granne med
γελάω	skratta
γελιέμαι	lura
γελοία	löjligt
γελοίος	löjlig
γεμάτος	full
γεμίζω	fylla
γεμιστήρας	magasin
γενέθλια	födelsedag
γενέτειρα	födelseort
γενίκευση	generalisering
γενίτσαρος	janitsjar
γενεαλογία	genealogi
γενειάδα	skägg
γενειοφόρος	skäggig
γενετική	genetik
γενετιστής	genetiker
γενιά	generation
γενική	genitiv
γενικεύω	generalisera
γενικός	allmän
γεννήτορας	förälder
γεννήτρια	generator
γενναίος	modig
γενναιοδωρία	generositet
γενναιόδωρος	givmild
γεννητικά όργανα	genitalier
γεννιέμαι	födas
γεννώ	föda
γενοκτονία	folkmord
γενοκτόνος	folkmords-
γερά	djupt
γεράκι	falk
γερακάρης	falkenerare
γερακίνα	ormvråk
γερανός	lyftkran
γερμάνιο	germanium
γερμανικά	tyska
γερμανικός	tysk
γεροντοκρατία	gerontokrati
γεροντοκόρη	fröken
γερουσιαστής	senator
γερούνδιο	gerundium
γευματίζω	luncha
γεωγλυφικό	geoglyf
γεωγράφος	geograf
γεωγραφία	geografi
γεωγραφικό πλάτος	latitud
γεωδαισία	geodesi
γεωκεντρικός	geocentrisk
γεωλογία	geologi
γεωλογικός	geologisk
γεωλόγος	geolog
γεωμετρία	geometri
γεωμετρικός	geometrisk
γεωμορφολογία	geomorfologi
γεωπολιτική	geopolitik
γεωπολιτικός	geopolitisk
γεωπόνος	agronom
γεωργία	jordbruk
γεωργιανά	georgiska
γεωργικός	agrikulturell
γεωτεχνικός	geoteknik
γεωφυσική	geofysik
γεύμα	måltid
γεύομαι	provsmaka
γεύση	bismak
γεώγλυφο	geoglyf
γη	Jorden
γηρατειά	ålderdom
γηροκομείο	äldreboende
γιάντες	gaffelben
γιάπης	yuppie
γιάρδα	yard
για	för
για να	för att
γιαγιά	farmor
γιακάς	krage
γιακουτικά	jakutiska
γιαλός	kust
γιαούρτι	yoghurt
γιασεμί	jasmin
γιατί	eftersom
γιατρικό	botemedel
γιατρός	läkare
γιγαντιαίος	jättelik
γιεν	yen
γιλέκο	väst
γινόμενο	produkt
γιογιό	potta
γιορτάζω	fira
γιορτή	högtid
γιος	son
γιουγκοσλαβικός	jugoslavisk
γιούρτη	jurt
γιρλάντα	girlang
γιόγκα	yoga
γκάζι	gas
γκάιντα	säckpipa
γκάτζετ	grunka
γκάφα	blunder
γκέι	bög
γκέισα	geisha
γκέτο	getto
γκαζόν	gräsmatta
γκαλερί	galleri
γκαράζ	garage
γκαρνταρόμπα	garderob
γκαρσονιέρα	enrummare
γκασπάτσο	gazpacho
γκασταρμπάιτερ	gästarbetare
γκι	mistel
γκιλοτίνα	giljotin
γκιόνης	dvärguv
γκλάσνοστ	glasnost
γκλομπ	batong
γκλουβάιν	glögg
γκλόκενσπιλ	klockspel
γκνου	gnu
γκολφ	golf
γκουγκλάρω	googla
γκουλάγκ	gulag
γκουρμέ	gourmet
γκοφρέτα	rån
γκράπα	grappa
γκράφιτι	graffiti
γκρέιπφρουτ	grapefrukt
γκρέμισμα	demolering
γκρίζος	grå
γκραβούρα	gravyr
γκρανκάσα	bastrumma
γκρεμός	avgrund
γκρι	grå
γκριζάρω	gråna
γκριμάτσα	min
γκρουμ	piccolo
γκρόσσα	gross
γκόμενα	tjej
γλάρος	mås
γλάσο	glasyr
γλάστρα	blomkruka
γλαγολιτικός	glagolitisk
γλαδιόλα	gladiolus
γλαύκωμα	glaukom
γλείφω	slicka
γλειφιτζούρι	slickepinne
γλιστερός	hal
γλιστρώ	halka
γλοιοβλάστωμα	glioblastom
γλουτένη	gluten
γλουταμίνη	glutamin
γλουτός	skinka
γλυκάδι	kalvbräss
γλυκάνισο	anis
γλυκαίνω	söta
γλυκαιμία	glykemi
γλυκαιμικός	glykemisk
γλυκογονογένεση	glykogenes
γλυκογόνο	glykogen
γλυκοπατάτα	sötpotatis
γλυκοπρωτεΐνη	glykoprotein
γλυκόζη	glukos
γλυκόλη	glykol
γλυκόπικρος	bittersöt
γλυκόριζα	lakrits
γλυκός	mild
γλυπτική	skulptur
γλυπτό	skulptur
γλυτώνω	undkomma
γλυφός	bräckt
γλωσσάριο	glossar
γλωσσικός	lingval
γλωσσοδέτης	tungvrickare
γλωσσολογία	språkvetenskap
γλωσσολογικός	lingvistisk
γλωσσολόγος	lingvist
γλωσσόφιλο	tungkyss
γλόμπος	glödlampa
γλύκισμα	sötsak
γλύπτης	skulptör
γλύφω	skulptera
γλώσσα	tunga
γλώσσα ερωτημάτων	frågespråk
γλώσσα μηχανής	maskinkod
γλώσσα προγραμματισμού	programmeringsspråk
γλώσσα σήμανσης	märkspråk
γνέθω	spinna
γνέφω	vinka till
γνήσιος	genuin
γνεύσιος	gnejs
γνωρίζω	känna
γνωριμία	bekantskap
γνωσιακή συμπεριφοριστική θεραπεία	kognitiv beteendeterapi
γνωστικισμός	gnosticism
γνωστοποίηση	kungörelse
γνωστός	känd
γνώθι σαυτόν	känn dig själv
γνώμη	mening
γνώμονας	vinkelhake
γνώση	kunskap
γογγύζω	stöna
γοητεία	charm
γοητευτικός	förtjusande
γοητεύω	förhäxa
γομολάστιχα	radergummi
γομφίος	kindtand
γονέας	förälder
γονίδιο	gen
γονατίζω	falla på knä
γονατιά	knäa
γονδολιέρης	gondoljär
γονιδίωμα	arvsmassa
γονιμοποίηση	befruktning
γονιμότητα	fruktsamhet
γορίλλας	gorilla
γοργόνα	sjöjungfru
γουδί	mortel
γουδοχέρι	mortelstöt
γουλιά	klunk
γουνοποιός	buntmakare
γουργουρίζω	kuttra
γουρουνόπουλο	kulting
γουρούνα	fyrhjuling
γουρούνι	svin
γουόκμαν	freestyle
γοφός	lår
γούνα	päls
γούρι	lycka
γούστο	smak
γράμμα	bokstav
γράσο	fett
γράφημα	grafem
γράφος	graf
γράφω	skriva
γρήγορα	snabbt
γρήγορος	hastig
γρίπη	influensa
γρίπη των πτηνών	fågelinfluensa
γρίφος	gåta
γραβάτα	slips
γραβιέρα	gruyere
γραμμάριο	gram
γραμμή	linje
γραμμή εργαλείων	verktygslist
γραμματέας	sekreterare
γραμματική	grammatik
γραμματικός	grammatisk
γραμματικός	grammatiker
γραμματοκιβώτιο	brevlåda
γραμματοσειρά	font
γραμματόσημο	frimärke
γραμμικός	lineär
γραμμικότητα	linearitet
γραμμόφωνο	grammofon
γρανίτης	granit
γραπτός	skriftlig
γρασάρω	smörja
γρασίδι	äng
γρατσουνίζω	riva
γραφένιο	grafen
γραφή	skrift
γραφίτης	grafit
γραφείο	byrå
γραφειοκράτης	byråkrat
γραφειοκρατία	byråkrati
γραφικά	grafik
γραφική διεπαφή χρήστη	grafisk
γραφικός	pittoresk
γραφολογία	grafologi
γραφομηχανή	skrivmaskin
γρεναδιέρος	grenadjär
γρηγοράδα	fart
γριά	gumma
γροθιά	knytnäve
γρύλος	syrsa
γρύπας	grip
γυαλί	glas
γυαλίζω	polera
γυαλιά	glasögon
γυαλόχαρτο	sandpapper
γυμνάσιο	gymnasium
γυμναστήριο	gym
γυμναστική	gymnastik
γυμνισμός	nudism
γυμνοσάλιαγκας	snigel
γυμνός	naken
γυμνότητα	nakenhet
γυναίκα	kvinna
γυναικάς	kvinnotjusare
γυναικείος	feminin
γυναικοκτονία	kvinnomord
γυναικολογία	gynekologi
γυναικολόγος	gynekolog
γυπαετός	lammgam
γυρίζω	gå tillbaka
γυρίνος	grodyngel
γυρισμός	återkomst
γυρολόγος	handelsresande
γυροσκόπιο	gyroskop
γυψοσανίδα	gipsplatta
γωνία	hörn
γωνιώδης αγκύλη	vinkelparentes
γόβα	pumps
γόης	charmör
γόνατο	knä
γόνδολα	gondol
γόνιμος	fruktsam
γόπα	fimp
γόρδιος δεσμός	gordisk knut
γύπας	gam
γύρη	pollen
γύψος	gipsbruk
δάγκωμα	bett
δάκρυ	tår
δάνειο	lån
δάπεδο	golv
δάσκαλος	lärare
δάσος	skog
δάφνη	lager
δάχτυλο	finger
δέκα	tio
δέκατο	tiondel
δέκατος	tionde
δέκατος έκτος	sextonde
δέκατος ένατος	nittonde
δέκατος τρίτος	trettonde
δέκατος όγδοος	artonde
δέκτης	mottagare
δέλτα	delta
