έξ	ex
αποτοξινωμένος	détoxiqué
αποτρέπω	empêcher
αποτρίχωση	épilation
αποτραβηγμένος	retiré
αποτραβώ	effacer
αποτρεπτικός	dissuasif
αποτριχωμένος	dégarni
αποτριχώνω	dépiler
αποτροπή	dissuasion
αποτροπιασμός	aversion
αποτρόπαιο	infamie
αποτρόπαιος	infâme
αποτσίγαρο	mégot
αποτυγχάνω	échouer
αποτυπωμένος	imprimé
αποτυπώνω	fixer
αποτυχία	échec
αποτυχημένος	manqué
αποτύπωμα	empreinte
αποτύπωση	diagramme
απουσία	absence
απουσιάζω	absent
απουσιασμός	absentéisme
αποφέρω	rapporter
αποφαίνομαι	affirmer
αποφασίζω	décider
αποφασιστικά	décisivement
αποφασιστικός	décisif
αποφασιστικότητα	détermination
αποφατικός	apophatique
αποφεύγω	éviter
αποφθεγματικός	apophtegmatique
αποφλοιωμένος	écorcé
αποφλοιώνω	décortiquer
αποφορά	puanteur
αποφορτίζω	décharger
αποφυγή	évitement
αποφυλάκιση	libération
αποφυλακίζω	libérer
αποφυλακισμένος	désemprisonné
αποφόρτιση	déchargement
αποφώλι	nichet
αποχέτευση	égout
αποχή	abstention
αποχαιρετάω	adieu
αποχαιρετισμός	adieux
αποχαλίνωση	débridement
αποχαρακτηρίζω	déclassifier
αποχαρακτηρισμός	déclassification
αποχαυνώνω	abrutir
αποχαύνωση	langueur
αποχετευτικός	eaux
αποχιονισμός	déneigement
αποχρωματίζω	blanchir (coupable)
αποχρωματισμός	décoloration
αποχυμωτής	centrifugeuse
αποχωρίζομαι	séparer
αποχωρίζω	séparer
αποχωρητήριο	toilettes
αποχωρισμός	détachement
αποχωρώ	se retirer
αποχωρών	sortant
αποχώρηση	départ
αποψίλωση	déboisement
αποψιλώνω	déboiser
αποψινός	soir
αποψύχω	décongeler
απρέπεια	gaucherie
απραξία	oisiveté
απρεπής	indécent
απροειδοποίητα	improviste
απροετοίμαστος	pris au dépourvu
απροκάλυπτα	ostensiblement
απροκάλυπτος	flagrant
απροκαταληψία	sincérité
απρονοησία	imprévoyance
απροσδιόριστος	indéterminé
απροσδόκητος	inattendu
απροσεξία	inadvertance
απροσπέλαστος	inabordable
απροσποίητος	primesautier
απροστάτευτος	protection
απροχώρητος	stationnaire
απρόβλεπτα	imprévisiblement
απρόβλεπτος	imprévisible
απρόθυμα	contre
απρόθυμος	réticent
απρόοπτο	imprévu
απρόοπτος	imprévu
απρόσβλητος	inattaquable
απρόσεκτος	négligent
απρόσιτος	inaccessible
απρόσκλητος	fâcheux
απρόσμενος	inattendu
απρόσωπος	impersonnel
απτέρυξ	aptéryx
απτικός	tactile
απτός	tangible
απυρεξία	apyrexie
απυρόβλητος	hors
απωθημένος	refoulé
απωθώ	repousser
από	de
από κοινού	commun
από μηχανής θεός	deus ex machina
από στιγμή σε στιγμή	instant
από τα βάθη της καρδιάς	du fond du cœur
απόαψη	apoapse
απόβαρο	tare
απόβαση	débarquement
απόβλητο	déchet
απόβλιττο	copeau
απόβρασμα	lie
απόγειο	apogée
απόγειος αύρα	brise
απόγευμα	après-midi
απόγνωση	désespoir
απόγονος	descendant
απόγραφο	transcrit
απόδειξη	preuve
απόδειπνο	complies
απόδημος	expatrié
απόδοση	rendement
απόδοτε τα Καίσαρος Καίσαρι και τα του Θεού τω Θεώ	rendez à César ce qui est à César et à Dieu ce qui est à Dieu
απόδραση	évasion
απόηχος	retentissement
απόθεμα	stock
απόκειται	c'est à X de ...
απόκληρος	déshérité
απόκλιση	infléchissement
απόκοσμος	chimérique
απόκρημνος	abrupt
απόκριση	réponse
απόκρουση	rejet
απόκρυφος	apocryphe
απόκρυψη	dissimulation
απόκτημα	acquisition
απόκτηση	acquisition
απόλαυση	plaisir
απόληξη	terminaison
απόλυση	licenciement
απόλυτα	absolument
απόλυτο μηδέν	zéro absolu
απόλυτος	absolu
απόμακρα	de loin
απόμακρος	distant
απόμαχος	ancien
απόμερος	isolé
απόξεση	curetage
απόπατος	chiottes
απόπειρα	tentative
απόπλους	appareillage
απόπτωση	apoptose
απόρθητος	inexpugnable
απόρρητο	secret
απόρρητος	secret
απόρριψη	rejet
απόρροια	corollaire
απόσβεση	extinction
απόσμηση	déodorisation
απόσπαση	détachement
απόσταγμα	distillat
απόσταξη	distillation
απόσταση	distance
απόστημα	abcès
απόστολος	apôtre
απόστρατος	militaire
απόστροφος	apostrophe
απόσυρση	retrait
απόταξη	réforme
απότομα	brusquement
απότομος	abrupt
απόφανση	assertion
απόφαση	décision
απόφυση	apophyse
απόχη	filet
απόχρωση	nuance
απόψε	ce soir
απόψυξη	dégivrage
απύθμενος	incommensurable
απώθηση	refoulement
απώλεια	perte
απώλειες	pertes
απών	absent
απώτατος	extrême
απώτερος	lointain
αράζω	accoster
αράπης	nègre
αράχνη	araignée
αρένα	arène
αρέσω	plaire
αρίδα	tarière
αρίθμηση	chiffrage
αραίωση	dilution
αραβίδα	carabine
αραβικά	arabe
αραβικός	arabe
αραγμένος	ancré
αραγονέζικος	aragonais
αραγονίτης	aragonite
αραγονικά	aragonais
αραδιάζω	aligner
αραιόμετρο	aréomètre
αρακάς	pois
αραμαϊκά	araméen
αραμαϊκός	araméen
αρασέ	arraché
αραχίδα	arachide
αραχιδέλαιο	huile d'arachide
αραχνοειδής	arachnéen
αρβύλα	brodequin
αργά	lentement
αργία	férié
αργίλιο	aluminium
αργαλειός	métier à tisser
αργεντινός	argentin
αργκοτικός	argotique
αργκό	argot
αργομισθία	sinécure
αργοπορώ	s'attarder
αργυραμοιβός	changeur
αργυρός	argent
αργό πετρέλαιο	pétrole brut
αργόμισθος	bénéficiant
αργόν	argon
αργός	lent
αργόστροφος	balourd
αργόσχολος	fainéant
αργότερα	plus tard
αργώ	tarder
αρδεύσιμος	irrigable
αρδεύω	irriguer
αρειογραφία	aréographie
αρεστός	plaisant
αρετή	vertu
αρζαντέ	argenté
αρθρίτιδα	arthrite
αρθραλγία	arthrite
αρθριτικός	arthritique
αρθρογράφος	chroniqueur
αρθροπάθεια	arthropathie
αρθρόποδο	arthropode
αρθρώνω	articuler
αριβίστας	arriviste
αριβίστρια	arriviste
αριβισμός	arrivisme
αριθμητής	numérateur
αριθμητικά	arithmétiquement
αριθμητικός	arithmétique
αριθμομηχανή	calculatrice
αριθμός	nombre
αριθμός π	pi
αριθμόσημο	signal de numéro
αριθμώ	numéroter
αριστίνδην	choix
αριστερά	à gauche
αριστερίστρια	gauchiste
αριστερισμός	gauchisme
αριστεροχειρία	gaucherie
αριστερός	gauche
αριστερόχειρας	gaucher
αριστεύω	exceller
αριστοκράτης	aristocrate
αριστοκρατία	aristocratie
αριστοκρατικά	aristocratiquement
αριστοκρατικός	aristocratique
αριστοτέλειος	d’Aristote
αριστοτελικός	aristotélique
αριστούργημα	chef-d’œuvre
αριόζο	arioso
αρκετά	assez
αρκετός	suffisant
αρκουδάκι	ourson
αρκούδα	ours
αρκούμαι	se contenter
αρκτικόλεξο	sigle
αρκτικός	arctique
αρκώ	suffire
αρλεκίνος	arlequin
αρμέγω	traire
αρμένικος	arménien
αρμαδίλλος	tatou
αρμαθιά	chapelet
αρματηλάτης	char
αρματιστής	tankiste
αρματολός	armatole
αρματώνω	armer
αρμενίζω	naviguer
αρμενικά	arménien
αρμοδιότητα	compétence
αρμονία	harmonie
αρμονικά	harmoniquement‎
αρμονικός	harmonique
αρμοστεία	commissariat
αρμυρίκι	tamaris
αρμόδιος	compétent
αρμόζω	convenir
αρμόζων	convenable
αρμόνικα	harmonica
αρνάκι	agneau
αρνί	agneau
αρνησιθρησκία	apostasie
αρνησικυρία	veto
αρνητικά	négativement
αρνητικό	négatif
αρνητικός	négatif
αρνητισμός	négativisme
αρνούμαι	refuser
αρουραίος	rat
αρπάζομαι	s'accrocher
αρπάζω	arracher
αρπέτζιο	arpège
αρπίστρια	harpiste
αρπαγή	enlèvement
αρπακτικότητα	rapacité
αρπακόλλα	fait
αρπαχτή	butin
αρραβωνιάζομαι	se fiancer
αρραβωνιάζω	fiancer
αρραβωνιάρης	fiancé
αρραβωνιασμένος	fiancé
αρραβωνιαστικιά	fiancée
αρραβωνιαστικός	fiancé
αρραβώνας	fiançailles
αρραγής	faille
αρρεναγωγείο	garçons
αρρενωπότητα	masculinité
αρρωσταίνω	tomber malade
αρρωστημένα	maladivement
αρρωστημένος	malsain
αρρώστια	maladie
αρσενικό	arsenic
αρσενικός	masculin
αρτίστας	artiste
αρτεσιανό	puits artésien
αρτεσιανός	artésien
αρτηρία	artère
αρτηριακός	artériel
αρτηριογραφία	artériographie
αρτηριογραφικά	artériographiquement
αρτηριογραφικός	artériographique
αρτηριοσκλήρυνση	artériosclérose
αρτοκλασία	fraction
αρτοποιείο	boulangerie
αρτοπωλείο	boulangerie
αρτοσκεύασμα	viennoiserie
αρτόδεντρο	arbre à pain
αρχάγγελος	archange
αρχάριος	débutant
αρχέγονος	primitif
αρχέγονος τύπος δεδομένων	type primitif
αρχέτυπο	incunable
αρχή	autorité
αρχίατρος	médecin principal de 2ème classe
αρχίδι	couille
αρχίζω	commencer
αρχαία εβραϊκά	hébreu ancien
αρχαία ελληνικά	grec ancien
αρχαία περσικά	vieux perse
αρχαίος	ancien
αρχαιο-	archéo-
αρχαιοκάπηλος	antiquités
αρχαιοκαπηλία	antiquités
αρχαιολογία	archéologie
αρχαιολογικός	archéologique
αρχαιολόγος	archéologue
αρχαιρεσίες	élection
αρχαιότητα	antiquité
αρχαιόφωνο	archéophone
αρχαϊκά	archaïquement
αρχαϊστικός	archaïque
αρχείο	fichier
αρχείο συσκευής	pilote
αρχηγία	commandement
αρχηγείο	direction
αρχηγός	chef
αρχι-	archi-
αρχιδουκικός	archiducal
αρχιδούκας	archiduc
αρχιδούκισσα	archiduchesse
αρχιεπίσκοπος	archevêque
αρχιεπισκοπή	archevêché
αρχιερέας	archiprêtre
αρχιθησαυροφύλακας	architrésorier
αρχικά	initialement
αρχικοποίηση	initialisation
αρχικτηνίατρος	vétérinaire principal de 2me classe
αρχικός	initial
αρχιμάγειρας	queux
αρχιπέλαγος	archipel
αρχιστράτηγος	commandant en chef
αρχισυντάκτρια	rédactrice en chef
αρχιτέκτονας	architecte
αρχιτεκτονική	architecture
αρχιτεκτονικός	architectural
αρχιτεχνίτης	contremaître
αρχομανής	avide
αρχοντιά	noblesse
αρχοντικό	maison
αρχοντοχωριάτης	hobereau
αρχύτερα	plus
αρωγή	aide
αρωματίζω	aromatiser
αρωματικός	aromatique
αρωματοπωλείο	parfumerie
αρωμουνικά	aroumain
αρόσιμος	arable
αρύβαλλος	aryballe
ασάλευτος	immobile
ασάφεια	imprécision
ασέβεια	irrespect
ασέλγεια	débauche
ασέληνος	lune
ασήκωτος	lourd
ασήμαντος	insignifiant
ασήμι	argent
ασαμικά	assamais
ασανσέρ	ascenseur
ασβέστης	chaux
ασβέστι	chaux
ασβέστιο	calcium
ασβεστόλιθος	calcaire
ασβεστώνω	chaux
ασβός	blaireau
ασεβής	impie
ασελγώ	abuser de
ασεξουαλικός	asexuel
ασεξουαλικότητα	asexualité
ασετιλίνη	acétylène
ασετόν	dissolvant
ασημένιος	argenté
ασημαντότητα	inanité
ασημώνω	argent
ασθένεια	maladie
ασθένεια των τρελών αγελάδων	maladie de la vache folle
ασθενής	faible
ασθενικός	asthénique
ασθενοφόρο	ambulance
ασθματικός	asthmatique
ασιανολογία	asianologie
ασιατικός	asiatique
ασιτία	famine
ασκέρι	armée
ασκήτρια	ascète
ασκαλώνιο	échalote
ασκημιά	laideur
ασκητήριο	ermitage
ασκητικός	ascète
ασκητισμός	ascétisme
ασκός	outre
ασκώ	exercer
ασορτί	assorti
ασουλούπωτος	pataud
ασουρές	aşure
ασπάζομαι	embrasser
ασπάλαθος	genêt
ασπάλακας	taupe
ασπίδα	bouclier
ασπαρτάμη	aspartame
ασπασμός	accolade
ασπιρίνη	aspirine
ασπράδι	blanc
ασπρίζω	blanchir
ασπρομάλλης	blancs
ασπροπάρης	corbeau blanc
ασπρουλιάρης	blanchâtre
ασπρόμαυρος	blanc
ασπρόρουχο	linge
ασπόνδυλος	invertébré
ασσυριακός	assyrien
ασσυριολογία	assyriologie
ασσυριολόγος	assyriologue
αστάθεια	instabilité
αστάθμητος	impondérable
αστέρι	étoile
αστήρικτος	infondé
ασταθής	instable
αστακός	homard
ασταμάτητα	incessamment
ασταμάτητος	continu
αστείο	blague
αστείος	drôle
αστεγία	itinérance, sans-abrisme
αστειεύομαι	badiner
αστειότητα	plaisanterie
αστερίας	étoile de mer
αστερίσκος	asterisque
αστερισμός	constellation
αστεροειδής	astéroïde
αστεροσκοπείο	observatoire
αστεφάνωτος	célibataire
αστιγματισμός	astigmatisme
αστική τάξη	bourgeoisie
αστικοποίηση	urbanisation
αστικοποιούμαι	urbaniser
αστικοποιώ	urbaniser
αστικός	urbain
αστουριανά	asturien
αστουριανός	asturien
αστοχώ	rater
αστράγαλος	cheville
αστράφτω	luire
αστρίτης	vipère péliade
αστραπή	éclair
αστραπιαία	fulgurant
αστραποβολώ	lancer
αστραφτερός	brillant
αστραχάν	astrakan
αστρικός	stellaire
αστρο-	astro-
αστροβιολογία	astrobiologie
αστροβιολόγος	astrobiologiste
αστρογεωλογία	astrogéologie
αστρολάβος	astrolabe
αστρολογία	astrologie
αστρολογικά	astrologiquement
αστρολογικός	astrologique
αστρολόγος	astrologue
αστρομαντεία	astromancie
αστροναυτική	astronautique
αστροναύτης	astronaute
αστρονομία	astronomie
αστρονομικά	astronomiquement
αστρονομικός	astronomique
αστρονόμος	astronome
αστροπελέκι	foudre
αστροφυσικός	astrophysique
αστροφωτογράφος	astrophotographe
αστροφωτογραφία	astrophotographie
αστυνομία	police
αστυνομεύω	contrôler
αστυνομικό τμήμα	commissariat
αστυνομικός	policier
αστυνόμευση	flicage
αστυνόμος	capitaine de police
αστυφιλία	exode
αστυφύλακας	policier
αστός	citadin
ασυγκίνητος	indifférent
ασυγκράτητος	irrépressible
ασυγχώρητα	inexcusablement
ασυγχώρητος	impardonnable
ασυγύριστος	négligé
ασυδοσία	immunité
ασυλία	immunité
ασυμβάτως	incompatiblement
ασυμβίβαστος	incompatible
ασυμβατότητα	incompatibilité
ασυμπτωματικός	asymptomatique
ασυμφωνία	désaccord
ασυνάρτητος	incohérent
ασυνέπεια	inconséquence
ασυνέχεια	discontinuité
ασυνήθιστα	inhabituellement
ασυνήθιστος	inhabituel
ασυναίσθητα	inconsciemment
ασυναγώνιστος	rival
ασυναρτησία	incohérence
ασυνείδητα	inconsciemment
ασυνείδητο	inconscient
ασυνειδησία	inconscience
ασυνεννοησία	désaccord
ασυνεπής	inconséquent
ασυνεχής	discontinu
ασυντήρητος	conservé
ασυνόδευτος	accompagné
ασφάλιση	assurance
ασφαλής	sauf
ασφαλίζω	assurer
ασφαλιστής	assureur
ασφαλτοστρωμένος	asphalté
ασφαλτοστρώνω	asphalter
ασφυκτικός	asphyxiant
ασφυκτιώ	asphyxier
ασφυξία	asphyxie
ασφυξιογόνος	asphyxiant
ασφόδελος	asphodèle
ασχήμια	laideur
ασχετοσύνη	nullité
ασχημία	exaction
ασχημόπαπο	vilain petit canard
ασχημότερος	plus laide
ασχολία	emploi
ασχολούμαι	s'occuper
ασωτία	débauche
ασύγκριτα	incomparablement
ασύγκριτος	incomparable
ασύγχρονος	asynchrone
ασύδοτος	qui jouit d'une immunité
ασύλληπτος	insaisissable
ασύμμετρα	asymétriquement
ασύμμετρος	asymétrique
ασύμπτωτος	asymptotique
ασύμφορος	désavantageux
ασύνδετος	disjoint
ασύνειδος	inconscient
ασύνετος	imprudent
ασύντακτος	désordonné
ασύρματος	sans fil
ασύστολος	effronté
ασύχαστος	mouvement
ασώματος	désincarné
ατάκα	réplique
ατάρακτα	imperturbablement
ατάρακτος	impassible
ατέλειωτα	continuellement
ατέρμων	interminable
ατίθασος	indiscipliné
ατίμωση	infamie
αταίριαστος	assorti
αταβισμός	atavisme
ατακτώ	mal se conduire
αταλάντευτα	inflexiblement
αταλάντευτος	immobile
αταξία	désordre
αταξικός	ataxique
αταραξία	ataraxie
ατελής	imparfait
ατελείωτος	interminable
ατελεύτητος	infini
ατελιέ	atelier
ατελώς	droits
ατενίζω	contempler
ατενώς	fixement
ατζέντα	agenda
ατζέντης	impresario
ατζαμοσύνη	inexpérience
ατζιτάτο	agitato
ατημέλητος	négligé
ατημελησία	malpropreté
ατιμάζω	déshonorer
ατιμία	malhonnêteté
ατιμασμένος	déshonoré
ατιμωρησία	impunité
ατιμωτικός	déshonorant
ατιμώρητα	impunément
ατιμώρητος	impuni
ατλάζι	satin
ατλαντικός	atlantique
ατλαντισμός	atlantisme
ατμάμαξα	locomotive
ατμομάγειρας	cuiseur vapeur
ατμομηχανή	machine à vapeur
ατμοσφαιρική πίεση	pression atmosphérique
ατμοσφαιρικός	atmosphérique
ατμοτελωνίδα	patache de douane
ατμόιππος	cheval-vapeur
ατμόπλοιο	bateau à vapeur
ατμός	vapeur
ατμόσφαιρα	atmosphère
ατομίστρια	individualiste
ατομιζέρ	atomiseur
ατομικά	individuellement
ατομική έννοια	concept unique
ατομική βόμβα	bombe atomique
ατομικίστρια	individualiste
ατομικισμός	individualisme
ατομικό βάρος	poids atomique
ατομικός	individuel
ατομισμός	individualisme
ατομιστής	individualiste
ατομιστικός	atomistique
ατονικός	atonal
ατού	atout
ατράνταχτος	inébranlable
ατραξιόν	attraction
ατρησία	atrésie
ατροφία	atrophie
ατροφικός	atrophique
ατρόμητα	intrépidement
ατρόμητος	intrépide
ατσάλι	acier
ατσάλινος	acier
ατσίγγανος	gitan
ατσαλάκωτος	infroissable
ατταπουλγίτης	attapulgite
αττικισμός	atticisme
αττικός	attique
ατυχία	infortune
ατυχώ	chance
ατυχώς	fâcheusement
ατόφιος	massif
ατύχημα	accident
αυγή	aube
αυγίτης	augite
αυγουστινιανός	augustinien
αυθάδεια	insolence
αυθάδης	insolent
αυθαίρετα	arbitrairement
αυθαίρετο	construction
αυθαίρετος	arbitraire
αυθαιρέτως	arbitrairement
αυθαιρεσία	arbitraire
αυθαιρετώ	agir
αυθεντία	autorité
αυθεντικός	authentique
αυθεντικότητα	authenticité
αυθημερόν	jour
αυθορμητισμός	spontanéité
αυθυποβολή	autosuggestion
αυθόρμητα	impulsivement
αυθόρμητος	spontané
αυλάκι	sillon
αυλή	cour
αυλήτρια	flûtiste
αυλαία	rideau
αυλακώνω	labourer
αυλητής	flûte
αυλικός	courtisan
αυλός	flûte
αυνανίζομαι	se masturber
αυνανισμός	masturbation
αυξάνομαι	augmenter
αυξάνω	augmenter
αυξανόμενος	croissant
αυξητικός	haussier
αυστηροποίηση	durcissement
αυστηρός	sévère
αυστηρότητα	austérité
αυστραλιανός	australien
αυστριακός	autrichien
αυστροφασισμός	austrofascisme
αυτάρκεια	autarcie
αυτή	cette
αυτήκοος	auriculaire
αυταπάρνηση	abnégation
αυταπάτη	illusion
αυταπατώμαι	s'illusionner
αυταπόδεικτος	l'évidence même
αυταρέσκεια	complaisance
αυταρχία	autocratie
αυταρχικός	autoritaire
αυταρχικότητα	autocratie
αυτενεργώ	agir de son propre chef
αυτεξήγητος	auto-explicatif
αυτεξούσιος	libre
αυτισμός	autisme
αυτο-	auto-
αυτοάμυνα	légitime défense
αυτοάνοσος	auto-immun
αυτοέλεγχος	autocontrôle
αυτοανακηρυγμένος	autoproclamé
αυτοανακηρύσσομαι	s'autoproclamer
αυτοαναλύομαι	autoanalyser
αυτοαντίσωμα	autoanticorps
αυτοαξιολογούμαι	s'auto-évaluer
αυτοαξιολόγηση	auto-évaluation
αυτοαπασχολούμενος	indépendant
αυτοαποκαλούμαι	proclamer
αυτοαποκαλούμενος	soi-disant
αυτοβιογραφία	autobiographie
αυτοβιογραφικός	autobiographique
αυτογαμία	autogamie
αυτογνωσία	connaissance
αυτογονιμοποίηση	autofécondation
αυτογραφία	autographie
αυτογραφικός	autographique
αυτοδίδακτος	autodidacte
αυτοδημιούργητος	autodidacte
αυτοδιάθεση	autodétermination
αυτοδιέγερση	auto-excitation
αυτοδιαχείριση	autogestion
αυτοδιαχειρίζομαι	autogérer
αυτοδικία	voie de fait
αυτοδικώ	faire justice soi-même
αυτοεικόνα	image
αυτοεξόριστος	autoexilé
αυτοερωτισμός	autoérotisme
αυτοθυσία	renoncement
αυτοκέφαλος	autocéphale
αυτοκίνητο	voiture
αυτοκίνητος	automobile
αυτοκαταστροφή	autodestruction
αυτοκαταστροφικά	suicidairement
αυτοκαταστροφικός	autodestructeur
αυτοκινητάκι	voiturette
αυτοκινητίστρια	automobiliste
αυτοκινητιστής	automobiliste
αυτοκινητοβιομηχανία	constructeur automobile
αυτοκινητοπομπή	cortège de voitures
αυτοκινητόδρομος	autoroute
αυτοκράτειρα	impératrice
αυτοκράτορας	empereur
αυτοκρατορία	empire
αυτοκρατορικός	impérial
αυτοκριτική	autocritique
αυτοκτονία	suicide
αυτοκτονικός	suicidaire
αυτοκτονώ	se suicider
αυτοκυριαρχία	maîtrise
αυτοκόλλητο	autocollant
αυτολογοκρίνομαι	s'autocensurer
αυτολογοκριμένος	autocensuré
αυτολογοκρισία	autocensure
αυτοματισμός	automatisme
αυτοματοποιώ	automatiser
αυτομετάγγιση	autotransfusion
αυτομολώ	déserter
αυτονομία	autonomie
αυτονομιστής	autonomiste
αυτονόητος	évident
αυτοοικολογία	autoécologie
αυτοπαθής	réfléchi
αυτοπειθαρχία	autodiscipline
αυτοπεποίθηση	confiance en soi
αυτοπεριορισμός	autolimitation
αυτοπροσωπογραφία	autoportrait
αυτοπυρπόληση	auto-immolation
αυτοραδιογράφημα	autoradiographie
αυτοσκοπός	fin en soi
αυτοσυγκέντρωση	concentration
αυτοσυγκράτηση	retenue
αυτοσυγχαίρομαι	s'autocongratuler
αυτοσυσχέτιση	autocorrélation
αυτοσχέδιος	improvisé
αυτοσχεδιάζω	improviser
αυτοσχεδιασμός	improvisation
αυτοτελής	indépendant
αυτουργός	auteur
αυτοφαγία	autophagie
αυτοφυλόφιλος	autosexuel
αυτοχρηματοδότηση	autofinancement
αυτοϊκανοποίηση	autosatisfaction
αυτοϊκανοποιημένος	autosatisfait
αυτούσια	intégralement
αυτόβουλος	autonome
αυτόγραφο	autographe
αυτόγυρο	autogire
αυτόματα	automatiquement
αυτόματος	automatique
αυτόμολος	transfuge
αυτόνομος	autonome
αυτόπτης	oculaire
αυτόπτης μάρτυρας	témoin oculaire
αυτός	ce
αυτότροφος	autotrophe
αυτόφωρο	délit
αυτόχειρας	suicidé
αυτόχθων	autochtone
αυχένας	nuque
αφάνταστα	fabuleusement
αφάνταστος	inimaginable
αφέλεια	ingénuité
αφέντης	chef
αφέντισσα	patronne
αφέσιμος	rémissible
αφέψημα	infusion
αφή	contact
αφήγηση	narration
αφήλιο	aphélie
αφήνω	laisser
αφίδα	puceron
αφίσα	affiche
αφίσταμαι	abstenir
αφαίμαξη	saignée
αφαίρεση	soustraction
αφαιμάσσω	saigner
αφαιρέσιμος	soustractif
αφαιρετική	ablatif
αφαιρετικός	soustractif
αφαιρούμαι	distrait
αφαιρώ	soustraire
αφαλάτωση	dessalement
αφαλατώνω	dessaler
αφαλοκόβω	étriper
αφαλός	nombril
αφανίζω	dévaster
αφανισμός	anéantissement
αφασία	aphasie
αφασικός	aphasique
αφγανικός	afghan
αφειδώς	profusion
αφελής	naïf
αφελληνίζω	déhelléniser
αφελώς	ingénument
αφεντικό	patron
αφερέγγυος	insolvable
αφετηρία	départ
αφετουόζο	affettuoso
αφηγηματικός	narratif
αφηγητής	narrateur
αφηγούμαι	raconter
αφηρημένη τέχνη	art abstrait
αφηρημένος	abstrait
αφηρωισμός	héroïsation
αφθονία	abondance
αφθονώ	abonder
αφθώδης	aphteux
αφθώδης πυρετός	fièvre aphteuse
αφιέρωμα	commémoration
αφιέρωση	dédicace
αφιερώνω	consacrer
αφικνούμαι	arriver
αφιλοκέρδεια	désintéressement
αφιλοκερδώς	avec désintéressement
αφιλόξενα	de façon inhospitalière
αφιλόξενος	inhospitalier
αφινικός	affin
αφισοκολλητής	affiche
αφισοκόλληση	afffichage
αφιόνι	pavot
αφοδεύω	déféquer
αφομοίωση	assimilation
αφομοιώνω	assimiler
αφομοιώσιμος	assimilable
αφοπλίζω	désarmer
αφοπλισμός	désarmement
αφοπλιστικός	désarmant
αφορίζω	excommunier
αφορισμός	excommunication
αφορμή	motif
αφορολόγητος	exempt
αφορώ	concerner
αφοσίωση	dévotion
αφοσιωμένος	dévoué
αφοσιώνομαι	se consacrer
αφουγκράζομαι	être à l'écoute
αφού	puisque
αφράτος	floconneux
αφρίζω	baver
αφρικάανς	afrikaans
αφρικανικός	africain
αφροδίσιος	vénérien
αφροδισία	sexualité
αφροδισιάζω	faire l'amour
αφροδισιακός	aphrodisiaque
αφροδισιασμός	concupiscence
αφρόκρεμα	crème de la crème
αφρόλουτρο	bain moussant
αφρός	mousse
αφρώδης	mousseux
αφτί	oreille
αφυδάτωση	déshydratation
αφυδατωμένος	déshydraté
αφυδατώνω	déshydrater
αφυλαξία	allergie
αφυλετικός	aracial
αφυπνίζω	éveiller
αφόρητος	insupportable
αφότου	depuis
αφύπνιση	éveil
αφύσικος	antinaturel
αχάλαστος	intact
αχάραγα	aube
αχάριστος	ingrat
αχάτης	agate
αχίλλεια	achillée
αχίλλειος πτέρνα	talon d’Achille
αχίλλειος τένοντας	tendon d’Achille
αχαΐρευτος	fainéant
αχαλίνωτος	débridé
αχαριστία	ingratitude
αχαρτογράφητος	inexploré
αχειροποίητος	de création divine
αχηβάδα	palourde
αχθοφόρος	porteur
αχινός	oursin
αχλάδι	poire
αχλαδιά	poirier
αχνάρι	empreinte
αχνίζω	cuire
αχνιστός	fumant
αχνός	blafard
αχνός	buée
αχούρι	gourbi
αχρείος	abject
αχρειότητα	abjection
αχρηστία	inutilité
αχρονολόγητος	daté
αχρωματοψία	achromatopsie
αχτένιστος	cheveux
αχτίδα	rayon
αχυράνθρωπος	homme de paille
αχυρένιος	paille
αχυρώνας	grange
αχόρταγα	goulûment
αχόρταγος	insatiable
αχόρταστος	rassasié
αχώνευτος	indigeste
αψέντι	absinthe
αψήφιστα	légère
αψίδα	arc
αψεγάδιαστος	impeccable
αψηφώ	défier
αψιδοστάτης	pied-droit
αψιδωτός	arqué
αψιμαχία	escarmouche
αψυχολόγητος	insensé
αψύς	âcre
αϊ-Βασίλης	père Noël
αϊμάρα	aymara
αϊνσταΐνιο	einsteinium
αϊτινά	haïtien
αϋλισμός	immatérialisme
αϋπνία	insomnie
αόρατα	invisiblement
αόρατος	invisible
αόριστος	indéfini
αύλακας	sillon
αύξηση	augmentation
αύξων	croissant
αύρα	brise
αύριο	demain
αύτανδρος	corps et biens
βάδην	marche
βάδιση	marche
βάδισμα	allure
βάζο	vase
βάζω	mettre
βάθος	profondeur
βάθρο	podium
βάκιλος	bacille
βάλλω	lancer
βάλσαμο	baume
βάλσιμο	mise
βάλτος	marais
βάλτωμα	envasement
βάμμα	teinture
βάνα	vanne
βάναυσα	cruellement
βάναυσος	cruel
βάνδαλος	vandale
βάπτισμα	baptême
βάραθρο	abîme
βάρβαρος	barbare
βάρδια	quart
βάρδος	barde
βάριο	baryum
βάρκα	barque
βάρος	poids
βάσανο	fléau
βάσανος	épreuve
βάσει	sur la base de
βάση	base
βάση δεδομένων	base de données
βάσιμος	fondé
βάτος	ronce
βάτραχος	grenouille
βάφλα	gaufre
βάφτιση	baptême
βάφω	peindre
βάψιμο	teinture
βέβαια	certainement
βέβαιος	certain
βέβηλος	profanateur
βέλασμα	bêlement
βέλος	flèche
βέλτιστος	optimal
βένδα	venda
βένθος	benthos
βέρα	alliance
βέργα	verge
βέτο	veto
βήμα	pas
