ABC	abc
abject	abject
abjection	abjection
abjuration	abjuration
abjure	abjurer
ablative	ablatif
ablaze	ardant
able	apte à
abnegate	agir avec abnégation
abnegation	abnégation
abnormal	aberrant
abode	domicile
abolish	abolir
abolition	abolition
abolitionist	abolitionniste
abominable	abject
abominate	abhorrer
abomination	abomination
aboriginal	aborigène
abort	faireavorter
abortion	avortement
abortionist	avorteur
abortive	inutile
abound	abonder
about‐face	transformation
about	concernant
above‐board	honnête
above	au‐dessus de
above all	surtout
abrasive	perçant
abridge	limiter
abridgement	abrégé
abroad	à l'étranger
abrogate	abolir
abrogation	abolition
abrupt	abrupt
abruptly	abruptement
abscess	abcès
abscissa	abscisse
abscond	s'enfuir
abseil	descendre en rappel
absence	absence
absence of mind	distraction
absent	absent
absent oneself	s'absenter
absent onself	partir
absinth	absinthe
absolute	absolu
absolutely	absolument
absolute power	autocratie
absolute rule	autocratie
absolute ruler	autocrate
absolution	absolution
absolutism	absolutisme
absolve	absoudre
absorb	disposer
absorbed in	plongé dans
absorbent	absorbant
absorbing	passionnant
absorption	absorption
abstain	s'abstenir
abstain from	s'abstenir de
abstemious	sobre
abstention	abstention
abstinence	abstention
abstract	abstrait
abstraction	abstraction
abstruse	mystérieux
absurd	absurde
absurdity	absurdité
abundance	richesse
abundant	abondant
abundantly	abondamment
abuse	insulter
abut	aboutir
abysmal	affreux
abyss	abîme
acacia	acacia
academic	académique
academician	académicien
academy	académie
acanthus	acanthe
accede	adhérer
accelerate	accélerer
acceleration	accélération
accelerative	accélérateur
accelerator	accélérateur
accelerator pedal	accélérateur
accent	accentuer
accentuate	accentuer
accent mark	accent
accept	accepter
acceptable	acceptable
acceptance	abord
accepted	accepté
acceptor	accepteur
access	accès
accessible	abordable
accession	acquisition
accessory	accessoire
accidence	hasard
accident‐prone	enclin aux accidents
accident	accident
accidental	accidentel
accident risk	risque d'accident
acclaim	acclamer
acclamation	acclamation
acclimate	s'acclimater
acclimatization	acclimatation
acclimatize	s'acclimater
acclivity	côte
accolade	accolade
accommodating	accommodant
accommodation	accomodation
accommodate	adapter
accommodate oneself	s'adapter
accompaniment	accompagnement
accompanist	accompagnateur
accompany	accompagner
accomplish	aboutir
accomplished	compétent
accomplishment	ouvrage
accord	être d'accord
accordance	accord
accordingly	ensuite
according as	d'après
according to	selon
accordion	accordéon
accordionist	accordéoniste
accost	aborder
account	facture
accountable	correspondant
account for	expliquer
accredit	accréditer
accretion	accroissement
accrue	provenir
accumulate	accumuler
accumulation	accumulation
accumulator	accu
accuracy	exactitude
accurate	ponctuel
accusal	accusation
accusation	accusation
accusative	accusatif
accuse	accuser
accused	accusé
accuser	accusateur
accustom	avoir coutume
accustomed	accoutumé
accustom oneself	s'accoutumer
ace	as
acerbic	acerbe
acerbity	acuité
acetate	acétate
acetone	acétone
acetous	acide
acetylene	acétylène
ache	douleur
achieve	acquérir
achievement	action
achrostic	acrostiche
acid	acerbe
acidify	acidifier
acidity	acidité
acidness	acidité
ack‐ack	artillerie anti‐aérienne
acknowledge	croire
acknowledgement	reconnaissance
acme	apogée
acne	acné
acolyte	adepte
aconite	aconit
acorn	gland
acoustic	acoustique
acoustics	acoustique
acquaint	apprendre à
acquaintance	abord
acquiesce	se résigner
acquiescence	abandon
acquire	acquérir
acquired	appris
acquirement	acquisition
acquisition	acquisition
acquisitive	avide
acquit	absoudre
acquittal	réglement
acre	acre
acrid	acerbe
acrimonious	perçant
acrimony	acuité
acrobat	acrobate
acrobatic	acrobatique
acrobatics	acrobaties
across	en largeur
across from	contre
act	agir
actinium	actinie
action	activité
activate	activer
active	actif
activity	activité
actor	acteur
actress	actrice
actual	effectif
actuality	réalité
actually	en réalité
actuate	mouvoir
act as agent	procurer
act as a middleman	faire le courtage
act crazy	être fou
act for	représenter
act of grace	amnistie
act on	agir selon
act out	réaliser
act upon	agir selon
acuity	acuité
acupuncture	acupuncture
acute	aigu
ad‐lib	improviser
ad	annonce
adage	proverbe
adagio	adagio
adapt	adapter
adaptation	adaptation
adapted	adapté
adaptor	adapteur
adapt oneself	s'adapter
add	additionner
adder	couleuvre
addiction	lubie
addition	addition
additional	additionnel
addled	idiot
address	adresser
addressee	destinataire
addressing machine	machine à adresser
address list	annuaire
add up	additionner
adept	adepte
adequate	adéquate
adhere	concorder
adherence	attachement
adherent	adepte
adherents	adhérents
adhesion	adhésion
adhesive	adhésif
adieu	adieu
adjacent	adjacent
adjectival	adjectif
adjective	adjectif
adjoin	aboutir
adjoining	adjacent
adjourn	ajourner
adjournment	sursis
adjudication	jugement
adjunct	addition
adjust	adapter
adjustable wrench	clef
adjustment	adaptation
adjutant	adjudant
administer	administrer
administration	administration
administrative	administratif
administrator	administrateur
admirable	admirable
admiral	amiral
admiration	admiration
admire	admirer
admirer	admiratrice
admiring	admiratif
admission	abord
admit	admettre
admittance	abord
admixture	mélange
admonish	admonester
admonition	observation
adolescence	adolescence
adolescent	adolescent
adopt	adopter
adopted	adoptif
adoption	adoption
adoptive	adoptif
adoptive child	fils adoptif
adorable	adorable
adoration	adoration
adore	adorer
adored one	adorée
adorer	adoratrice
adorn	décorer
adornment	ornament
adrenaline	adrénaline
adroit	adroit
adult	majeur
adulterate	diluer
adulterer	adultère
adulteress	adultère
adulterous	adultère
adultery	adultère
advance	s'approcher
advancement	progrès
advantage	avantage
advantageous	avantageux
advent	avent
adventitious	accessoire
adventure	aventure
adventurous	périlleux
adverb	adverbe
adverbial	adverbial
adversary	adversaire
adverse	contradictoire
adversity	abaissement
advert	surveiller
advertence	attention
advertency	attention
advertise	annoncer
advertisement	annonce
advertiser	messager
advice	avis
advise	conseiller
advocate	avocat
ad infinitum	infiniment
aerate	aérer
aerial	aérien
aerodrome	aérodrome
aerodynamic	aérodynamique
aerodynamics	aérodynamique
aerogramme	aérogramme
aerolite	aérolithe
aeronaut	aéronaute
aeronautics	aéronautique
aeroplane	aéroplane
aerosol	aérosol
affable	affable
affair	affaire
affect	affecter
affectation	affectation
affected	affecté
affecting	attendrissant
affection	affection
affectionate	amoureux
affiliate	adhérer
affiliation	filiale
affinity	affinité
affirm	assurer
affirmation	promesse
affirmative	affirmatif
affix	affixe
afflict	affliger
affliction	désolation
affluence	richesse
affluent	affluent
afford	permettre
affray	bagarre
afire	ardant
aflame	ardant
afraid	timide
afresh	de nouveau
after	derrière
afternoon	après‐midi
afterwards	après
again	de nouveau
against	contre
agape	agape
agar‐agar	agar‐agar
agar	agar‐agar
agate	agate
agave	agave
age	âge
aged	âgé
agency	agence
agenda	agenda
agent	agent
agglomerate	aggloméré
agglutinate	agglutiner
aggrandize	accroître
aggrandizement	accroissement
aggravate	agacer
aggravating	agaçant
aggregate	agrégat
aggression	agression
aggressive	agressif
aggressor	attaquant
aggro	agression
aghast	stupéfait
agile	agile
agitate	agiter
agitated	agité
agitation	agitation
aglow	ardant
agnostic	agnostique
agog	curieux
agonize	agoniser
agony	abois
agoraphobia	agoraphobie
agrarian	agrarien
agree	être d'accord
agreeable	agréable
agreeably	agréablement
agreed	çava
agreement	accord
agricultural	agrarien
agricultural exhibition	exposition agricole
agricultural product	produit agricole
agricultural school	école d'agriculture
agriculture	agriculture
agriculturist	agronome
agronomics	agriculture
ague	fièvre
ah	ah
aha	ah
ahead	auparavant
aid	adjoint
aide‐de‐camp	adjudant
ailment	infirmité
aim	avoir pour but
air‐balloon	aérostat
air‐defence	défense anti‐aérienne
air‐filter	filtre à air
air‐fleet	flotte aérienne
air‐grid	grille d'aération
air‐gun	fusil à air comprimé
air‐mail stamp	timbre de poste aérienne
air‐pollution	pollution atmosphérique
air‐pressure	pression atmosphérique
air‐resistance	résistance à l'air
air‐squadron	escadron aérien
air‐valve	valve
air	air
aircraft	aéronef
airdrome	aérodrome
airfield	aérodrome
airless	étouffant
airlift	pont aérien
airline‐pilot	pilote de ligne
airmail	poste aérienne
airman	aviateur
airplane	aéroplane
airport	aéroport
airship	dirigeable
airsick	ayant le mal de l'air
airsickness	mal de l'air
airway	route aérienne
airy‐fairy	malin
air bridge	pont aérien
air conditioned	climatisé
air cushion	coussin d'air
air gun	fusil à air comprimé
air hostess	hôtesse de l'air
air letter	aérogramme
air out	aérer
alacrity	avidité
alarm	alarmer
alarmclock	réveil
alas	malheureusement
albatross	albatros
albino	albino
album	album
albumen	albumen
alburnum	aubier
alchemist	alchimiste
alchemy	alchimie
alcohol	alcool
alcoholic	alcoolique
alcoholism	alcoolisme
alcove	alcôve
aldehyde	aldéhyde
alder	aulne
alderman	adjoint au maire
ale	bière
alert	actif
alga	algue
algebra	algèbre
algebraic	algébrique
alibi	alibi
alien	abject
alike	pareil
alimony	pension alimentaire
alive	vivant
alkali	alcali
alkaline	alcalin
all	tout
allegedly	il paraît que
allegoric	allégorique
allegory	allégorie
allergic	allergique
allergy	allergie
alley	ruelle
alliance	alliance
alligator	alligator
alliteration	allitération
allow	laisser
alloy	alliage
allude	faire allusion
all about	partout
all of a sudden	soudainement
all of it	toutes les fois
all over again	de nouveau
all the	tout le
all the time	dans l'intervalle
all the while	dans l'intervalle
almanac	almanach
almond	amande
almost	presque
alms	aumône
aloe	aloès
alone	seul
alpaca	alpaga
alpha	alpha
alphabet	abc
alphabetical	alphabétique
alpine	alpestre
already	déjà
also	aussi
altar	autel
alteration	transformation
alternate	alterner
alternative	alternative
although	quoique
altitude	altitude
altogether	tout
altruism	altruisme
altruist	altruiste
altruistic	altruiste
alum	alun
aluminium	aluminium
aluminum	aluminium
always	en tous temps
always harp on one string	revenir toujours sur la même chapitre
always harp on the same string	revenir toujours sur la même chapitre
amaranthus	amarante
amass	entasser
amateur	amateur
amaze	étonner
ambassador	ambassadrice
amber	ambre
ambiguous	ambigu
ambition	ambition
ambitious	ambitieux
ambivalence	ambivalence
ambrosia	ambroisie
ambulance	ambulance
amen	ainsi soit‐il
amethyst	améthyste
amidst	au milieu de
ammonia	ammoniaque
ammunition	munitions
amnesty	amnistie
amoeba	amibe
among	au milieu de
amorphous	amorphe
amount	nombre
ampersand	perluète
amphetamine	amphétamine
amphibian	amphibie
amphitheatre	amphitéâtre
amphora	amphore
ample	ample
amplitude	amplitude
amputate	amputer
amputation	amputation
ampère	ampère
amuck	amok
amulet	amulette
amuse	amuser
amusement	amusement
amusing	amusant
an	un
anabaptism	anabaptisme
anachronism	anachronisme
anaconda	anaconda
anaemia	anémie
anaemic	anémique
anaesthesia	anesthésie
anaesthesist	anesthésiste
anagram	anagramme
anal	anal
analogous	analogue
analogy	analogie
analyse	analyser
analysis	analyse
analyst	analyste
analytical chemist	analyste
anapaest	anapeste
anarchic	anarchique
anarchical	anarchique
anarchism	anarchisme
anarchist	anarchique
anarchy	anarchie
anathema	anathème
anatomical	anatomique
anatomist	anatomiste
anatomy	anatomie
anchor	ancre
anchovy	anchois
ancient	antique
and	et
and ... as well	d'ailleurs
and also	d'ailleurs
anecdotal	anecdotique
anecdote	anecdote
anemone	anémone
anew	de nouveau
angel	ange
angelic	angélique
angelica	angélique
angina	angine
angle	angle
angler	pêcheur à la ligne
anguish	angoisse
angular	anguleux
aniline	aniline
animal	animal
animate	animer
ankle	cheville
anniversary	anniversaire
annotation	note
announce	annoncer
announcement	faire‐part
announcer	speaker
annoy	agacer
annoyance	désolation
annual	annuel
annul	abroger
anode	anode
anoint	enduire
anonymity	anonymat
anonymous	anonyme
anonymous writer	inconnu
another	autre
another man	autrui
answer	correspondre à
ant	fourmi
antecedent	précédent
antelope	antilope
antenna	antenne
anthem	hymne
anthology	anthologie
anthracite	anthracite
anthropologist	anthropologiste
anthropology	anthropologie
anti‐Semite	antisémite
anti‐Semitic	antisémitique
anti‐Semitism	antisémitisme
anti‐aircraft defence	défense anti‐aérienne
anti‐aircraft defences	défense anti‐aérienne
anti‐aircraft guns	artillerie anti‐aérienne
anti‐tank gun	bazooka
antibiotic	antibiotique
antibody	anticorps
anticipate	anticiper
anticipation	anticipation
antidote	antidote
antifreeze	antigel
antimony	antimoine
antipode	antipode
antique	antique
antiseptic	antiseptique
antisocial	antisocial
antithesis	antithèse
anus	anus
anvil	enclume
anxiety	anxiété
anxious	agité
any	un
anybody	un
anything	quelque chose
anyway	de façon ou d'autre
anywhere	quelque part
aorta	aorta
apache	Apache
apart	particulier
apartheid	apartheid
apartment	appartement
apart from	en outre
apathetic	apathique
apathy	abattement
ape	singe
aperture	orifice
aphasia	aphasie
aphorism	aphorisme
apiarist	apiculteur
apiary	rucher
aplomb	aplomb
apocalyptic	apocalyptique
apocryphal	apocryphe
apology	apologie
apoplectic fit	apoplexie
apostate	apostat
apostle	apôtre
apostleship	apostolat
apostolate	apostolat
apostolic	apostolique
apostrophe	apostrophe
apotheosis	apothéose
appal	abasourdir
apparatus	appareil
apparently	évidemment
appeal	faire appel
appeal to	invoquer
appear	paraître
appearance	air
appear to be	paraître
appease	abattre
appellation	nom
appendicitis	appendicite
appendix	appendice
appetite	appétit
applaud	acclamer
apple‐tree	pommier
apple	pomme
apply	appliquer
apply to	recourir à
appointment	rencontre
appointment book	agenda
appraise	apprécier
appreciate	apprécier
apprehension	arrestation
approach	aborder
approachable	abordable
appropriate	convenable
appropriately	proprement
approval	acclamation
approve	approuver
approximately	à peu près
apricot‐tree	abricotier
apricot	abricot
apron	tablier
aptitude	aptitude
aquarium	aquarium
aquatic	aquatique
aqueduct	aqueduc
aquiline nose	nez aquilin
aquittal	acquittement
arabesque	arabesque
arbiter	arbitre
arbitrary	arbitraire
arbitrator	arbitre
arbor	tonnelle
arbutus	arbousier
arbutus fruit	arbouse
arc	arc
archaeological	archéologique
archaeologist	archéologue
archaeology	archéologie
archaism	archaïsme
archangel	archange
archbishop	archevêque
archduchy	archiduché
archduke	archiduc
archipelago	archipel
architect	architecte
architectonic	architectonique
architectural	architectonique
architecture	architecture
archivist	archiviste
ardent	ardant
are	are
area	aire
arena	arène
argon	argon
argue	se disputer
argument	argument
aria	air de musique
arise	se soulever
aristocracy	aristocratie
aristocrat	aristo
aristocratic	aristocratique
arithmetic	arithmétique
arm‐rest	accotoir
arm	armer
armchair	fauteuil
armour	armure
armoury	arsenal
armpit	aisselle
army	armée
army chaplain	aumônier
arnica	arnica
aroma	arôme
aromatic	aromatique
around	autour de
arouse	réveiller
arrack	arack
arrange	accommoder
arrangement	construction
arrest	arrêter
arrival	arrivage
arrivals	fourniture
arrive	arriver
arrogant	arrogant
arrow	flêche
arse	anus
arsenal	arsenal
arsenic	arsenic
art	art
arteriosclerosis	artériosclérose
artery	artère
artesian	artésien
arthritis	arthrite
artichoke	artichaut
article	article
article of dress	habit
artificial	affecté
artillery	artillerie
artilleryman	artilleur
artisan	artisan
artist	artiste
arum	arum
as	comme
asbestos	asbeste
ascend	se soulever
ascertain	constater
ash	cendre
ashtray	cendrier
ask	demander
ask for	demander
ask forgiveness	s'excuser
ask for alms	demander l'aumône
ask for an alms	demander l'aumône
ask for charity	demander l'aumône
asparagus	asperge
aspect	air
aspen	tremble
asphalt	asphalter
asphodel	asphodèle
aspiration	souhait
aspire	aspirer
aspire to	aspirer
aspirin	aspirine
ass	âne
assailant	attaquant
assault	assaillir
assemblage	réunion
assemble	réunir
assembly	accumulation
assent	affirmer
assert	affirmer
assertion	assertion
asset	acquisition
assets	actif
assign	adjuger
assigned job	devoir
assimilate	assimiler
assimilation	assimilation
assist	aider
assistant	adjoint
associate	s'accoupler
association	association
assure	assurer
aster	aster
asterisk	astérisque
asteroid	astéroïde
asthma	asthme
asthmatic	asthmatique
astringent	astringent
astrologer	astrologue
astrology	astrologie
astronaut	astronaute
astronomer	astronome
astronomic	astronomique
astronomical	astronomique
astronomy	astronomie
astute	avisé
asylum	abri
asymmetric	asymétrique
asymmetrical	asymétrique
as far as I am concerned	quant à moi
as for the rest	d'ailleurs
as if	comme
as is being said	il paraît que
as regards	concernant
as though	comme
as to	concernant
as well as	d'ailleurs
as you wish	à volonté
at	à
atavism	atavisme
atelier	atelier
atheism	athéisme
atheist	athée
athlete	athlète
athletic	athlétique
athletics	athlétisme
atlas	atlas
atmosphere	atmosphère
atmospheric	atmosphèrique
atoll	atoll
atom	atome
atomic	atomique
atom bomb	bombe atomique
atpersand	colimaçon
atrocity	abomination
atrophy	atrophie
attach	appliquer
attachement	dévouement
attachment	attachement
attack	assaillir
attacker	attaquant
attain	acquérir
attempt	se démener
attend	soigner
attention	attention
attentive	attentif
attentively	attentivement
attest	attester
attic	mansarde
attitude	attitude
attitudinize	agir avec affectation
attitudinizer	faiseur d'embarras
attract	allécher
attraction	appât
attractive	affriolant
attribute	attribut
attune	adapter
at all	n'importe
at a strech	de suite
at first	d'abord
at last	enfin
at least	au moins
at long last	enfin
at most	tout au plus
at once	aussitôt
at present	maintenant
at some time	jadis
at that place	là
at the outset	d'abord
at the right time	à temps
at the same time	en même temps
at will	à volonté
aubade	aubade
aubergine	aubergine
auction	vente aux enchères
audacious	audacieux
audacity	audace
audience	audience
audit	surveiller
auditory	auditorium
augment	accroître
aunt	tante
aura	aura
aureole	auréole
aurochs	aurochs
aurora	aurore
autarky	autarcie
authentic	authentique
author	auteur
authorative	autoritaire
authority	autorité
authorization	autorisation
authorize	autoriser
autism	autisme
autistic	autistique
autobiographical	autobiographique
autobiography	autobiographie
autobus	autobus
autocracy	autocratie
autocrat	autocrate
autocratic	autocratique
autodidact	autodidacte
autogenous	autogène
automate	automatiser
automatic	automatique
automatically	automatiquement
automoton	automate
autonomic	autonome
autonomous	autonome
autonomy	autonomie
autopsy	autopsie
autumn	automnal
auxilary	auxiliaire
avalanche	avalanche
avant‐garde	avant‐garde
avarice	avarice
avaricious	avare
avenge	venger
avenge oneself	venger
avenue	allée
average	intermédiaire
aversion	antipathie
aviation	aviation
aviator	aviateur
avidity	avidité
avoid	éviter
await	attendre
awaken	réveiller
aware	conscient
awareness	connaissance
away	loin
awful	abject
awfully	affreusement
awkward	maladroit
axe	hache
axiom	axiome
axis	axe
axle	axe
azalea	azalée
azimuth	azimut
a few	quelques uns
a little	une certaine quantité
a long time	longtemps
a lot	beaucoup
a lot of	beaucoup
baboon	babouin
baby	bébé
babysitter	baby‐sitter
baby's bottle	biberon
baby's comforter	sucette
bachelor	célibataire
back	dos
background	arrière‐plan
backpack	sac tyrolien
backside	derrière
back of the neck	nuque
bacon	lard
bacterium	bactérie
bad	mal
badge	insigne
badly	mal
bagasse	bagasse
baggage	bagage
bairn	enfant
bake	faire cuire au four
bakelite	bakélite
baker	boulanger
bakery	boulangerie
balalaika	balalaïka
balance	reliquat
balcony	balcon
bald	chauve
baldachin	baldaquin
ball‐bearing	globe
ball‐frame	abaque
ball‐point pen	stylo à bille
ball	bal
ballad	ballade
ballade	ballade
ballast	ballast
ballerina	ballerine
ballet	ballet
ballet dancer	ballerine
ballet girl	ballerine
ballistics	balistique
balloon	aérostat
ballpoint	stylo à bille
ballpoint pen	stylo à bille
balm	baume
balsam	balsamine
balustrade	balustrade
bamboo	bambou
ban	anathème
banana‐plant	bananier
banana	banane
banana plant	bananier
band	bande
bandage	bandage
bandit	bandit
banisters	balustrade
banjo	banjo
bank	banque
banker	banquier
bankruptcy	banqueroute
bank clerk	banquier
bank manager	banquier
bank official	banquier
banner	drapeau
banquet	banqueter
banyan	banian
baobab	baobab
baptism	baptême
baptist	baptiste
baptistery	baptistère
baptize	baptiser
bar	barrer
barbarian	barbare
barbaric	barbare
barbarism	barbarisme
barbarity	barbarie
barbarousness	barbarie
barbel	barbeau
barber	barbier
bard	barde
bare	nu
barely	à peine
bargain	marchander
barge	barge
baritone	baryton
barium	baryum
bark	écorce
barley	orge
barman	barman
barn	baraque
barometer	baromètre
baron	baron
baroness	baronne
barony	baronnie
baroque	baroque
barque	barque
barrack	baraque
barracks	caserne
barrel	fût
barricade	barricader
barrier	barrière
barrister‐at‐law	avocat
barrister	avocat
bartender	barman
bas‐relief	bas‐relief
basalt	basalte
base	baser
baseball	base‐ball
basement	cave
basic	basique
basil	basilic
basilica	basilique
basin	bol
basket	corbeille
basketball	basket‐ball
bass	perche
bast	liber
bastard	bâtard
bastion	bastion
bat	chauve‐souris
bath	baignoire
bathe	baigner
bathing‐suit	maillot de bain
bathing box	cabine de bain
bathing suit	maillot de bain
bathroom	piscine
batik	batiker
batiste	batiste
baton	bâton
battery	accu
battle	bataille
battlefront	front
bauxite	bauxite
bawdy	bordel
bay	aboyer
bayonet	baïonnette
bazaar	bazar
bazooka	bazooka
beach	plage
bead	perle
beak	bec
beam	rayon
bean	fève
bear	faire naître
beard	barbe
bearded	barbu
bearer share	action au porteur
bear witness of	attester
beast	animal
beat	battre
beat off	débattre
beautiful	beau
beautiful woman	beauté
beauty	beauté
beaver	castor
because	attendu que
because of	à cause de
become	devenir
become dull	s'abêtir
becoming	convenable
bed	planche
bedbug	punaise
bedroom	chambre à coucher
bee‐keeper	apiculteur
bee‐keeping	apiculture
bee‐master	apiculteur
bee	abeille
beech	hêtre
beef	bœuf
beefsteak	bifteck
beehive	ruche
beer	bière
beeswax	cire d'abeilles
beet	betterave
beetle	scarabée
befit	être décent
befog	brouiller
before	avant
beg	mendier
beget	engendrer
beggar	mendiant
begin	aborder
beginning	début
begonia	bégonia
begrudge	ménager
beguinage	béguinage
beguine	béguine
behave	se conduire
behavior	procédé
behaviour	procédé
behind	derrière
behold	voici
beige	beige
belch	roter
belief	conviction
believe	croire
bell	clochette
belladonna	belladone
belles‐lettres	belles‐lettres
belly	abdomen
belong to	appartenir
below	sous
belt	ceinture
bench	banc
bend	courber
beneath	sous
benefit	avantage
bent	courbe
benzene	benzène
berry	baie
beryllium	béryllium
beseech	implorer
beside	à
besides	d'ailleurs
besiege	assièger
bet	parier
betray	trahir
betrothal	accordailles
better	meilleur
between	au milieu de
beverage	boisson
bevy	bande
bewitch	ensorceler
beyond	plus loin
be able to	pouvoir
be about	circuler
be acquainted with	connaître
be addicted	être accro
be adrift	dériver
be advised	s'informer
be afraid of	avoir peur
be alive	vivre
be angry	être en colère
be appropriate	convenir
be ashamed	avoir honte
be asleep	dormir
be as slippery as an eel	échapper comme une anguille
be at loggerheads	se bagarrer
be bankrupt	faire banqueroute
be bold	oser
be bored	s'ennuyer
be born	naître
be called	s'appeler
be delirious	délirer
be detained	rester en arrière
be different	différer
be effective	agir
be fitting	être décent
be found	se trouver
be glad	être joyeux
be hungry	avoir faim
be inclined	incliner
be indignant	s'indigner
be interested	s'intéresser
be in labour	accoucher
be in the habit of	avoir coutume
be kept in	rester en arrière
be lacking	manquer
be late	tarder
be lenient with	être indulgent
be located	se trouver
be lost	se perdre
be married	se marier
be missing	manquer
be near death	agoniser
be next to	aboutir
be obstinate	s'obstiner
be on duty	être de service
be present	assister
be proud	triompher
be quiet	se taire
be similar	rejoindre
be situated	être situé
be sorry about	regretter
be stubborn	s'obstiner
be succesful	prospérer
be suitable	convenir
be thirsty	avoir soif
be tired of something	s'ennuyer
be unfaithful	tromper
be unfaithful to	tromper
be vacant	être vacant
be washed ashore	arriver en flottant
be willing to	vouloir
be worth	valoir
be worthy of	mériter
bicycle	bécane
bid	offrir
big	grand
bike	bécane
bikini	bikini
bile	amer
bilk	mystifier
bill‐board	panneau d'affichage
bill	bec
bind	relier
binding	bande
bindweed	liseron
binocular	lunette
binoculars	jumelles
birch	bouleau
bird	oiseau
birth	naissance
birthday	anniversaire
biscuit	biscuit
bishop	évêque
bison	bison
bit	fragment
bite	mordre
bitter	âcre
bitterness	âcreté
bizarre	bizarre
black	brun
blackberry	mûre sauvage
blackberry bush	mûre sauvage
blackbird	merle
bladder	bulle
blade	lame
blame	gronder
bland	doucereux
blank	blanc
blanket	couverture
blaspheme	blasphémer
bleak	désagréable
bleat	bêler
blend	mélanger
bless	bénir
blind	aveugle
blister	ampoule
block	se mettre en travers
blockade	se mettre en travers
blond	blond
blood	sang
bloom	fleur
blot	tache
blotter	papier buvard
blotting paper	papier buvard
blouse	blouse
blow	bataille
blow up	aggraver
blue	bleu
blueberry	myrtille
blush	rougir
blushing	rouge
boa	boa
boar	verrat
board	panneau
boarding house	pension
boarding school	pension
board of directors	commandement
boast	faire le malin
boat	barque
bobbin	bobine
body	corps
boil	bouillir
boiler	chaudron
bold	audacieux
boldness	audace
bolt	verrouiller
bomb	bombe
bombard	bombarder
bon‐bon	bonbon
bonbon	bonbon
bond	lien
bone	os
bony	osseux
book	livre
bookcase	bibliothèque
bookseller	libraire
bookshop	librairie
bookstore	librairie
boot	botte
border	lisière
bore	forer
boring	maussade
borrow	emprunter
borrow money on	emprunter sur gages
bosom	poitrine
boss	maître
botch	gâcher
both	les deux
bother	déranger
bottle	bouteille
bottom	fond
bough	branche
bouillon	bouillon
boulder	rocher
boulevard	boulevard
boundary	frontière
bouquet	bouquet
boutique	boutique
bovine	bœuf
bovine animal	bœuf
bow	arc
bowl	bassin
box‐room	réserve
box	boxer
boy	garçon
boyscout	reconnaissance
boy scout	reconnaissance
bra	soutien‐gorge
brace	parenthèse
braces	bretelles
bracket	parenthèse
brag	faire le malin
braid	natter
brain	cerveau
brake	freiner
brakedown	panne
bramble	mûre sauvage
branch	branche
brandish	agiter
brandy	eau‐de‐vie
brass	laiton
brat	bambin
brave	brave
breach	brèche
bread	pain
break	pause
breakable	fragile
breakfast	petit déjeuner
break down	s'abîmer
break down upon	s'adresser à
break into	entamer
breast	poitrine
breath	haleine
breathe	respirer
breed	élever
bribe	corrompre
brick	brique
bride	accordée
bridge	pont
bridle	réprimer
brief	court
briefcase	collection à consulter
briefs	slip
bright	luisant
brilliant	luisant
brim	bord
brimstone	soufre
bring	amener
bring away	entraîner
bring close together	approcher
bring into agreement	mettre d'accord
bring near to	rapprocher
bring up	éduquer
brinjal	aubergine
brink	bord
brisk	actif
bristly	ébouriffé
brittle	fragile
broach	forer
broad	ample
broker	représentant
bronze	airain
brooklet	ruisselet
broom	balai
brothel	bordel
brother	frère
brow	sourcil
brown	brun
brownie	gnome
brush	brosse
brutal	maussade
bubble	bulle
buck‐hare	bouquin
buck‐rabbit	bouquin
buck	bouquin
bucket	seau
buckle	boucle de vêtement
buddy	camarade
buffalo	bison
buffer	pare‐chocs
buffet	bar
buffoon	arlequin
bug	punaise
build	bâtir
builder	bâtisseur
building	construction
build from wood	charpenter
bulb	ampoule
bulk	ampleur
bulky	ample
bull	taureau
bulldozer	bulldozer
bullet	balle
bulletin	bulletin
bumblebee	bourdon
bump	bosse
bumper	pare‐chocs
bumpy	accidenté
bungle	gâcher
bunker	abri
buoy	balise
burdensome	lourd
bureau	bureau
burgomaster	maire
burial	enterrement
burn	brûler
burnt	brûlé
burp	roter
burr	bardane
burst	crever
bus	autobus
bush	arbrisseau
business	affaire
businessman	négociant
business deal	affaire
but	mais
butcher	abattre
butcher's shop	boucherie
butter	beurre
butterfly	papillon
buttock	fesse
buttocks	cul
button	bouton
buy	acheter
buyer	acheteur
buzz	bourdonner
by‐laws	statut
by	à
bye	adieu
byte	byte
by accident	accidentellement
by acclamation	par acclamation
by chance	accidentellement
by heart	par cœur
by marriage	par alliance
by means of	au moyen de
by mistake	abusivement
by now	déjà
by no means	en aucune façon
by tender	à forfait
by the way	à propos
by twos	à deux
cabbage	chou
cabin	cabane
cabinet	armoire
cable	câble
cactus	cactus
cadaver	cadavre
cadger	parasite
cadre	cadre
caesium	césium
café	café
cage	cage
cake	gâteau
calamity	fléau
calamus	calame
calcium	calcium
calculate	calculer
calculation	addition
calendar	calendrier
calf	veau
call	nommer
caller	visiteur
call at	faire escale à
call at ...'s house	passer chez
call box	cabine téléphonique
call on	passer chez
calm	calme
calmness	repos
cambric	batiste
camel	chameau
camera	caméra
campaign	campagne
camping ground	camp
camping site	camp
camp of tents	camp
canal	canal
canary	canari
cancel	abroger
cancer	cancer
candidate	candidat
candle	bougie
candy	friandise
cane	bâton
canker	cancer
cannon	canon
