ADN	DNA
Vénus	Venüs
Vénétie	Veneto
Vésuve	Vezüv
Wall Street	Wall Street
Wallis-et-Futuna	Wallis ve Futuna Adaları
Wallon	Valonca
Wallonie	Valonya
Washington	Vaşington, D.C.
Wikipédia	vikipedi
Wiktionnaire	vikisözlük
Wrocław	Wrocław
XSLT	XSLT
Yi Jing	Yi Çing
Ymir	Ymir
Yokohama	Yokohama
Yorkshire-et-Humber	Yorkshire ve Humber
Yougoslavie	Yugoslavya
Yunnan	Yünnan
Yémen	Yemen
Yéménite	Yemenli
Zacharie	Zekeriya
Zagreb	Zagreb
Zambie	Zambiya
Zeus	Zeus
Zimbabwe	Zimbabve
Zimbabwéen	Zimbabveli
Zurich	Zürih
abaisser	azaltmak
abandon	terketme
abandonner	bırakmak
abaque	abaküs
abat-jour	abajur
abattoir	mezbaha
abattre	altetmek
abbé	başrahip
abc	alfabe
abcès	apse
abdiquer	tahttan el çekmek
abdomen	karın
abeille	arı
aberrant	anormal
aberration	aberasyon
abiogenèse	abiyogenez
abject	ahlaksız
abjection	alçaklık
abkhaze	Abhazca
ablatif	-den hâli
abolir	feshetmek
abondance	bolluk
abondant	bol
abonnement	abone
aborder	başlamak
abortif	abes
aboutir	çıkmak
aboutissement	başarı
aboyer	havlamak
abreuver	su içmek
abri	siper
abricot	kayısı
abricotier	kayısı
abroger	feshetmek
abscisse	apsis
absence	yokluk
absent	namevcut
absolu	mutlak
absolument	tamamen
absolution	affı
absorber	emmek
abstraction	soyutlama
abstrait	soyut
absurde	saçma
acacia	akasya
académie	akademi
acarien	akar
accaparer	emmek
accent	vurgu
accent aigu	tiz vurgu
accent grave	peslik vurgusu
accenteur mouchet	dağbülbülü
accepter	almak
accepteur	alan
accident	kaza
accidentel	arızi
accommodement	anlaşma
accommoder	düzenlemek
accord	anlaşma
accordéon	akordiyon
accoster	yanaşmak
accouchement	doğum
accoucher	doğum yapmak
accouplement	çiftleşme
accoutumer	alıştırmak
accroissement	agrandisman
accueillir	almak
accumulation	birikme
accusatif	belirtme durumu
accusation	suçlama
accuser	suçlamak
accès	hücum
accélérateur de particules	parçacık hızlandırıcı
accélération	ivme
achalasie	akalazya
achat	alış
acheter	satın almak
acheteur	alıcı
acheteuse	alan
achever	bitirmek
achoug	âşık
acide	buruk
acide	asit
acide acrylique	akrilik asit
acide acétique	asetik asit
acide aminé	amino asit
acide butyrique	bütanoik asit
acide carbonique	karbonik asit
acide chlorique	klorik asit
acide désoxyribonucléique	dezoksiribonükleik asit
acide formique	formik asit
acide gras	yağ asidi
acide hypochloreux	hipokloröz asit
acide lactique	laktik asit
acide myristique	miristik asit
acide nitrique	nitrik asit
acide palmitique	hexadekanoic asit
acide picrique	2,4,6-trinitrofenol
acide stéarique	stearik asit
acide sulfureux	kükürtlü asit
acide sulfurique	sülfürik asit
acide urique	ürik asit
acide α-linolénique	alfa-linolenik asit
acide γ-aminobutyrique	GABA
acide γ-linolénique	gamma linolenik asit
acier	çelik
acné	akne
acore	eğir otu
acouphène	kulak çınlaması
acquéreur	alan
acquérir	almak
acrobate	akrobat
acrophobie	akrofobi
acteur	aktör
actif	aktif
actinium	aktinyum
actinote	nefrit (mineral)
action	aksiyon
activité	aktivite
actrice	aktris
actualité	aktüalite
acupuncture	akupunktur
acétone	aseton
acétylène	asetilen
adaptable	uyumlu
adaptation	adaptasyon
adapter	uydurmak
adieu, monde cruel	elveda zalim dünya
adjectif	sıfat
adjika	acuka
adjoint	asistan
admettre	almak
administration	idare
adobe	kerpiç
adolescent	ergen
adolescent	ergen
adopter	seçmek
adorer	tapmak
adresse	adres
adresse IP	IP adresi
adresser	göndermek
adrénaline	adrenalin
adulte	yetişkin
adultère	zina
adverbe	zarf
adversaire	aleyhtar
adénine	adenin
adéquat	münasip
afar	Afarca
afchar	afşar dili
affamé	aç
affect	duygudurum
affiche	afiş
affiler	bilemek
affiliation	bir topluluğa dahil olma
affilier	bir derneğe ya da gruba dahil olmak
affilié	kuruma ya da topluluğa dahil olan
affliction	acı
affliger	kahretmek
affriolant	alımlı
afrikaans	Afrikanca
agacer	alevlendirmek
agate	akik
agence	acente
agenda	ajanda
agent	acente
aggiornamento	güncelleştirme
aggloméré	sunta
agglutinant	eklemeli
agha	ağa
agiter	çalkalamak
agneau	kuzu
agnosticisme	agnostisizm
agonie	ızdırap
agoraphobie	agorafobi
agrafeuse	tel zımba
agressif	agresif
agression	saldırı
agriculture	tarım
agréable	hoş
agréer	kabul etmek
aide	yardım
aider	yardım etmek
aigle	kartal
aigle	kartal
aigle de Bonelli	tavşancıl
aigle impérial	şah kartalı
aigle pomarin	küçük orman kartalı
aigle royal	kaya kartalı
aigre	buruk
aigrette garzette	küçük ak balıkçıl
aigri	buruk
aigue-marine	akuamarin
aiguille	iğne
aiguille à tricoter	şiş
aiguiser	bilemek
ail	sarimsak
aile	kanat
ailurophobie	ailurofobi
aimant	mıknatıs
aimer	sevmek
aimer mieux	yeğlemek
aine	kasık
ainsi	böyle
air	hava
airain	tunç
airelle	mavi
aisselle	koltuk altı
ajouter	eklemek
aksakal	aksakallı
akène	aken
alarme	alarm
albanais	Arnavut
albanais	Arnavutça
albatros	albatros
albinisme	albinizm
album	albüm
albumen	albumin
albédo	albedo
alcaloïde	alkaloid
alchimie	simya
alcool	alkol
alcoolique	alkollü
alcoolisme	alkolizm
alcoolisé	alkollü
algie vasculaire de la face	küme baş ağrısı
algorithme	algoritma
algue	alg
algèbre	cebir
allemand	Alman
allemand	Almanca
aller	gitmek
allergie	alerji
alliage	alaşım
alliance	ittifak
alligator	aligator
allumer	yakmak
allumette	kibrit
allèle	alel
alléchant	alımlı
allégorie	alegori
allégresse	lezzet
allô	alo
almanach	almanak
alouette	tarlakuşu
alouette des champs	tarla kuşu
alouette leucoptère	ak kanatlı toygar
alouette lulu	ağaç tarla kuşu
alouette pispolette	çorak toygarı
aloyau	filetosu
alphabet	alfabe
alphabet cyrillique	Kiril abecesi
alphabet phonétique international	Uluslararası Fonetik Alfabesi
alphabétique	alfabetik
alpinisme	dağcılık
alpiniste	alpinist
altitude	irtifa
aluminium	alüminyum
alvéole	petek
alysson maritime	kraliyet halısı
aléatoire	belirsiz
alévi	Alevi
alévie	Alevi
alévisme	Alevilik
amande	badem
amarante réfléchie	horoz ibiği
amazone aourou	Amazon papağanı
amazone à front bleu	mavi kafalı papağan
ambassade	sefarethane
ambassadeur	elçi
ambassadrice	büyükelçi
ambitieux	hırslı
ambition	ihtiras
ambulance	ambulans
amen	amin
amen	amin
amende	para cezası
amener	getirmek
amer	acı
amharique	habeşistan dili
ami	arkadaş
amibe	amip
amidon	nişasta
amiral	amiral
amitié	arkadaşlık
ammoniac	amonyak
amnistie	af
amour	aşk
amour platonique	platonik aşk
amphigouri	saçma
amphore	amfora
ample	bol
ampleur	büyüklük
ampoule	ampul
amputation	ampütasyon
amputer	bir uzvu kesmek
ampère	amper
amulette	muska
amuser	eğlendirmek
amygdale	bademcik
amélanchier à feuilles ovales	karlı kaya armudu
américain	Amerikalı
américium	amerikyum
améthyste	ametist
an	yıl
anagramme	anagram
analyser	analiz etmek
ananas	ananas
anarchie	anarşi
anarchisme	anarşizm
anarchiste	anarşist
anathème	aforoz
anatomie	anatomi
anatomiste	anatomist
anchois	ançüez
ancien	eski
ancre	demir
ancêtre	ata
andropause	andropoz
androïde	android
anesthésie générale	narkoz
anesthésie locale	lokal anestezi
aneth	dere otu
ange	melek
ange gardien	koruyucu melek
angine	anjin
angiosperme	kapalı tohumlu
anglais	Ingiliz
anglais	İngilizce
angle	açı
angora turc	Ankara kedisi
anguille	yılan balığı
angulaire	köşeli
anhydrite	anhidrit
aniline	anilin
animal	hayvan
animisme	canlıcılık
animiste	canlıcı
anion	anyon
anis	anason
anneau	halka
anniversaire	doğum günü
annonce	ilan
annoncer	haber vermek
annotation	dipnot
annuaire	almanak
annuel	yıllık
annulaire	yüzük parmağı
annuler	feshetmek
année	sene
année bissextile	artık yıl
année-lumière	ışık yılı
anode	anot
anonyme	anonim
anorak	anorak
antagoniste	aleyhtar
anthropocentrisme	antroposantrizm
anthropologie	antropoloji
anthyllide vulnéraire	cobangülü
antibiotique	antibiyotik
antichambre	bekleme salonu
anticlinal	antiklinal
anticorps	antikor
anticyclone	yüksek basınç
antilope	antilop
antimatière	antimadde
antimoine	antimon
antinomie	çelişki
antipathie	antipati
antique	antika
anus	anüs
anxiété	anksiyete
anémie	kansızlık
aorte	aort
août	ağustos
apaiser	teskin etmek
apartheid	apartheid
apathique	apatik
apathéisme	apateizm
apatite	apatit
aphorisme	özdeyiş
aphrodisiaque	afrodizyak
apiculteur	arıcı
apitoyer	acındırmak
apocalypse	kıyamet
apocope	apokop
aporie	aporia
apostrophe	apostrof
apothèse	tanrısama
appareil	sistemi
appareil photo	fotoğraf makinesi
apparemment	görünüşe göre
appartement	daire
appel	çağrı
appeler	aramak
appendicite	apandisit
applaudir	alkışlamak
application	tatbik
appliquer	kullanmak
apporter	getirmek
apprendre	öğrenmek
apprenti	çırak
approcher	yaklaşmak
approuver	beğenmek
apprécier	beğenmek
appétit	iştah
après	sonra
après Jésus-Christ	Efendimizin yılında
après moi le déluge	benden sonra tufan
après-demain	öbür gün
après-midi	öğleden sonra
apsara	apsara
aptamère	aptamer
apôtre	havaryun
aquarium	akvaryum
aqueduc	su kemeri
ara	ara
ara bleu	mavi-sarı ara
ara hyacinthe	sümbül ara
ara rouge	kızıl ara
arabe	Arap
arabe	Arapça
arabesque	arabesk
arabiser	Araplaştırmak
araignée	örümcek
araméen	Aramice
arbre	ağaç
arbre de Noël	Noel ağacı
arbre à pain	ekmek ağacı
arc	yay
arc-en-ciel	gökkuşağı
archange	baş melek
archaïque	antik
archer	okçu
archet	yay
archevêque	başpiskopos
archiduc	arşidük
archipel	takımada
architecte	mimar
architecture	mimarlik
archéologie	arkeoloji
archéologue	arkeolog
archéométrie	arkeometri
archéozoologie	arkeozooloji
ardoise	kayrak
are	ar
argent	gümüş
argent	akçe
argent de poche	cep harçlığı
argile	kil
argon	argon
argot	argo
aristocratie	aristokrasi
aristotélisme	aristotalesçilik
arithmétique	aritmetik
arithmétique modulaire	modüler aritmetik
arme	silah
arme biologique	biyolojik silah
arme nucléaire	nükleer silah
arme à feu	ateşli silah
armistice	ateşkes
armoire	dolap
armoiries	arma
armure	zırh
armée	ordu
armée de l’air	hava kuvetleri
arménien	Ermeni
arménien	Ermenice
aromatique	aromatik
aronde	kırlangıç
arracher	sökmek
arranger	düzenlemek
arrivage	varış
arriver	varmak
arrivée	varış
arrêt de bus	otobüs durağı
arrêter	durdurmak
arsenic	arsenik
art	sanat
art funéraire	mezar sanatı
art martial	savaş sanatları
arthrite	artrit
artichaut	enginar
article	tanımlık
article indéfini	belirsiz tanımlık
articulation	telaffuz
artificiel	yapay
artificieux	akılı
artisan	zanaatkâr
artiste	sanatçı
arts plastiques	plastik sanatlar
artère	atardamar
aryk	arık
arène	arena
arête	kılçık
arôme	güzel koku
as	as
ascenseur	asansör
asexualité	aseksüellik
asiatique	asyalı
aspartame	aspartam
aspect	bakış
asperge	kuşkonmaz
asphalte	asfalt
aspirateur	elektrik süpürgesi
aspirer	arzulamak
aspirine	aspirin
aspre	akçe
assaillir	saldırmak
assassin	katil
assaut	hücum
assemblée	toplantı
asseoir	oturmak
assez	yeterince
assidu	çalışkan
assiette	tabak
assistant numérique personnel	cep bilgisayarı
associatif	birleşmeli
astate	astatin
asthme	astım
asticot	kurt
astrakan	astragan
astrild ondulé	mumgaga
astrild à joues orange	al yanaklı mumgaga
astrologie	astroloji
astrologue	astrolog
astronaute	astronot
astronome	astronom
astronomie	astronomi
astrophysique	astrofizik
astucieux	akılı
astéroïde	asteroit
asymptote	asimptot
atchoum	hapşu
atelier	atölye
athlète	atlet
athlétisme	atletizm
athée	ateist
athéisme	ateizm
athérine	gümüş balığı
atlas	atlas
atmosphère	atmosfer
atmosphérique	atmosferik
atome	atom
atropine	atropin
attachant	alımlı
attacher	bağlamak
attaque	hücum
attaquer	saldırmak
attendre	beklemek
attendrissant	acıklı
attentionné	düşünceli
attirant	alımlı
attractif	cazip
attrayant	alımlı
attribuer	atfetmek
au détail	perakende
au hasard	rastgele
au nom du Père et du Fils et du Saint-Esprit	Baba, Oğul ve Kutsal Ruh adına
au pied levé	hazırlıksız
au revoir	güle güle
aube	gün doğumu
auberge	han
auberge de jeunesse	hostel
aubergine	patlıcan
aubépine	alıç
auge	yalak
augmenter	yetişkin
aujourd’hui	bugün
aulos	aulos
aumône	sadaka
aussi	de
autel	sunak
auteur	yazar
authentification	kimlik doğrulama
autisme	otizm
auto	otomobil
autobus	otobüs
autocar	otobüs
autochenille	yarı paletli
autocuiseur	düdüklü tencere
automate	otomat
automatique	otomatik
automne	sonbahar
automobile	otomobil
autonome	kendi kendini kontrol eden
autoritaire	otoriter
autorité	otorite
autoroute	otoyol
autostéréogramme	otostereogram
autour	atmaca
autour australien	kahverengi çakır kuşu
autour des Célèbes	Sulawesi çakır kuşu
autour des Fidji	Fiji çakır kuşu
autour des palombes	bayağı çakır kuşu
autour gabar	gabar çakır kuşu
autour huppé	tepeli çakır kuşu
autour pie	alaca çakır kuşu
autour sombre	ötücü çakır
autour à ventre gris	boz karınlı çakır kuşu
autoérotique	özdoyum
autre	başka
autrement dit	başka bir deyişle
autruche	deve kuşu
av. J.-C.	milattan önce
avalanche	çığ
avaler	yutmak
avant-garde	öncü
avantage	avantaj
avantageux	avantajlı
avar	Avarca
avare	cimri
avec	ile
aventure	macera
averse	sağanak
avertisseur	boynuz
aveu	itiraf
aveugle	âmâ
aviateur	uçman
avion	uçak
avion de ligne	yolcu uçağı
avion à réaction	jet uçağı
avis	nashihat
avocat	avukat
avoine	yulaf
avoir	alacak
avoir	sahip olmak
avoir d’autres chats à fouetter	yapacak başka işi olmak
avoir hâte	dört gözle beklemek
avoir peur	korkmak
avoir pitié	acımak
avoir soif	susamak
avortement	kürtaj
avorter	çocuk aldırmak
avril	nisan
axe	eksen
aye-aye	ay-ay
ayran	ayran
azamoglan	acemi oğlanı
azote	azot
aérobiologie	aerobiyoloji
aérogel	aerojel
aéroglisseur	hoverkraft
aérographe	airbrush
aéronef	hava taşıtı
aéronef ultraléger motorisé	ultralight havacılık
aéroport	havaalanı
aïe	ay
aïkido	aikido
babillard	geveze
babouin	şebek
baby-foot	langırt
baby-sitter	çocuk bakıcısı
bac	araba vapuru
bachlyk	başlık
bacille	basil
bactérie	bakteri
bactériologie	bakteriyoloji
badauder	esnemek
badigeonner	badalanamak
badinage	alay
badminton	badminton
bagage	bagaj
bagarrer	kavga etmek
baglama	bağlama
bague	yüzük
baht	baht
baie	koy
baigner	çimmek
baignoire	küvet
bailler	bahşetmek
bain	banyo
baise	sikişmek
baiser	buse
baiser	seks yapmak
baisser	alçalmak
baklava	baklava
bakélite	bakalit
bal	balo
balai	süpürge
balalaïka	balalayka
balance	kantar
balançoire	salıncak
balayeur	tarayıcı
balbuzard pêcheur	balık kartalı
balcon	balkon
baleine	balina
baleine bleue	gök balina
baleine boréale	Grönland balinası
baleine franche de l’Atlantique Nord	buzul balinası
baleine grise	gri balina
baleine à bosse	kambur balina
baliverne	boş laf
ballade	ballad
balle	mermi
ballet	bale
ballon	balon
baltadji	baltacı
balustrade	korkuluk
bambara	Bambara
bambin	yumurcak
bambou	bambu
banal	bayağı
banane	muz
banc	bank
bande magnétique	manyetik bant
bandeau	bant
bandonéon	bandoneon
bang	maslak
banjo	banjo
banque	banka
banquier	banker
baptême	vaftiz
bar	büfe
barbare	barbar
barbe	sakal
barbe à papa	pamuk şekeri
barbecue	barbekü
barbiche	keçi sakal
barbier	berber
barbiturique	barbitürat
barbon	moruk
barbu	sakallı
barbue	çivisizkalkan balığı
bardane	dulavratotu
bardeau	çatı örtüsü
barge à queue noire	çamur çulluğu
barman	barmen
baromètre	barometre
baron	baron
barque	sandal
barreau	parmaklık
barricade	barikat
bartavelle	kaya kekliği
baryon	baryon
barytine	barit
barytite	barit
baryum	baryum
bas	alçak
bas	çorap
bas allemand	Aşağı Almanca
basalte	bazalt
bascule	baskül
base	baz
base de données	veri tabanı
baseball	beyzbol
basilic	fesleğen
basilique	bazilika
basket	spor ayakkabısı
basket	basketbol
basket-ball	basketbol
basketteur	basketbolcu
basque	Baskça
bassin	pelvis
basson	fagot
bataille	boğuşmak
bateau	gemi
bath	hoş
batterie	batarya
battre	dövmek
bauxite	boksit
bavardage	dedikodu
bavarde	konuşkan
baza	baza
baza coucou	Afrika bazası
baza de Jerdon	Jerdon bazası
baza huppard	kara baza
baza huppé	Pasifik bazası
baza malgache	Madagaskar bazası
baïonnette	süngü
beau	güzel
beau-fils	damat
beau-frère	bacanak
beau-père	kaynata
beaucoup	bir sürü
beaucoup	çok
beaucoup de bruit pour rien	kuru gürültü
beauté	afet
beaux-arts	güzel sanatlar
bec	gaga
bec-de-corail	gri mumgaga
becquerel	bekerel
beige	bej
bektachi	Bektaşi
bektashisme	Bektaşilik
bel et bien	adam akıllı
belette	gelincik
belle-fille	gelin
belle-mère	kaynana
belle-sœur	baldız
belliciste	savaşsever
belligérant	savaşanların
bengali	bengalce
bengali	bengalce
berceau	beşik
berceuse	ninni
berger	çoban
bergeronnette des ruisseaux	dağ kuyruksallayanı
bergère	çoban
berkélium	berkelyum
bernache du Canada	Kanada kazı
bernache à cou roux	Sibirya kazı
besicles	kelebek gözlü
besoin	gereksinim
betterave	pancar
betterave à sucre	şeker pancarı
beurre	tereyağı
bezestan	bedesten
biberon	biberon
bibitte	böcek
bibliographie	bibliyografya
bibliothèque	kütüphane
bibliothécaire	kütüphaneci
biche	maral
bicyclette	bisiklet
bidet	bide
bien	iyi
bien	iyi
bien	iyi
bien entendu	açık
bien fait	aferin
bien sûr	elbette
bientôt	yakında
bienvenue	hoşgeldiniz
bifteck	biftek
bigarade	turunç
bilan	bilanço
bile	safra
bilingue	ikidilli
billard	bilardo
bille	bilye
billet	bilet
billet de banque	banknot
bilocation	bilokasyon
binette	çapa
binturong	binturong
biochimie	biyokimya
biochimiste	biyokimyacı
biodiversité	biyoçeşitlilik
biogenèse	biyogenez
biographie	biyografi
biogéographie	biyocoğrafya
biologie	biyoloji
biologique	biyolojik
biologiste	biyolog
biome	biyom
biopouvoir	biyoiktidar
biotite	biyotit
bioéthanol	etanol yakıtı
biscuit	bisküvi
bisexualité	biseksüellik
bismillah	besmele
bismuth	bizmut
bisphénol	bisfenol
bit de parité	eşlik biti
bitume	asfalt
bitumer	asfaltlamak
bizarre	garip
bière	bira
blaireau	porsuk
blanc	beyaz
blanc	beyaz
blanc cassé	kırık beyaz
blanchiment d’argent	para aklama
blatte	hamamböceği
blennie basilic	horozbin balığı
blennie paon	İbiklihorozbina balığı
blessure	hasar
bleu	mavi
blizzard	tipi
bloc	blok
blocus	abluka
blond	sarışın
blu-ray	blu-ray
blé	buğday
bléomycine	bleomisin
blêmir	solgunlaşmak
bobine	makara
bobine d’allumage	endüksiyon bobini
bohrium	bohriyum
boire	içmek
bois	ağaç
bois de Sainte-Lucie	mahlep
bois de chauffage	odun
bois-joli	mezeryon
boisson	içilen şey
boisson alcoolisée	içki
boiteux	topal
boiteux	aksak
bol	çanak
bolchévique	Bolşevik
bombarder	bombalamak
bombardier	bombardıman uçağı
bombe	bomba
bombe atomique	atom bombası
bon	iyi
bon appétit	afiyet olsun
bon gré mal gré	ister istemez
bon marché	ucuz
bonbonnière	şekerlik
bondrée apivore	bayağı arı şahini
bonheur	mutluluk
bonhomme de neige	kardanadam
bonite	lüfer
bonjour	günaydın
bonne année	yeni yılın kutlu olsun
bonne chance	iyi şanslar
bonne nuit	iyi geceler
bonnet	başlık
bonobo	bonobo
bonsoir	iyi akşamlar
bonté	iyilik
bora	poyraz
bord	kenar
bordel	genelev
bore	bor
borgne	tek gözlü
bosnien	Boşnakça
boson	bozon
boson de Higgs	Higgs bozonu
bosse	hörgüç
bossu	kambur
bostangi	bostancı
botanique	botanik
botte	çizme
bouc émissaire	günah keçisi
bouche	ağız
bouche à oreille	Kulaktan kulaga
boucher	kasap
boucher	kapatmak
bouchon	tapa
boucle d’oreille	küpe
bouclier	kalkan
bouddhisme	Budizm
bouder	somurtmak
boudeur	somurtkan
boue	çamur
bougie	mum
bougie d’allumage	buji
bouilloire	çaydanlık
bouillon	et suyu
boulanger	fırıncı
boulangerie	fırın
boule	küre
bouleau	huş ağaç
boulet	kestanecik
boulevard	bulvar
boulot	iş
bouquet	demet
bouquetin	dağ keçisi
bourdaine	barut ağacı
bourdon	bombus
bourg	kasaba
bourgeoisie	burjuvazi
bourgeon	filiz
bourrache officinale	hodan
bourreau	cellat
bourse	burs
bouseux	köylü hödük
boussole	pusula
bout	son
bouteille	şişe
boutique	dükkân
boutisme	endian
bouton	düğme
bouton de fièvre	uçuk
bouvreuil pivoine	bayağı şakrak kuşu
bouzouki	bozuk
bouée	şamandıra
boxe	boks
boxer	boksör motor
boîte	kutu
boîte aux lettres	posta kutusu
boîte à lettres	posta kutusu
bracelet	bilezik
branche	dal
branchie	solungaç
branler	otuz bir çekmek
bras	kol
bras de fer	bilek güreşi
bras dessus, bras dessous	kolkola
brasserie	bira fabrikası
brebis	koyun
bretelle	kayış
breton	Bretonca
brevet	patent
bride	dizgin
bridge	briç
brigand	eşkıya
briller	parlamak
brindille	ince dal
brique	tuğla
briquet	çakmak
brise-lames	dalgakıran
brochette	şiş
brochure	broşür
brocoli	brokoli
brome	brom
bronchite	bronşit
brosse	fırça
brosse à dents	diş fırçalama
brouette	el arabası
brouillon	müsvedde
broyer du noir	kötümser olmak
bru	gelin
bruant fou	kaya kiraz kuşu
bruant jaune	sarı kiraz kuşu
bruant mélanocéphale	kara başlı kiraz kuşu
bruant ortolan	bayağı kiraz kuşu
brucellose	bruselloz
brugnon	şeftali
bruiner	çiselemek
bruit	gürültü
brun	kahverengi
brusque	çabuk
bruyant	gürültülü
bruyère	süpürgeotu
brûler	yanmak
bubale	manda
budget	bütçe
buffle	manda
buglosse d’Italie	Büyük sığırdili
buis	şimşir
buisson	çalı
bulgare	Bulgar
bulgare	Bulgarca
bulldozer	buldozer
bulle	sidik torbası
bureau	büro
bureau de change	döviz bürosu
bureau de poste	postane
bureaucratie	bürokrasi
burkini	burkini
burqa	burka
bus	otobüs
busard Saint-Martin	gökçe tuygun
busard cendré	çayır tuygunu
busard des roseaux	saz tuygunu
busard pâle	bozkır tuygunu
buse	şahin
buse féroce	kızıl şahin
buse pattue	paçalı şahin
buse variable	bayağı şahin
buste	büst
but	gaye
butane	bütan
butanol	bütanol
butor étoilé	Bayağı balaban
bâillement	esneme
bâiller	esnemek
bâtard	piç
bâtard	piç
bâtarde	piç
bâtiment	bina
bâton	sopa
bègue	kekeme
bébé	bebek
bécane	bisiklet
bécasse	çulluk
bécasseau cocorli	kızıl kumkuşu
bécasseau de Temminck	sarıbacaklı kumkuşu
bécasseau minuscule	cüce kumkuşu
bécasseau tacheté	çizgili kum kuşu
bécassine des marais	su çulluğu
bécassine double	büyük su çulluğu
bécassine sourde	küçük su çulluğu
bécot	öpücük
bégayer	kekelemek
bégonia	begonya
bélier	koç
bélouga	beluga
bérardie	gagalı balinası
bérardie de Baird	Baird gagalı balinası
bérardie d’Arnoux	Arnoux gagalı balinası
béryl	beril
béryllium	berilyum
béton	beton
bévue	gaf
bêche	kürek
bête	hayvan
bôme	bumba
bœuf	öküz
cabane	kulübe
cabaret	kabare
cabine	kayuta
cacao	kakao
cacatoès de Leadbeater	pembe kakadu
cachalot	ispermeçet balinası
cache-cache	saklambaç
cacher	gizlemek
cachot	zindan
cactus	kaktüs
cadarien	Mutezile
cadavre	ceset
cadeau	hediye
cadmium	kadmiyum
cadran solaire	güneş saati
caftan	kaftan
café	kahve
café	kahve
cage	kafes
cage de Faraday	Faraday kafesi
cage thoracique	göğüş kafesi
caguer	siçmak
cahier	defter
caille	bıldırcın
caille des blés	bıldırcın
cakilier maritime	deniz teresi
calcaire	kireç taşı
calcite	kalsit
calcium	kalsiyum
calcul	kalkülüs
calendrier	takvim
califat	halifelik
calife	halife
californium	kaliforniyum
calligraphie	kaligrafi
calmar	mürekkep balığı
calme	sakin
calomnie	iftira
calopsitte	sultan papağanı
calorie	kalori
camarade	yoldaş
cambrioleur	hırsız
camion	kamyon
camomille	papatya
camouflage	kamuflaj
campagne	kampanya
campus	kampüs
caméléon	bukalemun
canal	kanal
canard	ördek
canard chipeau	boz ördek
canard mandarin	mandarin ördeği
canard pilet	kılkuyruk
canard siffleur	fiyu
canari	kanarya
cancer	kanser
cancéreux	kanserli
candidat	aday
canette	kutu
cannabis	esrar
canne	baston
canne à sucre	şeker kamışı
cannelle	tarçın
canon	top
canoë	kano
canular	muziplik
caouanne	adi deniz kaplumbağası
caoutchouc	kauçuk
cap	burun
capacité	yetenek
capioglan	kapı oğlanı
capitaine	kaptan
capitale	başkent
capitalisme	kapitalizm
capitaliste	kapitalist
capituler	olmak
caporal	çavuş
capsaïcine	kapsaisin
capsule	kapak
captiver	emmek
car	çünkü
car	otobüs
carabine	karabina
caracal	karakulak
caractère	karakter
caravane	kervan
carbone	karbon
carburant	yakıt
carcajou	kutup porsuğu
cardamome	kakule
cardinal	kardinal
cardioïde	kardiyoit
caricature	karikatür
cariste	forklift operatörü
carnaval	karnaval
carotte	havuç
caroubier	keçiboynuzu
carpe	sazan
carquois	okluk
carreau	karo
carrefour	kavşak
carrière	kariyer
carré	kare
carré	kare
carte	kart
carte de crédit	kredi kartı
carte routière	yol haritası
carême	Büyük Perhiz
caserne	kişla
casque	kask
cassenoix moucheté	göknar kargası
casser	kırıtmak
castagnette	kastanyet
caste	kast
castor	kunduz
catalan	Katalanca
catalan	Katalanca
catalyseur	ivdirgen
catamaran	katamaran
cataracte	katarakt
catastrophe	felaket
catastrophisme	katastrofizm
cathédrale	büyük kilise
cathéter	sonda
cation	katyon
catégorie	kategori
cauchemar	kabus
cause	iş
cavalerie	süvari
cavalier	at
cave	bodrum
caviar	havyar
cazaskier	kazasker
caïmacan	kaymakam
ceinture	kemer
ceinture de sécurité	emniyet kemeri
cela va sans dire	gayet tabii
cellule	hücre
cendre	kül
cendrier	kül tablası
cent	yüz
centimètre	santimetre
centralisme démocratique	demokratik merkeziyetçilik
centre	merkez
centre de données	veri merkezi
centre-droit	merkez sağ
centre-gauche	merkez sol
cercle	daire
cerf	geyik
cerf axis	benekli geyik
cerf calamian	Calamian domuz geyiği
cerf cochon	domuz geyiği
cerf de Kuhl	Bawean domuz geyiği
cerf-volant	uçurtma
cerise	kiraz rengi
cerise	kiraz
cerveau	beyin
cervelle	beyin
cesser	bitirmek
chaabane	şaban
chacal	çakal
chah	şah
chair	et
chaise	sandalye
chaise longue	şezlong
chakchouka	şakşuka
chaleur	ısı
chaman	şaman
chamanisme	Şamanizm
chambre	oda
chambre à coucher	yatak odası
chameau	deve
champ	alan
champ de bataille	savaş alanı
champ magnétique	manyetik alan
champ électromagnétique	elektromanyetik alan
champagne	şampanya
champignon	mantar
champion	şampiyon
chance	şans
chancelier	şansölye
changer	değiştirmek
changeur	sarraf
chanson	şarkı
chanter	ötmek
chanteur	şantör
chanteur	şarkıcı
chanteuse	şantöz
chanvre	kenevir
chaos	karmakarışık hal
chapeau	şapka
chapelle	şapel
chapiteau	sütun başı
chapitre	bölüm
chaque	her
charabia	saçma
charbon	kömür
charbon de bois	odun kömürü
chardon	devedikeni
chardonneret	saka
chardonneret élégant	saka kuşu
charge élémentaire	temel yük
charger	yüklemek
charme	gürgen
charnière	menteşe
charogne	leş
charrue	saban
chas-oda-bachi	has odabaşı
chasse	av
chasse aux sorcières	cadı avı
chasse-neige	kar temizleme makinası
chasser	avlamak
chasseur	avcı
