crazia	κρατία
cariare	οπή
cariatide	Καρυάτις
caribù	καναδικός τάρανδος
carica	γραφείο
carica elettrica	ηλεκτρικό φορτίο
caricamento	φόρτωση
caricare	φορτώνω
caricaturare	γελοιογραφώ
carico	βάρος
carico	δυνατός
carie	σήψη
carino	καλός
cariotipo	καρυότυπος
carisma	χάρισμα
carismatico	χαρισματικός
caritatevole	γενναιόδωρος
carità	γενναιοδωρία
carlinga	κόκπιτ
carme	ποίημα
carnagione	χρώμα
carnale	σαρκικός
carne	σάρκα
carneade	άγνωστος
carnefice	δήμιος
carneficina	ανθρωποσφαγή
carnevale	καρναβάλι
carnevalesco	καρναβάλι
carnivoro	σαρκοβόρος
carnivoro	σαρκοβόρος
caro	αγαπητός
carogna	θνησιμαίο
carota	καρότο
carotenoide	καροτενοειδή
carovana	καραβάνι
carpa	κυπρίνος
carpello	καρπόφυλλο
carpenteria	ξυλουργική
carpentiere	μαραγκός
carpire	έργο
carreggiare	κάρο
carrello	σκυλί
carriera	διακύρηξη
carriola	καροτσάκι
carro	άρμα
carro armato	άρμα μάχης
carrozza	άμαξα
carrozzeria	σκελετός
carrucola	τροχαλία
carta	χαρτί
carta di credito	πιστωτική κάρτα
carta vetrata	γυαλόχαρτο
cartamodello	μοτίβο
cartapecora	περγαμηνή
carteggiare	αγροτεμάχιο
carteggio	αλληλογραφία
cartella	κάρτα
cartellinare	τίτλος
cartello	συνασπισμός
cartellone	αφίσα
cartesiano	καρτεσιανός
cartevalori	αξιόγραφο
cartilagine	χόνδρος
cartilagineo	χονδρικός
cartografo	χαρτογράφος
cartolina	κάρτα
cartomante	χαρτομάντης
cartone	μπουνιά
cartongesso	ασβεστόπλακα
cartonista	γελοιογράφος
cartuccia	φυσίγγιο
casa	κατοικία
casa colonica	αγροικία
casa popolare	εργατική κατοικία
casacca	κάλυμμα
casale	αγροικία
casalinga	νοικοκυρά
casalingo	σπιτικός
casata	γενεαλογία
casato	επώνυμο
cascata	καταρράκτης
cascatore	κασκαντέρ
cascolare	ανοίγω
caseario	γαλακτοκομικός
caseggiato	πολυκατοικία
casello	καλύβα
casereccio	σπιτικός
caserma	στρατώνας
caso	σύμπτωση
cassa	θήκη
cassaforte	χρηματοκιβώτιο
cassapanca	κασέλα
cassare	ακυρώνω
cassazione	ακύρωση
cassetta	γροθιά
cassetto	συρτάρι
cassettone	κορβανάς
cassiere	ταμίας
cassiterite	κασσιτερίτης
cassone	θώρακας
casta	κάστα
castagna	κάστανο
castagno	καστανιά
castello	κάστρο
castello di carte	σπίτι από τραπουλόχαρτα
castigamatti	ρόπαλο
castigo	τιμωρία
castità	αγνεία
casto	άγαμος
castoro	κάστορας
castrare	ευνουχίζω
castrazione	ευνουχισμός
casuale	αλλοίωση
casula	φαιλόνιο
cataclisma	κατακλυσμός
catacomba	κατακόμβη
catalano	Καταλανικά
catalessia	καταληψία
catalisi	κατάλυση
catalizzatore	καταλύτης
catalogare	διοργανώνω
catalogo	κατάλογος
catapulta	καταπέλτης
catapultare	καταπέλτης
catarro	φλέγμα
catarsi	κάθαρση
catasto	κτηματολόγιο
catastrofe	καταστροφή
catastrofico	καταστροφικός
catatonia	κατατονία
catechismo	κατήχηση
catechista	κατηχητής
catechizzare	δίνω διάλεξη
categoria	κατηγορία
catena	άλυσος
catenaccio	μάνταλο
cateratta	καταρράκτης
caterva	στρατιά
catino	κύμβαλο
catione	κατιόν
catrame	πίσσα
cattedra	γραφείο
cattedrale	καθεδρικός ναός
cattedratico	δοκησίσοφος
cattedratico	καθηγήτρια
cattiveria	εμπάθεια
cattivo	κακός
cattolicesimo	καθολικισμός
cattura	συλλαβή
caucasico	καυκασιανός
causa	λόγος
causare	προκαλώ
caustico	καυστικός
cautela	προσεκτικότητα
cautelare	διασφάλιση
cauterizzare	καυτηριάζω
cauto	επιφυλακτικός
cauzionare	εγγυητής
cauzione	εγγύηση
cava	λατομείο
cavalcare	καβαλάω
cavalcavia	ανισόπεδη διάβαση
cavaliere	ιππότης
cavalleresco	αβρός
cavalleria	ιππικό
cavalletta	ακρίδα
cavalletto	πυροστιά
cavallo	άλογο
cavallo vapore	ίππος
cavarsela	διαχειρίζομαι
cavatappi	τιρμπουσόν
cavaturaccioli	τιρμπουσόν
cavedano	λευκόψαρο
caverna	σπήλαιο
cavernicolo	άνθρωπος των σπηλαίων
cavernoso	σπηλαιώδης
cavia	πειραματόζωο
caviale	χαβιάρι
caviglia	αστράγαλος
cavillare	μεμψιμοιρώ
cavillo	μεμψιμοιρώ
cavità	βαθούλωμα
cavo	καλώδιο
cavolfiore	κουνουπίδι
cavolo	λάχανο
cazzata	πούτσες
cazzeggiare	κωλοβαράω
cazziare	αποπαίρνω
cazzo	πούτσα
cazzuola	μυστρί
cazzuto	πέταγμα
cecchino	ελεύθερος σκοπευτής
cece	ρεβιθιά
cecità	τυφλότητα
ceco	Τσεχικά
cedere	αποτραβιέμαι
cedimento	διακανονισμός
cedola	απόκομμα
cedro	κέδρος
cefalea	πονοκέφαλος
ceffo	ρύγχος
celare	αποκρύπτω
celebrare	γιορτάζω
celebrativo	γιορτή
celebrazione	γιορτή
celebre	διάσημος
celebrità	διασημότητα
celere	γοργός
celermente	γρήγορα
celestiale	ουράνιος
celia	αστείο
celiare	ανέκδοτο
celibato	αγαμία
celibe	άγαμος
celibe	πτυχιούχος
cella	κελί
cellula	κύτταρο
cellulare	κινητό
celtico	κελτικός
cembalo	τσέμπαλο
cementare	τσιμέντο
cementifero	τσιμέντο
cementificare	επικαλύπτω με σκυρόδεμα
cementizio	τσιμέντο
cemento	τσιμέντο
cena	δείπνο
cenacolo	cenacolo
cenere	στάχτη
cenerentola	Σταχτοπούτα
cenerino	μελιά
cenno	αναφορά
cenobita	κοινοβίτης
cenotafio	κενοτάφιο
censimento	απογραφή
censore	ερημίτης
censura	λογοκρισία
centauro	Κένταυρος
centellinare	γουλιά
centellino	γουλιά
centesimo	σεντ
centigrammo	εκατοστόγραμμο
centina	πείραγμα
centinare	αψίδα
cento	εκατό
centrale	κεντρικός
centrale elettrica	εργοστάσιο
centralinista	διαχειρίστρια
centralino	διαχειρίστρια
centralizzazione	συγκέντρωση
centrifuga	φυγοκεντρική μηχανή
centrifugare	κόβω
centro	κέντρο
centromero	κεντρομερές
centuria	εκατονταρχία
centurione	εκατόνταρχος
ceppo	εμποδίζω
cera	κερί
ceralacca	βουλοκέρι
ceramica	αγγειοπλαστική
ceramista	αγγειοπλάστης
cerare	κηρώνω
cerbiatto	ελαφάκι
cerca	αναζήτηση
cercapersone	βομβητής
cercare	ψάχνω
cercatore	χρυσοθήρας
cerchia	απευθύνω
cerchiare	στεφάνη
cerchio	κύκλος
cercine	υφασμάτινο στεφάνι
cereale	δημητριακά
cerebrale	διάνοια
cerimonia	τελετουργικό
cerimoniale	εθιμοτυπικός
cerimoniosa	γλύφτης
cerimonioso	επίσημος
cerio	δημήτριο
cernere	κόβω
cerniera	μεντεσές
cerotto	έμπλαστρο
certamente	βεβαίως
certezza	βεβαιότητα
certificare	πιστοποιώ
certificato	μαρτυρία
certificazione	αυθεντικοποίηση
certo	αρκετά
certo	βεβαίως
certo	βεβαιότητα
cervelletto	παρεγκεφαλίδα
cervello	εγκέφαλος
cervellotico	άλογος
cervice	τράχηλος
cervo	ελάφι
cesarismo	καισαρισμός
cesellare	σκαρπέλο
cesello	σκαρπέλο
cesena	κεδρότσιχλα
cespite	ενεργητικό
cespuglio	θάμνος
cessare	σταματώ
cessate il fuoco	πυρ
cessazione	αναστολή
cesso	λεκάνη
cesta	καλάθι
cestista	καλαθοσφαιρίστρια
cesto	καλάθι
cesura	διάλειμμα
ceto	είδος
ceto medio	αστική τάξη
cetriolo	αγγούρι
cfr.	πβ.
cha cha cha	τσα τσα τσα
che	η οποία
checché	οτιδήποτε
chef	μάγειρας
cherubino	χερουβείμ
chetare	γαλήνη
chetone	κετόνη
chi	χι
chi	ποιος
chiacchiera	κουβεντούλα
chiacchierare	συνομιλώ
chiacchierata	ικτερίς
chiacchierone	ομιλητικός
chiamare	καλώ
chiamata	τηλεφώνημα
chiaramente	καθαρά
chiarezza	διαύγεια
chiarificare	διαλευκάνω
chiarificazione	διευκρίνιση
chiarimento	αποσαφήνιση
chiarire	διαλευκάνω
chiaro	φωτεινός
chiaroscurare	απόχρωση
chiaroscuro	κιαροσκούρο
chiassoso	θορυβώδης
chiatta	φορτηγίδα
chiavare	αυταπατώμαι
chiavata	βιδώνω
chiavistello	σύρτης
chiazza	κηλίδα
chiazzare	βαφή
chic	αριστοκρατικός
chicca	διαμάντι
chicchiriare	θριαμβολογώ
chicchirichì	κικιρίκου
chicco	σπυρί
chiedere	ρωτώ
chierichetto	παπαδάκι
chiesa	εκκλησία
chiglia	καταρρέω
chilo	κιλό
chilo-	χιλιο-
chilogrammo	χιλιόγραμμο
chilometro	χιλιόμετρο
chimera	χίμαιρα
chimica	χημεία
chimica fisica	φυσικοχημεία
chimica organica	οργανική χημεία
chimico	χημικός
chimista	χημικός
china	εφαπτομένη
chinotto	νεράντζι
chiocciare	κακαρίζω
chioccio	βραχνός
chiocciola	κοχλίας
chioccolare	κελαηδώ
chiodino	πρόκα
chiodo	καρφί
chiodo di garofano	γαρίφαλο
chioma	κόμη
chiomato	μακρύτριχη
chiosa	σχολιάζω
chiosco	περίπτερο
chip	πατατάκι
chirurgia	χειρουργική
chirurgico	χειρουργικός
chirurgo	χειρουργός
chitarra	κιθάρα
chiudere	κλείνω
chiudere a chiave	κλειδώνω
chiunque	όποιος
chiurlo	νουμήνιος
chiuso	κλειστός
chiuso	κλείνω
chiusura	αποτέλεσμα
ciabatta	παντόφλα
ciabattino	παπουτσής
cialda	βάφλα
cialtrone	αλήτης
ciambella	ρεζέρβα
ciampicare	παραπατώ
cianciare	κελαηδώ
cianfrugliare	τραυλίζω
cianfrusaglia	μπιχλιμπίδι
cianobatterio	κυανοβακτήριο
cianosi	κυάνωση
ciao	γεια
ciarlare	κελαηδώ
ciarlatano	τσαρλατάνος
ciarliero	απεραντολόγος
ciarpame	ναρκωτικό
ciascuno	άπαντες
ciascuno	έκαστος
cibarie	τρόφιμα
cibernetica	κυβερνητική
cibernetico	κυβερνητικός
cibo	τροφή
cicala	τζιτζίκι
cicalare	φλυαρία
cicaleccio	κελαηδώ
cicalino	ξυπνητήρι
cicatrice	ουλή
cicchettare	ακμή
cicchetto	παστίλια
cicerone	ξεναγός
cicisbeo	αβρός
ciclamoro	κύκλος
ciclico	κυκλικός
ciclico	κυκλικός
ciclismo	ποδηλασία
ciclista	ποδηλάτης
ciclo	κύκλος
ciclomotore	μοτοποδήλατο
ciclone	κυκλώνας
ciclope	κύκλωπας
ciclopropano	κυκλοπροπάνιο
cicogna	πελαργός
cicuta	κιρκούτα
ciecamente	τυχαία
cieco	τυφλός
cielo	ουρανός
cifra	ψηφίο
ciglio	βλεφαρίδα
cigno	κύκνος
cigolare	τρίζω
cilena	Χιλιανή
ciliegia	κεράσι
ciliegio	κερασιά
cilindro	κύλινδρος
cimare	κουρεύω
cimelio	κειμήλιο
cimento	δοκιμαστικός
cimice	κοριός
ciminiera	καμινάδα
cimitero	κοιμητήριο
cinabro	κινναβαρίτης
cincia	βυζί
cincillà	τσιντσιλά
cinema	σινεμά
cinematica	κινηματική
cinerario	τεφρικός
cinereo	μέλινος
cinesi	Κινέζοι
cinetica	κινητική
cinetico	κινητικός
cingere	περιβάλλω
cinghiale	αγριόχοιρος
cingolo	ίχνος
cinguettare	κελαηδώ
cinguettio	κελαηδώ
cinismo	κυνισμός
cinnamomo	κανέλα
cinquanta	πενήντα
cinquantacinque	πενήντα πέντε
cinquantadue	πενήντα δύο
cinquantanove	πενήντα εννέα
cinquantaquattro	πενήντα τέσσαρες
cinquantasei	πενήντα έξ
cinquantasette	πενήντα επτά
cinquantatré	πενήντα τρείς
cinquantotto	πενήντα οκτώ
cinquantuno	πενήντα έν
cinque	πέντε
cinta	έγκυος
cinto	ζώνη
cintura	ζώνη
ciocco	υλοτομώ
cioccolata	σοκολάτα
cioccolato	σοκολάτα
cioncare	αγκομαχώ
ciondolo	μενταγιόν
ciotola	μπολ
cioè	βασικά
cipolla	κρεμμύδι
cipresso	κυπαρίσσι
cipria	σκόνη
cipriota	Κύπρια
circa	περίπου
circadiano	κιρκάδιος
circo	τσίρκο
circolare	κυκλικός
circolare	κυκλικός
circolare	άλειμμα
circolazione	κυκλοφορία
circolo	κύκλος
circoncidere	περιτέμνω
circoncisione	περιτομή
circondare	περικλείω
circondario	δήμος
circondurre	εναλλάσσομαι
circonferenza	κύκλος
circonfondere	περικλείω
circonlocuzione	περίφραση
circonvenire	μπάζα
circoscritto	περιορισμένος
circospetto	επιφυλακτικός
circostanza	γεγονός
circostanziare	δεδομένα
circostanziato	ειδικός
circuito	κύκλωμα
circuito integrato	ολοκληρωμένο κύκλωμα
circuito volano	ολοκληρωμένο κύκλωμα
circumnavigazione	περίπλους
cirrosi	κίρρωση
cisteina	κυστεΐνη
cistercense	Κιστερκιανός
cisterna	στέρνα
cisti	κύστη
cistoscopia	κυστεοσκόπηση
citare	καλώ μάρτυρα
citazione	παράθεμα
citofonare	κλήση
citofono	θυροτηλέφωνο
citologia	κυτταρολογία
citoplasma	κυτταρόπλασμα
citostatico	κυτταροστατικός
citrullo	βλαμμένος
cittadella	ακρόπολη
cittadinanza	υπηκοότητα
cittadino	αστός
cittadino	πολίτης
città	πόλη
città-stato	πόλη
ciurlare	αναβάλλω
ciurma	πλήρωμα
ciurmare	γοητεύω
civetta	κουκουβάγια
civettare	κοροϊδεύω
civico	αστικός
civile	πολίτης
civile	πολίτης
civilizzazione	πολιτισμός
ciò	τόσο
clacson	κλάξον
clacsonare	καραμούζα
clamore	θόρυβος
clamoroso	κραυγαλέος
clandestinamente	έκνομα
clandestino	κρυφός
clarinetto	κλαρινέτο
classare	κατατάσσω
classica	παραδοσιακός
classicismo	κλασικισμός
classifica	δίσκος
classificatore	αρχείο
classificazione	κατάταξη
claudicante	αστήρικτος
clausola	πρόβλεψη
claustrofobia	κλειστοφοβία
clavicembalista	αρπιχορδιστής
clavicola	κλείδα
clemente	καλοήθης
clemenza	επιείκεια
cleptomane	κλεπτομανής
clericale	ιερατικός
clero	κλήρος
clessidra	κλεψύδρα
clic	κλικ
cliccare	κλικάρω
cliché	κλισέ
cliente	πελάτης
clientelare	πατρονάρισμα
clima	κλίμα
climatico	υγεία
climatizzare	κλιματίζω
climatizzato	κλιματιζόμενος
clitoride	κλειτορίδα
clivo	εφαπτομένη
cloaca	αμάρα
clonare	κλωνοποιούμαι
clone	κλώνος
cloro	χλώριο
clorofilla	χλωροφύλλη
cluster	μαζεύομαι
coadiutore	βοηθητικός
coagulare	συμπηγνύω
coagulo	θρόμβος
coalizione	συνασπισμός
coassiale	ομοαξονικός
coatto	εξαναγκαστικός
cobalto	κοβάλτιο
cocaina	kοκαΐνη
cocchio	προπονώ
cocchiumare	βουλώνω
coccige	κόκκυξ
coccinella	πασχαλίτσα
cocciutaggine	γινάτι
cocco	κύκκι
coccodrillo	κροκόδειλος
coccolo	ανάλατος
cocente	καύση
cocomero	καρπούζι
coda	ουρά
codardia	ανανδρία
codardo	άνανδρος
codazzo	εσμός
codice	κώδικας
codice postale	ΤΚ
codificare	κωδικοποιώ
codificazione	κρυπτογράφημα
codino	αντιδραστικός
coefficiente	συντελεστής
coenzima	συνένζυμο
coercizione	εξαναγκασμός
coerente	συνεκτικός
coerenza	συνέπεια
coesione	συνοχή
coesistenza	συνύπαρξη
coesivo	συνεκτικός
coeso	συνεκτικός
coevo	συνομήλικος
cogitare	σκέφτομαι
cogliere	δράττομαι
coglionare	μπάζα
coglione	βλάκας
cognato	κουνιάδος
cognitivo	γνωσιακός
cognizione	όραση
cognome	επώνυμο
coguaro	ορεινός λέων
coibente	μονωτής
coibente	θερμομονωτικός
coibenza	μόνωση
coincidenza	σύμπτωση
coincidere	αλληλογραφώ
cointeressare	υποχωρώ
coinvolgere	συμφέρον
coinvolgimento	ανάμειξη
coito	συνουσία
cola	κόλα
colare	φιλτράρω
colazione	πρωινό
coledoco	χολαγγείο
colei	αυτή
coleottero	σκαθάρι
colera	χολέρα
colesterolo	χοληστερίνη
colettare	κοσκινίζω
coletto	ηθμός
colino	τρυπητό
colla	κόλλα
collaborare	συνεργάζομαι
collaboratore	βοηθητικός
collaborazione	συνεργασία
collage	κολάζ
collagene	κολλαγόνο
collagenopatia	κολλαγόνο
collana	κολιέ
collante	κόλλα
collassare	διπλώνω
collasso	θημωνιά
collaudatore	επιθεωρητής
collazione	κολατσιό
colle	λόφος
collega	συνάδελφος
collegamento	σύνδεσμος
collegare	συνδέω
collegio	κολέγιο
collera	θυμός
collerico	οξύθυμος
colletta	προσχωρήσουν
collettività	συλλογικότητα
collettivizzazione	κολεκτιβοποίηση
collettivo	συλλογικός
collettore	πολυσωλήνας
collezione	συλλογή
collidere	αντικρούομαι
collina	λόφος
collinare	βουναλάκι
colliquare	υγροποιώ
collisione	σύγκρουση
collo	λαιμός
collocamento	απασχόληση
collocazione	κατάταξη
colloide	κολλοειδής
colloquiale	ανεπίσημος
colloquio	διάλεξη
colludere	συνωμοτώ
colluttare	αγωνίζομαι
colmare	σφραγίζω
colmo	γεμάτος
colmo	κορυφή
colomba	περιστέρα
colombiana	Κολομβιανή
colombiano	Κολομβιανή
colon	κόλον
colonia	αποικία
coloniale	αποικιακός
colonialismo	αποικιοκρατία
colonico	εκτρέφω
colonizzare	αποικίσει
colonizzatore	άποικος
colonizzatori	άποικος
colonna	στήλη
colonna vertebrale	ραχοκοκαλιά
colonnello	συνταγματάρχης
colono	διακανονιστής
colorare	χρωματίζω
colore	χρώμα
colorito	χρώμα
colossale	κολοσσιαίος
colosseo	Κολοσσαίο
colosso	κολοσσός
colpa	ενοχή
colpevole	ένοχος
colpevolizzare	κάνω
colpire	χτυπώ
colpo	χτύπος
coltellata	μαχαιρώνω
coltello	μαχαίρι
coltivare	αυξάνω
coltivatore	αγρότης
coltrare	άροτρο
coltre	κουβέρτα
coltro	μαχαίρι
colubro	έχιδνα
colà	εκεί
comandamento	εντολή
comandante	αρχηγός
comandare	διατάζω
comando	εντολή
comare	νονά
combaciare	αλληλογραφώ
combattente	μαχητής
combattente	μαχητής
combattimento	μάχομαι
combinare	ενώνω
combinazione	συνδυασμός
combine	απεργάζομαι
combustibile	άφλεκτος
combustione	πυρ
combutta	σπείρα
come	πως
cometa	κομήτης
comfort	παρηγοριά
comico	κωμικός
comico	κωμικός
cominciare	αρχίζω
comitato	επιτροπή
comitiva	ζώνη
comizio	συνάθροιση
comma	παράγραφος
commedia	κωμωδία
commemorare	εορτάζω τη μνήμη
commemorazione	ενθύμημα
commendabile	αινετός
commendare	υποδεικνύω
commentare	σχολιάζω
commentario	σχολιασμός
commentatore	δημοσιογράφος
commento	σχόλιο
commerciale	εμπορικός
commercialità	εμπορικότητα
commercializzazione	εμπορευματοποίηση
commerciare	εμπόριο
commercio	εμπόριο
commessa	παραγγελία
commestibile	βρώσιμος
commestibili	εδώδιμα
commiato	αντιπρόσωπος
commiserare	λυπάμαι
commissario	επίτροπος
commissione	διάπραξη
commistione	κράμα
commisurare	παραβάλλω
commisurazione	αναλογικότητα
committente	πελάτης
commodoro	αρχιπλοίαρχος
commovente	συγκινητικός
community	κοινότητα
commutare	μετεπιβιβάζομαι
comodamente	εύκολα
compagine	σύστημα
compagnia	εταιρία
compagno	σύντροφος
comparare	παραβάλλω
comparativo	συγκριτικός
comparazione	σύγκριση
compare	συνεργός
comparire	φαίνομαι
compartecipare	κοινοποιώ
compartecipazione	μερισμός
compassato	γαλήνη
compassione	λυπάμαι
compasso	διαβήτης
compatire	συγχωρώ
compatriota	συμπατριώτης
compattare	κομπρέσα
compatti	περιεκτικός
compatto	πυκνός
compendiare	αποστάζω
compendio	επιτομή
compenetrare	σφραγίζω
compensazione	αντιστάθμιση
compenso	αμοιβή
competente	προσοντούχος
competenza	αρμοδιότητα
competere	ανήκω
competizione	ανταγωνισμός
compiacente	βαθύς
compiacenza	σεβασμός
compiacere	δίνω ευχαρίστηση
compiacersi	συγχαίρω
compiacimento	συγχαρητήρια
compiaciuto	αυτάρεσκος
compiangere	συμπάσχω
compiere	αποπερατώνω
compilare	μεταγλωττίζω
compilatore	επιμελητής
compilazione	μεταγλώττιση
compimento	αποτέλεσμα
compito	ευγενικός
compito	δουλειά
compleanno	γενέθλια
complemento	επικουρικός
complessità	περιπλοκή
complesso	μιγαδικός
complesso	μιγαδικός
completamente	εντελώς
completo	πλήρες
completo	ακολουθία
complicato	πολύπλοκος
complicazione	εμπόδιο
complice	συνεργός
complice	επικουρικός
complicità	συμπαιγνία
complimentare	επαινώ
complimentarsi	συγχαίρω
complimento	φιλοφρόνηση
complottista	συνωμοσιολόγος
complotto	απεργάζομαι
compluvio	κοιλάδα
componente	εξάρτημα
componibile	δομοστοιχειακός
componimento	σύνθεση
comporre	συνθέτω
comportamentismo	συμπεριφορισμός
comportamento	στάση
composito	συμβιβάζω
compositore	συνθέτης
composizione	μείγμα
compost	κοπρόχωμα
compostare	κοπρόχωμα
compostezza	αξιοπρέπεια
composto chimico	χημική ένωση
comprare	αγοράζω
compratore	αγοράστρια
compravendere	εμπόριο
compravendita	εμπόριο
comprendere	περιλαμβάνω
comprensibile	καταληπτός
comprensione	κατανόηση
comprensivo	νοημοσύνη
compressa	χάπι
compressione	συμπίεση
compressore	αεροσυμπιεστής
comprimere	κομπρέσα
comprovare	αποδεικνύω
compulsare	καλώ
computer	υπολογιστής
computo	εκτίμηση
comunale	πόλη
comune	κοινός
comunemente	γενικά
comunicabile	μεταδοτικός
comunicare	μεταδίδω
comunicativo	εξερχόμενος
comunicazione	επικοινωνία
comunismo	κομμουνισμός
comunista	κομμουνίστρια
comunista	κομμουνίστρια
comunitario	κοινότητα
comunità	κοινότητα
comunque	έτσι κι αλλιώς
comunque	οτιδήποτε
con	με
conca	κενό
concatenare	συνενώνω
concatenazione	συνένωση
concavo	κοίλος
concedere	παραδέχομαι
concentramento	συγκέντρωση
concentrare	συγκεντρώνομαι
concentrarsi	συγκλίνω
concentrato	έμμονος
concentrato	έντονος
concentrazione	αυτοσυγκέντρωση
concepimento	επικύηση
concernere	αφορώ
concerto	συναυλία
concessione	εκχώρηση
concetto	έννοια
concettuale	αποστάζω
concezione	επικύηση
conchiglia	κοχύλι
conchiglia di San Giacomo	χτένι
conciare	ακάθαρτος
conciliare	συμβούλιο
conciliare	συμβιβάζω
conciliazione	διακανονισμός
concilio	συμβούλιο
concime	λίπασμα
concionare	αναβαλλόμενος
concione	φιλιππικός
concisione	λακωνικότητα
conciso	λακωνικός
concitato	διεγερμένος
conclave	κογκλάβιο
concludere	συμπεραίνω
conclusione	συμπέρασμα
conclusivo	αποφασιστικός
concomitante	συνακόλουθος
concomitanza	σύζευξη
concordanza	αρμονία
concordare	συμφωνώ
concordato	συμβιβασμός
concorde	ατόφιος
concordemente	ταυτόχρονα
concordia	ομόνοια
concorrente	αντίζηλος
concorrenza	ανταγωνισμός
concorso	διαγωνισμός
concretamente	βασικά
concretizzabile	πραγματοποιήσιμος
concreto	συγκεκριμένος
concrezione	λίθος
concubina	παλλακίδα
conculcare	παραβιάζω
concupire	εποφθαλμιώ
concupiscente	λάγνος
concussione	δωροληψία
condanna	καταδίκη
condannare	καταδικάζω
condensare	συμπυκνώνω
condensazione	συμπύκνωση
condimento	καρύκευμα
condire	εποχή
condiscendente	συγκαταβατικός
condiscendenza	ανοχή
condiscendere	δέχομαι
condividere	λέω
condivisione	μερισμός
condizionale	υποθετικός
condizionare	επήρεια
condizionato	προσοντούχος
condizione	κατάσταση
condoglianze	ζωή σε σας
condottiero	κύριο άρθρο
condotto	δήμος
condotto	αγωγός
conducente	οδηγός
conducibilità	αγωγιμότητα
condurre	οδηγώ
conduttanza	αγωγιμότητα
conduttore	μηχανοδηγός
conduttura	αγωγός
confacente	κατάλληλος
confarsi	σουίτα
confederare	συνεργάτης
confederazione	ένωση
conferenza	διάσκεψη
conferma	επιβεβαίωση
confermare	βεβαιώ
confermato	ενισχύω
confessare	εξομολογώ
confessione	εξομολόγηση
confessore	πνευματικός
confettare	κολακεύω
confettura	μαρμελάδα
confezionare	μοδίστρα
confezionato	φίσκα
confezione	δέμα
conficcare	βροντώ
confidenza	απόρρητο
confidenziale	αισθητικός
configgere	βέργα
confinante	γειτονικός
confinare	περιορίζω
confine	σύνορα
confisca	κατάσχεση
confiscare	κατάσχω
conflagrazione	πυρκαγιά
conflitto	πόλεμος
confondere	μπερδεύω
conformare	μορφή
conformarsi	γνωρίζω
conforme	αληθής
conformismo	ευπείθεια
conformità	ευπείθεια
confortare	παρηγοριά
confortevole	άνετος
conforto	παρηγοριά
confricare	τρίβω
confronto	σύγκριση
confucianesimo	κομφουκιανισμός
confusionario	ακατάστατος
confusione	σύγχυση
confuso	αμήχανος
confutare	ανταποδεικνύω
confutazione	αναίρεση
congedo	άδεια
congegno	συσκευή
congelare	παγώνω
congelato	κατεψυγμένος
congelatore	κατάψυξη
congerie	θολώνω
congettura	εικασία
congetturare	εικάζω
congiungere	συνδέω
congiungimento	άρθρωση
congiuntamente	μαζί
congiuntiva	επιπεφυκώς
congiuntura	συγκυρία
congiunzione	σύνδεσμος
congiura	συνωμοσία
conglobare	άθροισμα
conglomerato	λειτουργία
congolese	Κονγκολέζα
congratulare	αγάλλομαι
congratularsi	συγχαίρω
congratulazione	συγχαρητήρια
congrega	ζώνη
congregare	αθροίζω
congregazione	εκκλησίασμα
congresso	κογκρέσο
congruente	κατάλληλος
congruenza	συμφωνία
congrui	αντίστοιχος
congruo	αντίστοιχος
conguagliare	αντισταθμίζω
coniare	επινοώ
conico	κωνικός
conifera	κωνοφόρο
coniglia	κουνέλα
coniglio	κουνέλι
conio	ποδοκρότημα
coniugare	κλίνω
coniugato	παντρεμένος
coniugato	κλίνομαι
coniugazione	κλίση
coniuge	σύζυγος
connaturare	κάνω
connaturato	έμφυτος
connazionale	συμπατριώτης
connessione	σύνδεση
connesso	συγγενικός
connettere	συνδέω
connettività	συνδεσιμότητα
connettore	άντρας
connivente	συνένοχος
connotazione	συνεκδοχή
connumerare	συμπεριλαμβάνω
cono	κώνος
conocchia	ρόκα
conoscenza	γνώση
conoscere	υποχωρώ
conoscersi	γνωρίζω
conoscitore	έμπειρος
conosciuto	γνωστός
conosciuto	γνωστός
conquidere	ματαιώνω
conquista	κατάκτηση
conquistare	κατακτώ
consacrare	αγιάζω
consacrazione	χειροτονία
consanguineità	συγγένεια εξ αίματος
consanguineo	σχέση
consapevole	συνειδητός
consapevolezza	γνώση
conscendere	ανεβαίνω
conscienza	συνείδηση
conscio	συνειδητός
consecutivo	ακολουθία
consegna	γιούργια
consegnare	δίνω
conseguente	απορρέων
conseguentemente	επομένως
conseguenza	συνέπεια
conseguenziale	απορρέων
conseguire	επακολουθώ
consenso	συναίνεση
consentire	συναινώ
consequenziale	απορρέων
conserva	δεξαμενή
conservatore	συντηρητικός
conservatori	ρεπουμπλικανός
conservatorismo	συντηρητισμός
consesso	ενορχήστρωση
considerare	θεωρώ
considerato	επιμελής
considerazione	είδωλο
considerevolmente	αξιοσημείωτα
consigliare	προειδοποιώ
consiglio	συμβουλή
consiglio di amministrazione	διοικητικό συμβούλιο
consistente	ουσιώδης
consociare	συνεργάτης
consolato	προξενείο
consolazione	παρηγοριά
console	βιντεοπαιχνίδι
consolidarsi	κλίκα
consolidato	γερός
consonante	consonante
consorte	σύζυγος
consorteria	κλίκα
consorziare	συνεργάτης
consorzio	σύνδεσμος
constare	αποτελούμαι
constatare	επαληθεύω
consueto	κοινός
consuetudine	συνήθεια
consulente	σύμβουλος
